Date,DaysToExpiry,ExpiryDate,PnL
2021-06-08,2,2021-06-10 00:00:00,1099.4625
2021-06-15,2,2021-06-17 00:00:00,-1479.675
2021-06-22,2,2021-06-24 00:00:00,1062.5000000000002
2021-06-29,2,2021-07-01 00:00:00,1116.25
2021-07-06,2,2021-07-08 00:00:00,917.45
2021-07-13,2,2021-07-15 00:00:00,572.9875
2021-07-20,2,2021-07-22 00:00:00,720.1625000000001
2021-07-27,2,2021-07-29 00:00:00,37.06249999999977
2021-08-03,2,2021-08-05 00:00:00,-3628.5624999999995
2021-08-10,2,2021-08-12 00:00:00,814.0875000000001
2021-08-17,1,2021-08-18 00:00:00,1187.4625
2021-08-24,2,2021-08-26 00:00:00,472.0875000000001
2021-08-31,2,2021-09-02 00:00:00,-2132.4874999999993
2021-09-07,2,2021-09-09 00:00:00,1080.6375
2021-09-14,2,2021-09-16 00:00:00,-922.1500000000001
2021-09-21,2,2021-09-23 00:00:00,-2372.8375000000005
2021-09-28,2,2021-09-30 00:00:00,-162.29999999999973
2021-10-05,2,2021-10-07 00:00:00,1501.575
2021-10-12,2,2021-10-14 00:00:00,-2727.8250000000003
2021-10-19,2,2021-10-21 00:00:00,-3234.649999999999
2021-10-26,2,2021-10-28 00:00:00,1663.3625
2021-11-02,1,2021-11-03 00:00:00,1657.95
2021-11-09,2,2021-11-11 00:00:00,1607.7124999999999
2021-11-16,2,2021-11-18 00:00:00,-1248.125
2021-11-23,2,2021-11-25 00:00:00,1690.0500000000002
2021-11-30,2,2021-12-02 00:00:00,1836.175
2021-12-07,2,2021-12-09 00:00:00,-4562.0125
2021-12-14,2,2021-12-16 00:00:00,2215.1124999999997
2021-12-21,2,2021-12-23 00:00:00,1743.0625000000005
2021-12-28,2,2021-12-30 00:00:00,1724.2875000000001
2022-01-04,2,2022-01-06 00:00:00,363.0500000000004
2022-01-11,2,2022-01-13 00:00:00,1451.7874999999997
2022-01-18,2,2022-01-20 00:00:00,-9810.474999999999
2022-01-25,2,2022-01-27 00:00:00,3258.849999999999
2022-02-01,2,2022-02-03 00:00:00,5506.987500000001
2022-02-08,2,2022-02-10 00:00:00,-1016.8000000000002
2022-02-15,2,2022-02-17 00:00:00,93.79999999999973
2022-02-22,2,2022-02-24 00:00:00,3132.5874999999996
2022-03-08,2,2022-03-10 00:00:00,-8720.2625
2022-03-15,2,2022-03-17 00:00:00,4070.8125000000005
2022-03-22,2,2022-03-24 00:00:00,2910.6624999999995
2022-03-29,2,2022-03-31 00:00:00,1168.0249999999999
2022-04-05,2,2022-04-07 00:00:00,-2347.299999999999
2022-04-12,1,2022-04-13 00:00:00,1460.4625000000003
2022-04-19,2,2022-04-21 00:00:00,-165.13750000000005
2022-04-26,2,2022-04-28 00:00:00,1705.9624999999996
2022-05-10,2,2022-05-12 00:00:00,-4683.162500000001
2022-05-17,2,2022-05-19 00:00:00,619.3499999999995
2022-05-24,2,2022-05-26 00:00:00,2773.4625
2022-05-31,2,2022-06-02 00:00:00,1946.625
2022-06-07,2,2022-06-09 00:00:00,1859.6125000000002
2022-06-14,2,2022-06-16 00:00:00,2731.8874999999994
2022-06-28,2,2022-06-30 00:00:00,2175.1000000000004
2022-07-05,2,2022-07-07 00:00:00,1494.3875
2022-07-12,2,2022-07-14 00:00:00,1531.4625
2022-07-19,2,2022-07-21 00:00:00,-1471.25
2022-07-26,2,2022-07-28 00:00:00,1631.2250000000004
2022-08-02,2,2022-08-04 00:00:00,1525.7624999999998
2022-08-16,2,2022-08-18 00:00:00,774.2874999999999
2022-08-23,2,2022-08-25 00:00:00,1198.4
2022-08-30,2,2022-09-01 00:00:00,305.6249999999999
2022-09-06,2,2022-09-08 00:00:00,1795.5500000000002
2022-09-13,2,2022-09-15 00:00:00,-801.8624999999997
2022-09-20,2,2022-09-22 00:00:00,1966.7624999999998
2022-09-27,2,2022-09-29 00:00:00,-164.2874999999999
2022-10-04,2,2022-10-06 00:00:00,1226.3624999999997
2022-10-11,2,2022-10-13 00:00:00,1758.7000000000003
2022-10-18,2,2022-10-20 00:00:00,1193.075
2022-10-25,2,2022-10-27 00:00:00,797.025
2022-11-01,2,2022-11-03 00:00:00,1212.7125
2022-11-15,2,2022-11-17 00:00:00,764.6
2022-11-22,2,2022-11-24 00:00:00,23.337499999999977
2022-11-29,2,2022-12-01 00:00:00,-1440.1374999999998
2022-12-06,2,2022-12-08 00:00:00,1188.975
2022-12-13,2,2022-12-15 00:00:00,1294.6374999999996
2022-12-20,2,2022-12-22 00:00:00,990.6125
2022-12-27,2,2022-12-29 00:00:00,1435.45
2023-01-03,2,2023-01-05 00:00:00,1124.1875
2023-01-10,2,2023-01-12 00:00:00,-310.46249999999986
2023-01-17,2,2023-01-19 00:00:00,133.16250000000014
2023-01-24,1,2023-01-25 00:00:00,-3806.8375000000005
2023-01-31,2,2023-02-02 00:00:00,3978.7
2023-02-07,2,2023-02-09 00:00:00,1468.9750000000004
2023-02-14,2,2023-02-16 00:00:00,-2015.3875
2023-02-21,2,2023-02-23 00:00:00,-3530.9999999999995
2023-02-28,2,2023-03-02 00:00:00,1647.4874999999997
2023-03-14,2,2023-03-16 00:00:00,-434.27499999999964
2023-03-21,2,2023-03-23 00:00:00,1710.9875
2023-03-28,1,2023-03-29 00:00:00,1775.3374999999996
2023-04-11,2,2023-04-13 00:00:00,652.75
2023-04-18,2,2023-04-20 00:00:00,767.2250000000001
2023-04-25,2,2023-04-27 00:00:00,592.75
2023-05-02,2,2023-05-04 00:00:00,671.8625000000002
2023-05-09,2,2023-05-11 00:00:00,826.7875
2023-05-16,2,2023-05-18 00:00:00,-1630.0749999999998
2023-05-23,2,2023-05-25 00:00:00,689.3000000000001
2023-05-30,2,2023-06-01 00:00:00,932.6250000000001
2023-06-06,2,2023-06-08 00:00:00,683.0000000000001
2023-06-13,2,2023-06-15 00:00:00,563.7500000000001
2023-06-20,2,2023-06-22 00:00:00,-26.800000000000296
2023-06-27,2,2023-06-29 00:00:00,283.6
2023-07-04,2,2023-07-06 00:00:00,902.9124999999999
2023-07-11,2,2023-07-13 00:00:00,764.5624999999999
2023-07-18,2,2023-07-20 00:00:00,1461.7000000000003
2023-07-25,2,2023-07-27 00:00:00,1552.1000000000004
2023-08-01,2,2023-08-03 00:00:00,-4768.275
2023-08-08,2,2023-08-10 00:00:00,1002.5
2023-08-22,2,2023-08-24 00:00:00,806.9625
2023-08-29,2,2023-08-31 00:00:00,838.775
2023-09-05,2,2023-09-07 00:00:00,570.7375
2023-09-12,2,2023-09-14 00:00:00,1251.0625000000002
2023-09-26,2,2023-09-28 00:00:00,1121.7125
