Date,DaysToExpiry,ExpiryDate,PnL
2021-06-08,2,2021-06-10 00:00:00,304.8312500000003
2021-06-15,2,2021-06-17 00:00:00,-1993.7124999999996
2021-06-22,2,2021-06-24 00:00:00,255.28125
2021-06-29,2,2021-07-01 00:00:00,814.0875000000002
2021-07-06,2,2021-07-08 00:00:00,987.6187500000003
2021-07-13,2,2021-07-15 00:00:00,632.2312500000002
2021-07-20,2,2021-07-22 00:00:00,539.775
2021-07-27,2,2021-07-29 00:00:00,370.74375
2021-08-03,2,2021-08-05 00:00:00,-2623.8249999999994
2021-08-10,2,2021-08-12 00:00:00,718.36875
2021-08-17,1,2021-08-18 00:00:00,386.97500000000025
2021-08-24,2,2021-08-26 00:00:00,828.8625
2021-08-31,2,2021-09-02 00:00:00,648.2874999999999
2021-09-07,2,2021-09-09 00:00:00,723.4312499999999
2021-09-14,2,2021-09-16 00:00:00,-1341.4750000000006
2021-09-21,2,2021-09-23 00:00:00,-1869.5124999999998
2021-09-28,2,2021-09-30 00:00:00,-678.5249999999996
2021-10-05,2,2021-10-07 00:00:00,1013.6250000000002
2021-10-12,2,2021-10-14 00:00:00,-2960.2125000000005
2021-10-19,2,2021-10-21 00:00:00,-623.6875000000002
2021-10-26,2,2021-10-28 00:00:00,1994.53125
2021-11-02,1,2021-11-03 00:00:00,1252.7437499999996
2021-11-09,2,2021-11-11 00:00:00,1299.075
2021-11-16,2,2021-11-18 00:00:00,391.77499999999964
2021-11-23,2,2021-11-25 00:00:00,1156.96875
2021-11-30,2,2021-12-02 00:00:00,2156.4
2021-12-07,2,2021-12-09 00:00:00,802.9562500000002
2021-12-14,2,2021-12-16 00:00:00,2140.1624999999995
2021-12-21,2,2021-12-23 00:00:00,-2678.6687500000003
2021-12-28,2,2021-12-30 00:00:00,1130.6812500000005
2022-01-04,2,2022-01-06 00:00:00,787.9812500000003
2022-01-11,2,2022-01-13 00:00:00,1002.4312500000001
2022-01-18,2,2022-01-20 00:00:00,-9548.3625
2022-01-25,2,2022-01-27 00:00:00,1443.9187499999996
2022-02-01,2,2022-02-03 00:00:00,3609.20625
2022-02-08,2,2022-02-10 00:00:00,-7263.9375
2022-02-15,2,2022-02-17 00:00:00,2522.1749999999993
2022-02-22,2,2022-02-24 00:00:00,2217.2437499999996
2022-03-08,2,2022-03-10 00:00:00,-9140.78125
2022-03-15,2,2022-03-17 00:00:00,-9166.625000000004
2022-03-22,2,2022-03-24 00:00:00,2829.1875
2022-03-29,2,2022-03-31 00:00:00,631.9937499999997
2022-04-05,2,2022-04-07 00:00:00,-1740.175
2022-04-12,1,2022-04-13 00:00:00,898.18125
2022-04-19,2,2022-04-21 00:00:00,354.8249999999998
2022-04-26,2,2022-04-28 00:00:00,1594.6875000000005
2022-05-10,2,2022-05-12 00:00:00,-10294.693750000002
2022-05-17,2,2022-05-19 00:00:00,1917.2625
2022-05-24,2,2022-05-26 00:00:00,2358.675
2022-05-31,2,2022-06-02 00:00:00,1815.50625
2022-06-07,2,2022-06-09 00:00:00,1604.7374999999995
2022-06-14,2,2022-06-16 00:00:00,2475.35625
2022-06-21,2,2022-06-23 00:00:00,456.6374999999996
2022-06-28,2,2022-06-30 00:00:00,1470.4125000000004
2022-07-05,2,2022-07-07 00:00:00,672.9624999999996
2022-07-12,2,2022-07-14 00:00:00,876.8812500000001
2022-07-19,2,2022-07-21 00:00:00,-173.00625000000014
2022-07-26,2,2022-07-28 00:00:00,-4381.36875
2022-08-02,2,2022-08-04 00:00:00,1214.4937499999999
2022-08-16,2,2022-08-18 00:00:00,660.4499999999999
2022-08-23,2,2022-08-25 00:00:00,1238.6812499999999
2022-08-30,2,2022-09-01 00:00:00,992.5687499999999
2022-09-06,2,2022-09-08 00:00:00,1534.9874999999997
2022-09-13,2,2022-09-15 00:00:00,-545.9187500000005
2022-09-20,2,2022-09-22 00:00:00,433.8812499999999
2022-09-27,2,2022-09-29 00:00:00,1918.9687500000005
2022-10-04,2,2022-10-06 00:00:00,876.09375
2022-10-11,2,2022-10-13 00:00:00,1641.5437500000003
2022-10-18,2,2022-10-20 00:00:00,1348.0875
2022-10-25,2,2022-10-27 00:00:00,657.73125
2022-11-01,2,2022-11-03 00:00:00,1508.2500000000002
2022-11-15,2,2022-11-17 00:00:00,769.1624999999998
2022-11-22,2,2022-11-24 00:00:00,567.61875
2022-11-29,2,2022-12-01 00:00:00,87.41250000000014
2022-12-06,2,2022-12-08 00:00:00,1176.7312499999998
2022-12-13,2,2022-12-15 00:00:00,1574.1375
2022-12-20,2,2022-12-22 00:00:00,-445.1937499999997
2022-12-27,2,2022-12-29 00:00:00,1138.2
2023-01-03,2,2023-01-05 00:00:00,-1646.1062499999998
2023-01-10,2,2023-01-12 00:00:00,1240.3125
2023-01-17,2,2023-01-19 00:00:00,501.8000000000002
2023-01-24,1,2023-01-25 00:00:00,-1680.13125
2023-01-31,2,2023-02-02 00:00:00,4331.8125
2023-02-07,2,2023-02-09 00:00:00,1864.3124999999998
2023-02-14,2,2023-02-16 00:00:00,663.91875
2023-02-21,2,2023-02-23 00:00:00,-1165.03125
2023-02-28,2,2023-03-02 00:00:00,1289.1
2023-03-14,2,2023-03-16 00:00:00,2007.0375
2023-03-21,2,2023-03-23 00:00:00,1314.1874999999998
2023-03-28,1,2023-03-29 00:00:00,1191.9750000000004
2023-04-11,2,2023-04-13 00:00:00,220.60000000000002
2023-04-18,2,2023-04-20 00:00:00,737.9249999999998
2023-04-25,2,2023-04-27 00:00:00,461.4937499999999
2023-05-02,2,2023-05-04 00:00:00,234.7750000000001
2023-05-09,2,2023-05-11 00:00:00,774.5062500000001
2023-05-16,2,2023-05-18 00:00:00,-225.7937500000005
2023-05-23,2,2023-05-25 00:00:00,108.22499999999991
2023-05-30,2,2023-06-01 00:00:00,771.8249999999998
2023-06-06,2,2023-06-08 00:00:00,-51.02500000000009
2023-06-13,2,2023-06-15 00:00:00,532.93125
2023-06-20,2,2023-06-22 00:00:00,631.81875
2023-06-27,2,2023-06-29 00:00:00,120.24375000000006
2023-07-04,2,2023-07-06 00:00:00,923.5125
2023-07-11,2,2023-07-13 00:00:00,619.6875
2023-07-18,2,2023-07-20 00:00:00,-440.53750000000036
2023-07-25,2,2023-07-27 00:00:00,1200.4500000000003
2023-08-01,2,2023-08-03 00:00:00,-7204.412499999999
2023-08-08,2,2023-08-10 00:00:00,205.9437499999998
2023-08-22,2,2023-08-24 00:00:00,377.04375
2023-08-29,2,2023-08-31 00:00:00,660.3937500000001
2023-09-05,2,2023-09-07 00:00:00,450.0750000000001
2023-09-12,2,2023-09-14 00:00:00,1158.6187499999999
2023-09-26,2,2023-09-28 00:00:00,235.66250000000014
2023-10-03,2,2023-10-05 00:00:00,371.53124999999966
2023-10-10,2,2023-10-12 00:00:00,784.6062499999996
2023-10-17,2,2023-10-19 00:00:00,-68.85625000000005
2023-10-31,2,2023-11-02 00:00:00,615.5749999999998
2023-11-07,2,2023-11-09 00:00:00,692.1375000000002
2023-11-21,2,2023-11-23 00:00:00,740.1937500000001
2023-11-28,2,2023-11-30 00:00:00,-3282.5125000000007
2023-12-05,2,2023-12-07 00:00:00,1320.5625000000005
2023-12-12,2,2023-12-14 00:00:00,1137.7125
2023-12-19,2,2023-12-21 00:00:00,41.868749999999864
2023-12-26,2,2023-12-28 00:00:00,-131.10000000000036
2024-01-02,2,2024-01-04 00:00:00,1143.3750000000002
2024-01-09,2,2024-01-11 00:00:00,1332.5437499999998
2024-01-16,2,2024-01-18 00:00:00,-12758.6375
2024-01-23,2,2024-01-25 00:00:00,2492.2312500000003
2024-01-30,2,2024-02-01 00:00:00,4704.20625
2024-02-06,2,2024-02-08 00:00:00,2275.875
2024-02-13,2,2024-02-15 00:00:00,1802.9999999999998
2024-02-20,2,2024-02-22 00:00:00,1610.7562500000001
2024-02-27,2,2024-02-29 00:00:00,733.7874999999997
2024-03-05,2,2024-03-07 00:00:00,1236.2062499999997
2024-03-12,2,2024-03-14 00:00:00,1121.0437499999996
2024-03-19,2,2024-03-21 00:00:00,2205.01875
2024-03-26,2,2024-03-28 00:00:00,-4072.2187500000005
2024-04-02,2,2024-04-04 00:00:00,1341.75
2024-04-09,1,2024-04-10 00:00:00,1423.5374999999995
2024-04-16,2,2024-04-18 00:00:00,1054.5000000000002
2024-04-23,2,2024-04-25 00:00:00,1677.4687499999998
2024-04-30,2,2024-05-02 00:00:00,1096.8187500000004
2024-05-07,2,2024-05-09 00:00:00,1325.6437500000002
2024-05-14,2,2024-05-16 00:00:00,632.0625
2024-05-21,2,2024-05-23 00:00:00,38.806249999999864
2024-05-28,2,2024-05-30 00:00:00,-527.8062500000001
2024-06-04,2,2024-06-06 00:00:00,12612.6
2024-06-11,2,2024-06-13 00:00:00,2222.475
2024-06-18,2,2024-06-20 00:00:00,-45.46249999999941
2024-06-25,2,2024-06-27 00:00:00,-1044.5249999999996
2024-07-02,2,2024-07-04 00:00:00,951.0999999999996
2024-07-09,2,2024-07-11 00:00:00,54.781250000000114
2024-07-16,2,2024-07-18 00:00:00,460.49999999999994
2024-07-23,2,2024-07-25 00:00:00,2599.36875
2024-07-30,2,2024-08-01 00:00:00,1141.9874999999997
2024-08-06,2,2024-08-08 00:00:00,1657.912500000001
2024-08-13,1,2024-08-14 00:00:00,1456.1625
2024-08-20,2,2024-08-22 00:00:00,796.8375
2024-08-27,2,2024-08-29 00:00:00,538.7812500000001
2024-09-03,2,2024-09-05 00:00:00,227.36249999999995
