Date,DaysToExpiry,ExpiryDate,PnL
2021-06-08,2,2021-06-10 00:00:00,656.0375
2021-06-15,2,2021-06-17 00:00:00,-1465.9125000000001
2021-06-22,2,2021-06-24 00:00:00,725.1375
2021-06-29,2,2021-07-01 00:00:00,542.7249999999999
2021-07-06,2,2021-07-08 00:00:00,658.4124999999998
2021-07-13,2,2021-07-15 00:00:00,421.4875
2021-07-20,2,2021-07-22 00:00:00,359.84999999999997
2021-07-27,2,2021-07-29 00:00:00,-59.624999999999886
2021-08-03,2,2021-08-05 00:00:00,-1336.8
2021-08-10,2,2021-08-12 00:00:00,478.9125
2021-08-17,1,2021-08-18 00:00:00,92.1749999999999
2021-08-24,2,2021-08-26 00:00:00,552.5749999999999
2021-08-31,2,2021-09-02 00:00:00,199.04999999999984
2021-09-07,2,2021-09-09 00:00:00,482.2875
2021-09-14,2,2021-09-16 00:00:00,-735.6625
2021-09-21,2,2021-09-23 00:00:00,-1384.9250000000002
2021-09-28,2,2021-09-30 00:00:00,-418.2624999999998
2021-10-05,2,2021-10-07 00:00:00,675.75
2021-10-12,2,2021-10-14 00:00:00,-1558.1125
2021-10-19,2,2021-10-21 00:00:00,-779.8124999999995
2021-10-26,2,2021-10-28 00:00:00,1329.6874999999998
2021-11-02,1,2021-11-03 00:00:00,835.1624999999999
2021-11-09,2,2021-11-11 00:00:00,866.0500000000001
2021-11-16,2,2021-11-18 00:00:00,-230.3499999999999
2021-11-23,2,2021-11-25 00:00:00,771.3124999999999
2021-11-30,2,2021-12-02 00:00:00,1437.6
2021-12-07,2,2021-12-09 00:00:00,278.17500000000007
2021-12-14,2,2021-12-16 00:00:00,1426.7749999999996
2021-12-21,2,2021-12-23 00:00:00,-1797.5625
2021-12-28,2,2021-12-30 00:00:00,753.7875000000001
2022-01-04,2,2022-01-06 00:00:00,283.76249999999993
2022-01-11,2,2022-01-13 00:00:00,668.2875000000001
2022-01-18,2,2022-01-20 00:00:00,-5018.487500000001
2022-01-25,2,2022-01-27 00:00:00,962.6124999999997
2022-02-01,2,2022-02-03 00:00:00,2406.1375
2022-02-08,2,2022-02-10 00:00:00,-4018.2124999999996
2022-02-15,2,2022-02-17 00:00:00,1681.4499999999998
2022-02-22,2,2022-02-24 00:00:00,1478.1625000000001
2022-03-08,2,2022-03-10 00:00:00,-5435.249999999999
2022-03-15,2,2022-03-17 00:00:00,-5036.275000000001
2022-03-22,2,2022-03-24 00:00:00,1886.1249999999998
2022-03-29,2,2022-03-31 00:00:00,680.0124999999998
2022-04-05,2,2022-04-07 00:00:00,-1414.85
2022-04-12,1,2022-04-13 00:00:00,598.7875
2022-04-19,2,2022-04-21 00:00:00,-96.75000000000023
2022-04-26,2,2022-04-28 00:00:00,1063.1250000000002
2022-05-10,2,2022-05-12 00:00:00,-5845.975
2022-05-17,2,2022-05-19 00:00:00,1278.1749999999997
2022-05-24,2,2022-05-26 00:00:00,1572.45
2022-05-31,2,2022-06-02 00:00:00,1210.3375
2022-06-07,2,2022-06-09 00:00:00,1069.8249999999998
2022-06-14,2,2022-06-16 00:00:00,1650.2374999999997
2022-06-21,2,2022-06-23 00:00:00,-672.75
2022-06-28,2,2022-06-30 00:00:00,980.275
2022-07-05,2,2022-07-07 00:00:00,178.88750000000027
2022-07-12,2,2022-07-14 00:00:00,584.5874999999997
2022-07-19,2,2022-07-21 00:00:00,-136.8000000000004
2022-07-26,2,2022-07-28 00:00:00,-2463.8875
2022-08-02,2,2022-08-04 00:00:00,809.6625
2022-08-16,2,2022-08-18 00:00:00,440.3
2022-08-23,2,2022-08-25 00:00:00,825.7875
2022-08-30,2,2022-09-01 00:00:00,661.7124999999999
2022-09-06,2,2022-09-08 00:00:00,1023.3250000000002
2022-09-13,2,2022-09-15 00:00:00,-946.7999999999998
2022-09-20,2,2022-09-22 00:00:00,-345.3624999999997
2022-09-27,2,2022-09-29 00:00:00,1279.3125000000002
2022-10-04,2,2022-10-06 00:00:00,584.0625
2022-10-11,2,2022-10-13 00:00:00,1094.3625000000002
2022-10-18,2,2022-10-20 00:00:00,898.7250000000003
2022-10-25,2,2022-10-27 00:00:00,438.48750000000007
2022-11-01,2,2022-11-03 00:00:00,1005.5
2022-11-15,2,2022-11-17 00:00:00,512.7750000000001
2022-11-22,2,2022-11-24 00:00:00,378.4124999999999
2022-11-29,2,2022-12-01 00:00:00,-343.20000000000005
2022-12-06,2,2022-12-08 00:00:00,784.4874999999998
2022-12-13,2,2022-12-15 00:00:00,1049.425
2022-12-20,2,2022-12-22 00:00:00,-440.2999999999997
2022-12-27,2,2022-12-29 00:00:00,758.7999999999998
2023-01-03,2,2023-01-05 00:00:00,-1104.1375
2023-01-10,2,2023-01-12 00:00:00,826.8749999999999
2023-01-17,2,2023-01-19 00:00:00,134.63750000000005
2023-01-24,1,2023-01-25 00:00:00,-958.4875
2023-01-31,2,2023-02-02 00:00:00,2887.8750000000005
2023-02-07,2,2023-02-09 00:00:00,1242.875
2023-02-14,2,2023-02-16 00:00:00,248.1875000000001
2023-02-21,2,2023-02-23 00:00:00,-765.3249999999998
2023-02-28,2,2023-03-02 00:00:00,859.4
2023-03-14,2,2023-03-16 00:00:00,1338.0249999999996
2023-03-21,2,2023-03-23 00:00:00,876.125
2023-03-28,1,2023-03-29 00:00:00,794.6500000000002
2023-04-11,2,2023-04-13 00:00:00,-6.537499999999966
2023-04-18,2,2023-04-20 00:00:00,491.95000000000005
2023-04-25,2,2023-04-27 00:00:00,307.66249999999997
2023-05-02,2,2023-05-04 00:00:00,420.24999999999994
2023-05-09,2,2023-05-11 00:00:00,516.3375000000001
2023-05-16,2,2023-05-18 00:00:00,-472.88750000000005
2023-05-23,2,2023-05-25 00:00:00,356.92499999999995
2023-05-30,2,2023-06-01 00:00:00,514.5500000000002
2023-06-06,2,2023-06-08 00:00:00,-278.10000000000014
2023-06-13,2,2023-06-15 00:00:00,355.2874999999999
2023-06-20,2,2023-06-22 00:00:00,421.2125000000001
2023-06-27,2,2023-06-29 00:00:00,80.1625
2023-07-04,2,2023-07-06 00:00:00,615.675
2023-07-11,2,2023-07-13 00:00:00,413.1250000000001
2023-07-18,2,2023-07-20 00:00:00,-530.9124999999999
2023-07-25,2,2023-07-27 00:00:00,800.3000000000002
2023-08-01,2,2023-08-03 00:00:00,-3871.6375
2023-08-08,2,2023-08-10 00:00:00,511.2875
2023-08-22,2,2023-08-24 00:00:00,67.03749999999997
2023-08-29,2,2023-08-31 00:00:00,440.2625
2023-09-05,2,2023-09-07 00:00:00,300.05
2023-09-12,2,2023-09-14 00:00:00,772.4124999999999
2023-09-26,2,2023-09-28 00:00:00,-170.29999999999984
2023-10-03,2,2023-10-05 00:00:00,-36.375
2023-10-10,2,2023-10-12 00:00:00,846.5625
2023-10-17,2,2023-10-19 00:00:00,-409.92499999999995
2023-10-31,2,2023-11-02 00:00:00,-54.63749999999982
2023-11-07,2,2023-11-09 00:00:00,461.42500000000007
2023-11-21,2,2023-11-23 00:00:00,493.4625
2023-11-28,2,2023-11-30 00:00:00,-1928.6875000000007
2023-12-05,2,2023-12-07 00:00:00,880.3749999999999
2023-12-12,2,2023-12-14 00:00:00,758.475
2023-12-19,2,2023-12-21 00:00:00,-345.78750000000014
2023-12-26,2,2023-12-28 00:00:00,-303.2874999999999
2024-01-02,2,2024-01-04 00:00:00,762.25
2024-01-09,2,2024-01-11 00:00:00,888.3625000000002
2024-01-16,2,2024-01-18 00:00:00,-7045.887500000001
2024-01-23,2,2024-01-25 00:00:00,1661.4875000000002
2024-01-30,2,2024-02-01 00:00:00,3136.1374999999994
2024-02-06,2,2024-02-08 00:00:00,1517.2500000000002
2024-02-13,2,2024-02-15 00:00:00,1202.0
2024-02-20,2,2024-02-22 00:00:00,1073.8375
2024-02-27,2,2024-02-29 00:00:00,123.48749999999927
