Date,DaysToExpiry,ExpiryDate,PnL
2021-06-08,2,2021-06-10 00:00:00,27.8125
2021-06-15,2,2021-06-17 00:00:00,-1486.175
2021-06-22,2,2021-06-24 00:00:00,-89.16250000000002
2021-06-29,2,2021-07-01 00:00:00,737.625
2021-07-06,2,2021-07-08 00:00:00,696.3875
2021-07-13,2,2021-07-15 00:00:00,593.325
2021-07-20,2,2021-07-22 00:00:00,433.8999999999999
2021-07-27,2,2021-07-29 00:00:00,114.79999999999984
2021-08-03,2,2021-08-05 00:00:00,-1207.2499999999995
2021-08-10,2,2021-08-12 00:00:00,672.7375000000001
2021-08-17,1,2021-08-18 00:00:00,265.4
2021-08-24,2,2021-08-26 00:00:00,774.5
2021-08-31,2,2021-09-02 00:00:00,414.4749999999999
2021-09-07,2,2021-09-09 00:00:00,637.7625
2021-09-14,2,2021-09-16 00:00:00,-544.4
2021-09-21,2,2021-09-23 00:00:00,-983.9625000000001
2021-09-28,2,2021-09-30 00:00:00,-1173.7124999999996
2021-10-05,2,2021-10-07 00:00:00,919.1375000000002
2021-10-12,2,2021-10-14 00:00:00,-1246.9750000000001
2021-10-19,2,2021-10-21 00:00:00,-427.36249999999995
2021-10-26,2,2021-10-28 00:00:00,-2008.2125
2021-11-02,1,2021-11-03 00:00:00,1173.1124999999997
2021-11-09,2,2021-11-11 00:00:00,1182.1625
2021-11-16,2,2021-11-18 00:00:00,110.26250000000005
2021-11-23,2,2021-11-25 00:00:00,1065.45
2021-11-30,2,2021-12-02 00:00:00,1885.825
2021-12-07,2,2021-12-09 00:00:00,521.0999999999999
2021-12-14,2,2021-12-16 00:00:00,1926.5625
2021-12-21,2,2021-12-23 00:00:00,-1400.0125000000007
2021-12-28,2,2021-12-30 00:00:00,1080.3374999999999
2022-01-04,2,2022-01-06 00:00:00,495.33749999999986
2022-01-11,2,2022-01-13 00:00:00,980.8499999999999
2022-01-18,2,2022-01-20 00:00:00,-5799.5875
2022-01-25,2,2022-01-27 00:00:00,1336.7999999999997
2022-02-01,2,2022-02-03 00:00:00,3466.1749999999993
2022-02-08,2,2022-02-10 00:00:00,-3607.4375
2022-02-15,2,2022-02-17 00:00:00,2250.7000000000003
2022-02-22,2,2022-02-24 00:00:00,-10424.8875
2022-03-08,2,2022-03-10 00:00:00,-4991.887499999999
2022-03-15,2,2022-03-17 00:00:00,-5921.9
2022-03-22,2,2022-03-24 00:00:00,3039.6499999999996
2022-03-29,2,2022-03-31 00:00:00,436.42499999999995
2022-04-05,2,2022-04-07 00:00:00,-854.8874999999998
2022-04-12,1,2022-04-13 00:00:00,921.2625
2022-04-19,2,2022-04-21 00:00:00,-103.71250000000009
2022-04-26,2,2022-04-28 00:00:00,1431.5875000000003
2022-05-10,2,2022-05-12 00:00:00,-5697.124999999998
2022-05-17,2,2022-05-19 00:00:00,-670.8000000000002
2022-05-24,2,2022-05-26 00:00:00,2259.4
2022-05-31,2,2022-06-02 00:00:00,1893.8125
2022-06-07,2,2022-06-09 00:00:00,1832.4124999999997
2022-06-14,2,2022-06-16 00:00:00,2502.95
2022-06-21,2,2022-06-23 00:00:00,-83.73750000000064
2022-06-28,2,2022-06-30 00:00:00,1505.8375000000003
2022-07-05,2,2022-07-07 00:00:00,481.7374999999997
2022-07-12,2,2022-07-14 00:00:00,1153.6125
2022-07-19,2,2022-07-21 00:00:00,-149.375
2022-07-26,2,2022-07-28 00:00:00,-3093.9249999999997
2022-08-02,2,2022-08-04 00:00:00,1106.5875
2022-08-16,2,2022-08-18 00:00:00,580.85
2022-08-23,2,2022-08-25 00:00:00,1004.1875
2022-08-30,2,2022-09-01 00:00:00,946.2375
2022-09-06,2,2022-09-08 00:00:00,1470.9125000000001
2022-09-13,2,2022-09-15 00:00:00,-1028.5124999999998
2022-09-20,2,2022-09-22 00:00:00,-197.12499999999977
2022-09-27,2,2022-09-29 00:00:00,1739.5875000000005
2022-10-04,2,2022-10-06 00:00:00,784.5625000000001
2022-10-11,2,2022-10-13 00:00:00,1794.3500000000001
2022-10-18,2,2022-10-20 00:00:00,1416.9250000000002
2022-10-25,2,2022-10-27 00:00:00,508.2375000000001
2022-11-01,2,2022-11-03 00:00:00,1501.1750000000002
2022-11-15,2,2022-11-17 00:00:00,640.9125
2022-11-22,2,2022-11-24 00:00:00,513.725
2022-11-29,2,2022-12-01 00:00:00,209.17500000000018
2022-12-06,2,2022-12-08 00:00:00,1300.1
2022-12-13,2,2022-12-15 00:00:00,1397.0625
2022-12-20,2,2022-12-22 00:00:00,-376.8125000000002
2022-12-27,2,2022-12-29 00:00:00,1125.0
2023-01-03,2,2023-01-05 00:00:00,-955.5875000000001
2023-01-10,2,2023-01-12 00:00:00,1193.05
2023-01-17,2,2023-01-19 00:00:00,338.78750000000014
2023-01-24,1,2023-01-25 00:00:00,-909.7249999999997
2023-01-31,2,2023-02-02 00:00:00,4285.299999999999
2023-02-07,2,2023-02-09 00:00:00,1623.0749999999996
2023-02-14,2,2023-02-16 00:00:00,547.45
2023-02-21,2,2023-02-23 00:00:00,-354.8749999999998
2023-02-28,2,2023-03-02 00:00:00,1262.5125
2023-03-14,2,2023-03-16 00:00:00,1924.0249999999999
2023-03-21,2,2023-03-23 00:00:00,1277.475
2023-03-28,1,2023-03-29 00:00:00,1294.0000000000002
2023-04-11,2,2023-04-13 00:00:00,113.81250000000017
2023-04-18,2,2023-04-20 00:00:00,672.4125000000001
2023-04-25,2,2023-04-27 00:00:00,421.4375
2023-05-02,2,2023-05-04 00:00:00,154.3749999999999
2023-05-09,2,2023-05-11 00:00:00,765.3250000000002
2023-05-16,2,2023-05-18 00:00:00,-193.21249999999998
2023-05-23,2,2023-05-25 00:00:00,-51.80000000000001
2023-05-30,2,2023-06-01 00:00:00,690.3000000000002
2023-06-06,2,2023-06-08 00:00:00,-206.875
2023-06-13,2,2023-06-15 00:00:00,419.4625
2023-06-20,2,2023-06-22 00:00:00,555.9750000000001
2023-06-27,2,2023-06-29 00:00:00,92.56250000000003
2023-07-04,2,2023-07-06 00:00:00,792.8625000000002
2023-07-11,2,2023-07-13 00:00:00,558.1750000000001
2023-07-18,2,2023-07-20 00:00:00,-39.06250000000023
2023-07-25,2,2023-07-27 00:00:00,1123.6625000000001
2023-08-01,2,2023-08-03 00:00:00,-4683.475
2023-08-08,2,2023-08-10 00:00:00,12.137500000000273
2023-08-22,2,2023-08-24 00:00:00,246.83749999999998
2023-08-29,2,2023-08-31 00:00:00,560.9875000000001
2023-09-05,2,2023-09-07 00:00:00,351.75
2023-09-12,2,2023-09-14 00:00:00,1133.275
2023-09-26,2,2023-09-28 00:00:00,-17.812500000000114
2023-10-03,2,2023-10-05 00:00:00,55.549999999999955
2023-10-10,2,2023-10-12 00:00:00,373.6250000000001
2023-10-17,2,2023-10-19 00:00:00,-308.11249999999995
2023-10-31,2,2023-11-02 00:00:00,323.4124999999998
2023-11-07,2,2023-11-09 00:00:00,735.0000000000001
2023-11-21,2,2023-11-23 00:00:00,783.025
2023-11-28,2,2023-11-30 00:00:00,-2038.2625
2023-12-05,2,2023-12-07 00:00:00,1234.85
2023-12-12,2,2023-12-14 00:00:00,1001.5125
2023-12-19,2,2023-12-21 00:00:00,-14.925000000000182
2023-12-26,2,2023-12-28 00:00:00,-121.31249999999977
2024-01-02,2,2024-01-04 00:00:00,1063.9624999999999
2024-01-09,2,2024-01-11 00:00:00,1468.8625
2024-01-16,2,2024-01-18 00:00:00,-9631.05
2024-01-23,2,2024-01-25 00:00:00,2527.0625
2024-01-30,2,2024-02-01 00:00:00,4389.55
