Date,DaysToExpiry,ExpiryDate,PnL
2021-06-08,2,2021-06-10 00:00:00,403.3875
2021-06-15,2,2021-06-17 00:00:00,-1045.4562500000002
2021-06-22,2,2021-06-24 00:00:00,432.01250000000005
2021-06-29,2,2021-07-01 00:00:00,352.675
2021-07-06,2,2021-07-08 00:00:00,415.38125
2021-07-13,2,2021-07-15 00:00:00,266.36249999999995
2021-07-20,2,2021-07-22 00:00:00,194.77499999999998
2021-07-27,2,2021-07-29 00:00:00,-470.32500000000005
2021-08-03,2,2021-08-05 00:00:00,7.343750000000114
2021-08-10,2,2021-08-12 00:00:00,286.41875000000005
2021-08-17,1,2021-08-18 00:00:00,-108.16250000000002
2021-08-24,2,2021-08-26 00:00:00,336.75
2021-08-31,2,2021-09-02 00:00:00,-216.6875000000001
2021-09-07,2,2021-09-09 00:00:00,293.90625
2021-09-14,2,2021-09-16 00:00:00,-17.806249999999977
2021-09-21,2,2021-09-23 00:00:00,-577.83125
2021-09-28,2,2021-09-30 00:00:00,-856.3999999999999
2021-10-05,2,2021-10-07 00:00:00,420.70625000000007
2021-10-12,2,2021-10-14 00:00:00,-17.762499999999932
2021-10-19,2,2021-10-21 00:00:00,-641.3937500000001
2021-10-26,2,2021-10-28 00:00:00,798.6625
2021-11-02,1,2021-11-03 00:00:00,535.06875
2021-11-09,2,2021-11-11 00:00:00,551.9437499999999
2021-11-16,2,2021-11-18 00:00:00,-708.7625
2021-11-23,2,2021-11-25 00:00:00,471.13750000000005
2021-11-30,2,2021-12-02 00:00:00,868.975
2021-12-07,2,2021-12-09 00:00:00,-233.0875000000001
2021-12-14,2,2021-12-16 00:00:00,914.04375
2021-12-21,2,2021-12-23 00:00:00,-905.5187500000004
2021-12-28,2,2021-12-30 00:00:00,487.41874999999993
2022-01-04,2,2022-01-06 00:00:00,-117.55000000000007
2022-01-11,2,2022-01-13 00:00:00,434.16249999999997
2022-01-18,2,2022-01-20 00:00:00,-481.19999999999993
2022-01-25,2,2022-01-27 00:00:00,596.4375
2022-02-01,2,2022-02-03 00:00:00,1596.7374999999997
2022-02-08,2,2022-02-10 00:00:00,-646.6375000000003
2022-02-15,2,2022-02-17 00:00:00,1051.4125000000001
2022-02-22,2,2022-02-24 00:00:00,902.4749999999999
2022-03-08,2,2022-03-10 00:00:00,-1597.0437499999998
2022-03-15,2,2022-03-17 00:00:00,-764.8312500000002
2022-03-22,2,2022-03-24 00:00:00,1304.2124999999996
2022-03-29,2,2022-03-31 00:00:00,443.925
