Date,DaysToExpiry,ExpiryDate,PnL
2021-06-08,2,2021-06-10 00:00:00,1311.65
2021-06-15,2,2021-06-17 00:00:00,-2401.8624999999993
2021-06-22,2,2021-06-24 00:00:00,1521.0
2021-06-29,2,2021-07-01 00:00:00,1148.1
2021-07-06,2,2021-07-08 00:00:00,1580.7250000000001
2021-07-13,2,2021-07-15 00:00:00,965.55
2021-07-20,2,2021-07-22 00:00:00,667.9999999999999
2021-07-27,2,2021-07-29 00:00:00,779.8875
2021-08-03,2,2021-08-05 00:00:00,-3939.9249999999993
2021-08-10,2,2021-08-12 00:00:00,1150.7250000000001
2021-08-17,1,2021-08-18 00:00:00,666.9875
2021-08-24,2,2021-08-26 00:00:00,1172.4499999999998
2021-08-31,2,2021-09-02 00:00:00,904.5375000000001
2021-09-07,2,2021-09-09 00:00:00,969.675
2021-09-14,2,2021-09-16 00:00:00,-1980.2875000000006
2021-09-21,2,2021-09-23 00:00:00,-2727.95
2021-09-28,2,2021-09-30 00:00:00,1957.6999999999998
2021-10-05,2,2021-10-07 00:00:00,1622.2250000000004
2021-10-12,2,2021-10-14 00:00:00,-4292.85
2021-10-19,2,2021-10-21 00:00:00,-945.7874999999999
2021-10-26,2,2021-10-28 00:00:00,2760.35
2021-11-02,1,2021-11-03 00:00:00,1872.6249999999995
2021-11-09,2,2021-11-11 00:00:00,1915.975
2021-11-16,2,2021-11-18 00:00:00,980.2250000000001
2021-11-23,2,2021-11-25 00:00:00,1643.25
2021-11-30,2,2021-12-02 00:00:00,2986.05
2021-12-07,2,2021-12-09 00:00:00,1183.6
2021-12-14,2,2021-12-16 00:00:00,3480.525
2021-12-21,2,2021-12-23 00:00:00,-3142.3250000000007
2021-12-28,2,2021-12-30 00:00:00,1651.725
2022-01-04,2,2022-01-06 00:00:00,1215.2374999999997
2022-01-11,2,2022-01-13 00:00:00,1559.8999999999999
2022-01-18,2,2022-01-20 00:00:00,-16953.6
2022-01-25,2,2022-01-27 00:00:00,1966.6
2022-02-01,2,2022-02-03 00:00:00,5912.249999999999
2022-02-08,2,2022-02-10 00:00:00,-10892.537499999999
2022-02-15,2,2022-02-17 00:00:00,3734.9000000000005
2022-02-22,2,2022-02-24 00:00:00,3226.0999999999995
2022-03-08,2,2022-03-10 00:00:00,-15205.474999999995
2022-03-15,2,2022-03-17 00:00:00,-19181.450000000004
2022-03-22,2,2022-03-24 00:00:00,4935.149999999999
2022-03-29,2,2022-03-31 00:00:00,1630.35
2022-04-05,2,2022-04-07 00:00:00,-2254.0750000000007
2022-04-12,1,2022-04-13 00:00:00,1581.025
2022-04-19,2,2022-04-21 00:00:00,638.1249999999995
2022-04-26,2,2022-04-28 00:00:00,2556.2250000000013
2022-05-10,2,2022-05-12 00:00:00,-15823.099999999999
2022-05-17,2,2022-05-19 00:00:00,2978.3499999999995
2022-05-24,2,2022-05-26 00:00:00,3445.3500000000004
2022-05-31,2,2022-06-02 00:00:00,2797.825
2022-06-07,2,2022-06-09 00:00:00,2807.4249999999993
2022-06-14,2,2022-06-16 00:00:00,4511.0
2022-06-21,2,2022-06-23 00:00:00,1151.6749999999993
2022-06-28,2,2022-06-30 00:00:00,2442.1250000000005
