Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-05,21.94,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22008.2,21200.0,21700,22300,23750,2024-06-06 00:00:00,1,Wednesday,44.6,137.0,80.1,26.8,0,342.5,200.25,0,27.4,16.02,,,,,145.7
2024-06-05,,0,Long,2024-06-05 11:30:00,2024-06-05 11:30:00,2024-06-05 11:27:00,2024-06-05 11:27:00,,21200.0,21700,22300,23750,2024-06-06 00:00:00,1,Wednesday,"[8.05, 8.05]","[26.75, 26.75]","[214.1, 472.55]","[26.8, 19.55]",0,,,0,,,Exit,Target hit,SL hit,Exit,-206.0
2024-06-12,14.56,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23355.3,22950.0,23150,23550,23700,2024-06-13 00:00:00,1,Wednesday,13.6,37.55,23.9,6.55,0,93.875,59.75,0,7.51,4.78,,,,,41.3
2024-06-12,,0,Long,2024-06-13 09:16:00,2024-06-13 09:16:00,2024-06-13 10:29:00,2024-06-13 10:29:00,,22950.0,23150,23550,23700,2024-06-13 00:00:00,1,Wednesday,"[1.65, 1.65]","[6.0, 6.0]","[4.55, 4.55]","[1.05, 1.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-7.85
2024-06-19,13.17,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23557.3,23150.0,23350,23750,23850,2024-06-20 00:00:00,1,Wednesday,7.05,22.35,20.05,7.4,0,55.875,50.125,0,4.470000000000001,4.010000000000001,,,,,27.950000000000006
2024-06-19,,0,Long,2024-06-19 10:26:00,2024-06-19 10:26:00,2024-06-20 10:39:00,2024-06-20 10:39:00,,23150.0,23350,23750,23850,2024-06-20 00:00:00,1,Wednesday,"[18.1, 0.2]","[60.15, 0.3]","[4.0, 4.0]","[1.55, 1.55]",0,,,0,,,Exit,SL hit,Target hit,Exit,-44.5
2024-06-26,14.42,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23696.55,23300.0,23500,23900,24050,2024-06-27 00:00:00,1,Wednesday,12.25,34.7,21.1,5.75,0,86.75,52.75,0,6.940000000000001,4.220000000000001,,,,,37.8
2024-06-26,,0,Long,2024-06-26 14:38:00,2024-06-26 14:38:00,2024-06-26 11:31:00,2024-06-26 11:31:00,,23300.0,23500,23900,24050,2024-06-27 00:00:00,1,Wednesday,"[3.45, 3.45]","[6.9, 6.9]","[54.9, 134.9]","[15.2, 16.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-43.15
2024-07-03,13.51,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24231.15,23850.0,24050,24450,24550,2024-07-04 00:00:00,1,Wednesday,10.95,37.05,17.0,6.5,0,92.625,42.5,0,7.41,3.4000000000000004,,,,,36.6
2024-07-03,,0,Long,2024-07-04 09:16:00,2024-07-04 09:16:00,2024-07-04 11:37:00,2024-07-04 11:37:00,,23850.0,24050,24450,24550,2024-07-04 00:00:00,1,Wednesday,"[1.45, 1.45]","[5.9, 5.9]","[3.15, 3.15]","[0.9, 0.9]",0,,,0,,,Exit,Target hit,Target hit,Exit,-6.700000000000001
2024-07-10,14.39,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24407.9,24050.0,24200,24600,24700,2024-07-11 00:00:00,1,Wednesday,6.9,19.3,15.0,5.0,0,48.25,37.5,0,3.86,3.0,,,,,22.4
2024-07-10,,0,Long,2024-07-10 10:23:00,2024-07-10 10:23:00,2024-07-11 09:20:00,2024-07-11 09:20:00,,24050.0,24200,24600,24700,2024-07-11 00:00:00,1,Wednesday,"[26.85, 0.1]","[64.0, 0.3]","[2.8, 2.8]","[1.05, 1.05]",0,,,0,,,Exit,SL hit,Target hit,Exit,-38.89999999999999
2024-07-24,12.62,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24449.1,24050.0,24250,24650,24850,2024-07-25 00:00:00,1,Wednesday,12.65,41.0,28.35,10.0,0,102.5,70.875,0,8.200000000000001,5.670000000000001,,,,,46.7
2024-07-24,,0,Long,2024-07-25 11:50:00,2024-07-25 11:50:00,2024-07-25 09:15:00,2024-07-25 09:15:00,,24050.0,24250,24650,24850,2024-07-25 00:00:00,1,Wednesday,"[1.8, 1.8]","[7.6, 7.6]","[4.9, 4.9]","[1.95, 1.95]",0,,,0,,,Exit,Target hit,Target hit,Exit,-8.75
2024-07-31,13.05,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24926.3,24550.0,24750,25150,25250,2024-08-01 00:00:00,1,Wednesday,10.4,32.95,20.35,8.15,0,82.375,50.875,0,6.590000000000001,4.07,,,,,34.75
2024-07-31,,0,Long,2024-08-01 09:18:00,2024-08-01 09:18:00,2024-08-01 11:01:00,2024-08-01 11:01:00,,24550.0,24750,25150,25250,2024-08-01 00:00:00,1,Wednesday,"[1.7, 1.7]","[6.4, 6.4]","[4.0, 4.0]","[1.45, 1.45]",0,,,0,,,Exit,Target hit,Target hit,Exit,-7.25
2024-08-07,17.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24266.2,23650.0,24000,24500,24650,2024-08-08 00:00:00,1,Wednesday,10.85,33.2,32.4,10.8,0,83.0,81.0,0,6.640000000000001,6.48,,,,,43.95
2024-08-07,,0,Long,2024-08-08 14:05:00,2024-08-08 14:05:00,2024-08-08 10:34:00,2024-08-08 10:34:00,,23650.0,24000,24500,24650,2024-08-08 00:00:00,1,Wednesday,"[0.15, 0.15]","[6.55, 6.55]","[6.05, 6.05]","[1.3, 1.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-11.15
2024-08-14,16.2,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24132.65,24000.0,24150,24150,24250,2024-08-14 00:00:00,0,Wednesday,20.15,70.4,43.6,16.55,0,176.0,109.0,0,14.080000000000002,8.72,,,,,77.3
2024-08-14,,0,Long,2024-08-14 13:00:00,2024-08-14 13:00:00,2024-08-14 14:38:00,2024-08-14 14:38:00,,24000.0,24150,24150,24250,2024-08-14 00:00:00,0,Wednesday,"[2.55, 2.55]","[13.95, 13.95]","[7.85, 7.85]","[0.8, 0.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-18.45
2024-08-21,13.95,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24677.7,24350.0,24500,24900,25000,2024-08-22 00:00:00,1,Wednesday,8.2,23.5,13.15,5.2,0,58.75,32.875,0,4.7,2.6300000000000003,,,,,23.25
2024-08-21,,0,Long,2024-08-22 09:15:00,2024-08-22 09:15:00,2024-08-22 13:04:00,2024-08-22 13:04:00,,24350.0,24500,24900,25000,2024-08-22 00:00:00,1,Wednesday,"[1.05, 1.05]","[3.0, 3.0]","[2.3, 2.3]","[0.7, 0.7]",0,,,0,,,Exit,Target hit,Target hit,Exit,-3.55
2024-08-28,13.68,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,25012.55,24650.0,24800,25200,25300,2024-08-29 00:00:00,1,Wednesday,4.3,14.15,14.75,4.8,0,35.375,36.875,0,2.83,2.95,,,,,19.8
2024-08-28,,0,Long,2024-08-29 09:42:00,2024-08-29 09:42:00,2024-08-28 11:41:00,2024-08-28 11:41:00,,24650.0,24800,25200,25300,2024-08-29 00:00:00,1,Wednesday,"[0.7, 0.7]","[2.7, 2.7]","[38.3, 13.95]","[11.6, 0.75]",0,,,0,,,Exit,Target hit,SL hit,Exit,-28.700000000000003
2024-09-04,14.43,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,25105.5,24700.0,24850,25350,25500,2024-09-05 00:00:00,1,Wednesday,5.8,15.95,13.1,4.15,0,39.875,32.75,0,3.19,2.62,,,,,19.1
2024-09-04,,0,Long,2024-09-05 09:15:00,2024-09-05 09:15:00,2024-09-05 11:56:00,2024-09-05 11:56:00,,24700.0,24850,25350,25500,2024-09-05 00:00:00,1,Wednesday,"[0.4, 0.4]","[2.0, 2.0]","[2.6, 2.6]","[0.8, 0.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-3.3999999999999995
2024-09-11,13.37,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,25003.7,24650.0,24800,25200,25350,2024-09-12 00:00:00,1,Wednesday,6.85,22.7,13.5,3.6,0,56.75,33.75,0,4.54,2.7,,,,,25.750000000000004
2024-09-11,,0,Long,2024-09-12 09:22:00,2024-09-12 09:22:00,2024-09-12 13:33:00,2024-09-12 13:33:00,,24650.0,24800,25200,25350,2024-09-12 00:00:00,1,Wednesday,"[1.05, 1.05]","[3.7, 3.7]","[2.7, 2.7]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-5.1000000000000005
2024-09-18,12.75,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,25404.7,24950.0,25200,25600,25750,2024-09-19 00:00:00,1,Wednesday,10.6,34.55,26.5,7.75,0,86.375,66.25,0,6.91,5.300000000000001,,,,,42.7
2024-09-18,,0,Long,2024-09-18 13:41:00,2024-09-18 13:41:00,2024-09-19 09:41:00,2024-09-19 09:41:00,,24950.0,25200,25600,25750,2024-09-19 00:00:00,1,Wednesday,"[28.35, 0.25]","[87.15, 0.35]","[68.0, 0.65]","[13.65, 0.35]",0,,,0,,,Exit,SL hit,SL hit,Exit,-113.15
2024-09-25,13.37,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,25939.2,25550.0,25750,26150,26300,2024-09-26 00:00:00,1,Wednesday,10.75,30.9,17.8,5.7,0,77.25,44.5,0,6.18,3.5600000000000005,,,,,32.25
2024-09-25,,0,Long,2024-09-26 09:15:00,2024-09-26 09:15:00,2024-09-26 14:21:00,2024-09-26 14:21:00,,25550.0,25750,26150,26300,2024-09-26 00:00:00,1,Wednesday,"[2.4, 2.4]","[5.4, 5.4]","[59.85, 76.9]","[12.0, 4.55]",0,,,0,,,Exit,Target hit,SL hit,Exit,-50.85
