Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-05,21.94,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22008.2,21200.0,21700,22300,23750,2024-06-06 00:00:00,1,Wednesday,44.6,137.0,80.1,26.8,0,411.0,240.3,0,13.7,8.01,,,,,437.0999999999999
2024-06-05,,0,Long,2024-06-05 14:11:00,2024-06-05 14:11:00,2024-06-05 13:59:00,2024-06-05 13:59:00,,21200.0,21700,22300,23750,2024-06-06 00:00:00,1,Wednesday,"[6.55, 6.55]","[13.7, 13.7]","[255.5, 472.55]","[25.35, 19.55]",0,,,0,,,Exit,Target hit,SL hit,Exit,-934.75
2024-06-12,14.56,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23355.3,22950.0,23150,23550,23700,2024-06-13 00:00:00,1,Wednesday,13.6,37.55,23.9,6.55,0,112.65,71.69999999999999,0,3.755,2.39,,,,,123.89999999999998
2024-06-12,,0,Long,2024-06-13 10:15:00,2024-06-13 10:15:00,2024-06-13 12:48:00,2024-06-13 12:48:00,,22950.0,23150,23550,23700,2024-06-13 00:00:00,1,Wednesday,"[0.85, 0.85]","[3.55, 3.55]","[2.15, 2.15]","[0.6, 0.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-12.749999999999998
2024-06-19,13.17,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23557.3,23150.0,23350,23750,23850,2024-06-20 00:00:00,1,Wednesday,7.05,22.35,20.05,7.4,0,67.05000000000001,60.150000000000006,0,2.2350000000000003,2.0050000000000003,,,,,83.85000000000002
2024-06-19,,0,Long,2024-06-20 13:11:00,2024-06-20 13:11:00,2024-06-20 12:12:00,2024-06-20 12:12:00,,23150.0,23350,23750,23850,2024-06-20 00:00:00,1,Wednesday,"[0.65, 0.65]","[2.2, 2.2]","[1.95, 1.95]","[0.8, 0.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-8.099999999999998
2024-06-26,14.42,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23696.55,23300.0,23500,23900,24050,2024-06-27 00:00:00,1,Wednesday,12.25,34.7,21.1,5.75,0,104.1,63.3,0,3.4700000000000006,2.1100000000000003,,,,,113.4
2024-06-26,,0,Long,2024-06-27 09:46:00,2024-06-27 09:46:00,2024-06-26 11:35:00,2024-06-26 11:35:00,,23300.0,23500,23900,24050,2024-06-27 00:00:00,1,Wednesday,"[1.0, 1.0]","[3.45, 3.45]","[75.95, 134.9]","[24.7, 16.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-228.65
2024-07-03,13.51,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24231.15,23850.0,24050,24450,24550,2024-07-04 00:00:00,1,Wednesday,10.95,37.05,17.0,6.5,0,111.15,51.0,0,3.705,1.7000000000000002,,,,,109.79999999999998
2024-07-03,,0,Long,2024-07-04 09:29:00,2024-07-04 09:29:00,2024-07-04 13:14:00,2024-07-04 13:14:00,,23850.0,24050,24450,24550,2024-07-04 00:00:00,1,Wednesday,"[0.95, 0.95]","[3.65, 3.65]","[1.7, 1.7]","[0.65, 0.65]",0,,,0,,,Exit,Target hit,Target hit,Exit,-11.249999999999996
