Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-05,21.94,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22008.2,21400.0,21700,22300,23550,2024-06-06 00:00:00,1,Wednesday,71.0,137.0,80.1,39.95,0,274.0,160.2,0,13.7,8.01,,,,,212.3
2024-06-05,,0,Long,2024-06-05 14:11:00,2024-06-05 14:11:00,2024-06-05 11:11:00,2024-06-05 11:11:00,,21400.0,21700,22300,23550,2024-06-06 00:00:00,1,Wednesday,"[8.6, 8.6]","[13.7, 13.7]","[166.7, 472.55]","[39.3, 33.9]",0,,,0,,,Exit,Target hit,SL hit,Exit,-576.25
2024-06-12,14.56,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23355.3,23000.0,23150,23550,23650,2024-06-13 00:00:00,1,Wednesday,17.55,37.55,23.9,10.15,0,75.1,47.8,0,3.755,2.39,,,,,67.49999999999999
2024-06-12,,0,Long,2024-06-13 10:15:00,2024-06-13 10:15:00,2024-06-12 10:45:00,2024-06-12 10:45:00,,23000.0,23150,23550,23650,2024-06-13 00:00:00,1,Wednesday,"[1.3, 1.3]","[3.55, 3.55]","[48.6, 0.25]","[21.65, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-31.6
2024-06-19,13.17,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23557.3,23250.0,23350,23750,23800,2024-06-20 00:00:00,1,Wednesday,12.35,22.35,20.05,11.95,0,44.7,40.1,0,2.2350000000000003,2.0050000000000003,,,,,36.20000000000002
2024-06-19,,0,Long,2024-06-19 10:24:00,2024-06-19 10:24:00,2024-06-19 14:36:00,2024-06-19 14:36:00,,23250.0,23350,23750,23800,2024-06-20 00:00:00,1,Wednesday,"[25.3, 0.2]","[45.7, 0.3]","[42.15, 0.2]","[27.25, 0.15]",0,,,0,,,Exit,SL hit,SL hit,Exit,-35.45
2024-06-26,14.42,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23696.55,23350.0,23500,23900,24000,2024-06-27 00:00:00,1,Wednesday,15.7,34.7,21.1,9.2,0,69.4,42.2,0,3.4700000000000006,2.1100000000000003,,,,,61.80000000000001
2024-06-26,,0,Long,2024-06-27 09:46:00,2024-06-27 09:46:00,2024-06-26 11:01:00,2024-06-26 11:01:00,,23350.0,23500,23900,24000,2024-06-27 00:00:00,1,Wednesday,"[1.25, 1.25]","[3.45, 3.45]","[44.55, 134.9]","[19.25, 44.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-120.55
2024-07-03,13.51,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24231.15,23950.0,24050,24450,24550,2024-07-04 00:00:00,1,Wednesday,20.1,37.05,17.0,6.5,0,74.1,34.0,0,3.705,1.7000000000000002,,,,,54.89999999999999
2024-07-03,,0,Long,2024-07-04 09:29:00,2024-07-04 09:29:00,2024-07-03 09:47:00,2024-07-03 09:47:00,,23950.0,24050,24450,24550,2024-07-04 00:00:00,1,Wednesday,"[1.9, 1.9]","[3.65, 3.65]","[34.75, 0.2]","[14.8, 0.2]",0,,,0,,,Exit,Target hit,SL hit,Exit,-23.45
