Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-05,21.94,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22008.2,21400.0,21700,22300,23550,2024-06-06 00:00:00,1,Wednesday,71.0,137.0,80.1,39.95,0,411.0,240.3,0,41.1,24.03,,,,,424.6
2024-06-05,,0,Long,2024-06-05 11:07:00,2024-06-05 11:07:00,2024-06-05 13:59:00,2024-06-05 13:59:00,,21400.0,21700,22300,23550,2024-06-06 00:00:00,1,Wednesday,"[18.6, 18.6]","[40.7, 40.7]","[255.5, 472.55]","[33.9, 33.9]",0,,,0,,,Exit,Target hit,SL hit,Exit,-1625.95
2024-06-12,14.56,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23355.3,23000.0,23150,23550,23650,2024-06-13 00:00:00,1,Wednesday,17.55,37.55,23.9,10.15,0,112.65,71.69999999999999,0,11.265,7.169999999999999,,,,,134.99999999999997
2024-06-12,,0,Long,2024-06-13 09:15:00,2024-06-13 09:15:00,2024-06-13 09:55:00,2024-06-13 09:55:00,,23000.0,23150,23550,23650,2024-06-13 00:00:00,1,Wednesday,"[5.0, 5.0]","[9.7, 9.7]","[6.65, 6.65]","[2.25, 2.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-36.39999999999999
2024-06-19,13.17,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23557.3,23250.0,23350,23750,23800,2024-06-20 00:00:00,1,Wednesday,12.35,22.35,20.05,11.95,0,67.05000000000001,60.150000000000006,0,6.705,6.015,,,,,72.40000000000003
2024-06-19,,0,Long,2024-06-20 11:02:00,2024-06-20 11:02:00,2024-06-20 09:55:00,2024-06-20 09:55:00,,23250.0,23350,23750,23800,2024-06-20 00:00:00,1,Wednesday,"[2.9, 2.9]","[6.65, 6.65]","[5.8, 5.8]","[3.75, 3.75]",0,,,0,,,Exit,Target hit,Target hit,Exit,-23.200000000000006
2024-06-26,14.42,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23696.55,23350.0,23500,23900,24000,2024-06-27 00:00:00,1,Wednesday,15.7,34.7,21.1,9.2,0,104.1,63.3,0,10.41,6.33,,,,,123.60000000000002
2024-06-26,,0,Long,2024-06-26 13:18:00,2024-06-26 13:18:00,2024-06-26 11:35:00,2024-06-26 11:35:00,,23350.0,23500,23900,24000,2024-06-27 00:00:00,1,Wednesday,"[5.25, 5.25]","[10.4, 10.4]","[75.95, 134.9]","[37.7, 44.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-331.40000000000003
2024-07-03,13.51,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24231.15,23950.0,24050,24450,24550,2024-07-04 00:00:00,1,Wednesday,20.1,37.05,17.0,6.5,0,111.15,51.0,0,11.114999999999998,5.1,,,,,109.79999999999998
2024-07-03,,0,Long,2024-07-04 09:15:00,2024-07-04 09:15:00,2024-07-04 10:59:00,2024-07-04 10:59:00,,23950.0,24050,24450,24550,2024-07-04 00:00:00,1,Wednesday,"[2.65, 2.65]","[8.9, 8.9]","[4.9, 4.9]","[1.35, 1.35]",0,,,0,,,Exit,Target hit,Target hit,Exit,-39.2
2024-07-10,14.39,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24407.9,24100.0,24200,24600,24650,2024-07-11 00:00:00,1,Wednesday,9.5,19.3,15.0,8.4,0,57.900000000000006,45.0,0,5.79,4.5,,,,,65.6
2024-07-10,,0,Long,2024-07-10 10:23:00,2024-07-10 10:23:00,2024-07-10 13:50:00,2024-07-10 13:50:00,,24100.0,24200,24600,24650,2024-07-11 00:00:00,1,Wednesday,"[36.15, 0.1]","[64.0, 0.3]","[4.45, 4.45]","[2.75, 2.75]",0,,,0,,,Exit,SL hit,Target hit,Exit,-35.25000000000001
