Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-05,21.94,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22008.2,21200,21700,22300,22800,2024-06-06 00:00:00,1,Wednesday,44.6,137.0,80.1,21.55,0,342.5,200.25,0,13.7,8.01,,,,,301.9
2024-06-05,,0,Long,2024-06-05 14:11:00,2024-06-05 14:11:00,2024-06-05 11:27:00,2024-06-05 11:27:00,,21200,21700,22300,22800,2024-06-06 00:00:00,1,Wednesday,"[6.55, 6.55]","[13.7, 13.7]","[214.1, 472.55]","[47.35, 9.65]",0,,,0,,,Exit,Target hit,SL hit,Exit,-643.9499999999999
2024-06-12,14.56,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23355.3,22650,23150,23550,24050,2024-06-13 00:00:00,1,Wednesday,3.45,37.55,23.9,1.35,0,93.875,59.75,0,3.755,2.39,,,,,113.29999999999998
2024-06-12,,0,Long,2024-06-13 10:15:00,2024-06-13 10:15:00,2024-06-13 12:48:00,2024-06-13 12:48:00,,22650,23150,23550,24050,2024-06-13 00:00:00,1,Wednesday,"[0.35, 0.35]","[3.55, 3.55]","[2.15, 2.15]","[0.2, 0.2]",0,,,0,,,Exit,Target hit,Target hit,Exit,-10.3
2024-06-19,13.17,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23557.3,22850,23350,23750,24250,2024-06-20 00:00:00,1,Wednesday,2.0,22.35,20.05,0.8,0,55.875,50.125,0,2.2350000000000003,2.0050000000000003,,,,,79.20000000000002
2024-06-19,,0,Long,2024-06-19 10:26:00,2024-06-19 10:26:00,2024-06-20 12:12:00,2024-06-20 12:12:00,,22850,23350,23750,24250,2024-06-20 00:00:00,1,Wednesday,"[3.1, 0.15]","[60.15, 0.3]","[1.95, 1.95]","[0.25, 0.25]",0,,,0,,,Exit,SL hit,Target hit,Exit,-60.6
2024-06-26,14.42,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23696.55,23000,23500,23900,24400,2024-06-27 00:00:00,1,Wednesday,3.35,34.7,21.1,1.15,0,86.75,52.75,0,3.4700000000000006,2.1100000000000003,,,,,102.6
2024-06-26,,0,Long,2024-06-27 09:46:00,2024-06-27 09:46:00,2024-06-26 11:31:00,2024-06-26 11:31:00,,23000,23500,23900,24400,2024-06-27 00:00:00,1,Wednesday,"[0.5, 0.5]","[3.45, 3.45]","[54.9, 134.9]","[1.1, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-194.45
2024-07-03,13.51,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24231.15,23550,24050,24450,24950,2024-07-04 00:00:00,1,Wednesday,2.65,37.05,17.0,0.65,0,92.625,42.5,0,3.705,1.7000000000000002,,,,,101.5
2024-07-03,,0,Long,2024-07-04 09:29:00,2024-07-04 09:29:00,2024-07-04 13:14:00,2024-07-04 13:14:00,,23550,24050,24450,24950,2024-07-04 00:00:00,1,Wednesday,"[0.4, 0.4]","[3.65, 3.65]","[1.7, 1.7]","[0.15, 0.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-9.6
2024-07-10,14.39,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24407.9,23700,24200,24600,25100,2024-07-11 00:00:00,1,Wednesday,1.7,19.3,15.0,0.9,0,48.25,37.5,0,1.93,1.5,,,,,63.39999999999999
2024-07-10,,0,Long,2024-07-10 10:23:00,2024-07-10 10:23:00,2024-07-11 10:10:00,2024-07-11 10:10:00,,23700,24200,24600,25100,2024-07-11 00:00:00,1,Wednesday,"[2.7, 0.1]","[64.0, 0.3]","[1.5, 1.5]","[0.25, 0.25]",0,,,0,,,Exit,SL hit,Target hit,Exit,-64.0
2024-07-24,12.62,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24449.1,23750,24250,24650,25150,2024-07-25 00:00:00,1,Wednesday,3.35,41.0,28.35,2.45,0,102.5,70.875,0,4.1000000000000005,2.8350000000000004,,,,,127.1
2024-07-24,,0,Long,2024-07-25 12:52:00,2024-07-25 12:52:00,2024-07-25 09:17:00,2024-07-25 09:17:00,,23750,24250,24650,25150,2024-07-25 00:00:00,1,Wednesday,"[0.7, 0.7]","[3.85, 3.85]","[2.45, 2.45]","[0.55, 0.55]",0,,,0,,,Exit,Target hit,Target hit,Exit,-10.1
2024-07-31,13.05,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24926.3,24250,24750,25150,25650,2024-08-01 00:00:00,1,Wednesday,3.1,32.95,20.35,1.15,0,82.375,50.875,0,3.2950000000000004,2.035,,,,,98.1
2024-07-31,,0,Long,2024-08-01 10:07:00,2024-08-01 10:07:00,2024-08-01 12:31:00,2024-08-01 12:31:00,,24250,24750,25150,25650,2024-08-01 00:00:00,1,Wednesday,"[0.45, 0.45]","[3.15, 3.15]","[2.0, 2.0]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-8.9
2024-08-07,17.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24266.2,23500,24000,24500,25000,2024-08-08 00:00:00,1,Wednesday,7.7,33.2,32.4,2.25,0,83.0,81.0,0,3.3200000000000003,3.24,,,,,111.29999999999998
2024-08-07,,0,Long,2024-08-08 14:16:00,2024-08-08 14:16:00,2024-08-08 13:02:00,2024-08-08 13:02:00,,23500,24000,24500,25000,2024-08-08 00:00:00,1,Wednesday,"[0.1, 0.1]","[3.2, 3.2]","[3.0, 3.0]","[0.2, 0.2]",0,,,0,,,Exit,Target hit,Target hit,Exit,-11.8
2024-08-14,16.2,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24132.65,23650,24150,24150,24650,2024-08-14 00:00:00,0,Wednesday,0.8,70.4,43.6,1.05,0,176.0,109.0,0,7.040000000000001,4.36,,,,,224.3
2024-08-14,,0,Long,2024-08-14 14:35:00,2024-08-14 14:35:00,2024-08-14 14:41:00,2024-08-14 14:41:00,,23650,24150,24150,24650,2024-08-14 00:00:00,0,Wednesday,"[0.25, 0.25]","[6.45, 6.45]","[4.2, 4.2]","[0.35, 0.35]",0,,,0,,,Exit,Target hit,Target hit,Exit,-20.1
2024-08-21,13.95,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24677.7,24000,24500,24900,25400,2024-08-22 00:00:00,1,Wednesday,2.05,23.5,13.15,0.8,0,58.75,32.875,0,2.35,1.3150000000000002,,,,,67.6
2024-08-21,,0,Long,2024-08-22 09:16:00,2024-08-22 09:16:00,2024-08-22 14:07:00,2024-08-22 14:07:00,,24000,24500,24900,25400,2024-08-22 00:00:00,1,Wednesday,"[0.4, 0.4]","[2.3, 2.3]","[1.3, 1.3]","[0.1, 0.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-6.199999999999999
2024-08-28,13.68,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,25012.55,24300,24800,25200,25700,2024-08-29 00:00:00,1,Wednesday,1.55,14.15,14.75,0.75,0,35.375,36.875,0,1.415,1.475,,,,,53.2
