Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-05,21.94,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22008.2,21200,21700,22300,22800,2024-06-06 00:00:00,1,Wednesday,44.6,137.0,80.1,21.55,0,274.0,160.2,0,41.1,24.03,,,,,301.9
2024-06-05,,0,Long,2024-06-05 11:07:00,2024-06-05 11:07:00,2024-06-05 11:11:00,2024-06-05 11:11:00,,21200,21700,22300,22800,2024-06-06 00:00:00,1,Wednesday,"[11.85, 11.85]","[40.7, 40.7]","[166.7, 472.55]","[35.35, 9.65]",0,,,0,,,Exit,Target hit,SL hit,Exit,-651.9499999999999
2024-06-12,14.56,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23355.3,22650,23150,23550,24050,2024-06-13 00:00:00,1,Wednesday,3.45,37.55,23.9,1.35,0,75.1,47.8,0,11.265,7.169999999999999,,,,,113.29999999999998
2024-06-12,,0,Long,2024-06-13 09:15:00,2024-06-13 09:15:00,2024-06-12 10:45:00,2024-06-12 10:45:00,,22650,23150,23550,24050,2024-06-13 00:00:00,1,Wednesday,"[0.75, 0.75]","[9.7, 9.7]","[48.6, 0.25]","[1.45, 0.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-65.25
2024-06-19,13.17,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23557.3,22850,23350,23750,24250,2024-06-20 00:00:00,1,Wednesday,2.0,22.35,20.05,0.8,0,44.7,40.1,0,6.705,6.015,,,,,79.20000000000002
2024-06-19,,0,Long,2024-06-19 10:24:00,2024-06-19 10:24:00,2024-06-19 14:36:00,2024-06-19 14:36:00,,22850,23350,23750,24250,2024-06-20 00:00:00,1,Wednesday,"[2.7, 0.15]","[45.7, 0.3]","[42.15, 0.2]","[0.85, 0.05]",0,,,0,,,Exit,SL hit,SL hit,Exit,-84.6
2024-06-26,14.42,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23696.55,23000,23500,23900,24400,2024-06-27 00:00:00,1,Wednesday,3.35,34.7,21.1,1.15,0,69.4,42.2,0,10.41,6.33,,,,,102.6
2024-06-26,,0,Long,2024-06-26 13:18:00,2024-06-26 13:18:00,2024-06-26 11:01:00,2024-06-26 11:01:00,,23000,23500,23900,24400,2024-06-27 00:00:00,1,Wednesday,"[2.5, 2.5]","[10.4, 10.4]","[44.55, 134.9]","[0.95, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-194.15
2024-07-03,13.51,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24231.15,23550,24050,24450,24950,2024-07-04 00:00:00,1,Wednesday,2.65,37.05,17.0,0.65,0,74.1,34.0,0,11.114999999999998,5.1,,,,,101.5
2024-07-03,,0,Long,2024-07-04 09:15:00,2024-07-04 09:15:00,2024-07-03 09:47:00,2024-07-03 09:47:00,,23550,24050,24450,24950,2024-07-04 00:00:00,1,Wednesday,"[0.5, 0.5]","[8.9, 8.9]","[34.75, 0.2]","[0.75, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-50.9
