Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-05,19.19,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22537.4,21800,22300,22800,23300,2024-06-06 00:00:00,1,Wednesday,20.25,99.0,59.9,9.85,0,247.5,149.75,0,9.9,5.99,,,,,386.4
2024-06-05,,0,Long,2024-06-06 09:54:00,2024-06-06 09:54:00,2024-06-06 14:37:00,2024-06-06 14:37:00,,21800,22300,22800,23300,2024-06-06 00:00:00,1,Wednesday,"[0.85, 0.85]","[9.55, 9.55]","[5.9, 5.9]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-43.05000000000001
2024-06-12,14.39,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23354.0,22650,23150,23550,24050,2024-06-13 00:00:00,1,Wednesday,1.75,28.05,15.65,0.8,0,70.125,39.125,0,2.805,1.5650000000000002,,,,,123.45000000000002
2024-06-12,,0,Long,2024-06-13 11:31:00,2024-06-13 11:31:00,2024-06-13 13:47:00,2024-06-13 13:47:00,,22650,23150,23550,24050,2024-06-13 00:00:00,1,Wednesday,"[0.35, 0.35]","[2.65, 2.65]","[1.55, 1.55]","[0.1, 0.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-11.250000000000002
2024-06-19,13.58,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23585.1,22900,23400,23800,24300,2024-06-20 00:00:00,1,Wednesday,1.75,21.5,10.2,0.7,0,53.75,25.5,0,2.15,1.02,,,,,87.75
2024-06-19,,0,Long,2024-06-20 09:23:00,2024-06-20 09:23:00,2024-06-19 14:36:00,2024-06-19 14:36:00,,22900,23400,23800,24300,2024-06-20 00:00:00,1,Wednesday,"[0.85, 0.1]","[54.35, 0.4]","[27.25, 0.15]","[0.75, 0.05]",0,,,0,,,Exit,SL hit,SL hit,Exit,-80.8
2024-06-26,14.1,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23866.3,23150,23650,24050,24550,2024-06-27 00:00:00,1,Wednesday,2.4,16.95,20.55,0.8,0,42.375,51.375,0,1.695,2.055,,,,,102.9
2024-06-26,,0,Long,2024-06-27 13:18:00,2024-06-27 13:18:00,2024-06-27 12:52:00,2024-06-27 12:52:00,,23150,23650,24050,24550,2024-06-27 00:00:00,1,Wednesday,"[0.45, 0.45]","[1.65, 1.65]","[56.35, 16.1]","[0.25, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-91.70000000000002
2024-07-03,13.3,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24252.85,23550,24050,24450,24950,2024-07-04 00:00:00,1,Wednesday,1.5,18.65,16.65,0.55,0,46.625,41.625,0,1.865,1.665,,,,,99.75
2024-07-03,,0,Long,2024-07-04 11:05:00,2024-07-04 11:05:00,2024-07-04 13:17:00,2024-07-04 13:17:00,,23550,24050,24450,24950,2024-07-04 00:00:00,1,Wednesday,"[0.25, 0.25]","[1.85, 1.85]","[1.5, 1.5]","[0.15, 0.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-8.850000000000001
2024-07-10,14.76,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24262.4,23550,24050,24450,24950,2024-07-11 00:00:00,1,Wednesday,0.8,14.55,15.45,1.1,0,36.375,38.625,0,1.455,1.545,,,,,84.3
2024-07-10,,0,Long,2024-07-11 10:04:00,2024-07-11 10:04:00,2024-07-11 13:22:00,2024-07-11 13:22:00,,23550,24050,24450,24950,2024-07-11 00:00:00,1,Wednesday,"[0.2, 0.2]","[1.45, 1.45]","[1.35, 1.35]","[0.15, 0.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-7.35
2024-07-24,12.09,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24387.15,23700,24200,24600,25100,2024-07-25 00:00:00,1,Wednesday,1.85,28.05,16.6,1.75,0,70.125,41.5,0,2.805,1.66,,,,,123.15000000000002
2024-07-24,,0,Long,2024-07-25 09:17:00,2024-07-25 09:17:00,2024-07-25 10:20:00,2024-07-25 10:20:00,,23700,24200,24600,25100,2024-07-25 00:00:00,1,Wednesday,"[2.15, 0.05]","[72.3, 0.3]","[1.6, 1.6]","[0.45, 0.45]",0,,,0,,,Exit,SL hit,Target hit,Exit,-74.1
2024-07-31,13.26,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24957.9,24250,24750,25150,25650,2024-08-01 00:00:00,1,Wednesday,3.1,21.9,20.15,0.8,0,54.75,50.375,0,2.19,2.015,,,,,114.44999999999996
2024-07-31,,0,Long,2024-08-01 10:21:00,2024-08-01 10:21:00,2024-08-01 12:31:00,2024-08-01 12:31:00,,24250,24750,25150,25650,2024-08-01 00:00:00,1,Wednesday,"[0.45, 0.45]","[2.05, 2.05]","[2.0, 2.0]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-10.05
2024-08-07,16.2,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24283.35,23550,24050,24550,25050,2024-08-08 00:00:00,1,Wednesday,3.5,21.4,13.6,0.95,0,53.5,34.0,0,2.14,1.36,,,,,91.65
2024-08-07,,0,Long,2024-08-08 09:37:00,2024-08-08 09:37:00,2024-08-08 13:03:00,2024-08-08 13:03:00,,23550,24050,24550,25050,2024-08-08 00:00:00,1,Wednesday,"[1.6, 0.05]","[56.15, 0.95]","[1.35, 1.35]","[0.2, 0.2]",0,,,0,,,Exit,SL hit,Target hit,Exit,-59.8
2024-08-14,15.44,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24155.45,23650,24150,24150,24650,2024-08-14 00:00:00,0,Wednesday,0.35,9.75,11.45,0.45,0,24.375,28.625,0,0.975,1.145,,,,,61.2
2024-08-14,,0,Long,2024-08-14 14:41:00,2024-08-14 14:41:00,2024-08-14 15:00:00,2024-08-14 15:00:00,,23650,24150,24150,24650,2024-08-14 00:00:00,0,Wednesday,"[0.25, 0.15]","[28.1, 9.6]","[2.9, 2.9]","[0.2, 0.2]",0,,,0,,,Exit,SL hit,Universal exit,Exit,-54.85
2024-08-21,13.54,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24740.4,24050,24550,24950,25450,2024-08-22 00:00:00,1,Wednesday,1.4,13.65,5.85,0.4,0,34.125,14.625,0,1.3650000000000002,0.585,,,,,53.1
2024-08-21,,0,Long,2024-08-22 10:23:00,2024-08-22 10:23:00,2024-08-22 14:27:00,2024-08-22 14:27:00,,24050,24550,24950,25450,2024-08-22 00:00:00,1,Wednesday,"[0.45, 0.45]","[1.35, 1.35]","[0.55, 0.55]","[0.1, 0.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-4.050000000000001
2024-08-28,13.8,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25114.1,24400,24900,25300,25800,2024-08-29 00:00:00,1,Wednesday,1.5,9.75,5.85,0.35,0,24.375,14.625,0,0.975,0.585,,,,,41.25
2024-08-28,,0,Long,2024-08-29 14:05:00,2024-08-29 14:05:00,2024-08-29 14:22:00,2024-08-29 14:22:00,,24400,24900,25300,25800,2024-08-29 00:00:00,1,Wednesday,"[0.35, 0.2]","[24.85, 1.05]","[0.5, 0.5]","[0.1, 0.1]",0,,,0,,,Exit,SL hit,Target hit,Exit,-27.4
2024-09-04,14.48,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25156.35,24400,24900,25400,25900,2024-09-05 00:00:00,1,Wednesday,1.6,9.95,7.9,1.25,0,24.875,19.75,0,0.995,0.79,,,,,45.0
2024-09-04,,0,Long,2024-09-05 11:06:00,2024-09-05 11:06:00,2024-09-05 14:01:00,2024-09-05 14:01:00,,24400,24900,25400,25900,2024-09-05 00:00:00,1,Wednesday,"[0.15, 0.15]","[0.95, 0.95]","[0.75, 0.75]","[0.4, 0.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-3.4499999999999997
2024-09-11,13.65,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24950.35,24250,24750,25150,25650,2024-09-12 00:00:00,1,Wednesday,0.8,18.85,12.95,1.05,0,47.125,32.375,0,1.885,1.295,,,,,89.85000000000001
2024-09-11,,0,Long,2024-09-12 13:19:00,2024-09-12 13:19:00,2024-09-12 14:02:00,2024-09-12 14:02:00,,24250,24750,25150,25650,2024-09-12 00:00:00,1,Wednesday,"[0.15, 0.15]","[1.75, 1.75]","[36.65, 188.7]","[0.1, 0.2]",0,,,0,,,Exit,Target hit,SL hit,Exit,-418.35
2024-09-18,13.68,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25342.95,24650,25150,25550,26050,2024-09-19 00:00:00,1,Wednesday,7.25,44.4,37.75,3.65,0,111.0,94.375,0,4.44,3.775,,,,,213.75
2024-09-18,,0,Long,2024-09-19 09:16:00,2024-09-19 09:16:00,2024-09-19 09:41:00,2024-09-19 09:41:00,,24650,25150,25550,26050,2024-09-19 00:00:00,1,Wednesday,"[0.6, 0.6]","[3.0, 3.0]","[99.0, 0.7]","[0.85, 0.3]",0,,,0,,,Exit,Target hit,SL hit,Exit,-106.15
2024-09-25,12.86,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25935.2,25250,25750,26150,26650,2024-09-26 00:00:00,1,Wednesday,2.7,15.2,10.95,0.95,0,38.0,27.375,0,1.52,1.095,,,,,67.49999999999999
