Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-05,19.19,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22537.4,21800,22300,22800,23300,2024-06-06 00:00:00,1,Wednesday,20.25,99.0,59.9,9.85,0,198.0,119.8,0,29.7,17.97,,,,,128.8
2024-06-05,,0,Long,2024-06-06 09:16:00,2024-06-06 09:16:00,2024-06-06 11:02:00,2024-06-06 11:02:00,,21800,22300,22800,23300,2024-06-06 00:00:00,1,Wednesday,"[2.1, 2.1]","[21.75, 21.75]","[130.0, 9.65]","[4.2, 0.2]",0,,,0,,,Exit,Target hit,SL hit,Exit,-145.45
2024-06-12,14.39,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23354.0,22650,23150,23550,24050,2024-06-13 00:00:00,1,Wednesday,1.75,28.05,15.65,0.8,0,56.1,31.3,0,8.415,4.695,,,,,41.150000000000006
2024-06-12,,0,Long,2024-06-13 09:16:00,2024-06-13 09:16:00,2024-06-13 10:29:00,2024-06-13 10:29:00,,22650,23150,23550,24050,2024-06-13 00:00:00,1,Wednesday,"[0.5, 0.5]","[6.0, 6.0]","[4.55, 4.55]","[0.3, 0.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-9.75
2024-06-19,13.58,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23585.1,22900,23400,23800,24300,2024-06-20 00:00:00,1,Wednesday,1.75,21.5,10.2,0.7,0,43.0,20.4,0,6.45,3.06,,,,,29.25
2024-06-19,,0,Long,2024-06-20 09:20:00,2024-06-20 09:20:00,2024-06-19 14:33:00,2024-06-19 14:33:00,,22900,23400,23800,24300,2024-06-20 00:00:00,1,Wednesday,"[0.75, 0.1]","[44.0, 0.4]","[20.45, 0.15]","[0.7, 0.05]",0,,,0,,,Exit,SL hit,SL hit,Exit,-63.0
2024-06-26,14.1,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23866.3,23150,23650,24050,24550,2024-06-27 00:00:00,1,Wednesday,2.4,16.95,20.55,0.8,0,33.9,41.1,0,5.085,6.165,,,,,34.3
2024-06-26,,0,Long,2024-06-27 10:03:00,2024-06-27 10:03:00,2024-06-27 12:15:00,2024-06-27 12:15:00,,23150,23650,24050,24550,2024-06-27 00:00:00,1,Wednesday,"[0.75, 0.75]","[4.95, 4.95]","[49.5, 16.1]","[0.25, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-53.45
2024-07-03,13.3,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24252.85,23550,24050,24450,24950,2024-07-04 00:00:00,1,Wednesday,1.5,18.65,16.65,0.55,0,37.3,33.3,0,5.595,4.994999999999999,,,,,33.25
2024-07-03,,0,Long,2024-07-04 09:17:00,2024-07-04 09:17:00,2024-07-04 10:59:00,2024-07-04 10:59:00,,23550,24050,24450,24950,2024-07-04 00:00:00,1,Wednesday,"[0.45, 0.45]","[5.35, 5.35]","[4.9, 4.9]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-9.55
2024-07-10,14.76,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24262.4,23550,24050,24450,24950,2024-07-11 00:00:00,1,Wednesday,0.8,14.55,15.45,1.1,0,29.1,30.9,0,4.365,4.635,,,,,28.1
2024-07-10,,0,Long,2024-07-11 09:16:00,2024-07-11 09:16:00,2024-07-11 10:16:00,2024-07-11 10:16:00,,23550,24050,24450,24950,2024-07-11 00:00:00,1,Wednesday,"[0.3, 0.3]","[3.0, 3.0]","[4.6, 4.6]","[0.35, 0.35]",0,,,0,,,Exit,Target hit,Target hit,Exit,-6.949999999999999
2024-07-24,12.09,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24387.15,23700,24200,24600,25100,2024-07-25 00:00:00,1,Wednesday,1.85,28.05,16.6,1.75,0,56.1,33.2,0,8.415,4.98,,,,,41.05
2024-07-24,,0,Long,2024-07-25 09:16:00,2024-07-25 09:16:00,2024-07-25 09:16:00,2024-07-25 09:16:00,,23700,24200,24600,25100,2024-07-25 00:00:00,1,Wednesday,"[2.15, 0.05]","[65.8, 0.3]","[4.25, 4.25]","[0.55, 0.55]",0,,,0,,,Exit,SL hit,Target hit,Exit,-67.35
2024-07-31,13.26,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24957.9,24250,24750,25150,25650,2024-08-01 00:00:00,1,Wednesday,3.1,21.9,20.15,0.8,0,43.8,40.3,0,6.569999999999999,6.044999999999999,,,,,38.15
2024-07-31,,0,Long,2024-08-01 09:18:00,2024-08-01 09:18:00,2024-08-01 10:30:00,2024-08-01 10:30:00,,24250,24750,25150,25650,2024-08-01 00:00:00,1,Wednesday,"[0.6, 0.6]","[6.4, 6.4]","[5.15, 5.15]","[0.3, 0.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-10.65
2024-08-07,16.2,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24283.35,23550,24050,24550,25050,2024-08-08 00:00:00,1,Wednesday,3.5,21.4,13.6,0.95,0,42.8,27.2,0,6.419999999999999,4.08,,,,,30.55
2024-08-07,,0,Long,2024-08-08 09:36:00,2024-08-08 09:36:00,2024-08-08 10:10:00,2024-08-08 10:10:00,,23550,24050,24550,25050,2024-08-08 00:00:00,1,Wednesday,"[1.45, 0.05]","[50.6, 0.95]","[4.0, 4.0]","[0.4, 0.4]",0,,,0,,,Exit,SL hit,Target hit,Exit,-52.75
2024-08-14,15.44,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24155.45,23650,24150,24150,24650,2024-08-14 00:00:00,0,Wednesday,0.35,9.75,11.45,0.45,0,19.5,22.9,0,2.925,3.435,,,,,20.4
2024-08-14,,0,Long,2024-08-14 14:41:00,2024-08-14 14:41:00,2024-08-14 14:59:00,2024-08-14 14:59:00,,23650,24150,24150,24650,2024-08-14 00:00:00,0,Wednesday,"[0.25, 0.15]","[28.1, 9.6]","[2.9, 2.9]","[0.2, 0.2]",0,,,0,,,Exit,SL hit,Target hit,Exit,-30.55
2024-08-21,13.54,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24740.4,24050,24550,24950,25450,2024-08-22 00:00:00,1,Wednesday,1.4,13.65,5.85,0.4,0,27.3,11.7,0,4.095,1.755,,,,,17.7
2024-08-21,,0,Long,2024-08-22 09:16:00,2024-08-22 09:16:00,2024-08-22 09:15:00,2024-08-22 09:15:00,,24050,24550,24950,25450,2024-08-22 00:00:00,1,Wednesday,"[0.4, 0.4]","[3.2, 3.2]","[13.0, 0.2]","[0.3, 0.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-15.5
2024-08-28,13.8,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25114.1,24400,24900,25300,25800,2024-08-29 00:00:00,1,Wednesday,1.5,9.75,5.85,0.35,0,19.5,11.7,0,2.925,1.755,,,,,13.75
2024-08-28,,0,Long,2024-08-29 11:10:00,2024-08-29 11:10:00,2024-08-29 09:16:00,2024-08-29 09:16:00,,24400,24900,25300,25800,2024-08-29 00:00:00,1,Wednesday,"[0.4, 0.4]","[2.8, 2.8]","[1.65, 1.65]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-3.8
2024-09-04,14.48,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25156.35,24400,24900,25400,25900,2024-09-05 00:00:00,1,Wednesday,1.6,9.95,7.9,1.25,0,19.9,15.8,0,2.985,2.37,,,,,15.000000000000002
2024-09-04,,0,Long,2024-09-05 09:15:00,2024-09-05 09:15:00,2024-09-05 11:24:00,2024-09-05 11:24:00,,24400,24900,25400,25900,2024-09-05 00:00:00,1,Wednesday,"[0.6, 0.6]","[2.25, 2.25]","[2.3, 2.3]","[0.3, 0.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-3.65
2024-09-11,13.65,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24950.35,24250,24750,25150,25650,2024-09-12 00:00:00,1,Wednesday,0.8,18.85,12.95,1.05,0,37.7,25.9,0,5.655,3.885,,,,,29.95
2024-09-11,,0,Long,2024-09-12 09:16:00,2024-09-12 09:16:00,2024-09-12 13:41:00,2024-09-12 13:41:00,,24250,24750,25150,25650,2024-09-12 00:00:00,1,Wednesday,"[0.35, 0.35]","[2.7, 2.7]","[3.5, 3.5]","[0.1, 0.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-5.75
2024-09-18,13.68,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25342.95,24650,25150,25550,26050,2024-09-19 00:00:00,1,Wednesday,7.25,44.4,37.75,3.65,0,88.8,75.5,0,13.32,11.325,,,,,71.25
2024-09-18,,0,Long,2024-09-19 09:15:00,2024-09-19 09:15:00,2024-09-19 09:21:00,2024-09-19 09:21:00,,24650,25150,25550,26050,2024-09-19 00:00:00,1,Wednesday,"[1.35, 1.35]","[9.9, 9.9]","[82.55, 0.7]","[1.05, 0.3]",0,,,0,,,Exit,Target hit,SL hit,Exit,-90.05
2024-09-25,12.86,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25935.2,25250,25750,26150,26650,2024-09-26 00:00:00,1,Wednesday,2.7,15.2,10.95,0.95,0,30.4,21.9,0,4.56,3.285,,,,,22.5
2024-09-25,,0,Long,2024-09-26 11:27:00,2024-09-26 11:27:00,2024-09-25 15:13:00,2024-09-25 15:13:00,,25250,25750,26150,26650,2024-09-26 00:00:00,1,Wednesday,"[0.3, 0.3]","[4.5, 4.5]","[23.95, 76.9]","[0.85, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-27.3
2024-02-07,15.69,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,21951.0,21250,21750,22150,22650,2024-02-08 00:00:00,1,Wednesday,1.6,18.4,19.2,0.55,0,36.8,38.4,0,5.52,5.76,,,,,35.45
2024-02-07,,0,Long,2024-02-08 09:15:00,2024-02-08 09:15:00,2024-02-08 10:08:00,2024-02-08 10:08:00,,21250,21750,22150,22650,2024-02-08 00:00:00,1,Wednesday,"[0.9, 0.9]","[5.2, 5.2]","[5.55, 5.55]","[0.4, 0.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-9.45
2024-02-14,15.55,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,21752.85,21050,21550,21950,22450,2024-02-15 00:00:00,1,Wednesday,2.0,19.35,15.4,0.5,0,38.7,30.8,0,5.805000000000001,4.62,,,,,32.25
2024-02-14,,0,Long,2024-02-15 09:15:00,2024-02-15 09:15:00,2024-02-14 14:39:00,2024-02-14 14:39:00,,21050,21550,21950,22450,2024-02-15 00:00:00,1,Wednesday,"[1.05, 1.05]","[4.95, 4.95]","[31.55, 3.4]","[0.55, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-34.9
2024-02-21,15.96,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22075.5,21400,21900,22300,22800,2024-02-22 00:00:00,1,Wednesday,0.9,28.7,12.25,1.2,0,57.4,24.5,0,8.61,3.675,,,,,38.85
2024-02-21,,0,Long,2024-02-22 10:01:00,2024-02-22 10:01:00,2024-02-22 09:32:00,2024-02-22 09:32:00,,21400,21900,22300,22800,2024-02-22 00:00:00,1,Wednesday,"[0.4, 0.15]","[65.4, 0.4]","[3.6, 3.6]","[0.45, 0.45]",0,,,0,,,Exit,SL hit,Target hit,Exit,-68.15
