Date,DaysToExpiry,ExpiryDate,PnL
2021-06-09,1,2021-06-10 00:00:00,-755.0250000000001
2021-06-16,1,2021-06-17 00:00:00,-1897.78125
2021-06-23,1,2021-06-24 00:00:00,1255.1625000000001
2021-06-30,1,2021-07-01 00:00:00,694.8375000000003
2021-07-07,1,2021-07-08 00:00:00,1189.21875
2021-07-14,1,2021-07-15 00:00:00,164.20000000000016
2021-07-28,1,2021-07-29 00:00:00,-710.7249999999995
2021-08-04,1,2021-08-05 00:00:00,1409.0812500000002
2021-08-11,1,2021-08-12 00:00:00,-524.0000000000002
2021-08-18,0,2021-08-18 00:00:00,-3701.606249999999
2021-08-25,1,2021-08-26 00:00:00,780.0375
2021-09-01,1,2021-09-02 00:00:00,1509.8437499999995
2021-09-08,1,2021-09-09 00:00:00,1175.85
2021-09-15,1,2021-09-16 00:00:00,-2058.1875
2021-09-22,1,2021-09-23 00:00:00,-1620.5624999999995
2021-09-29,1,2021-09-30 00:00:00,1819.1999999999998
2021-10-06,1,2021-10-07 00:00:00,-618.4375
2021-10-13,1,2021-10-14 00:00:00,-102.92500000000041
2021-10-20,1,2021-10-21 00:00:00,-2922.9000000000005
2021-10-27,1,2021-10-28 00:00:00,-5833.918749999999
2021-11-03,0,2021-11-03 00:00:00,-2558.16875
2021-11-10,1,2021-11-11 00:00:00,1445.15625
2021-11-17,1,2021-11-18 00:00:00,-1021.1499999999996
2021-11-24,1,2021-11-25 00:00:00,1303.81875
2021-12-01,1,2021-12-02 00:00:00,2028.449999999999
2021-12-08,1,2021-12-09 00:00:00,1410.2062500000004
2021-12-15,1,2021-12-16 00:00:00,1889.4562499999997
2021-12-22,1,2021-12-23 00:00:00,-1669.3937500000002
2021-12-29,1,2021-12-30 00:00:00,1121.775
2022-01-05,1,2022-01-06 00:00:00,1200.45
2022-01-12,1,2022-01-13 00:00:00,1037.9999999999998
2022-01-19,1,2022-01-20 00:00:00,-5396.218749999998
2022-02-02,1,2022-02-03 00:00:00,2234.9624999999996
2022-02-09,1,2022-02-10 00:00:00,61.38749999999982
2022-02-16,1,2022-02-17 00:00:00,2131.7249999999995
2022-02-23,1,2022-02-24 00:00:00,-10148.88125
2022-03-02,1,2022-03-03 00:00:00,5606.981250000003
