Date,DaysToExpiry,ExpiryDate,PnL
2021-06-09,1,2021-06-10 00:00:00,-256.8375000000001
2021-06-16,1,2021-06-17 00:00:00,-1116.68125
2021-06-23,1,2021-06-24 00:00:00,400.4937500000001
2021-06-30,1,2021-07-01 00:00:00,179.95000000000002
2021-07-07,1,2021-07-08 00:00:00,-936.8062499999999
2021-07-14,1,2021-07-15 00:00:00,12.524999999999892
2021-07-28,1,2021-07-29 00:00:00,-305.11250000000007
2021-08-04,1,2021-08-05 00:00:00,442.9625000000001
2021-08-11,1,2021-08-12 00:00:00,-210.51250000000005
2021-08-18,0,2021-08-18 00:00:00,-232.79999999999995
2021-08-25,1,2021-08-26 00:00:00,234.56249999999997
2021-09-01,1,2021-09-02 00:00:00,475.18750000000006
2021-09-08,1,2021-09-09 00:00:00,395.73749999999995
2021-09-15,1,2021-09-16 00:00:00,-24.70625000000001
2021-09-22,1,2021-09-23 00:00:00,-364.88750000000005
2021-09-29,1,2021-09-30 00:00:00,583.1312500000001
2021-10-06,1,2021-10-07 00:00:00,-263.57500000000005
2021-10-13,1,2021-10-14 00:00:00,82.23125000000005
2021-10-20,1,2021-10-21 00:00:00,-870.2437499999999
2021-10-27,1,2021-10-28 00:00:00,-820.3062500000001
2021-11-03,0,2021-11-03 00:00:00,-65.82500000000027
2021-11-10,1,2021-11-11 00:00:00,485.8625
2021-11-17,1,2021-11-18 00:00:00,-431.7249999999998
2021-11-24,1,2021-11-25 00:00:00,-373.38749999999993
2021-12-01,1,2021-12-02 00:00:00,672.125
2021-12-08,1,2021-12-09 00:00:00,398.9875000000002
2021-12-15,1,2021-12-16 00:00:00,566.8687500000001
2021-12-22,1,2021-12-23 00:00:00,-561.54375
2021-12-29,1,2021-12-30 00:00:00,348.875
2022-01-05,1,2022-01-06 00:00:00,-19.96250000000009
2022-01-12,1,2022-01-13 00:00:00,276.19374999999997
2022-01-19,1,2022-01-20 00:00:00,-388.51250000000005
2022-02-02,1,2022-02-03 00:00:00,632.175
2022-02-09,1,2022-02-10 00:00:00,-64.32500000000005
2022-02-16,1,2022-02-17 00:00:00,723.5625
2022-02-23,1,2022-02-24 00:00:00,-748.7500000000006
2022-03-02,1,2022-03-03 00:00:00,1869.73125
2022-03-09,1,2022-03-10 00:00:00,10.931250000000318
2022-03-16,1,2022-03-17 00:00:00,-254.87500000000023
2022-03-23,1,2022-03-24 00:00:00,-729.3937500000001
2022-03-30,1,2022-03-31 00:00:00,275.9375
2022-04-06,1,2022-04-07 00:00:00,292.11250000000007
2022-04-13,0,2022-04-13 00:00:00,-71.66874999999982
2022-04-20,1,2022-04-21 00:00:00,-585.4437499999999
2022-04-27,1,2022-04-28 00:00:00,597.48125
2022-05-04,1,2022-05-05 00:00:00,-23.81874999999991
2022-05-11,1,2022-05-12 00:00:00,-105.82499999999982
2022-05-18,1,2022-05-19 00:00:00,-637.0875
2022-05-25,1,2022-05-26 00:00:00,-455.15
2022-06-01,1,2022-06-02 00:00:00,714.08125
2022-06-08,1,2022-06-09 00:00:00,759.5374999999999
2022-06-15,1,2022-06-16 00:00:00,811.8874999999998
2022-06-22,1,2022-06-23 00:00:00,636.74375
2022-06-29,1,2022-06-30 00:00:00,-184.19999999999993
2022-07-06,1,2022-07-07 00:00:00,-120.33124999999984
2022-07-13,1,2022-07-14 00:00:00,-140.8437499999999
2022-07-20,1,2022-07-21 00:00:00,343.0375000000001
2022-07-27,1,2022-07-28 00:00:00,-104.11250000000001
2022-08-03,1,2022-08-04 00:00:00,477.675
2022-08-10,1,2022-08-11 00:00:00,602.7
2022-08-17,1,2022-08-18 00:00:00,256.05625
2022-08-24,1,2022-08-25 00:00:00,443.7437500000001
2022-09-07,1,2022-09-08 00:00:00,-463.60625000000016
2022-09-14,1,2022-09-15 00:00:00,117.41874999999993
2022-09-21,1,2022-09-22 00:00:00,918.8999999999999
2022-09-28,1,2022-09-29 00:00:00,567.1125
2022-10-12,1,2022-10-13 00:00:00,632.1375
2022-10-19,1,2022-10-20 00:00:00,295.93125
2022-11-02,1,2022-11-03 00:00:00,398.4375
2022-11-09,1,2022-11-10 00:00:00,-670.39375
2022-11-16,1,2022-11-17 00:00:00,375.54375
2022-11-23,1,2022-11-24 00:00:00,215.96874999999997
2022-11-30,1,2022-12-01 00:00:00,-76.39374999999995
2022-12-07,1,2022-12-08 00:00:00,570.4562500000001
2022-12-14,1,2022-12-15 00:00:00,-487.39374999999995
2022-12-21,1,2022-12-22 00:00:00,-177.90000000000003
2022-12-28,1,2022-12-29 00:00:00,392.3499999999999
2023-01-04,1,2023-01-05 00:00:00,-327.65625
2023-01-11,1,2023-01-12 00:00:00,529.9125000000003
2023-01-18,1,2023-01-19 00:00:00,-93.16875000000005
2023-01-25,0,2023-01-25 00:00:00,-42.33124999999984
2023-02-01,1,2023-02-02 00:00:00,-861.7249999999999
2023-02-08,1,2023-02-09 00:00:00,562.4687500000001
2023-02-15,1,2023-02-16 00:00:00,-68.11250000000001
2023-02-22,1,2023-02-23 00:00:00,-147.00625000000002
2023-03-01,1,2023-03-02 00:00:00,363.0687499999999
2023-03-08,1,2023-03-09 00:00:00,127.875
2023-03-15,1,2023-03-16 00:00:00,-300.9937500000002
2023-03-22,1,2023-03-23 00:00:00,471.41874999999993
2023-03-29,0,2023-03-29 00:00:00,332.9000000000002
2023-04-05,1,2023-04-06 00:00:00,-165.11874999999998
2023-04-12,1,2023-04-13 00:00:00,228.34999999999997
2023-04-19,1,2023-04-20 00:00:00,195.00625000000002
2023-04-26,1,2023-04-27 00:00:00,24.912499999999994
2023-05-03,1,2023-05-04 00:00:00,-473.57500000000016
2023-05-10,1,2023-05-11 00:00:00,-199.41249999999997
2023-05-17,1,2023-05-18 00:00:00,-237.51875000000007
2023-05-24,1,2023-05-25 00:00:00,-70.22499999999997
2023-05-31,1,2023-06-01 00:00:00,263.66875
2023-06-07,1,2023-06-08 00:00:00,-31.537499999999994
2023-06-14,1,2023-06-15 00:00:00,222.28124999999997
2023-06-21,1,2023-06-22 00:00:00,234.76875
2023-06-28,0,2023-06-28 00:00:00,-153.29999999999973
2023-07-05,1,2023-07-06 00:00:00,338.06875000000014
2023-07-12,1,2023-07-13 00:00:00,275.1375
