Date,DaysToExpiry,ExpiryDate,PnL
2021-06-09,1,2021-06-10 00:00:00,-222.58750000000032
2021-06-16,1,2021-06-17 00:00:00,-2721.3187500000004
2021-06-23,1,2021-06-24 00:00:00,1201.48125
2021-06-30,1,2021-07-01 00:00:00,539.8500000000001
2021-07-07,1,2021-07-08 00:00:00,-2396.3187500000004
2021-07-14,1,2021-07-15 00:00:00,221.89999999999992
2021-07-28,1,2021-07-29 00:00:00,-210.86249999999995
2021-08-04,1,2021-08-05 00:00:00,1328.8875000000003
2021-08-11,1,2021-08-12 00:00:00,-173.25
2021-08-18,0,2021-08-18 00:00:00,-824.6499999999992
2021-08-25,1,2021-08-26 00:00:00,703.6875000000001
2021-09-01,1,2021-09-02 00:00:00,1425.5624999999995
2021-09-08,1,2021-09-09 00:00:00,1187.2124999999999
2021-09-15,1,2021-09-16 00:00:00,-1042.4562499999997
2021-09-22,1,2021-09-23 00:00:00,-1545.375
2021-09-29,1,2021-09-30 00:00:00,1749.3937499999997
2021-10-06,1,2021-10-07 00:00:00,-270.57500000000005
2021-10-13,1,2021-10-14 00:00:00,-149.73125000000005
2021-10-20,1,2021-10-21 00:00:00,-1514.88125
2021-10-27,1,2021-10-28 00:00:00,-4766.24375
2021-11-03,0,2021-11-03 00:00:00,-438.61250000000064
2021-11-10,1,2021-11-11 00:00:00,1457.5875000000005
2021-11-17,1,2021-11-18 00:00:00,-312.9500000000003
2021-11-24,1,2021-11-25 00:00:00,-315.9499999999998
2021-12-01,1,2021-12-02 00:00:00,2016.374999999999
2021-12-08,1,2021-12-09 00:00:00,1196.9625000000005
2021-12-15,1,2021-12-16 00:00:00,1700.6062500000005
2021-12-22,1,2021-12-23 00:00:00,-1055.906249999999
2021-12-29,1,2021-12-30 00:00:00,1046.6250000000005
2022-01-05,1,2022-01-06 00:00:00,278.4625000000001
2022-01-12,1,2022-01-13 00:00:00,828.5812500000001
2022-01-19,1,2022-01-20 00:00:00,-2781.5375000000004
2022-02-02,1,2022-02-03 00:00:00,1896.5250000000005
2022-02-09,1,2022-02-10 00:00:00,-192.97500000000014
2022-02-16,1,2022-02-17 00:00:00,2170.6875
2022-02-23,1,2022-02-24 00:00:00,-4695.499999999998
2022-03-02,1,2022-03-03 00:00:00,5609.193750000002
2022-03-09,1,2022-03-10 00:00:00,-1253.6937500000008
2022-03-16,1,2022-03-17 00:00:00,-1673.624999999999
2022-03-23,1,2022-03-24 00:00:00,-791.8562500000003
2022-03-30,1,2022-03-31 00:00:00,827.8124999999999
2022-04-06,1,2022-04-07 00:00:00,876.3375000000002
2022-04-13,0,2022-04-13 00:00:00,-486.44374999999945
2022-04-20,1,2022-04-21 00:00:00,-2892.5812500000006
2022-04-27,1,2022-04-28 00:00:00,1792.4437500000006
2022-05-04,1,2022-05-05 00:00:00,-1702.6062499999994
2022-05-11,1,2022-05-12 00:00:00,-1949.887499999999
2022-05-18,1,2022-05-19 00:00:00,-4467.824999999999
2022-05-25,1,2022-05-26 00:00:00,-249.39999999999986
2022-06-01,1,2022-06-02 00:00:00,2142.24375
2022-06-08,1,2022-06-09 00:00:00,2278.6125
2022-06-15,1,2022-06-16 00:00:00,2435.6625000000004
2022-06-22,1,2022-06-23 00:00:00,1910.23125
2022-06-29,1,2022-06-30 00:00:00,185.96249999999986
2022-07-06,1,2022-07-07 00:00:00,-384.98124999999936
2022-07-13,1,2022-07-14 00:00:00,-159.93124999999986
2022-07-20,1,2022-07-21 00:00:00,1029.1124999999997
2022-07-27,1,2022-07-28 00:00:00,-2256.587499999999
2022-08-03,1,2022-08-04 00:00:00,1433.025
