Date,DaysToExpiry,ExpiryDate,PnL
2021-06-09,1,2021-06-10 00:00:00,-527.7250000000006
2021-06-16,1,2021-06-17 00:00:00,-3871.15
2021-06-23,1,2021-06-24 00:00:00,1426.3250000000003
2021-06-30,1,2021-07-01 00:00:00,667.5500000000001
2021-07-07,1,2021-07-08 00:00:00,1441.3250000000003
2021-07-14,1,2021-07-15 00:00:00,289.9749999999997
2021-07-28,1,2021-07-29 00:00:00,-581.625
2021-08-04,1,2021-08-05 00:00:00,1524.4000000000003
2021-08-11,1,2021-08-12 00:00:00,-402.8625000000002
2021-08-18,0,2021-08-18 00:00:00,-1244.3000000000002
2021-08-25,1,2021-08-26 00:00:00,818.1499999999999
2021-09-01,1,2021-09-02 00:00:00,1678.5500000000004
2021-09-08,1,2021-09-09 00:00:00,1431.4499999999998
2021-09-15,1,2021-09-16 00:00:00,-1112.6125
2021-09-22,1,2021-09-23 00:00:00,-1905.2125000000005
2021-09-29,1,2021-09-30 00:00:00,2175.975
2021-10-06,1,2021-10-07 00:00:00,-573.4500000000005
2021-10-13,1,2021-10-14 00:00:00,-128.10000000000014
2021-10-20,1,2021-10-21 00:00:00,-2546.725
2021-10-27,1,2021-10-28 00:00:00,-5667.35
2021-11-03,0,2021-11-03 00:00:00,-862.9875000000025
2021-11-10,1,2021-11-11 00:00:00,1767.8
2021-11-17,1,2021-11-18 00:00:00,-810.3249999999998
2021-11-24,1,2021-11-25 00:00:00,-714.5875000000001
2021-12-01,1,2021-12-02 00:00:00,2265.3999999999996
2021-12-08,1,2021-12-09 00:00:00,1445.5500000000009
2021-12-15,1,2021-12-16 00:00:00,2080.6250000000005
2021-12-22,1,2021-12-23 00:00:00,-1572.0000000000005
2021-12-29,1,2021-12-30 00:00:00,1201.85
2022-01-05,1,2022-01-06 00:00:00,127.19999999999982
2022-01-12,1,2022-01-13 00:00:00,1110.925
2022-01-19,1,2022-01-20 00:00:00,-3164.999999999999
2022-02-02,1,2022-02-03 00:00:00,2565.1499999999996
2022-02-09,1,2022-02-10 00:00:00,-413.85000000000036
2022-02-16,1,2022-02-17 00:00:00,2581.15
2022-02-23,1,2022-02-24 00:00:00,-5545.250000000009
2022-03-02,1,2022-03-03 00:00:00,7251.675
2022-03-09,1,2022-03-10 00:00:00,-1525.562499999999
2022-03-16,1,2022-03-17 00:00:00,-1928.500000000001
2022-03-23,1,2022-03-24 00:00:00,-1647.5000000000005
2022-03-30,1,2022-03-31 00:00:00,964.55
2022-04-06,1,2022-04-07 00:00:00,1516.9000000000005
2022-04-13,0,2022-04-13 00:00:00,-770.2124999999996
2022-04-20,1,2022-04-21 00:00:00,-3478.0249999999996
2022-04-27,1,2022-04-28 00:00:00,2249.6250000000005
2022-05-04,1,2022-05-05 00:00:00,-1903.1750000000002
2022-05-11,1,2022-05-12 00:00:00,-2328.4124999999963
2022-05-18,1,2022-05-19 00:00:00,-5266.512500000001
2022-05-25,1,2022-05-26 00:00:00,-785.3500000000004
2022-06-01,1,2022-06-02 00:00:00,2341.225
2022-06-08,1,2022-06-09 00:00:00,2507.8999999999996
2022-06-15,1,2022-06-16 00:00:00,2878.8999999999996
2022-06-22,1,2022-06-23 00:00:00,2238.925
2022-06-29,1,2022-06-30 00:00:00,-194.0875000000001
2022-07-06,1,2022-07-07 00:00:00,-641.6625000000004
2022-07-13,1,2022-07-14 00:00:00,-533.0749999999998
2022-07-20,1,2022-07-21 00:00:00,1160.0500000000004
2022-07-27,1,2022-07-28 00:00:00,-2360.7000000000007
2022-08-03,1,2022-08-04 00:00:00,1865.25
2022-08-10,1,2022-08-11 00:00:00,2280.6000000000004
2022-08-17,1,2022-08-18 00:00:00,930.475
2022-08-24,1,2022-08-25 00:00:00,1522.4750000000001
2022-09-07,1,2022-09-08 00:00:00,-1965.525
2022-09-14,1,2022-09-15 00:00:00,941.8499999999992
2022-09-21,1,2022-09-22 00:00:00,3282.7999999999993
2022-09-28,1,2022-09-29 00:00:00,1935.1499999999996
2022-10-12,1,2022-10-13 00:00:00,2120.5999999999995
2022-10-19,1,2022-10-20 00:00:00,996.8749999999998
2022-11-02,1,2022-11-03 00:00:00,1388.9
2022-11-09,1,2022-11-10 00:00:00,-2590.675000000001
2022-11-16,1,2022-11-17 00:00:00,1255.825
2022-11-23,1,2022-11-24 00:00:00,742.0249999999999
2022-11-30,1,2022-12-01 00:00:00,-858.5500000000002
2022-12-07,1,2022-12-08 00:00:00,2045.5750000000003
2022-12-14,1,2022-12-15 00:00:00,-2518.962499999999
2022-12-21,1,2022-12-22 00:00:00,-2774.525
2022-12-28,1,2022-12-29 00:00:00,1264.6499999999996
2023-01-04,1,2023-01-05 00:00:00,-2939.25
2023-01-11,1,2023-01-12 00:00:00,1857.0500000000009
2023-01-18,1,2023-01-19 00:00:00,3.549999999999727
2023-01-25,0,2023-01-25 00:00:00,-598.5750000000007
2023-02-01,1,2023-02-02 00:00:00,4936.1
2023-02-08,1,2023-02-09 00:00:00,2126.1250000000005
2023-02-15,1,2023-02-16 00:00:00,-998.3875000000003
2023-02-22,1,2023-02-23 00:00:00,-1158.6749999999997
2023-03-01,1,2023-03-02 00:00:00,1291.7749999999999
2023-03-08,1,2023-03-09 00:00:00,632.7
2023-03-15,1,2023-03-16 00:00:00,-1934.9625000000015
2023-03-22,1,2023-03-23 00:00:00,1683.675
2023-03-29,0,2023-03-29 00:00:00,1533.6000000000004
2023-04-05,1,2023-04-06 00:00:00,-466.0499999999997
2023-04-12,1,2023-04-13 00:00:00,821.8499999999998
2023-04-19,1,2023-04-20 00:00:00,682.3250000000002
2023-04-26,1,2023-04-27 00:00:00,62.875
2023-05-03,1,2023-05-04 00:00:00,-1977.9499999999998
2023-05-10,1,2023-05-11 00:00:00,-424.11249999999995
2023-05-17,1,2023-05-18 00:00:00,-466.5374999999997
2023-05-24,1,2023-05-25 00:00:00,-76.37499999999977
2023-05-31,1,2023-06-01 00:00:00,905.375
2023-06-07,1,2023-06-08 00:00:00,49.012500000000045
2023-06-14,1,2023-06-15 00:00:00,792.5249999999999
2023-06-21,1,2023-06-22 00:00:00,840.275
2023-06-28,0,2023-06-28 00:00:00,-993.2125000000019
2023-07-05,1,2023-07-06 00:00:00,1157.5250000000003
2023-07-12,1,2023-07-13 00:00:00,960.25
2023-07-19,1,2023-07-20 00:00:00,-1208.5500000000004
2023-07-26,1,2023-07-27 00:00:00,1388.0999999999997
2023-08-02,1,2023-08-03 00:00:00,-1233.3250000000012
2023-08-09,1,2023-08-10 00:00:00,-282.3124999999998
2023-08-16,1,2023-08-17 00:00:00,1138.525
2023-08-23,1,2023-08-24 00:00:00,-398.67499999999995
2023-08-30,1,2023-08-31 00:00:00,-1488.225
2023-09-06,1,2023-09-07 00:00:00,879.1999999999999
2023-09-13,1,2023-09-14 00:00:00,1857.4499999999998
2023-09-20,1,2023-09-21 00:00:00,-3186.125000000002
2023-09-27,1,2023-09-28 00:00:00,-383.54999999999995
2023-10-04,1,2023-10-05 00:00:00,-1511.3124999999995
2023-10-11,1,2023-10-12 00:00:00,1138.6
2023-10-18,1,2023-10-19 00:00:00,-356.57499999999993
2023-10-25,1,2023-10-26 00:00:00,-2661.5375000000013
2023-11-01,1,2023-11-02 00:00:00,1633.9500000000003
2023-11-08,1,2023-11-09 00:00:00,949.4999999999997
2023-11-15,1,2023-11-16 00:00:00,-1305.8875
2023-11-22,1,2023-11-23 00:00:00,-629.0874999999996
2023-11-29,1,2023-11-30 00:00:00,-95.85000000000059
2023-12-06,1,2023-12-07 00:00:00,1295.1750000000004
2023-12-13,1,2023-12-14 00:00:00,-51.275000000000546
2023-12-20,1,2023-12-21 00:00:00,-2874.5749999999994
2023-12-27,1,2023-12-28 00:00:00,-25.549999999999727
2024-01-03,1,2024-01-04 00:00:00,1434.0250000000003
2024-01-10,1,2024-01-11 00:00:00,-205.5625
2024-01-17,1,2024-01-18 00:00:00,-2909.6499999999996
2024-01-24,1,2024-01-25 00:00:00,3777.2249999999995
2024-01-31,1,2024-02-01 00:00:00,5500.800000000001
2024-02-07,1,2024-02-08 00:00:00,2948.125
2024-02-14,1,2024-02-15 00:00:00,-2928.600000000001
2024-02-21,1,2024-02-22 00:00:00,-2249.3249999999994
2024-02-28,1,2024-02-29 00:00:00,-1545.6999999999994
2024-03-06,1,2024-03-07 00:00:00,13.337500000000546
2024-03-13,1,2024-03-14 00:00:00,-142.67500000000018
2024-03-20,1,2024-03-21 00:00:00,2246.55
2024-03-27,1,2024-03-28 00:00:00,-1604.4375000000005
2024-04-03,1,2024-04-04 00:00:00,-634.0125000000003
2024-04-10,0,2024-04-10 00:00:00,1343.9750000000004
2024-04-24,1,2024-04-25 00:00:00,1723.0249999999994
2024-05-08,1,2024-05-09 00:00:00,1614.15
2024-05-15,1,2024-05-16 00:00:00,716.4000000000001
2024-05-22,1,2024-05-23 00:00:00,-995.5750000000005
2024-05-29,1,2024-05-30 00:00:00,-3004.2625
2024-06-05,1,2024-06-06 00:00:00,-15271.3875
2024-06-12,1,2024-06-13 00:00:00,2619.524999999999
2024-06-19,1,2024-06-20 00:00:00,-421.08749999999895
2024-06-26,1,2024-06-27 00:00:00,-1907.3124999999995
2024-07-03,1,2024-07-04 00:00:00,2127.9249999999993
2024-07-10,1,2024-07-11 00:00:00,-681.1375000000007
2024-07-24,1,2024-07-25 00:00:00,2453.25
2024-07-31,1,2024-08-01 00:00:00,1998.85
2024-08-07,1,2024-08-08 00:00:00,2215.325
2024-08-14,0,2024-08-14 00:00:00,3913.4750000000004
2024-08-21,1,2024-08-22 00:00:00,1624.225
2024-08-28,1,2024-08-29 00:00:00,-365.5499999999995
2024-09-04,1,2024-09-05 00:00:00,1213.4499999999998
2024-09-11,1,2024-09-12 00:00:00,1552.3249999999998
2024-09-18,1,2024-09-19 00:00:00,-3072.4750000000013
2024-09-25,1,2024-09-26 00:00:00,-2150.325
