Date,DaysToExpiry,ExpiryDate,PnL
2021-06-09,1,2021-06-10 00:00:00,-179.27499999999998
2021-06-16,1,2021-06-17 00:00:00,-1621.2124999999999
2021-06-23,1,2021-06-24 00:00:00,576.8125
2021-06-30,1,2021-07-01 00:00:00,255.50000000000003
2021-07-07,1,2021-07-08 00:00:00,596.9375000000002
2021-07-14,1,2021-07-15 00:00:00,191.70000000000005
2021-07-28,1,2021-07-29 00:00:00,-56.70000000000016
2021-08-04,1,2021-08-05 00:00:00,699.0750000000002
2021-08-11,1,2021-08-12 00:00:00,-93.48749999999995
2021-08-18,0,2021-08-18 00:00:00,-858.2375000000006
2021-08-25,1,2021-08-26 00:00:00,359.67500000000007
2021-09-01,1,2021-09-02 00:00:00,639.8
2021-09-08,1,2021-09-09 00:00:00,581.8999999999999
2021-09-15,1,2021-09-16 00:00:00,-1077.0875
2021-09-22,1,2021-09-23 00:00:00,-1379.9625000000003
2021-09-29,1,2021-09-30 00:00:00,858.2125000000003
2021-10-06,1,2021-10-07 00:00:00,-144.06250000000023
2021-10-13,1,2021-10-14 00:00:00,-287.5124999999997
2021-10-20,1,2021-10-21 00:00:00,-1366.787499999999
2021-10-27,1,2021-10-28 00:00:00,-4212.325000000001
2021-11-03,0,2021-11-03 00:00:00,-871.4750000000001
2021-11-10,1,2021-11-11 00:00:00,767.75
2021-11-17,1,2021-11-18 00:00:00,-170.33750000000032
2021-11-24,1,2021-11-25 00:00:00,606.625
2021-12-01,1,2021-12-02 00:00:00,935.7499999999999
2021-12-08,1,2021-12-09 00:00:00,674.8000000000003
2021-12-15,1,2021-12-16 00:00:00,944.3625000000002
2021-12-22,1,2021-12-23 00:00:00,-816.2999999999997
2021-12-29,1,2021-12-30 00:00:00,494.875
2022-01-05,1,2022-01-06 00:00:00,601.975
2022-01-12,1,2022-01-13 00:00:00,510.01249999999993
2022-01-19,1,2022-01-20 00:00:00,-2962.4125000000004
2022-02-02,1,2022-02-03 00:00:00,1100.7749999999999
2022-02-09,1,2022-02-10 00:00:00,-217.02500000000032
2022-02-16,1,2022-02-17 00:00:00,1139.075
2022-02-23,1,2022-02-24 00:00:00,-4070.475000000002
2022-03-02,1,2022-03-03 00:00:00,3060.2375
2022-03-09,1,2022-03-10 00:00:00,-1693.875000000001
2022-03-16,1,2022-03-17 00:00:00,-2065.1500000000005
2022-03-23,1,2022-03-24 00:00:00,922.2874999999999
2022-03-30,1,2022-03-31 00:00:00,434.3
2022-04-06,1,2022-04-07 00:00:00,672.6000000000003
2022-04-13,0,2022-04-13 00:00:00,-696.3124999999991
2022-04-20,1,2022-04-21 00:00:00,-2496.5125000000003
2022-04-27,1,2022-04-28 00:00:00,867.2625
2022-05-04,1,2022-05-05 00:00:00,-1956.5375000000004
2022-05-11,1,2022-05-12 00:00:00,-2152.1124999999993
2022-05-18,1,2022-05-19 00:00:00,-3959.5125
2022-05-25,1,2022-05-26 00:00:00,892.55
2022-06-01,1,2022-06-02 00:00:00,955.9874999999998
2022-06-08,1,2022-06-09 00:00:00,1145.375
2022-06-15,1,2022-06-16 00:00:00,1219.7749999999996
2022-06-22,1,2022-06-23 00:00:00,909.8874999999997
2022-06-29,1,2022-06-30 00:00:00,714.8250000000003
2022-07-06,1,2022-07-07 00:00:00,-479.27499999999964
2022-07-13,1,2022-07-14 00:00:00,-260.22499999999945
2022-07-20,1,2022-07-21 00:00:00,486.6000000000002
2022-07-27,1,2022-07-28 00:00:00,-2351.9499999999994
2022-08-03,1,2022-08-04 00:00:00,869.5
2022-08-10,1,2022-08-11 00:00:00,1062.025
2022-08-17,1,2022-08-18 00:00:00,480.38750000000005
2022-08-24,1,2022-08-25 00:00:00,637.5125000000002
2022-09-07,1,2022-09-08 00:00:00,-1136.7875000000001
2022-09-14,1,2022-09-15 00:00:00,921.6374999999999
2022-09-21,1,2022-09-22 00:00:00,1434.35
2022-09-28,1,2022-09-29 00:00:00,970.0999999999997
2022-10-12,1,2022-10-13 00:00:00,891.1249999999998
2022-10-19,1,2022-10-20 00:00:00,358.1375
2022-11-02,1,2022-11-03 00:00:00,578.3
2022-11-09,1,2022-11-10 00:00:00,-1282.8749999999995
2022-11-16,1,2022-11-17 00:00:00,572.3625
2022-11-23,1,2022-11-24 00:00:00,393.73749999999995
2022-11-30,1,2022-12-01 00:00:00,-828.2249999999997
2022-12-07,1,2022-12-08 00:00:00,848.5625000000002
2022-12-14,1,2022-12-15 00:00:00,565.4625000000001
2022-12-21,1,2022-12-22 00:00:00,-2519.7250000000013
2022-12-28,1,2022-12-29 00:00:00,632.3249999999999
2023-01-04,1,2023-01-05 00:00:00,-2451.8499999999995
2023-01-11,1,2023-01-12 00:00:00,789.6500000000003
2023-01-18,1,2023-01-19 00:00:00,621.6624999999999
2023-01-25,0,2023-01-25 00:00:00,-584.6124999999997
2023-02-01,1,2023-02-02 00:00:00,2061.5250000000005
2023-02-08,1,2023-02-09 00:00:00,1023.4625000000001
2023-02-15,1,2023-02-16 00:00:00,-1110.8750000000005
2023-02-22,1,2023-02-23 00:00:00,-897.4875
2023-03-01,1,2023-03-02 00:00:00,519.6374999999998
2023-03-08,1,2023-03-09 00:00:00,233.02500000000003
2023-03-15,1,2023-03-16 00:00:00,-1600.6249999999995
2023-03-22,1,2023-03-23 00:00:00,758.5124999999999
2023-03-29,0,2023-03-29 00:00:00,1158.1750000000002
2023-04-05,1,2023-04-06 00:00:00,-183.78750000000014
2023-04-12,1,2023-04-13 00:00:00,355.375
2023-04-19,1,2023-04-20 00:00:00,272.98750000000007
2023-04-26,1,2023-04-27 00:00:00,42.25000000000006
2023-05-03,1,2023-05-04 00:00:00,354.32500000000005
2023-05-10,1,2023-05-11 00:00:00,409.725
2023-05-17,1,2023-05-18 00:00:00,-49.575000000000045
2023-05-24,1,2023-05-25 00:00:00,344.35000000000014
2023-05-31,1,2023-06-01 00:00:00,409.7625
2023-06-07,1,2023-06-08 00:00:00,-29.150000000000034
2023-06-14,1,2023-06-15 00:00:00,365.9624999999999
2023-06-21,1,2023-06-22 00:00:00,344.9375
2023-06-28,0,2023-06-28 00:00:00,-767.4124999999997
2023-07-05,1,2023-07-06 00:00:00,467.66250000000025
2023-07-12,1,2023-07-13 00:00:00,422.05000000000007
2023-07-19,1,2023-07-20 00:00:00,495.36249999999984
2023-07-26,1,2023-07-27 00:00:00,580.4249999999998
2023-08-02,1,2023-08-03 00:00:00,-1139.3375
2023-08-09,1,2023-08-10 00:00:00,503.3499999999999
2023-08-16,1,2023-08-17 00:00:00,506.1375
2023-08-23,1,2023-08-24 00:00:00,-45.31249999999994
2023-08-30,1,2023-08-31 00:00:00,-966.3124999999998
2023-09-06,1,2023-09-07 00:00:00,402.275
2023-09-13,1,2023-09-14 00:00:00,823.2249999999999
2023-09-20,1,2023-09-21 00:00:00,-2606.8500000000004
2023-09-27,1,2023-09-28 00:00:00,390.2375
2023-10-04,1,2023-10-05 00:00:00,392.0375000000002
2023-10-11,1,2023-10-12 00:00:00,440.52500000000003
2023-10-18,1,2023-10-19 00:00:00,-206.06249999999994
2023-10-25,1,2023-10-26 00:00:00,-2370.4374999999995
2023-11-01,1,2023-11-02 00:00:00,791.7250000000001
2023-11-08,1,2023-11-09 00:00:00,465.1999999999998
2023-11-15,1,2023-11-16 00:00:00,301.5875
2023-11-22,1,2023-11-23 00:00:00,-79.08749999999975
