Date,DaysToExpiry,ExpiryDate,PnL
2021-06-09,1,2021-06-10 00:00:00,491.01250000000016
2021-06-16,1,2021-06-17 00:00:00,-1484.4187499999996
2021-06-23,1,2021-06-24 00:00:00,2095.2000000000003
2021-06-30,1,2021-07-01 00:00:00,1188.0187500000002
2021-07-07,1,2021-07-08 00:00:00,-1278.7125
2021-07-14,1,2021-07-15 00:00:00,794.8
2021-07-28,1,2021-07-29 00:00:00,619.7812499999998
2021-08-04,1,2021-08-05 00:00:00,2158.2375
2021-08-11,1,2021-08-12 00:00:00,641.9374999999999
2021-08-18,0,2021-08-18 00:00:00,-4596.0375
2021-08-25,1,2021-08-26 00:00:00,1265.60625
2021-09-01,1,2021-09-02 00:00:00,2602.14375
2021-09-08,1,2021-09-09 00:00:00,2199.5625
2021-09-15,1,2021-09-16 00:00:00,-3699.6375
2021-09-22,1,2021-09-23 00:00:00,-1360.9500000000007
2021-09-29,1,2021-09-30 00:00:00,3074.94375
2021-10-06,1,2021-10-07 00:00:00,583.975
2021-10-13,1,2021-10-14 00:00:00,79.77499999999986
2021-10-20,1,2021-10-21 00:00:00,299.03124999999955
2021-10-27,1,2021-10-28 00:00:00,-7850.893749999999
2021-11-03,0,2021-11-03 00:00:00,-3511.1624999999985
2021-11-10,1,2021-11-11 00:00:00,2456.00625
2021-11-17,1,2021-11-18 00:00:00,1379.1250000000005
2021-11-24,1,2021-11-25 00:00:00,952.9499999999998
2021-12-01,1,2021-12-02 00:00:00,3567.056249999999
2021-12-08,1,2021-12-09 00:00:00,2142.8625
2021-12-15,1,2021-12-16 00:00:00,3138.3187500000004
2021-12-22,1,2021-12-23 00:00:00,582.7437499999996
2021-12-29,1,2021-12-30 00:00:00,1855.2937500000005
2022-01-05,1,2022-01-06 00:00:00,1013.04375
2022-01-12,1,2022-01-13 00:00:00,1628.4187500000003
2022-01-19,1,2022-01-20 00:00:00,-8311.5375
2022-02-02,1,2022-02-03 00:00:00,3592.2375
2022-02-09,1,2022-02-10 00:00:00,786.6750000000002
2022-02-16,1,2022-02-17 00:00:00,3548.2499999999995
2022-02-23,1,2022-02-24 00:00:00,-26577.481249999997
2022-03-02,1,2022-03-03 00:00:00,8719.36875
2022-03-09,1,2022-03-10 00:00:00,-4459.456250000001
2022-03-16,1,2022-03-17 00:00:00,-2685.35625
2022-03-23,1,2022-03-24 00:00:00,1231.9499999999998
2022-03-30,1,2022-03-31 00:00:00,1595.5500000000002
2022-04-06,1,2022-04-07 00:00:00,1949.6625
2022-04-13,0,2022-04-13 00:00:00,-5425.20625
2022-04-20,1,2022-04-21 00:00:00,-3360.1187500000005
2022-04-27,1,2022-04-28 00:00:00,3458.1375000000003
2022-05-04,1,2022-05-05 00:00:00,-3544.625
2022-05-11,1,2022-05-12 00:00:00,-12100.774999999998
2022-05-18,1,2022-05-19 00:00:00,-15269.256249999999
2022-05-25,1,2022-05-26 00:00:00,1458.1125000000004
2022-06-01,1,2022-06-02 00:00:00,3834.993750000001
2022-06-08,1,2022-06-09 00:00:00,4682.26875
2022-06-15,1,2022-06-16 00:00:00,5205.24375
2022-06-22,1,2022-06-23 00:00:00,3157.5750000000007
2022-06-29,1,2022-06-30 00:00:00,1823.7624999999994
2022-07-06,1,2022-07-07 00:00:00,563.7249999999995
2022-07-13,1,2022-07-14 00:00:00,808.6125
2022-07-20,1,2022-07-21 00:00:00,2090.19375
2022-07-27,1,2022-07-28 00:00:00,-10439.881250000002
2022-08-03,1,2022-08-04 00:00:00,2782.0125
2022-08-10,1,2022-08-11 00:00:00,3355.2187500000005
2022-08-17,1,2022-08-18 00:00:00,1444.7625
2022-08-24,1,2022-08-25 00:00:00,2411.3999999999996
2022-09-07,1,2022-09-08 00:00:00,347.9437499999999
2022-09-14,1,2022-09-15 00:00:00,1990.3999999999994
2022-09-21,1,2022-09-22 00:00:00,4911.46875
2022-09-28,1,2022-09-29 00:00:00,3075.6187499999996
2022-10-12,1,2022-10-13 00:00:00,3644.1374999999994
2022-10-19,1,2022-10-20 00:00:00,1766.75625
2022-11-02,1,2022-11-03 00:00:00,2549.0249999999996
2022-11-09,1,2022-11-10 00:00:00,-1396.9562499999997
2022-11-16,1,2022-11-17 00:00:00,2112.91875
2022-11-23,1,2022-11-24 00:00:00,1127.6812499999999
2022-11-30,1,2022-12-01 00:00:00,-1528.8
2022-12-07,1,2022-12-08 00:00:00,2851.1812500000005
2022-12-14,1,2022-12-15 00:00:00,-1678.6124999999997
2022-12-21,1,2022-12-22 00:00:00,-8832.381250000002
2022-12-28,1,2022-12-29 00:00:00,2090.41875
2023-01-04,1,2023-01-05 00:00:00,-5922.08125
2023-01-11,1,2023-01-12 00:00:00,2773.21875
2023-01-18,1,2023-01-19 00:00:00,1264.18125
2023-01-25,0,2023-01-25 00:00:00,-4439.21875
2023-02-01,1,2023-02-02 00:00:00,2650.8687500000005
2023-02-08,1,2023-02-09 00:00:00,2980.0499999999997
2023-02-15,1,2023-02-16 00:00:00,-3073.16875
2023-02-22,1,2023-02-23 00:00:00,-918.5374999999999
2023-03-01,1,2023-03-02 00:00:00,2187.9187500000003
2023-03-08,1,2023-03-09 00:00:00,1375.6437499999997
2023-03-15,1,2023-03-16 00:00:00,-1690.1437499999993
2023-03-22,1,2023-03-23 00:00:00,3060.075
2023-03-29,0,2023-03-29 00:00:00,4083.6
2023-04-05,1,2023-04-06 00:00:00,227.90625000000023
2023-04-12,1,2023-04-13 00:00:00,1116.4312499999999
2023-04-19,1,2023-04-20 00:00:00,1162.4624999999999
2023-04-26,1,2023-04-27 00:00:00,343.5000000000002
2023-05-03,1,2023-05-04 00:00:00,-950.5500000000002
2023-05-10,1,2023-05-11 00:00:00,663.6500000000001
2023-05-17,1,2023-05-18 00:00:00,797.9437500000003
2023-05-24,1,2023-05-25 00:00:00,650.3062500000001
2023-05-31,1,2023-06-01 00:00:00,1319.45625
2023-06-07,1,2023-06-08 00:00:00,450.30625000000015
2023-06-14,1,2023-06-15 00:00:00,972.1312499999999
2023-06-21,1,2023-06-22 00:00:00,1161.8625
2023-06-28,0,2023-06-28 00:00:00,-4633.031249999999
2023-07-05,1,2023-07-06 00:00:00,1916.49375
2023-07-12,1,2023-07-13 00:00:00,1458.225
2023-07-19,1,2023-07-20 00:00:00,15.456249999999727
2023-07-26,1,2023-07-27 00:00:00,1998.525
2023-08-02,1,2023-08-03 00:00:00,-6442.693750000002
2023-08-09,1,2023-08-10 00:00:00,836.46875
2023-08-16,1,2023-08-17 00:00:00,1841.925
2023-08-23,1,2023-08-24 00:00:00,669.4624999999997
2023-08-30,1,2023-08-31 00:00:00,-1309.2875000000001
2023-09-06,1,2023-09-07 00:00:00,256.91875000000016
2023-09-13,1,2023-09-14 00:00:00,2385.28125
2023-09-20,1,2023-09-21 00:00:00,-7135.350000000001
2023-09-27,1,2023-09-28 00:00:00,822.50625
2023-10-04,1,2023-10-05 00:00:00,624.9312500000003
2023-10-11,1,2023-10-12 00:00:00,1821.9937499999999
2023-10-18,1,2023-10-19 00:00:00,64.30625000000009
2023-10-25,1,2023-10-26 00:00:00,-12842.156250000004
2023-11-01,1,2023-11-02 00:00:00,2884.6500000000005
2023-11-08,1,2023-11-09 00:00:00,1366.9125
2023-11-15,1,2023-11-16 00:00:00,-1911.3000000000002
2023-11-22,1,2023-11-23 00:00:00,609.7125
2023-11-29,1,2023-11-30 00:00:00,383.975
2023-12-06,1,2023-12-07 00:00:00,2057.6062500000003
2023-12-13,1,2023-12-14 00:00:00,-5517.78125
2023-12-20,1,2023-12-21 00:00:00,-4343.175
2023-12-27,1,2023-12-28 00:00:00,323.23749999999905
2024-01-03,1,2024-01-04 00:00:00,2344.2937500000003
2024-01-10,1,2024-01-11 00:00:00,1846.2062499999997
2024-01-17,1,2024-01-18 00:00:00,-2980.3875000000007
2024-01-24,1,2024-01-25 00:00:00,5567.60625
2024-01-31,1,2024-02-01 00:00:00,7798.44375
2024-02-07,1,2024-02-08 00:00:00,-4641.181250000001
2024-02-14,1,2024-02-15 00:00:00,-5759.950000000001
2024-02-21,1,2024-02-22 00:00:00,1059.0624999999995
