Date,DaysToExpiry,ExpiryDate,PnL
2021-06-09,1,2021-06-10 00:00:00,163.58749999999986
2021-06-16,1,2021-06-17 00:00:00,-1513.893749999999
2021-06-23,1,2021-06-24 00:00:00,1924.7625000000003
2021-06-30,1,2021-07-01 00:00:00,1128.2437500000003
2021-07-07,1,2021-07-08 00:00:00,1783.2374999999997
2021-07-14,1,2021-07-15 00:00:00,652.1374999999998
2021-07-28,1,2021-07-29 00:00:00,393.7937499999996
2021-08-04,1,2021-08-05 00:00:00,1890.1500000000005
2021-08-11,1,2021-08-12 00:00:00,414.6874999999999
2021-08-18,0,2021-08-18 00:00:00,-5411.612499999999
2021-08-25,1,2021-08-26 00:00:00,1159.55625
2021-09-01,1,2021-09-02 00:00:00,2246.9437500000004
2021-09-08,1,2021-09-09 00:00:00,2021.5500000000002
2021-09-15,1,2021-09-16 00:00:00,-3804.425
2021-09-22,1,2021-09-23 00:00:00,-1507.4
2021-09-29,1,2021-09-30 00:00:00,2845.55625
2021-10-06,1,2021-10-07 00:00:00,355.4625000000001
2021-10-13,1,2021-10-14 00:00:00,-18.700000000000045
2021-10-20,1,2021-10-21 00:00:00,-322.9437500000013
2021-10-27,1,2021-10-28 00:00:00,-8194.29375
2021-11-03,0,2021-11-03 00:00:00,-4468.137500000001
2021-11-10,1,2021-11-11 00:00:00,2248.5187499999997
2021-11-17,1,2021-11-18 00:00:00,1003.7250000000004
2021-11-24,1,2021-11-25 00:00:00,2027.7749999999999
2021-12-01,1,2021-12-02 00:00:00,3154.218749999999
2021-12-08,1,2021-12-09 00:00:00,1969.4625
2021-12-15,1,2021-12-16 00:00:00,2933.7937500000003
2021-12-22,1,2021-12-23 00:00:00,188.40624999999955
2021-12-29,1,2021-12-30 00:00:00,1689.4687500000005
2022-01-05,1,2022-01-06 00:00:00,1569.80625
2022-01-12,1,2022-01-13 00:00:00,1477.7437500000003
2022-01-19,1,2022-01-20 00:00:00,-8666.3
2022-02-02,1,2022-02-03 00:00:00,3418.8375000000005
2022-02-09,1,2022-02-10 00:00:00,704.1749999999997
2022-02-16,1,2022-02-17 00:00:00,3033.9749999999995
2022-02-23,1,2022-02-24 00:00:00,-26760.106249999997
2022-03-02,1,2022-03-03 00:00:00,8378.49375
2022-03-09,1,2022-03-10 00:00:00,-5301.981250000001
2022-03-16,1,2022-03-17 00:00:00,-3061.5812499999975
2022-03-23,1,2022-03-24 00:00:00,2855.9625
2022-03-30,1,2022-03-31 00:00:00,1432.6875
2022-04-06,1,2022-04-07 00:00:00,2132.2875
2022-04-13,0,2022-04-13 00:00:00,-5934.818749999999
2022-04-20,1,2022-04-21 00:00:00,-3581.0562500000005
2022-04-27,1,2022-04-28 00:00:00,3268.7625000000003
2022-05-04,1,2022-05-05 00:00:00,-4231.425000000001
2022-05-11,1,2022-05-12 00:00:00,-12824.187499999996
