Date,DaysToExpiry,ExpiryDate,PnL
2021-06-09,1,2021-06-10 00:00:00,589.7125000000001
2021-06-16,1,2021-06-17 00:00:00,-1820.3125
2021-06-23,1,2021-06-24 00:00:00,2188.7
2021-06-30,1,2021-07-01 00:00:00,1236.675
2021-07-07,1,2021-07-08 00:00:00,2068.4999999999995
2021-07-14,1,2021-07-15 00:00:00,964.625
2021-07-28,1,2021-07-29 00:00:00,931.1625000000004
2021-08-04,1,2021-08-05 00:00:00,2303.0500000000006
2021-08-11,1,2021-08-12 00:00:00,653.075
2021-08-18,0,2021-08-18 00:00:00,-7388.025
2021-08-25,1,2021-08-26 00:00:00,1294.675
2021-09-01,1,2021-09-02 00:00:00,2617.1749999999993
2021-09-08,1,2021-09-09 00:00:00,2297.5499999999997
2021-09-15,1,2021-09-16 00:00:00,-5737.225
2021-09-22,1,2021-09-23 00:00:00,-2086.037500000001
2021-09-29,1,2021-09-30 00:00:00,3228.475
2021-10-06,1,2021-10-07 00:00:00,767.9499999999998
2021-10-13,1,2021-10-14 00:00:00,-106.57499999999982
2021-10-20,1,2021-10-21 00:00:00,109.33750000000055
2021-10-27,1,2021-10-28 00:00:00,-12059.449999999999
2021-11-03,0,2021-11-03 00:00:00,-6774.7750000000015
2021-11-10,1,2021-11-11 00:00:00,2568.7749999999996
2021-11-17,1,2021-11-18 00:00:00,1804.1625
2021-11-24,1,2021-11-25 00:00:00,2330.0
2021-12-01,1,2021-12-02 00:00:00,3631.0249999999996
2021-12-08,1,2021-12-09 00:00:00,2504.7500000000005
2021-12-15,1,2021-12-16 00:00:00,3689.525
2021-12-22,1,2021-12-23 00:00:00,353.0500000000011
2021-12-29,1,2021-12-30 00:00:00,1949.625
2022-01-05,1,2022-01-06 00:00:00,2063.875
2022-01-12,1,2022-01-13 00:00:00,1879.4249999999997
2022-01-19,1,2022-01-20 00:00:00,-12603.362499999997
2022-02-02,1,2022-02-03 00:00:00,4169.6
2022-02-09,1,2022-02-10 00:00:00,741.9499999999998
2022-02-16,1,2022-02-17 00:00:00,3743.3999999999996
2022-02-23,1,2022-02-24 00:00:00,-38583.212499999994
2022-03-02,1,2022-03-03 00:00:00,8565.524999999998
2022-03-09,1,2022-03-10 00:00:00,-7938.750000000004
2022-03-16,1,2022-03-17 00:00:00,-5103.2125
2022-03-23,1,2022-03-24 00:00:00,3394.95
2022-03-30,1,2022-03-31 00:00:00,1864.8000000000002
2022-04-06,1,2022-04-07 00:00:00,2432.8999999999996
2022-04-13,0,2022-04-13 00:00:00,-8561.175
2022-04-20,1,2022-04-21 00:00:00,-5482.162500000001
2022-04-27,1,2022-04-28 00:00:00,3637.3
2022-05-04,1,2022-05-05 00:00:00,-6198.6625
2022-05-11,1,2022-05-12 00:00:00,-18830.225
2022-05-18,1,2022-05-19 00:00:00,-22204.3625
2022-05-25,1,2022-05-26 00:00:00,3236.95
2022-06-01,1,2022-06-02 00:00:00,3927.6749999999993
2022-06-08,1,2022-06-09 00:00:00,4871.625
2022-06-15,1,2022-06-16 00:00:00,5299.075
2022-06-22,1,2022-06-23 00:00:00,3270.7999999999997
2022-06-29,1,2022-06-30 00:00:00,3253.150000000001
2022-07-06,1,2022-07-07 00:00:00,340.8999999999992
2022-07-13,1,2022-07-14 00:00:00,771.2000000000003
2022-07-20,1,2022-07-21 00:00:00,2261.7250000000004
2022-07-27,1,2022-07-28 00:00:00,-16160.1
2022-08-03,1,2022-08-04 00:00:00,3376.05
2022-08-10,1,2022-08-11 00:00:00,4043.2749999999996
2022-08-17,1,2022-08-18 00:00:00,1518.3999999999999
2022-08-24,1,2022-08-25 00:00:00,2684.9500000000003
2022-09-07,1,2022-09-08 00:00:00,-156.125
2022-09-14,1,2022-09-15 00:00:00,3705.9500000000003
2022-09-21,1,2022-09-22 00:00:00,5629.5250000000015
2022-09-28,1,2022-09-29 00:00:00,3536.324999999999
2022-10-12,1,2022-10-13 00:00:00,3914.5
2022-10-19,1,2022-10-20 00:00:00,1770.975
2022-11-02,1,2022-11-03 00:00:00,2808.95
2022-11-09,1,2022-11-10 00:00:00,-1956.8749999999998
2022-11-16,1,2022-11-17 00:00:00,2317.2749999999996
2022-11-23,1,2022-11-24 00:00:00,1278.5249999999999
2022-11-30,1,2022-12-01 00:00:00,-2606.525000000001
2022-12-07,1,2022-12-08 00:00:00,3257.2750000000015
2022-12-14,1,2022-12-15 00:00:00,2407.8500000000004
2022-12-21,1,2022-12-22 00:00:00,-13595.350000000002
2022-12-28,1,2022-12-29 00:00:00,2168.2749999999996
2023-01-04,1,2023-01-05 00:00:00,-8982.862500000001
2023-01-11,1,2023-01-12 00:00:00,2779.625000000001
