Date,DaysToExpiry,ExpiryDate,PnL
2021-06-09,1,2021-06-10 00:00:00,477.05625000000003
2021-06-16,1,2021-06-17 00:00:00,-522.5375
2021-06-23,1,2021-06-24 00:00:00,548.9687500000001
2021-06-30,1,2021-07-01 00:00:00,283.61875
2021-07-07,1,2021-07-08 00:00:00,-709.8
2021-07-14,1,2021-07-15 00:00:00,239.23125
2021-07-28,1,2021-07-29 00:00:00,-140.91875000000005
2021-08-04,1,2021-08-05 00:00:00,333.84375
2021-08-11,1,2021-08-12 00:00:00,320.18125000000003
2021-08-18,0,2021-08-18 00:00:00,112.03749999999991
2021-08-25,1,2021-08-26 00:00:00,284.1125
2021-09-01,1,2021-09-02 00:00:00,433.58124999999995
2021-09-08,1,2021-09-09 00:00:00,381.4
2021-09-15,1,2021-09-16 00:00:00,197.07500000000005
2021-09-22,1,2021-09-23 00:00:00,47.3937499999999
2021-09-29,1,2021-09-30 00:00:00,469.44374999999997
2021-10-06,1,2021-10-07 00:00:00,477.05625000000003
2021-10-13,1,2021-10-14 00:00:00,364.97499999999997
2021-10-20,1,2021-10-21 00:00:00,792.6312500000001
2021-10-27,1,2021-10-28 00:00:00,-347.70625000000007
2021-11-03,0,2021-11-03 00:00:00,491.0999999999999
2021-11-10,1,2021-11-11 00:00:00,-398.5937499999999
2021-11-17,1,2021-11-18 00:00:00,-352.2187500000001
2021-11-24,1,2021-11-25 00:00:00,-452.1937499999999
2021-12-01,1,2021-12-02 00:00:00,9.349999999999909
2021-12-08,1,2021-12-09 00:00:00,327.60625
2021-12-15,1,2021-12-16 00:00:00,585.275
2021-12-22,1,2021-12-23 00:00:00,-145.95000000000005
2021-12-29,1,2021-12-30 00:00:00,496.43750000000006
2022-01-05,1,2022-01-06 00:00:00,-343.0562500000001
2022-01-12,1,2022-01-13 00:00:00,348.82500000000005
2022-01-19,1,2022-01-20 00:00:00,-80.53750000000002
2022-02-02,1,2022-02-03 00:00:00,20.44375000000008
2022-02-09,1,2022-02-10 00:00:00,318.55625
2022-02-16,1,2022-02-17 00:00:00,-441.6875000000002
2022-02-23,1,2022-02-24 00:00:00,-5882.24375
2022-03-02,1,2022-03-03 00:00:00,1939.85
2022-03-09,1,2022-03-10 00:00:00,-718.2750000000001
2022-03-16,1,2022-03-17 00:00:00,-1033.88125
2022-03-23,1,2022-03-24 00:00:00,953.95625
2022-03-30,1,2022-03-31 00:00:00,363.69375
2022-04-06,1,2022-04-07 00:00:00,285.36249999999995
2022-04-13,0,2022-04-13 00:00:00,324.0124999999998
2022-04-20,1,2022-04-21 00:00:00,-92.7750000000002
2022-04-27,1,2022-04-28 00:00:00,-58.05625000000009
2022-05-04,1,2022-05-05 00:00:00,-256.63750000000005
2022-05-11,1,2022-05-12 00:00:00,-911.4437499999999
2022-05-18,1,2022-05-19 00:00:00,-1525.53125
2022-05-25,1,2022-05-26 00:00:00,739.1125
2022-06-01,1,2022-06-02 00:00:00,825.9937499999999
2022-06-08,1,2022-06-09 00:00:00,618.7624999999999
2022-06-15,1,2022-06-16 00:00:00,1429.2312499999998
2022-06-29,1,2022-06-30 00:00:00,924.01875
2022-07-06,1,2022-07-07 00:00:00,336.4375000000001
2022-07-13,1,2022-07-14 00:00:00,725.225
2022-07-20,1,2022-07-21 00:00:00,311.60625
2022-07-27,1,2022-07-28 00:00:00,-154.69999999999993
2022-08-03,1,2022-08-04 00:00:00,-257.39374999999995
2022-08-10,1,2022-08-11 00:00:00,-145.21249999999998
2022-08-17,1,2022-08-18 00:00:00,311.45624999999995
2022-08-24,1,2022-08-25 00:00:00,424.61249999999995
2022-09-07,1,2022-09-08 00:00:00,735.2500000000001
2022-09-14,1,2022-09-15 00:00:00,-1025.8937499999997
2022-09-21,1,2022-09-22 00:00:00,1645.4937499999999
2022-09-28,1,2022-09-29 00:00:00,493.33124999999995
2022-10-12,1,2022-10-13 00:00:00,970.225
2022-10-19,1,2022-10-20 00:00:00,376.1312499999999
2022-11-02,1,2022-11-03 00:00:00,791.7750000000001
2022-11-09,1,2022-11-10 00:00:00,-186.3250000000001
2022-11-16,1,2022-11-17 00:00:00,299.075
2022-11-23,1,2022-11-24 00:00:00,250.18125
2022-11-30,1,2022-12-01 00:00:00,-33.193749999999966
2022-12-07,1,2022-12-08 00:00:00,570.36875
2022-12-14,1,2022-12-15 00:00:00,-390.51874999999995
2022-12-21,1,2022-12-22 00:00:00,704.8687500000001
2022-12-28,1,2022-12-29 00:00:00,-429.43124999999986
2023-01-04,1,2023-01-05 00:00:00,-611.1125
2023-01-11,1,2023-01-12 00:00:00,754.1437499999998
2023-01-18,1,2023-01-19 00:00:00,423.24375000000003
2023-01-25,0,2023-01-25 00:00:00,-103.68124999999975
2023-02-01,1,2023-02-02 00:00:00,-577.3250000000003
2023-02-08,1,2023-02-09 00:00:00,635.6999999999999
2023-02-15,1,2023-02-16 00:00:00,-4.231249999999989
2023-02-22,1,2023-02-23 00:00:00,654.75625
2023-03-01,1,2023-03-02 00:00:00,271.0
2023-03-08,1,2023-03-09 00:00:00,332.36249999999995
2023-03-15,1,2023-03-16 00:00:00,-547.88125
2023-03-22,1,2023-03-23 00:00:00,888.175
2023-03-29,0,2023-03-29 00:00:00,255.50625000000002
2023-04-05,1,2023-04-06 00:00:00,337.66874999999993
2023-04-12,1,2023-04-13 00:00:00,306.3375
2023-04-19,1,2023-04-20 00:00:00,255.45624999999998
2023-04-26,1,2023-04-27 00:00:00,185.61875
2023-05-03,1,2023-05-04 00:00:00,-410.53125
2023-05-10,1,2023-05-11 00:00:00,352.61250000000007
2023-05-17,1,2023-05-18 00:00:00,-301.3625
2023-05-24,1,2023-05-25 00:00:00,266.6125
2023-05-31,1,2023-06-01 00:00:00,346.59375
2023-06-07,1,2023-06-08 00:00:00,205.72500000000002
2023-06-14,1,2023-06-15 00:00:00,213.15
2023-06-21,1,2023-06-22 00:00:00,252.87499999999997
2023-06-28,0,2023-06-28 00:00:00,209.55000000000007
2023-07-05,1,2023-07-06 00:00:00,352.6437499999999
2023-07-12,1,2023-07-13 00:00:00,-85.74374999999998
2023-07-19,1,2023-07-20 00:00:00,64.40000000000015
2023-07-26,1,2023-07-27 00:00:00,-294.8562500000003
2023-08-02,1,2023-08-03 00:00:00,627.45
2023-08-09,1,2023-08-10 00:00:00,-71.77499999999998
2023-08-16,1,2023-08-17 00:00:00,329.89375000000007
2023-08-23,1,2023-08-24 00:00:00,-102.78125
2023-08-30,1,2023-08-31 00:00:00,-145.95
2023-09-06,1,2023-09-07 00:00:00,26.118750000000006
2023-09-13,1,2023-09-14 00:00:00,410.75000000000006
2023-09-20,1,2023-09-21 00:00:00,-274.3375
2023-09-27,1,2023-09-28 00:00:00,-286.76250000000005
2023-10-04,1,2023-10-05 00:00:00,-303.15625
2023-10-11,1,2023-10-12 00:00:00,353.54375
2023-10-18,1,2023-10-19 00:00:00,-365.1250000000001
2023-10-25,1,2023-10-26 00:00:00,-622.6499999999999
2023-11-01,1,2023-11-02 00:00:00,-439.625
2023-11-08,1,2023-11-09 00:00:00,263.8875
2023-11-15,1,2023-11-16 00:00:00,-245.78125
2023-11-22,1,2023-11-23 00:00:00,270.05
2023-11-29,1,2023-11-30 00:00:00,357.4000000000001
2023-12-06,1,2023-12-07 00:00:00,361.18750000000006
2023-12-13,1,2023-12-14 00:00:00,-1020.5187500000001
2023-12-20,1,2023-12-21 00:00:00,-405.29375000000005
2023-12-27,1,2023-12-28 00:00:00,-201.23125
2024-01-03,1,2024-01-04 00:00:00,368.6125
2024-01-10,1,2024-01-11 00:00:00,-387.3124999999999
2024-01-17,1,2024-01-18 00:00:00,-602.5750000000003
2024-01-24,1,2024-01-25 00:00:00,1024.86875
2024-01-31,1,2024-02-01 00:00:00,1933.8874999999998
2024-02-07,1,2024-02-08 00:00:00,-606.5562499999999
2024-02-14,1,2024-02-15 00:00:00,-213.98124999999993
2024-02-21,1,2024-02-22 00:00:00,-1239.08125
2024-02-28,1,2024-02-29 00:00:00,-856.84375
2024-03-06,1,2024-03-07 00:00:00,587.46875
2024-03-13,1,2024-03-14 00:00:00,-1017.35625
2024-03-20,1,2024-03-21 00:00:00,-305.44375000000014
2024-03-27,1,2024-03-28 00:00:00,-81.06875000000014
2024-04-03,1,2024-04-04 00:00:00,-759.7812499999999
2024-04-10,0,2024-04-10 00:00:00,273.3749999999999
2024-04-24,1,2024-04-25 00:00:00,-102.03750000000014
2024-05-08,1,2024-05-09 00:00:00,-120.53125
2024-05-15,1,2024-05-16 00:00:00,247.64374999999998
2024-05-22,1,2024-05-23 00:00:00,-52.01875000000001
2024-05-29,1,2024-05-30 00:00:00,-132.4874999999999
2024-06-05,1,2024-06-06 00:00:00,2828.0625000000005
2024-06-12,1,2024-06-13 00:00:00,917.6687500000003
2024-06-19,1,2024-06-20 00:00:00,-1303.65625
2024-06-26,1,2024-06-27 00:00:00,-604.8625000000002
2024-07-03,1,2024-07-04 00:00:00,741.35625
2024-07-10,1,2024-07-11 00:00:00,625.875
2024-07-24,1,2024-07-25 00:00:00,-794.9562500000001
2024-07-31,1,2024-08-01 00:00:00,853.1437500000001
2024-08-07,1,2024-08-08 00:00:00,-659.99375
2024-08-14,0,2024-08-14 00:00:00,-272.9375000000001
2024-08-21,1,2024-08-22 00:00:00,397.20000000000005
2024-08-28,1,2024-08-29 00:00:00,-295.69375
2024-09-04,1,2024-09-05 00:00:00,335.08750000000003
2024-09-11,1,2024-09-12 00:00:00,-229.53125
2024-09-18,1,2024-09-19 00:00:00,-780.0437499999998
2024-09-25,1,2024-09-26 00:00:00,-207.79999999999995
