Date,DaysToExpiry,ExpiryDate,PnL
2021-06-09,1,2021-06-10 00:00:00,719.8375000000001
2021-06-16,1,2021-06-17 00:00:00,-1012.9624999999996
2021-06-23,1,2021-06-24 00:00:00,878.8125000000002
2021-06-30,1,2021-07-01 00:00:00,449.6625
2021-07-07,1,2021-07-08 00:00:00,747.4
2021-07-14,1,2021-07-15 00:00:00,388.66249999999997
2021-07-28,1,2021-07-29 00:00:00,91.86250000000018
2021-08-04,1,2021-08-05 00:00:00,529.3625000000001
2021-08-11,1,2021-08-12 00:00:00,537.3875000000002
2021-08-18,0,2021-08-18 00:00:00,224.07499999999982
2021-08-25,1,2021-08-26 00:00:00,436.92499999999995
2021-09-01,1,2021-09-02 00:00:00,789.4375
2021-09-08,1,2021-09-09 00:00:00,601.75
2021-09-15,1,2021-09-16 00:00:00,440.70000000000005
2021-09-22,1,2021-09-23 00:00:00,105.43749999999977
2021-09-29,1,2021-09-30 00:00:00,748.0875000000001
2021-10-06,1,2021-10-07 00:00:00,795.5875
2021-10-13,1,2021-10-14 00:00:00,637.6250000000001
2021-10-20,1,2021-10-21 00:00:00,1251.0875
2021-10-27,1,2021-10-28 00:00:00,-3180.725
2021-11-03,0,2021-11-03 00:00:00,1217.0249999999999
2021-11-10,1,2021-11-11 00:00:00,-301.7374999999997
2021-11-17,1,2021-11-18 00:00:00,70.02499999999986
2021-11-24,1,2021-11-25 00:00:00,-54.88749999999993
2021-12-01,1,2021-12-02 00:00:00,25.5625
2021-12-08,1,2021-12-09 00:00:00,517.4375
2021-12-15,1,2021-12-16 00:00:00,976.125
2021-12-22,1,2021-12-23 00:00:00,238.89999999999986
2021-12-29,1,2021-12-30 00:00:00,819.2
2022-01-05,1,2022-01-06 00:00:00,-83.35000000000002
2022-01-12,1,2022-01-13 00:00:00,539.125
2022-01-19,1,2022-01-20 00:00:00,712.5749999999999
2022-02-02,1,2022-02-03 00:00:00,-16.637499999999932
2022-02-09,1,2022-02-10 00:00:00,548.7375
2022-02-16,1,2022-02-17 00:00:00,53.399999999999864
2022-02-23,1,2022-02-24 00:00:00,-17789.3
2022-03-02,1,2022-03-03 00:00:00,3548.9249999999997
2022-03-09,1,2022-03-10 00:00:00,-4.875000000000227
2022-03-16,1,2022-03-17 00:00:00,-3745.0750000000007
2022-03-23,1,2022-03-24 00:00:00,1514.5625
2022-03-30,1,2022-03-31 00:00:00,594.1125000000001
2022-04-06,1,2022-04-07 00:00:00,780.8499999999998
2022-04-13,0,2022-04-13 00:00:00,648.0250000000001
2022-04-20,1,2022-04-21 00:00:00,-2090.6625000000004
2022-04-27,1,2022-04-28 00:00:00,1403.9375000000002
2022-05-04,1,2022-05-05 00:00:00,555.3499999999999
2022-05-11,1,2022-05-12 00:00:00,-3565.1375000000003
2022-05-18,1,2022-05-19 00:00:00,-5993.400000000001
2022-05-25,1,2022-05-26 00:00:00,1245.925
2022-06-01,1,2022-06-02 00:00:00,1586.3374999999996
2022-06-08,1,2022-06-09 00:00:00,1032.9999999999998
2022-06-15,1,2022-06-16 00:00:00,2565.0125
2022-06-29,1,2022-06-30 00:00:00,1396.0625
2022-07-06,1,2022-07-07 00:00:00,952.4375000000001
2022-07-13,1,2022-07-14 00:00:00,1149.975
2022-07-20,1,2022-07-21 00:00:00,481.8125
2022-07-27,1,2022-07-28 00:00:00,-1706.9875000000002
2022-08-03,1,2022-08-04 00:00:00,303.86249999999995
2022-08-10,1,2022-08-11 00:00:00,502.4250000000002
2022-08-17,1,2022-08-18 00:00:00,497.2125
2022-08-24,1,2022-08-25 00:00:00,645.2499999999999
2022-09-07,1,2022-09-08 00:00:00,1240.725
2022-09-14,1,2022-09-15 00:00:00,-580.4250000000002
2022-09-21,1,2022-09-22 00:00:00,2587.0624999999995
2022-09-28,1,2022-09-29 00:00:00,837.6875
2022-10-12,1,2022-10-13 00:00:00,1546.5500000000002
2022-10-19,1,2022-10-20 00:00:00,610.8624999999998
2022-11-02,1,2022-11-03 00:00:00,1298.2250000000004
2022-11-09,1,2022-11-10 00:00:00,27.5625
2022-11-16,1,2022-11-17 00:00:00,485.07499999999993
2022-11-23,1,2022-11-24 00:00:00,440.3125
2022-11-30,1,2022-12-01 00:00:00,-49.424999999999955
2022-12-07,1,2022-12-08 00:00:00,926.1125
2022-12-14,1,2022-12-15 00:00:00,961.2125000000001
2022-12-21,1,2022-12-22 00:00:00,1220.9125000000001
2022-12-28,1,2022-12-29 00:00:00,33.72499999999991
2023-01-04,1,2023-01-05 00:00:00,-267.77499999999986
2023-01-11,1,2023-01-12 00:00:00,1193.2124999999996
2023-01-18,1,2023-01-19 00:00:00,670.2875
2023-01-25,0,2023-01-25 00:00:00,-300.2374999999995
2023-02-01,1,2023-02-02 00:00:00,277.57500000000005
2023-02-08,1,2023-02-09 00:00:00,999.2499999999999
2023-02-15,1,2023-02-16 00:00:00,189.75
2023-02-22,1,2023-02-23 00:00:00,1062.6125000000002
2023-03-01,1,2023-03-02 00:00:00,466.80000000000007
2023-03-08,1,2023-03-09 00:00:00,552.1999999999999
2023-03-15,1,2023-03-16 00:00:00,88.46249999999986
2023-03-22,1,2023-03-23 00:00:00,1488.5
2023-03-29,0,2023-03-29 00:00:00,511.01250000000005
2023-04-05,1,2023-04-06 00:00:00,516.8125
2023-04-12,1,2023-04-13 00:00:00,479.95
2023-04-19,1,2023-04-20 00:00:00,428.68749999999994
2023-04-26,1,2023-04-27 00:00:00,311.1875
2023-05-03,1,2023-05-04 00:00:00,-878.5875000000003
2023-05-10,1,2023-05-11 00:00:00,602.2500000000001
2023-05-17,1,2023-05-18 00:00:00,-37.83750000000009
2023-05-24,1,2023-05-25 00:00:00,420.70000000000005
2023-05-31,1,2023-06-01 00:00:00,534.6625000000001
2023-06-07,1,2023-06-08 00:00:00,332.30000000000007
2023-06-14,1,2023-06-15 00:00:00,354.175
2023-06-21,1,2023-06-22 00:00:00,421.54999999999995
2023-06-28,0,2023-06-28 00:00:00,419.10000000000014
2023-07-05,1,2023-07-06 00:00:00,582.1124999999998
2023-07-12,1,2023-07-13 00:00:00,141.45
2023-07-19,1,2023-07-20 00:00:00,-162.83749999999964
2023-07-26,1,2023-07-27 00:00:00,817.2625
2023-08-02,1,2023-08-03 00:00:00,967.05
2023-08-09,1,2023-08-10 00:00:00,205.44999999999993
2023-08-16,1,2023-08-17 00:00:00,524.5375
2023-08-23,1,2023-08-24 00:00:00,111.87499999999994
2023-08-30,1,2023-08-31 00:00:00,-46.42500000000001
2023-09-06,1,2023-09-07 00:00:00,-1140.275
2023-09-13,1,2023-09-14 00:00:00,650.3500000000001
2023-09-20,1,2023-09-21 00:00:00,-158.5625
2023-09-27,1,2023-09-28 00:00:00,513.3249999999999
2023-10-04,1,2023-10-05 00:00:00,-173.98749999999995
2023-10-11,1,2023-10-12 00:00:00,571.8375
2023-10-18,1,2023-10-19 00:00:00,-13.149999999999864
2023-10-25,1,2023-10-26 00:00:00,-3253.3874999999994
2023-11-01,1,2023-11-02 00:00:00,71.41250000000014
2023-11-08,1,2023-11-09 00:00:00,405.15
2023-11-15,1,2023-11-16 00:00:00,428.08750000000003
2023-11-22,1,2023-11-23 00:00:00,445.25
2023-11-29,1,2023-11-30 00:00:00,568.9000000000001
2023-12-06,1,2023-12-07 00:00:00,599.2000000000002
2023-12-13,1,2023-12-14 00:00:00,-3463.3250000000007
2023-12-20,1,2023-12-21 00:00:00,216.375
2023-12-27,1,2023-12-28 00:00:00,-266.82499999999993
2024-01-03,1,2024-01-04 00:00:00,593.85
2024-01-10,1,2024-01-11 00:00:00,36.450000000000045
2024-01-17,1,2024-01-18 00:00:00,131.12499999999977
2024-01-24,1,2024-01-25 00:00:00,1577.5625
2024-01-31,1,2024-02-01 00:00:00,3139.1499999999996
2024-02-07,1,2024-02-08 00:00:00,1263.9125
2024-02-14,1,2024-02-15 00:00:00,331.3499999999999
2024-02-21,1,2024-02-22 00:00:00,-429.125
2024-02-28,1,2024-02-29 00:00:00,63.91249999999991
2024-03-06,1,2024-03-07 00:00:00,932.5375000000001
2024-03-13,1,2024-03-14 00:00:00,-205.3499999999999
2024-03-20,1,2024-03-21 00:00:00,346.0875000000001
2024-03-27,1,2024-03-28 00:00:00,-1374.1375
2024-04-03,1,2024-04-04 00:00:00,1078.6625000000001
2024-04-10,0,2024-04-10 00:00:00,546.7499999999998
2024-04-24,1,2024-04-25 00:00:00,1035.6999999999998
2024-05-08,1,2024-05-09 00:00:00,-105.97500000000014
2024-05-15,1,2024-05-16 00:00:00,380.23749999999995
2024-05-22,1,2024-05-23 00:00:00,-1603.3374999999996
2024-05-29,1,2024-05-30 00:00:00,-194.98749999999984
2024-06-05,1,2024-06-06 00:00:00,4517.9000000000015
2024-06-12,1,2024-06-13 00:00:00,1532.3375000000005
2024-06-19,1,2024-06-20 00:00:00,-597.4125000000001
2024-06-26,1,2024-06-27 00:00:00,-348.7000000000007
2024-07-03,1,2024-07-04 00:00:00,1149.4125
2024-07-10,1,2024-07-11 00:00:00,1024.5
2024-07-24,1,2024-07-25 00:00:00,46.28749999999991
2024-07-31,1,2024-08-01 00:00:00,1337.6375
2024-08-07,1,2024-08-08 00:00:00,-89.04999999999973
2024-08-14,0,2024-08-14 00:00:00,-81.27500000000009
2024-08-21,1,2024-08-22 00:00:00,633.35
2024-08-28,1,2024-08-29 00:00:00,469.6625
2024-09-04,1,2024-09-05 00:00:00,534.9250000000002
2024-09-11,1,2024-09-12 00:00:00,1177.1375
2024-09-18,1,2024-09-19 00:00:00,593.0250000000001
2024-09-25,1,2024-09-26 00:00:00,-1775.3125
