Date,DaysToExpiry,ExpiryDate,PnL
2021-06-09,1,2021-06-10 00:00:00,828.4125
2021-06-16,1,2021-06-17 00:00:00,-1005.3874999999996
2021-06-23,1,2021-06-24 00:00:00,962.1375000000003
2021-06-30,1,2021-07-01 00:00:00,520.3625
2021-07-07,1,2021-07-08 00:00:00,-804.2124999999999
2021-07-14,1,2021-07-15 00:00:00,301.54999999999995
2021-07-28,1,2021-07-29 00:00:00,199.17500000000007
2021-08-04,1,2021-08-05 00:00:00,579.3125
2021-08-11,1,2021-08-12 00:00:00,587.8875000000002
2021-08-18,0,2021-08-18 00:00:00,224.07499999999982
2021-08-25,1,2021-08-26 00:00:00,515.1999999999999
2021-09-01,1,2021-09-02 00:00:00,827.3125
2021-09-08,1,2021-09-09 00:00:00,662.3499999999999
2021-09-15,1,2021-09-16 00:00:00,364.95
2021-09-22,1,2021-09-23 00:00:00,168.5624999999999
2021-09-29,1,2021-09-30 00:00:00,400.1875
2021-10-06,1,2021-10-07 00:00:00,853.6625
2021-10-13,1,2021-10-14 00:00:00,674.9500000000002
2021-10-20,1,2021-10-21 00:00:00,1450.0125
2021-10-27,1,2021-10-28 00:00:00,-2952.2125
2021-11-03,0,2021-11-03 00:00:00,982.1999999999998
2021-11-10,1,2021-11-11 00:00:00,-204.52499999999986
2021-11-17,1,2021-11-18 00:00:00,393.2249999999999
2021-11-24,1,2021-11-25 00:00:00,75.86250000000007
2021-12-01,1,2021-12-02 00:00:00,254.07499999999982
2021-12-08,1,2021-12-09 00:00:00,569.3625
2021-12-15,1,2021-12-16 00:00:00,208.5250000000001
2021-12-22,1,2021-12-23 00:00:00,502.7624999999999
2021-12-29,1,2021-12-30 00:00:00,884.8500000000001
2022-01-05,1,2022-01-06 00:00:00,37.85000000000002
2022-01-12,1,2022-01-13 00:00:00,624.4250000000001
2022-01-19,1,2022-01-20 00:00:00,251.76249999999993
2022-02-02,1,2022-02-03 00:00:00,-416.8499999999999
2022-02-09,1,2022-02-10 00:00:00,223.01249999999993
2022-02-16,1,2022-02-17 00:00:00,310.95000000000005
2022-02-23,1,2022-02-24 00:00:00,-17782.274999999998
2022-03-02,1,2022-03-03 00:00:00,2076.1375
2022-03-09,1,2022-03-10 00:00:00,108.74999999999977
2022-03-16,1,2022-03-17 00:00:00,-3745.0750000000007
2022-03-23,1,2022-03-24 00:00:00,1814.4875
2022-03-30,1,2022-03-31 00:00:00,649.1125000000001
2022-04-06,1,2022-04-07 00:00:00,856.5999999999999
2022-04-13,0,2022-04-13 00:00:00,648.0250000000001
2022-04-20,1,2022-04-21 00:00:00,-1749.7875
2022-04-27,1,2022-04-28 00:00:00,-272.6624999999999
2022-05-04,1,2022-05-05 00:00:00,739.1249999999998
2022-05-11,1,2022-05-12 00:00:00,-2967.975
2022-05-18,1,2022-05-19 00:00:00,-5993.400000000001
2022-05-25,1,2022-05-26 00:00:00,1311.575
2022-06-01,1,2022-06-02 00:00:00,1540.8874999999998
2022-06-08,1,2022-06-09 00:00:00,1146.625
2022-06-15,1,2022-06-16 00:00:00,2703.8875
2022-06-29,1,2022-06-30 00:00:00,1640.9875
2022-07-06,1,2022-07-07 00:00:00,1043.3375
2022-07-13,1,2022-07-14 00:00:00,1286.325
2022-07-20,1,2022-07-21 00:00:00,567.6625
2022-07-27,1,2022-07-28 00:00:00,-1565.5875
2022-08-03,1,2022-08-04 00:00:00,379.61249999999995
2022-08-10,1,2022-08-11 00:00:00,502.4250000000002
2022-08-17,1,2022-08-18 00:00:00,567.3625
2022-08-24,1,2022-08-25 00:00:00,218.52499999999986
2022-09-07,1,2022-09-08 00:00:00,1318.9999999999998
2022-09-14,1,2022-09-15 00:00:00,-78.66250000000014
2022-09-21,1,2022-09-22 00:00:00,2962.7374999999997
2022-09-28,1,2022-09-29 00:00:00,366.775
2022-10-12,1,2022-10-13 00:00:00,1700.575
2022-10-19,1,2022-10-20 00:00:00,84.9499999999997
2022-11-02,1,2022-11-03 00:00:00,1379.0250000000003
2022-11-09,1,2022-11-10 00:00:00,152.54999999999995
2022-11-16,1,2022-11-17 00:00:00,547.65
2022-11-23,1,2022-11-24 00:00:00,488.2875
2022-11-30,1,2022-12-01 00:00:00,114.15000000000009
2022-12-07,1,2022-12-08 00:00:00,1019.5374999999999
2022-12-14,1,2022-12-15 00:00:00,-1205.2375
2022-12-21,1,2022-12-22 00:00:00,1390.0875
2022-12-28,1,2022-12-29 00:00:00,337.275
2023-01-04,1,2023-01-05 00:00:00,42.799999999999955
2023-01-11,1,2023-01-12 00:00:00,1372.4874999999997
2023-01-18,1,2023-01-19 00:00:00,753.6125000000001
2023-01-25,0,2023-01-25 00:00:00,-860.7874999999997
2023-02-01,1,2023-02-02 00:00:00,880.5000000000002
2023-02-08,1,2023-02-09 00:00:00,1140.6499999999999
2023-02-15,1,2023-02-16 00:00:00,250.35000000000008
2023-02-22,1,2023-02-23 00:00:00,438.225
2023-03-01,1,2023-03-02 00:00:00,129.71249999999998
2023-03-08,1,2023-03-09 00:00:00,597.65
2023-03-15,1,2023-03-16 00:00:00,390.7499999999998
2023-03-22,1,2023-03-23 00:00:00,1612.775
2023-03-29,0,2023-03-29 00:00:00,511.01250000000005
2023-04-05,1,2023-04-06 00:00:00,597.0625
2023-04-12,1,2023-04-13 00:00:00,550.65
2023-04-19,1,2023-04-20 00:00:00,443.8375
2023-04-26,1,2023-04-27 00:00:00,356.63750000000005
2023-05-03,1,2023-05-04 00:00:00,-614.7249999999999
2023-05-10,1,2023-05-11 00:00:00,630.0250000000001
2023-05-17,1,2023-05-18 00:00:00,27.8125
2023-05-24,1,2023-05-25 00:00:00,468.675
2023-05-31,1,2023-06-01 00:00:00,615.4625000000001
2023-06-07,1,2023-06-08 00:00:00,381.7000000000001
2023-06-14,1,2023-06-15 00:00:00,394.02500000000003
2023-06-21,1,2023-06-22 00:00:00,474.025
2023-06-28,0,2023-06-28 00:00:00,419.10000000000014
2023-07-05,1,2023-07-06 00:00:00,662.3624999999998
2023-07-12,1,2023-07-13 00:00:00,234.87500000000006
2023-07-19,1,2023-07-20 00:00:00,26.53750000000025
2023-07-26,1,2023-07-27 00:00:00,-649.7625
2023-08-02,1,2023-08-03 00:00:00,1126.125
2023-08-09,1,2023-08-10 00:00:00,336.74999999999994
2023-08-16,1,2023-08-17 00:00:00,592.7125000000001
2023-08-23,1,2023-08-24 00:00:00,239.93749999999994
2023-08-30,1,2023-08-31 00:00:00,51.5
2023-09-06,1,2023-09-07 00:00:00,-1093.5625
2023-09-13,1,2023-09-14 00:00:00,738.7250000000001
2023-09-20,1,2023-09-21 00:00:00,-77.76250000000005
2023-09-27,1,2023-09-28 00:00:00,-225.78750000000002
2023-10-04,1,2023-10-05 00:00:00,-173.98749999999995
2023-10-11,1,2023-10-12 00:00:00,624.8625
2023-10-18,1,2023-10-19 00:00:00,-13.149999999999864
2023-10-25,1,2023-10-26 00:00:00,-2985.025
2023-11-01,1,2023-11-02 00:00:00,71.41250000000014
2023-11-08,1,2023-11-09 00:00:00,472.775
2023-11-15,1,2023-11-16 00:00:00,473.5375
2023-11-22,1,2023-11-23 00:00:00,488.17499999999995
2023-11-29,1,2023-11-30 00:00:00,657.2750000000001
2023-12-06,1,2023-12-07 00:00:00,647.1750000000002
2023-12-13,1,2023-12-14 00:00:00,-3463.3250000000007
2023-12-20,1,2023-12-21 00:00:00,511.25
2023-12-27,1,2023-12-28 00:00:00,-98.19999999999982
2024-01-03,1,2024-01-04 00:00:00,664.55
2024-01-10,1,2024-01-11 00:00:00,270.01250000000016
2024-01-17,1,2024-01-18 00:00:00,244.1999999999996
2024-01-24,1,2024-01-25 00:00:00,1817.9875000000002
2024-01-31,1,2024-02-01 00:00:00,3444.6749999999993
2024-02-07,1,2024-02-08 00:00:00,-1694.1250000000005
2024-02-14,1,2024-02-15 00:00:00,547.9499999999998
2024-02-21,1,2024-02-22 00:00:00,174.3499999999999
2024-02-28,1,2024-02-29 00:00:00,471.70000000000005
2024-03-06,1,2024-03-07 00:00:00,393.45000000000016
2024-03-13,1,2024-03-14 00:00:00,164.5625
2024-03-20,1,2024-03-21 00:00:00,554.4000000000001
2024-03-27,1,2024-03-28 00:00:00,-1303.4374999999998
2024-04-03,1,2024-04-04 00:00:00,-214.13750000000027
2024-04-10,0,2024-04-10 00:00:00,546.7499999999998
2024-04-24,1,2024-04-25 00:00:00,-153.57500000000005
2024-05-08,1,2024-05-09 00:00:00,121.27500000000009
2024-05-15,1,2024-05-16 00:00:00,442.81249999999994
2024-05-22,1,2024-05-23 00:00:00,-1530.1124999999997
2024-05-29,1,2024-05-30 00:00:00,-96.51249999999982
2024-06-05,1,2024-06-06 00:00:00,2196.7125000000015
2024-06-12,1,2024-06-13 00:00:00,1625.7625000000005
2024-06-19,1,2024-06-20 00:00:00,-168.1624999999999
2024-06-26,1,2024-06-27 00:00:00,-97.46249999999986
2024-07-03,1,2024-07-04 00:00:00,1318.5875
2024-07-10,1,2024-07-11 00:00:00,1110.35
2024-07-24,1,2024-07-25 00:00:00,273.5374999999999
2024-07-31,1,2024-08-01 00:00:00,1499.2375000000002
2024-08-07,1,2024-08-08 00:00:00,110.42499999999995
2024-08-14,0,2024-08-14 00:00:00,-81.27500000000009
2024-08-21,1,2024-08-22 00:00:00,425.0375000000001
2024-08-28,1,2024-08-29 00:00:00,527.7375000000001
2024-09-04,1,2024-09-05 00:00:00,595.5250000000001
2024-09-11,1,2024-09-12 00:00:00,-4333.675
