Date,DaysToExpiry,ExpiryDate,PnL
2021-06-09,1,2021-06-10 00:00:00,359.91875000000005
2021-06-16,1,2021-06-17 00:00:00,-536.15
2021-06-23,1,2021-06-24 00:00:00,439.4062500000001
2021-06-30,1,2021-07-01 00:00:00,224.83125
2021-07-07,1,2021-07-08 00:00:00,373.70000000000005
2021-07-14,1,2021-07-15 00:00:00,69.61874999999995
2021-07-28,1,2021-07-29 00:00:00,-65.16874999999993
2021-08-04,1,2021-08-05 00:00:00,264.68125000000003
2021-08-11,1,2021-08-12 00:00:00,268.69375
2021-08-18,0,2021-08-18 00:00:00,112.03749999999991
2021-08-25,1,2021-08-26 00:00:00,218.46249999999998
2021-09-01,1,2021-09-02 00:00:00,394.71875
2021-09-08,1,2021-09-09 00:00:00,300.875
2021-09-15,1,2021-09-16 00:00:00,220.35000000000002
2021-09-22,1,2021-09-23 00:00:00,88.06874999999991
2021-09-29,1,2021-09-30 00:00:00,-59.981250000000045
2021-10-06,1,2021-10-07 00:00:00,397.79375
2021-10-13,1,2021-10-14 00:00:00,318.81249999999994
2021-10-20,1,2021-10-21 00:00:00,625.54375
2021-10-27,1,2021-10-28 00:00:00,-163.10625000000005
2021-11-03,0,2021-11-03 00:00:00,608.5124999999999
2021-11-10,1,2021-11-11 00:00:00,-321.30624999999986
2021-11-17,1,2021-11-18 00:00:00,-190.34375
2021-11-24,1,2021-11-25 00:00:00,-343.06875
2021-12-01,1,2021-12-02 00:00:00,29.824999999999932
2021-12-08,1,2021-12-09 00:00:00,258.71875
2021-12-15,1,2021-12-16 00:00:00,-408.3125
2021-12-22,1,2021-12-23 00:00:00,97.98749999999995
2021-12-29,1,2021-12-30 00:00:00,409.6
2022-01-05,1,2022-01-06 00:00:00,-234.20625000000007
2022-01-12,1,2022-01-13 00:00:00,269.5625
2022-01-19,1,2022-01-20 00:00:00,356.28749999999997
2022-02-02,1,2022-02-03 00:00:00,-426.20624999999995
2022-02-09,1,2022-02-10 00:00:00,-101.85624999999999
2022-02-16,1,2022-02-17 00:00:00,-200.54999999999995
2022-02-23,1,2022-02-24 00:00:00,-5898.106250000001
2022-03-02,1,2022-03-03 00:00:00,72.88749999999959
2022-03-09,1,2022-03-10 00:00:00,-805.3875000000003
2022-03-16,1,2022-03-17 00:00:00,-1104.30625
2022-03-23,1,2022-03-24 00:00:00,757.28125
2022-03-30,1,2022-03-31 00:00:00,297.05625000000003
2022-04-06,1,2022-04-07 00:00:00,390.4249999999999
2022-04-13,0,2022-04-13 00:00:00,324.0124999999998
2022-04-20,1,2022-04-21 00:00:00,-35.96250000000009
2022-04-27,1,2022-04-28 00:00:00,701.9687500000001
2022-05-04,1,2022-05-05 00:00:00,-242.47500000000014
2022-05-11,1,2022-05-12 00:00:00,-468.3062500000001
2022-05-18,1,2022-05-19 00:00:00,-1545.4562500000002
2022-05-25,1,2022-05-26 00:00:00,622.9625
2022-06-01,1,2022-06-02 00:00:00,793.1687499999999
2022-06-08,1,2022-06-09 00:00:00,516.4999999999999
2022-06-15,1,2022-06-16 00:00:00,1282.50625
2022-06-29,1,2022-06-30 00:00:00,698.03125
2022-07-06,1,2022-07-07 00:00:00,359.4375000000002
2022-07-13,1,2022-07-14 00:00:00,574.9875
2022-07-20,1,2022-07-21 00:00:00,240.90625
2022-07-27,1,2022-07-28 00:00:00,-225.4000000000001
2022-08-03,1,2022-08-04 00:00:00,-294.9937500000001
2022-08-10,1,2022-08-11 00:00:00,-181.82499999999993
2022-08-17,1,2022-08-18 00:00:00,248.60625
2022-08-24,1,2022-08-25 00:00:00,-229.0875000000001
2022-09-07,1,2022-09-08 00:00:00,620.3625000000002
2022-09-14,1,2022-09-15 00:00:00,-598.6187500000001
2022-09-21,1,2022-09-22 00:00:00,1293.5312499999998
2022-09-28,1,2022-09-29 00:00:00,-149.28125
2022-10-12,1,2022-10-13 00:00:00,773.2750000000001
2022-10-19,1,2022-10-20 00:00:00,-306.60625000000005
2022-11-02,1,2022-11-03 00:00:00,649.1125000000002
2022-11-09,1,2022-11-10 00:00:00,-63.86250000000007
2022-11-16,1,2022-11-17 00:00:00,242.53749999999997
2022-11-23,1,2022-11-24 00:00:00,220.15625
2022-11-30,1,2022-12-01 00:00:00,70.60625000000005
2022-12-07,1,2022-12-08 00:00:00,463.05625
2022-12-14,1,2022-12-15 00:00:00,480.60625000000005
2022-12-21,1,2022-12-22 00:00:00,610.4562500000001
2022-12-28,1,2022-12-29 00:00:00,-253.66875000000005
2023-01-04,1,2023-01-05 00:00:00,-420.4749999999997
2023-01-11,1,2023-01-12 00:00:00,596.6062499999998
2023-01-18,1,2023-01-19 00:00:00,335.14375
2023-01-25,0,2023-01-25 00:00:00,-751.0687499999998
2023-02-01,1,2023-02-02 00:00:00,-205.875
2023-02-08,1,2023-02-09 00:00:00,499.62499999999994
2023-02-15,1,2023-02-16 00:00:00,-14.331249999999898
2023-02-22,1,2023-02-23 00:00:00,-260.00625
2023-03-01,1,2023-03-02 00:00:00,-141.56249999999994
2023-03-08,1,2023-03-09 00:00:00,276.09999999999997
2023-03-15,1,2023-03-16 00:00:00,-338.30625
2023-03-22,1,2023-03-23 00:00:00,744.25
2023-03-29,0,2023-03-29 00:00:00,255.50625000000002
2023-04-05,1,2023-04-06 00:00:00,258.40624999999994
2023-04-12,1,2023-04-13 00:00:00,239.975
2023-04-19,1,2023-04-20 00:00:00,214.34374999999997
2023-04-26,1,2023-04-27 00:00:00,155.59375
2023-05-03,1,2023-05-04 00:00:00,-205.73125000000005
2023-05-10,1,2023-05-11 00:00:00,301.12500000000006
2023-05-17,1,2023-05-18 00:00:00,-349.06250000000006
2023-05-24,1,2023-05-25 00:00:00,210.35000000000002
2023-05-31,1,2023-06-01 00:00:00,267.33125
2023-06-07,1,2023-06-08 00:00:00,166.15
2023-06-14,1,2023-06-15 00:00:00,177.0875
2023-06-21,1,2023-06-22 00:00:00,210.77499999999998
2023-06-28,0,2023-06-28 00:00:00,209.55000000000007
2023-07-05,1,2023-07-06 00:00:00,291.0562499999999
2023-07-12,1,2023-07-13 00:00:00,-57.41874999999999
2023-07-19,1,2023-07-20 00:00:00,88.3875000000001
2023-07-26,1,2023-07-27 00:00:00,-5.468750000000114
2023-08-02,1,2023-08-03 00:00:00,483.525
2023-08-09,1,2023-08-10 00:00:00,-33.62499999999994
2023-08-16,1,2023-08-17 00:00:00,262.26875
2023-08-23,1,2023-08-24 00:00:00,-16.65625
2023-08-30,1,2023-08-31 00:00:00,-88.86250000000001
2023-09-06,1,2023-09-07 00:00:00,16.293750000000017
2023-09-13,1,2023-09-14 00:00:00,325.17500000000007
2023-09-20,1,2023-09-21 00:00:00,-213.73749999999995
2023-09-27,1,2023-09-28 00:00:00,256.66249999999997
2023-10-04,1,2023-10-05 00:00:00,-311.71875
2023-10-11,1,2023-10-12 00:00:00,285.91875
2023-10-18,1,2023-10-19 00:00:00,-387.85
2023-10-25,1,2023-10-26 00:00:00,-450.67499999999995
2023-11-01,1,2023-11-02 00:00:00,-439.625
2023-11-08,1,2023-11-09 00:00:00,202.575
2023-11-15,1,2023-11-16 00:00:00,214.04375000000002
