Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-03,20.26,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23135.6,21900.0,22650,23650,24500,2024-06-06 00:00:00,3,Monday,46.05,138.4,145.25,46.8,0,276.8,290.5,0,41.52,43.575,,,,,763.1999999999999
2024-06-03,,0,Long,2024-06-04 09:16:00,2024-06-04 09:16:00,2024-06-04 12:09:00,2024-06-04 12:09:00,,21900.0,22650,23650,24500,2024-06-06 00:00:00,3,Monday,"[104.5, 0.05]","[285.6, 1.6]","[42.7, 42.7]","[18.4, 18.4]",0,,,0,,,Exit,SL hit,Target hit,Exit,-642.05
2024-06-04,25.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22478.85,21150.0,22000,23000,23900,2024-06-06 00:00:00,2,Tuesday,98.3,279.55,235.65,76.75,0,559.1,471.3,0,83.865,70.695,,,,,1360.6000000000001
2024-06-04,,0,Long,2024-06-04 12:03:00,2024-06-04 12:03:00,2024-06-04 12:25:00,2024-06-04 12:25:00,,21150.0,22000,23000,23900,2024-06-06 00:00:00,2,Tuesday,"[187.55, 0.05]","[574.45, 0.1]","[64.1, 64.1]","[29.85, 29.85]",0,,,0,,,Exit,SL hit,Target hit,Exit,-1297.75
2024-06-05,21.94,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22008.2,21200.0,21700,22300,23750,2024-06-06 00:00:00,1,Wednesday,44.6,137.0,80.1,26.8,0,274.0,160.2,0,41.1,24.03,,,,,582.8
2024-06-05,,0,Long,2024-06-05 11:07:00,2024-06-05 11:07:00,2024-06-05 11:11:00,2024-06-05 11:11:00,,21200.0,21700,22300,23750,2024-06-06 00:00:00,1,Wednesday,"[11.85, 11.85]","[40.7, 40.7]","[166.7, 472.55]","[26.8, 19.55]",0,,,0,,,Exit,Target hit,SL hit,Exit,-988.1
2024-06-06,17.85,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22714.7,22450.0,22700,22700,23350,2024-06-06 00:00:00,0,Thursday,37.3,121.45,117.25,37.75,0,242.9,234.5,0,36.435,35.175,,,,,654.5999999999999
2024-06-06,,0,Long,2024-06-06 10:37:00,2024-06-06 10:37:00,2024-06-06 14:32:00,2024-06-06 14:32:00,,22450.0,22700,22700,23350,2024-06-06 00:00:00,0,Thursday,"[7.8, 7.8]","[33.5, 33.5]","[29.65, 29.65]","[32.55, 32.55]",0,,,0,,,Exit,Target hit,Target hit,Exit,-91.19999999999999
2024-06-07,16.98,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22919.25,21800.0,22300,23500,23850,2024-06-13 00:00:00,6,Friday,18.35,56.15,46.2,15.1,0,112.3,92.4,0,16.845,13.86,,,,,275.59999999999997
2024-06-07,,0,Long,2024-06-10 09:16:00,2024-06-10 09:16:00,2024-06-07 11:52:00,2024-06-07 11:52:00,,21800.0,22300,23500,23850,2024-06-13 00:00:00,6,Friday,"[5.3, 5.3]","[14.1, 14.1]","[97.0, 0.35]","[28.8, 0.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-240.10000000000008
2024-06-10,16.89,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23399.65,22550.0,22950,23850,24200,2024-06-13 00:00:00,3,Monday,18.25,55.9,43.65,13.2,0,111.8,87.3,0,16.77,13.095,,,,,272.4
2024-06-10,,0,Long,2024-06-12 09:16:00,2024-06-12 09:16:00,2024-06-11 09:16:00,2024-06-11 09:16:00,,22550.0,22950,23850,24200,2024-06-13 00:00:00,3,Monday,"[2.25, 2.25]","[15.75, 15.75]","[11.3, 11.3]","[2.9, 2.9]",0,,,0,,,Exit,Target hit,Target hit,Exit,-87.6
2024-06-11,15.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23282.7,22700.0,22950,23650,23850,2024-06-13 00:00:00,2,Tuesday,16.6,47.25,28.1,9.85,0,94.5,56.2,0,14.175,8.43,,,,,195.59999999999997
2024-06-11,,0,Long,2024-06-12 09:27:00,2024-06-12 09:27:00,2024-06-12 09:18:00,2024-06-12 09:18:00,,22700.0,22950,23650,23850,2024-06-13 00:00:00,2,Tuesday,"[4.2, 4.2]","[14.1, 14.1]","[8.4, 8.4]","[2.05, 2.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-65.0
2024-06-12,14.56,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23355.3,22950.0,23150,23550,23700,2024-06-13 00:00:00,1,Wednesday,13.6,37.55,23.9,6.55,0,75.1,47.8,0,11.265,7.169999999999999,,,,,165.2
2024-06-12,,0,Long,2024-06-13 09:15:00,2024-06-13 09:15:00,2024-06-12 10:45:00,2024-06-12 10:45:00,,22950.0,23150,23550,23700,2024-06-13 00:00:00,1,Wednesday,"[4.4, 4.4]","[9.7, 9.7]","[48.6, 0.25]","[13.7, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-126.05
2024-06-13,14.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23418.2,23250.0,23400,23400,23500,2024-06-13 00:00:00,0,Thursday,14.4,51.6,66.0,26.05,0,103.2,132.0,0,15.48,19.8,,,,,308.59999999999997
2024-06-13,,0,Long,2024-06-13 14:43:00,2024-06-13 14:43:00,2024-06-13 11:13:00,2024-06-13 11:13:00,,23250.0,23400,23400,23500,2024-06-13 00:00:00,0,Thursday,"[0.45, 0.45]","[13.35, 13.35]","[18.9, 18.9]","[5.25, 5.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-106.2
2024-06-14,13.18,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23351.9,22600.0,22900,23800,24000,2024-06-20 00:00:00,6,Friday,6.95,22.0,13.7,4.9,0,44.0,27.4,0,6.6,4.109999999999999,,,,,95.4
2024-06-14,,0,Long,2024-06-18 09:15:00,2024-06-18 09:15:00,2024-06-19 14:37:00,2024-06-19 14:37:00,,22600.0,22900,23800,24000,2024-06-20 00:00:00,6,Friday,"[4.5, 4.5]","[6.0, 6.0]","[28.7, 0.15]","[4.0, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-80.1
2024-06-18,13.4,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23515.0,22900.0,23200,23800,23900,2024-06-20 00:00:00,2,Tuesday,6.0,17.8,13.8,5.4,0,35.6,27.6,0,5.34,4.14,,,,,80.80000000000001
2024-06-18,,0,Long,2024-06-19 14:23:00,2024-06-19 14:23:00,2024-06-19 14:37:00,2024-06-19 14:37:00,,22900.0,23200,23800,23900,2024-06-20 00:00:00,2,Tuesday,"[1.85, 1.85]","[5.15, 5.15]","[28.7, 0.15]","[10.35, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-68.30000000000001
2024-06-19,13.17,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23557.3,23150.0,23350,23750,23850,2024-06-20 00:00:00,1,Wednesday,7.05,22.35,20.05,7.4,0,44.7,40.1,0,6.705,6.015,,,,,111.80000000000003
2024-06-19,,0,Long,2024-06-19 10:24:00,2024-06-19 10:24:00,2024-06-19 14:36:00,2024-06-19 14:36:00,,23150.0,23350,23750,23850,2024-06-20 00:00:00,1,Wednesday,"[13.4, 0.2]","[45.7, 0.3]","[42.15, 0.2]","[16.8, 0.1]",0,,,0,,,Exit,SL hit,SL hit,Exit,-173.14999999999998
2024-06-20,13.8,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23497.6,23350.0,23500,23500,23650,2024-06-20 00:00:00,0,Thursday,28.2,81.7,60.8,19.5,0,163.4,121.6,0,24.51,18.24,,,,,379.2
2024-06-20,,0,Long,2024-06-20 11:23:00,2024-06-20 11:23:00,2024-06-20 13:28:00,2024-06-20 13:28:00,,23350.0,23500,23500,23650,2024-06-20 00:00:00,0,Thursday,"[4.85, 4.85]","[22.75, 22.75]","[128.25, 59.25]","[30.4, 0.45]",0,,,0,,,Exit,Target hit,SL hit,Exit,-423.95000000000005
2024-06-21,13.36,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23607.85,22800.0,23100,24100,24350,2024-06-27 00:00:00,6,Friday,6.3,19.25,9.5,3.05,0,38.5,19.0,0,5.775,2.85,,,,,77.6
2024-06-21,,0,Long,2024-06-21 14:36:00,2024-06-21 14:36:00,2024-06-25 10:00:00,2024-06-25 10:00:00,,22800.0,23100,24100,24350,2024-06-27 00:00:00,6,Friday,"[11.45, 0.1]","[40.3, 0.05]","[2.85, 2.85]","[0.95, 0.95]",0,,,0,,,Exit,SL hit,Target hit,Exit,-94.1
2024-06-24,13.55,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23411.0,22800.0,23050,23750,23950,2024-06-27 00:00:00,3,Monday,7.75,26.45,21.65,7.15,0,52.9,43.3,0,7.935,6.494999999999999,,,,,132.79999999999998
2024-06-24,,0,Long,2024-06-25 09:39:00,2024-06-25 09:39:00,2024-06-24 11:19:00,2024-06-24 11:19:00,,22800.0,23050,23750,23950,2024-06-27 00:00:00,3,Monday,"[2.75, 2.75]","[7.7, 7.7]","[49.35, 282.15]","[14.05, 87.8]",0,,,0,,,Exit,Target hit,SL hit,Exit,-320.05
2024-06-25,14.05,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23579.75,23100.0,23300,23900,24050,2024-06-27 00:00:00,2,Tuesday,10.5,28.6,12.6,4.2,0,57.2,25.2,0,8.58,3.78,,,,,106.00000000000001
2024-06-25,,0,Long,2024-06-26 10:28:00,2024-06-26 10:28:00,2024-06-25 13:01:00,2024-06-25 13:01:00,,23100.0,23300,23900,24050,2024-06-27 00:00:00,2,Tuesday,"[3.9, 3.9]","[8.5, 8.5]","[26.25, 134.9]","[7.3, 16.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-194.05
2024-06-26,14.42,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23696.55,23300.0,23500,23900,24050,2024-06-27 00:00:00,1,Wednesday,12.25,34.7,21.1,5.75,0,69.4,42.2,0,10.41,6.33,,,,,151.20000000000002
2024-06-26,,0,Long,2024-06-26 13:18:00,2024-06-26 13:18:00,2024-06-26 11:01:00,2024-06-26 11:01:00,,23300.0,23500,23900,24050,2024-06-27 00:00:00,1,Wednesday,"[4.55, 4.55]","[10.4, 10.4]","[44.55, 134.9]","[11.7, 16.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-240.74999999999994
2024-06-27,14.1,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23819.7,23650.0,23800,23800,23950,2024-06-27 00:00:00,0,Thursday,16.95,63.4,70.15,23.1,0,126.8,140.3,0,19.02,21.045,,,,,374.00000000000006
2024-06-27,,0,Long,2024-06-27 10:00:00,2024-06-27 10:00:00,2024-06-27 10:00:00,2024-06-27 10:00:00,,23650.0,23800,23800,23950,2024-06-27 00:00:00,0,Thursday,"[5.2, 5.2]","[17.7, 17.7]","[147.0, 230.35]","[53.2, 87.8]",0,,,0,,,Exit,Target hit,SL hit,Exit,-473.95000000000005
2024-06-28,14.14,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24131.95,23250.0,23650,24650,24850,2024-07-04 00:00:00,6,Friday,12.05,38.95,14.25,5.0,0,77.9,28.5,0,11.685,4.275,,,,,144.60000000000002
2024-06-28,,0,Long,2024-07-02 09:15:00,2024-07-02 09:15:00,2024-07-02 09:29:00,2024-07-02 09:29:00,,23250.0,23650,24650,24850,2024-07-04 00:00:00,6,Friday,"[1.5, 1.5]","[11.5, 11.5]","[4.25, 4.25]","[1.25, 1.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-52.0
2024-07-01,14.03,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24042.7,23450.0,23700,24400,24600,2024-07-04 00:00:00,3,Monday,11.6,33.15,28.7,9.3,0,66.3,57.4,0,9.945,8.61,,,,,163.79999999999998
