Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-03,20.26,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23135.6,22200.0,22650,23650,24150,2024-06-06 00:00:00,3,Monday,69.65,138.4,145.25,71.05,0,346.0,363.125,0,41.52,43.575,,,,,428.85
2024-06-03,,0,Long,2024-06-04 09:23:00,2024-06-04 09:23:00,2024-06-04 12:09:00,2024-06-04 12:09:00,,22200.0,22650,23650,24150,2024-06-06 00:00:00,3,Monday,"[266.4, 0.15]","[436.05, 1.6]","[42.7, 42.7]","[27.1, 27.1]",0,,,0,,,Exit,SL hit,Target hit,Exit,-219.35000000000014
2024-06-04,25.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22478.85,21450.0,22000,23000,23500,2024-06-06 00:00:00,2,Tuesday,142.05,279.55,235.65,119.4,0,698.875,589.125,0,83.865,70.695,,,,,761.25
2024-06-04,,0,Long,2024-06-04 12:11:00,2024-06-04 12:11:00,2024-06-04 12:25:00,2024-06-04 12:25:00,,21450.0,22000,23000,23500,2024-06-06 00:00:00,2,Tuesday,"[409.3, 0.05]","[735.8, 0.1]","[64.1, 64.1]","[41.0, 41.0]",0,,,0,,,Exit,SL hit,Target hit,Exit,-395.9
2024-06-05,21.94,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22008.2,21400.0,21700,22300,23550,2024-06-06 00:00:00,1,Wednesday,71.0,137.0,80.1,39.95,0,342.5,200.25,0,41.1,24.03,,,,,318.44999999999993
2024-06-05,,0,Long,2024-06-05 11:07:00,2024-06-05 11:07:00,2024-06-05 11:27:00,2024-06-05 11:27:00,,21400.0,21700,22300,23550,2024-06-06 00:00:00,1,Wednesday,"[18.6, 18.6]","[40.7, 40.7]","[214.1, 472.55]","[39.3, 33.9]",0,,,0,,,Exit,Target hit,SL hit,Exit,-1118.4
2024-06-06,17.85,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22714.7,22550.0,22700,22700,22850,2024-06-06 00:00:00,0,Thursday,62.15,121.45,117.25,64.35,0,303.625,293.125,0,36.435,35.175,,,,,336.6
2024-06-06,,0,Long,2024-06-06 10:37:00,2024-06-06 10:37:00,2024-06-06 14:32:00,2024-06-06 14:32:00,,22550.0,22700,22700,22850,2024-06-06 00:00:00,0,Thursday,"[13.7, 13.7]","[33.5, 33.5]","[29.65, 29.65]","[2.95, 2.95]",0,,,0,,,Exit,Target hit,Target hit,Exit,-139.5
2024-06-07,16.98,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22919.25,22000.0,22300,23500,24050,2024-06-13 00:00:00,6,Friday,28.3,56.15,46.2,23.9,0,140.375,115.5,0,16.845,13.86,,,,,150.45000000000002
2024-06-07,,0,Long,2024-06-10 09:16:00,2024-06-10 09:16:00,2024-06-07 14:17:00,2024-06-07 14:17:00,,22000.0,22300,23500,24050,2024-06-13 00:00:00,6,Friday,"[7.5, 7.5]","[14.1, 14.1]","[117.6, 0.35]","[22.55, 0.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-115.44999999999999
2024-06-10,16.89,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23399.65,22700.0,22950,23850,24050,2024-06-13 00:00:00,3,Monday,27.75,55.9,43.65,22.0,0,139.75,109.125,0,16.77,13.095,,,,,149.39999999999998
2024-06-10,,0,Long,2024-06-12 09:16:00,2024-06-12 09:16:00,2024-06-11 09:16:00,2024-06-11 09:16:00,,22700.0,22950,23850,24050,2024-06-13 00:00:00,3,Monday,"[4.4, 4.4]","[15.75, 15.75]","[11.3, 11.3]","[4.6, 4.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-54.150000000000006
2024-06-11,15.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23282.7,22800.0,22950,23650,23800,2024-06-13 00:00:00,2,Tuesday,25.35,47.25,28.1,12.85,0,118.125,70.25,0,14.175,8.43,,,,,111.45
2024-06-11,,0,Long,2024-06-12 09:27:00,2024-06-12 09:27:00,2024-06-12 09:18:00,2024-06-12 09:18:00,,22800.0,22950,23650,23800,2024-06-13 00:00:00,2,Tuesday,"[6.75, 6.75]","[14.1, 14.1]","[8.4, 8.4]","[2.65, 2.65]",0,,,0,,,Exit,Target hit,Target hit,Exit,-39.3
2024-06-12,14.56,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23355.3,23000.0,23150,23550,23650,2024-06-13 00:00:00,1,Wednesday,17.55,37.55,23.9,10.15,0,93.875,59.75,0,11.265,7.169999999999999,,,,,101.24999999999996
2024-06-12,,0,Long,2024-06-13 09:15:00,2024-06-13 09:15:00,2024-06-13 09:55:00,2024-06-13 09:55:00,,23000.0,23150,23550,23650,2024-06-13 00:00:00,1,Wednesday,"[5.0, 5.0]","[9.7, 9.7]","[6.65, 6.65]","[2.25, 2.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-27.299999999999997
2024-06-13,14.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23418.2,23300.0,23400,23400,23500,2024-06-13 00:00:00,0,Thursday,21.8,51.6,66.0,26.05,0,129.0,165.0,0,15.48,19.8,,,,,209.25
2024-06-13,,0,Long,2024-06-13 14:43:00,2024-06-13 14:43:00,2024-06-13 11:13:00,2024-06-13 11:13:00,,23300.0,23400,23400,23500,2024-06-13 00:00:00,0,Thursday,"[0.65, 0.65]","[13.35, 13.35]","[18.9, 18.9]","[5.25, 5.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-79.05
2024-06-14,13.18,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23351.9,22750.0,22900,23800,23950,2024-06-20 00:00:00,6,Friday,11.8,22.0,13.7,5.95,0,55.0,34.25,0,6.6,4.109999999999999,,,,,53.84999999999999
2024-06-14,,0,Long,2024-06-18 09:15:00,2024-06-18 09:15:00,2024-06-20 09:51:00,2024-06-20 09:51:00,,22750.0,22900,23800,23950,2024-06-20 00:00:00,6,Friday,"[8.0, 8.0]","[6.0, 6.0]","[4.1, 4.1]","[1.3, 1.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-2.3999999999999986
2024-06-18,13.4,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23515.0,23000.0,23200,23800,23900,2024-06-20 00:00:00,2,Tuesday,8.25,17.8,13.8,5.4,0,44.5,34.5,0,5.34,4.14,,,,,53.85000000000001
2024-06-18,,0,Long,2024-06-19 14:23:00,2024-06-19 14:23:00,2024-06-20 09:51:00,2024-06-20 09:51:00,,23000.0,23200,23800,23900,2024-06-20 00:00:00,2,Tuesday,"[2.45, 2.45]","[5.15, 5.15]","[4.1, 4.1]","[1.85, 1.85]",0,,,0,,,Exit,Target hit,Target hit,Exit,-14.85
2024-06-19,13.17,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23557.3,23250.0,23350,23750,23800,2024-06-20 00:00:00,1,Wednesday,12.35,22.35,20.05,11.95,0,55.875,50.125,0,6.705,6.015,,,,,54.300000000000026
