Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-03,20.26,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23135.6,22150,22650,23650,24150,2024-06-06 00:00:00,3,Monday,64.9,138.4,145.25,71.05,0,346.0,363.125,0,27.680000000000003,29.05,,,,,590.8
2024-06-03,,0,Long,2024-06-04 09:23:00,2024-06-04 09:23:00,2024-06-06 15:00:00,2024-06-06 15:00:00,,22150,22650,23650,24150,2024-06-06 00:00:00,3,Monday,"[253.5, 0.15]","[436.05, 1.6]","[29.45, 29.45]","[13.8, 13.8]",0,,,0,,,Exit,SL hit,Universal exit,Exit,-611.6999999999999
2024-06-04,25.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22478.85,21500,22000,23000,23500,2024-06-06 00:00:00,2,Tuesday,150.0,279.55,235.65,119.4,0,698.875,589.125,0,55.91,47.13,,,,,983.2000000000003
2024-06-04,,0,Long,2024-06-04 12:11:00,2024-06-04 12:11:00,2024-06-05 09:16:00,2024-06-05 09:16:00,,21500,22000,23000,23500,2024-06-06 00:00:00,2,Tuesday,"[433.2, 0.05]","[735.8, 0.1]","[28.55, 28.55]","[16.65, 16.65]",0,,,0,,,Exit,SL hit,Target hit,Exit,-955.4499999999996
2024-06-05,21.94,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22008.2,21200,21700,22300,22800,2024-06-06 00:00:00,1,Wednesday,44.6,137.0,80.1,21.55,0,342.5,200.25,0,27.4,16.02,,,,,603.8
2024-06-05,,0,Long,2024-06-05 11:30:00,2024-06-05 11:30:00,2024-06-05 11:27:00,2024-06-05 11:27:00,,21200,21700,22300,22800,2024-06-06 00:00:00,1,Wednesday,"[8.05, 8.05]","[26.75, 26.75]","[214.1, 472.55]","[47.35, 9.65]",0,,,0,,,Exit,Target hit,SL hit,Exit,-1037.9499999999998
2024-06-06,17.85,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22714.7,22200,22700,22700,23200,2024-06-06 00:00:00,0,Thursday,10.5,121.45,117.25,10.65,0,303.625,293.125,0,24.290000000000003,23.450000000000003,,,,,870.1999999999999
2024-06-06,,0,Long,2024-06-06 11:00:00,2024-06-06 11:00:00,2024-06-06 14:42:00,2024-06-06 14:42:00,,22200,22700,22700,23200,2024-06-06 00:00:00,0,Thursday,"[1.75, 1.75]","[24.25, 24.25]","[22.85, 22.85]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-180.4
2024-06-07,16.98,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22919.25,21800,22300,23500,24000,2024-06-13 00:00:00,6,Friday,18.35,56.15,46.2,9.75,0,140.375,115.5,0,11.23,9.24,,,,,297.0
2024-06-07,,0,Long,2024-06-10 09:28:00,2024-06-10 09:28:00,2024-06-07 14:17:00,2024-06-07 14:17:00,,21800,22300,23500,24000,2024-06-13 00:00:00,6,Friday,"[4.1, 4.1]","[10.2, 10.2]","[117.6, 0.35]","[21.45, 0.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-313.15
2024-06-10,16.89,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23399.65,22450,22950,23850,24350,2024-06-13 00:00:00,3,Monday,14.05,55.9,43.65,8.1,0,139.75,109.125,0,11.18,8.73,,,,,309.6
2024-06-10,,0,Long,2024-06-12 09:53:00,2024-06-12 09:53:00,2024-06-11 09:34:00,2024-06-11 09:34:00,,22450,22950,23850,24350,2024-06-13 00:00:00,3,Monday,"[1.45, 1.45]","[11.0, 11.0]","[7.8, 7.8]","[1.5, 1.5]",0,,,0,,,Exit,Target hit,Target hit,Exit,-63.400000000000006
2024-06-11,15.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23282.7,22450,22950,23650,24150,2024-06-13 00:00:00,2,Tuesday,5.7,47.25,28.1,2.65,0,118.125,70.25,0,9.45,5.620000000000001,,,,,268.0
2024-06-11,,0,Long,2024-06-12 10:42:00,2024-06-12 10:42:00,2024-06-12 15:01:00,2024-06-12 15:01:00,,22450,22950,23650,24150,2024-06-13 00:00:00,2,Tuesday,"[1.7, 1.7]","[8.9, 8.9]","[5.6, 5.6]","[0.4, 0.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-49.6
2024-06-12,14.56,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23355.3,22650,23150,23550,24050,2024-06-13 00:00:00,1,Wednesday,3.45,37.55,23.9,1.35,0,93.875,59.75,0,7.51,4.78,,,,,226.59999999999997
2024-06-12,,0,Long,2024-06-13 09:16:00,2024-06-13 09:16:00,2024-06-13 10:29:00,2024-06-13 10:29:00,,22650,23150,23550,24050,2024-06-13 00:00:00,1,Wednesday,"[0.5, 0.5]","[6.0, 6.0]","[4.55, 4.55]","[0.3, 0.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-39.0
2024-06-13,14.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23418.2,22900,23400,23400,23900,2024-06-13 00:00:00,0,Thursday,1.1,51.6,66.0,0.65,0,129.0,165.0,0,10.32,13.2,,,,,463.4
2024-06-13,,0,Long,2024-06-13 14:59:00,2024-06-13 14:59:00,2024-06-13 14:11:00,2024-06-13 14:11:00,,22900,23400,23400,23900,2024-06-13 00:00:00,0,Thursday,"[0.15, 0.15]","[9.4, 9.4]","[13.2, 13.2]","[0.15, 0.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-89.2
2024-06-14,13.18,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23351.9,22400,22900,23800,24300,2024-06-20 00:00:00,6,Friday,3.6,22.0,13.7,1.9,0,55.0,34.25,0,4.4,2.74,,,,,120.80000000000001
2024-06-14,,0,Long,2024-06-18 10:00:00,2024-06-18 10:00:00,2024-06-20 10:34:00,2024-06-20 10:34:00,,22400,22900,23800,24300,2024-06-20 00:00:00,6,Friday,"[1.7, 1.7]","[4.3, 4.3]","[2.55, 2.55]","[0.35, 0.35]",0,,,0,,,Exit,Target hit,Target hit,Exit,-19.2
