Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit
2025-07-01,12.67,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83776.97,83200,83500,84100,84400,2025-07-01 00:00:00,0.25,Tuesday,42.85,87.6,82.4,36.0,0,262.79999999999995,247.20000000000002,0,26.279999999999998,24.720000000000002,,,,
2025-07-01,,0,Long,2025-07-01 12:20:00,2025-07-01 12:20:00,2025-07-01 10:11:00,2025-07-01 10:11:00,,83200,83500,84100,84400,2025-07-01 00:00:00,0.25,Tuesday,"[10.1, 10.1]","[25.85, 25.85]","[24.45, 24.45]","[8.9, 8.9]",0,,,0,,,Exit,Target hit,Target hit,Exit
2025-07-02,12.43,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83820.52,82000,82500,85100,85500,2025-07-08 00:00:00,4.0,Wednesday,46.0,87.4,88.3,46.05,0,262.20000000000005,264.9,0,26.220000000000002,26.49,,,,
2025-07-02,,0,Long,2025-07-08 09:15:00,2025-07-08 09:15:00,2025-07-03 15:04:00,2025-07-03 15:04:00,,82000,82500,85100,85500,2025-07-08 00:00:00,4.0,Wednesday,"[7.95, 7.95]","[15.0, 15.0]","[26.35, 26.35]","[13.8, 13.8]",0,,,0,,,Exit,Target hit,Target hit,Exit
2025-07-03,12.44,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83355.3,81800,82300,84500,84900,2025-07-08 00:00:00,3.0,Thursday,56.1,107.5,89.8,47.15,0,322.5,269.4,0,32.25,26.939999999999998,,,,
2025-07-03,,0,Long,2025-07-07 09:22:00,2025-07-07 09:22:00,2025-07-04 11:46:00,2025-07-04 11:46:00,,81800,82300,84500,84900,2025-07-08 00:00:00,3.0,Thursday,"[11.05, 11.05]","[30.55, 30.55]","[25.3, 25.3]","[12.25, 12.25]",0,,,0,,,Exit,Target hit,Target hit,Exit
2025-07-04,12.31,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83322.12,82000,82400,84200,84600,2025-07-08 00:00:00,2.0,Friday,38.8,77.75,86.1,41.8,0,233.25,258.29999999999995,0,23.325,25.83,,,,
2025-07-04,,0,Long,2025-07-07 13:50:00,2025-07-07 13:50:00,2025-07-08 09:15:00,2025-07-08 09:15:00,,82000,82400,84200,84600,2025-07-08 00:00:00,2.0,Friday,"[9.35, 9.35]","[22.85, 22.85]","[19.8, 19.8]","[10.3, 10.3]",0,,,0,,,Exit,Target hit,Target hit,Exit
2025-07-07,12.66,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83367.05,82400,82700,84100,84400,2025-07-08 00:00:00,1.0,Monday,36.3,69.25,51.6,26.4,0,207.75,154.8,0,20.775,15.48,,,,
2025-07-07,,0,Long,2025-07-08 09:22:00,2025-07-08 09:22:00,2025-07-08 09:35:00,2025-07-08 09:35:00,,82400,82700,84100,84400,2025-07-08 00:00:00,1.0,Monday,"[8.15, 8.15]","[18.4, 18.4]","[13.7, 13.7]","[5.65, 5.65]",0,,,0,,,Exit,Target hit,Target hit,Exit
