Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit
2025-07-01,12.67,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83776.97,82500,83500,84100,85100,2025-07-01 00:00:00,0.25,Tuesday,8.0,87.6,82.4,4.55,0,175.2,164.8,0,17.52,16.48,,,,
2025-07-01,,0,Long,2025-07-01 12:36:00,2025-07-01 12:36:00,2025-07-01 10:52:00,2025-07-01 10:52:00,,82500,83500,84100,85100,2025-07-01 00:00:00,0.25,Tuesday,"[2.35, 2.35]","[16.8, 16.8]","[16.0, 16.0]","[2.25, 2.25]",0,,,0,,,Exit,Target hit,Target hit,Exit
2025-07-02,12.43,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83820.52,81500,82500,85100,86100,2025-07-08 00:00:00,4.0,Wednesday,26.05,87.4,88.3,19.0,0,174.8,176.6,0,17.48,17.66,,,,
2025-07-02,,0,Long,2025-07-02 13:27:00,2025-07-02 13:27:00,2025-07-04 09:23:00,2025-07-04 09:23:00,,81500,82500,85100,86100,2025-07-08 00:00:00,4.0,Wednesday,"[46.9, 0.25]","[179.05, 0.5]","[17.35, 17.35]","[4.8, 4.8]",0,,,0,,,Exit,SL hit,Target hit,Exit
2025-07-03,12.44,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83355.3,81300,82300,84500,85500,2025-07-08 00:00:00,3.0,Thursday,30.9,107.5,89.8,18.4,0,215.0,179.6,0,21.5,17.96,,,,
2025-07-03,,0,Long,2025-07-07 09:55:00,2025-07-07 09:55:00,2025-07-07 10:10:00,2025-07-07 10:10:00,,81300,82300,84500,85500,2025-07-08 00:00:00,3.0,Thursday,"[4.05, 4.05]","[21.5, 21.5]","[17.0, 17.0]","[2.75, 2.75]",0,,,0,,,Exit,Target hit,Target hit,Exit
2025-07-04,12.31,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83322.12,81400,82400,84200,85200,2025-07-08 00:00:00,2.0,Friday,14.7,77.75,86.1,14.75,0,155.5,172.2,0,15.55,17.22,,,,
2025-07-04,,0,Long,2025-07-08 09:16:00,2025-07-08 09:16:00,2025-07-08 09:21:00,2025-07-08 09:21:00,,81400,82400,84200,85200,2025-07-08 00:00:00,2.0,Friday,"[1.9, 1.9]","[15.4, 15.4]","[16.4, 16.4]","[1.7, 1.7]",0,,,0,,,Exit,Target hit,Target hit,Exit
2025-07-07,12.66,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83367.05,81700,82700,84100,85100,2025-07-08 00:00:00,1.0,Monday,8.9,69.25,51.6,5.6,0,138.5,103.2,0,13.850000000000001,10.32,,,,
2025-07-07,,0,Long,2025-07-08 09:31:00,2025-07-08 09:31:00,2025-07-08 10:00:00,2025-07-08 10:00:00,,81700,82700,84100,85100,2025-07-08 00:00:00,1.0,Monday,"[1.8, 1.8]","[11.05, 11.05]","[10.25, 10.25]","[1.7, 1.7]",0,,,0,,,Exit,Target hit,Target hit,Exit
