Filename,Total PnL,Max Drawdown,Max Drawdown Percentage,All Monthly PnL,12M Monthly PnL,Daily 4M PnL ,min pnl ,Max Investment,ROI % ,ROI with DD,Max Drawdown Date,Time to Recover,Peak Date Before Max Drawdown,Total Trades,No. of Winners,No. of Losers,Win %,Loss %,Max Profit,Max Loss,Median PnL,Median Profit,Median Loss,SD,SD Profit,SD Loss,Last 15 Months Max Drawdown,Last 15 Months Max Drawdown Percentage,Last 15 Months Max Drawdown Date,Last 15 Months Time to Recover,Last 15 Months Peak Date Before Max Drawdown,Sortino Ratio,Dmonthly12_PnL_Ratio,Max_Drawdown_Ratio,Dmonthly12_PnL_Z,Max_Drawdown_Z,Win%_Z,Sortino_Ratio_Z,Final_Z_Score
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1_lots_4_exit_1_4th_DTE0.25.csv",23334.93,7927.290000000001,50.112364664584376,1666.7807142857132,1684.5633333333328,1272.0575000000001,1666.7807142857132,360000,6.481924999999996,6.342266701662712,2025-01-28,49,2025-01-14,60,52,8,86.66666666666667,13.333333333333334,5352.779999999999,-6656.85,216.96000000000004,247.09999999999997,-88.56000000000003,1362.3446323786548,1016.3271034969814,2291.1415582408295,7927.290000000001,50.112364664584376,2025-01-28,49,2025-01-14,0.2561084504687928,0.004679342592592591,0.02202025,0.6356485849878857,0.020307917360687766,1.0,0.804860834900515,2.920201502527713
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,1_lots_4_exit_1_4th_DTE0.25.csv",22685.25999999999,8779.730000000003,56.01693320190005,1620.3757142857135,1617.0416666666654,1564.2,1620.3757142857135,360000,6.301461111111108,6.151438963307444,2025-01-28,77,2025-01-14,60,52,8,86.66666666666667,13.333333333333334,5352.779999999999,-6656.85,238.33000000000007,287.32000000000005,-142.71000000000026,1411.5914112410073,1056.4346333952305,2312.7178893639257,8779.730000000003,56.01693320190005,2025-01-28,77,2025-01-14,0.23365396911178596,0.0044917824074074035,0.024388138888888897,0.628013872250242,0.02542271285047064,1.0,0.7927265486613096,2.8953177080610812
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,3_lots_1_exit_full_DTE0.25.csv",17003.84999999999,14354.285000000002,139.98526448829458,1214.5607142857136,1226.7249999999995,3828.6474999999996,1214.5607142857136,90000,18.893166666666655,16.29434766382616,2025-05-27,126,2025-03-25,60,37,23,61.666666666666664,38.333333333333336,7710.419999999999,-7491.195,1591.0725,2064.835,-2748.140000000001,3008.1390358240974,1265.3446411434102,1530.3636894711271,14354.285000000002,139.98526448829458,2025-05-27,126,2025-03-25,0.6172132289757483,0.013630277777777772,0.15949205555555557,1.0,0.3172560445837553,0.39999999999999986,1.0,2.8827439554162444
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,2_lots_4_exit_1_4th_DTE0.25.csv",21504.569999999992,8698.930000000004,55.28722066191395,1536.0407142857136,1533.043333333333,1246.7775,1536.0407142857136,360000,5.973491666666664,5.832555575900367,2025-01-28,77,2025-01-14,60,52,8,86.66666666666667,13.333333333333334,4480.139999999999,-6786.130000000001,224.02,247.09999999999997,-88.56000000000003,1323.091150062732,913.852437163904,2353.649624664625,8698.930000000004,55.28722066191395,2025-01-28,77,2025-01-14,0.19375896459129752,0.004258453703703703,0.024163694444444456,0.618516133567239,0.024937898112102612,1.0,0.7711674934032846,2.8647457288584213
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1_lots_4_exit_1_4th_DTE0.25.csv",20964.339999999993,8779.730000000003,63.366526000200665,1497.4528571428564,1473.631666666666,1487.9450000000002,1497.4528571428564,360000,5.823427777777774,5.684786417084256,2025-01-28,77,2025-01-14,60,52,8,86.66666666666667,13.333333333333334,5352.779999999999,-6656.85,227.15000000000003,259.9300000000001,-88.56000000000003,1324.7849547748697,927.5849293887177,2319.1589907700686,8779.730000000003,63.366526000200665,2025-01-28,77,2025-01-14,0.18000182773335552,0.004093421296296295,0.024388138888888897,0.6117984230802647,0.02542271285047064,1.0,0.7637332073998763,2.8501089176296706
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,2_lots_4_exit_1_4th_DTE0.25.csv",20854.899999999994,9551.370000000003,61.272331523653186,1489.6357142857137,1465.5216666666663,1538.9200000000003,1489.6357142857137,360000,5.793027777777775,5.643302039443121,2025-01-28,119,2025-01-14,60,52,8,86.66666666666667,13.333333333333334,4714.639999999999,-6786.130000000001,238.33000000000007,300.8,-173.01000000000025,1363.7190095609335,929.5742717687226,2397.8901668844373,9551.370000000003,61.272331523653186,2025-01-28,119,2025-01-14,0.170831725298724,0.004070893518518517,0.02653158333333334,0.6108814208295953,0.030052693601885484,1.0,0.7587777312071504,2.8396064584348606
"SENSEX_candle_5T_short_0_long_0,5_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,3_lots_3_exit_1_3rd_DTE0.25.csv",24393.480000000018,28200.704999999987,973.2401876028866,1742.3914285714293,2405.7891666666674,4424.380000000001,1742.3914285714293,270000,9.034622222222225,8.180222109132847,2024-10-25,168,2024-07-05,60,46,14,76.66666666666667,23.333333333333332,11486.925,-14142.05,2454.675,2902.739999999999,-9692.392499999998,5901.302034460039,2136.567975114038,3077.953200356733,28200.704999999987,973.2401876028866,2024-10-25,168,2024-07-05,0.3029257977227744,0.008910330246913583,0.1044470555555555,0.8078726383250283,0.1983552299989918,0.7600000000000001,0.8301606885692714,2.819678096895308
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1_lots_3_exit_1_3rd_DTE0.25.csv",15507.205,5847.750000000002,54.984060240584355,1107.6575,1100.6020833333334,881.0074999999998,1107.6575,270000,5.743409259259259,5.62165361145777,2025-01-28,56,2025-01-14,60,49,11,81.66666666666667,18.333333333333332,4014.585,-4881.790000000001,156.33749999999998,204.7949999999999,-67.47999999999996,985.2684859664154,740.1705128786434,1445.381812895975,5847.750000000002,54.984060240584355,2025-01-28,56,2025-01-14,0.20593693468690594,0.004076304012345679,0.02165833333333334,0.6111016571558624,0.019526153595069276,0.8800000000000001,0.7777484058101742,2.8093239093709674
"SENSEX_candle_5T_short_0_long_0,5_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,3_lots_4_exit_1_4th_DTE0.25.csv",33433.63999999996,40597.60999999999,1050.8041972522185,2388.1171428571406,3254.0666666666643,5939.1525,2388.1171428571406,360000,9.287122222222212,8.345940955563854,2024-10-25,175,2024-07-05,60,46,14,76.66666666666667,23.333333333333332,15315.899999999994,-20878.76,3343.05,3978.224999999998,-14089.234999999993,8278.588688476788,2786.0392419432515,4436.863928258732,40597.60999999999,1050.8041972522185,2024-10-25,175,2024-07-05,0.29482922262403416,0.009039074074074067,0.11277113888888887,0.8131132075649481,0.2163357966082168,0.7600000000000001,0.8257853410275799,2.8025627519843113
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,2_lots_4_exit_1_4th_DTE0.25.csv",19133.979999999992,9551.370000000003,69.36104763004421,1366.7128571428566,1322.1116666666667,1462.6650000000002,1366.7128571428566,360000,5.314994444444442,5.177623884874245,2025-01-28,119,2025-01-14,60,52,8,86.66666666666667,13.333333333333334,4480.139999999999,-6786.130000000001,227.15000000000003,285.30000000000007,-88.56000000000003,1286.6266080803032,805.888174866623,2408.5755457231066,9551.370000000003,69.36104763004421,2025-01-28,119,2025-01-14,0.11903834930648982,0.0036725324074074073,0.02653158333333334,0.594665971659618,0.030052693601885484,1.0,0.7307888572005617,2.7954021352582945
