Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-01,12.67,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83776.97,83000.0,83500,84100,84500.0,2025-07-01 00:00:00,0.25,Tuesday,27.05,87.6,82.4,26.45,0,175.2,164.8,0,17.52,16.48,,,,,116.5
2025-07-01,,0,Long,2025-07-01 12:36:00,2025-07-01 12:36:00,2025-07-01 10:52:00,2025-07-01 10:52:00,,83000.0,83500,84100,84500.0,2025-07-01 00:00:00,0.25,Tuesday,"[4.45, 4.45]","[16.8, 16.8]","[16.0, 16.0]","[5.1, 5.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-23.25
2025-07-08,12.47,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83494.14,82800.0,83200,83800,84100.0,2025-07-08 00:00:00,0.25,Tuesday,20.3,63.35,49.05,16.4,0,126.7,98.1,0,12.670000000000002,9.81,,,,,75.7
2025-07-08,,0,Long,2025-07-08 12:30:00,2025-07-08 12:30:00,2025-07-08 13:23:00,2025-07-08 13:23:00,,82800.0,83200,83800,84100.0,2025-07-08 00:00:00,0.25,Tuesday,"[3.55, 3.55]","[12.1, 12.1]","[8.0, 8.0]","[3.3, 3.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-13.250000000000002
2025-07-15,11.8,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82440.73,81800.0,82100,82700,83000.0,2025-07-15 00:00:00,0.25,Tuesday,10.0,27.85,48.9,17.6,0,55.7,97.8,0,5.57,9.78,,,,,49.15
2025-07-15,,0,Long,2025-07-15 09:41:00,2025-07-15 09:41:00,2025-07-15 11:04:00,2025-07-15 11:04:00,,81800.0,82100,82700,83000.0,2025-07-15 00:00:00,0.25,Tuesday,"[18.45, 1.55]","[58.55, 2.3]","[102.85, 5.25]","[31.35, 2.8]",0,,,0,,,Exit,SL hit,SL hit,Exit,-111.59999999999998
2025-07-22,11.06,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82357.95,81800.0,82100,82700,83000.0,2025-07-22 00:00:00,0.25,Tuesday,19.55,54.0,31.55,11.55,0,108.0,63.1,0,10.8,6.3100000000000005,,,,,54.45
2025-07-22,,0,Long,2025-07-22 13:03:00,2025-07-22 13:03:00,2025-07-22 13:06:00,2025-07-22 13:06:00,,81800.0,82100,82700,83000.0,2025-07-22 00:00:00,0.25,Tuesday,"[4.35, 4.35]","[10.8, 10.8]","[5.95, 5.95]","[2.85, 2.85]",0,,,0,,,Exit,Target hit,Target hit,Exit,-9.55
2025-07-29,12.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80949.3,80200.0,80600,81200,81600.0,2025-07-29 00:00:00,0.25,Tuesday,15.4,47.8,85.65,28.2,0,95.6,171.3,0,9.56,17.130000000000003,,,,,89.85
2025-07-29,,0,Long,2025-07-29 10:48:00,2025-07-29 10:48:00,2025-07-29 11:49:00,2025-07-29 11:49:00,,80200.0,80600,81200,81600.0,2025-07-29 00:00:00,0.25,Tuesday,"[27.7, 1.2]","[105.5, 1.3]","[16.85, 16.85]","[7.6, 7.6]",0,,,0,,,Exit,SL hit,Target hit,Exit,-87.05
2025-08-05,11.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80818.01,80200.0,80500,81100,81500.0,2025-08-05 00:00:00,0.25,Tuesday,18.7,51.25,77.2,23.25,0,102.5,154.4,0,10.25,15.44,,,,,86.49999999999999
2025-08-05,,0,Long,2025-08-05 09:40:00,2025-08-05 09:40:00,2025-08-05 11:54:00,2025-08-05 11:54:00,,80200.0,80500,81100,81500.0,2025-08-05 00:00:00,0.25,Tuesday,"[41.0, 2.4]","[104.1, 8.5]","[14.8, 14.8]","[5.8, 5.8]",0,,,0,,,Exit,SL hit,Target hit,Exit,-72.1
2025-08-12,12.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80707.66,80000.0,80400,81000,81300.0,2025-08-12 00:00:00,0.25,Tuesday,19.55,61.1,72.7,25.6,0,122.2,145.4,0,12.22,14.54,,,,,88.65
2025-08-12,,0,Long,2025-08-12 11:08:00,2025-08-12 11:08:00,2025-08-12 10:00:00,2025-08-12 10:00:00,,80000.0,80400,81000,81300.0,2025-08-12 00:00:00,0.25,Tuesday,"[38.75, 4.9]","[130.9, 130.3]","[147.6, 3.65]","[53.6, 2.9]",0,,,0,,,Exit,SL hit,SL hit,Exit,-186.15
2025-08-19,12.09,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81466.58,80900.0,81200,81800,82100.0,2025-08-19 00:00:00,0.25,Tuesday,20.3,60.15,46.5,15.65,0,120.3,93.0,0,12.03,9.3,,,,,70.7
2025-08-19,,0,Long,2025-08-19 12:25:00,2025-08-19 12:25:00,2025-08-19 12:21:00,2025-08-19 12:21:00,,80900.0,81200,81800,82100.0,2025-08-19 00:00:00,0.25,Tuesday,"[5.7, 5.7]","[11.85, 11.85]","[93.65, 3.25]","[23.55, 1.4]",0,,,0,,,Exit,Target hit,SL hit,Exit,-76.25
2025-08-26,12.25,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81091.86,80500.0,80800,81400,81800.0,2025-08-26 00:00:00,0.25,Tuesday,21.85,59.65,61.35,18.55,0,119.3,122.7,0,11.93,12.27,,,,,80.6
2025-08-26,,0,Long,2025-08-26 13:10:00,2025-08-26 13:10:00,2025-08-26 12:34:00,2025-08-26 12:34:00,,80500.0,80800,81400,81800.0,2025-08-26 00:00:00,0.25,Tuesday,"[4.55, 4.55]","[11.75, 11.75]","[12.0, 12.0]","[6.3, 6.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-12.9
2025-05-06,18.61,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80688.93,79500.0,80200,81200,81700.0,2025-05-06 00:00:00,0.25,Tuesday,9.4,29.65,18.85,6.5,0,59.3,37.7,0,5.93,3.770000000000001,,,,,32.6
2025-05-06,,0,Long,2025-05-06 13:15:00,2025-05-06 13:15:00,2025-05-06 12:47:00,2025-05-06 12:47:00,,79500.0,80200,81200,81700.0,2025-05-06 00:00:00,0.25,Tuesday,"[3.2, 3.2]","[5.85, 5.85]","[3.65, 3.65]","[2.3, 2.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-4.0
2025-05-13,18.45,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81809.9,80600.0,81300,82300,82900.0,2025-05-13 00:00:00,0.25,Tuesday,52.6,160.95,145.55,49.5,0,321.9,291.1,0,32.19,29.110000000000003,,,,,204.4
2025-05-13,,0,Long,2025-05-13 10:30:00,2025-05-13 10:30:00,2025-05-13 11:04:00,2025-05-13 11:04:00,,80600.0,81300,82300,82900.0,2025-05-13 00:00:00,0.25,Tuesday,"[90.05, 1.65]","[379.95, 124.3]","[298.2, 1.85]","[107.45, 1.25]",0,,,0,,,Exit,SL hit,SL hit,Exit,-480.65
2025-05-20,17.28,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82037.49,81000.0,81600,82400,82900.0,2025-05-20 00:00:00,0.25,Tuesday,15.7,49.25,59.2,20.35,0,98.5,118.4,0,9.85,11.840000000000002,,,,,72.4
2025-05-20,,0,Long,2025-05-20 09:53:00,2025-05-20 09:53:00,2025-05-20 12:13:00,2025-05-20 12:13:00,,81000.0,81600,82400,82900.0,2025-05-20 00:00:00,0.25,Tuesday,"[28.95, 6.95]","[101.05, 412.6]","[11.75, 11.75]","[5.55, 5.55]",0,,,0,,,Exit,SL hit,Target hit,Exit,-78.3
2025-05-27,18.75,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81426.94,80300.0,80900,81900,82700.0,2025-05-27 00:00:00,0.25,Tuesday,62.15,205.55,223.7,73.35,0,411.1,447.4,0,41.11000000000001,44.74,,,,,293.75
2025-05-27,,0,Long,2025-05-27 11:30:00,2025-05-27 11:30:00,2025-05-27 11:06:00,2025-05-27 11:06:00,,80300.0,80900,81900,82700.0,2025-05-27 00:00:00,0.25,Tuesday,"[9.55, 9.55]","[39.0, 39.0]","[494.35, 5.25]","[136.7, 1.3]",0,,,0,,,Exit,Target hit,SL hit,Exit,-387.1
2025-06-03,17.28,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81101.8,80100.0,80700,81500,82300.0,2025-06-03 00:00:00,0.25,Tuesday,97.1,350.0,335.3,119.2,0,700.0,670.6,0,70.0,67.06,,,,,469.0
2025-06-03,,0,Long,2025-06-03 13:56:00,2025-06-03 13:56:00,2025-06-03 13:06:00,2025-06-03 13:06:00,,80100.0,80700,81500,82300.0,2025-06-03 00:00:00,0.25,Tuesday,"[5.0, 5.0]","[69.0, 69.0]","[58.5, 58.5]","[9.8, 9.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-112.7
2025-06-10,14.58,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82347.14,81400.0,81900,82700,83100.0,2025-06-10 00:00:00,0.25,Tuesday,29.3,95.65,94.2,34.35,0,191.3,188.4,0,19.130000000000003,18.84,,,,,126.20000000000002
2025-06-10,,0,Long,2025-06-10 10:35:00,2025-06-10 10:35:00,2025-06-10 12:13:00,2025-06-10 12:13:00,,81400.0,81900,82700,83100.0,2025-06-10 00:00:00,0.25,Tuesday,"[7.1, 7.1]","[18.8, 18.8]","[18.55, 18.55]","[5.8, 5.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-24.450000000000003
2025-06-17,14.84,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81619.5,80600.0,81200,82000,82500.0,2025-06-17 00:00:00,0.25,Tuesday,26.0,80.7,68.2,22.15,0,161.4,136.4,0,16.14,13.64,,,,,100.75
2025-06-17,,0,Long,2025-06-17 11:12:00,2025-06-17 11:12:00,2025-06-17 11:11:00,2025-06-17 11:11:00,,80600.0,81200,82000,82500.0,2025-06-17 00:00:00,0.25,Tuesday,"[6.35, 6.35]","[15.4, 15.4]","[13.15, 13.15]","[5.55, 5.55]",0,,,0,,,Exit,Target hit,Target hit,Exit,-16.650000000000002
2025-06-24,13.54,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82676.16,81900.0,82400,83000,83400.0,2025-06-24 00:00:00,0.25,Tuesday,27.65,83.2,74.35,24.3,0,166.4,148.7,0,16.64,14.87,,,,,105.6
2025-06-24,,0,Long,2025-06-24 09:38:00,2025-06-24 09:38:00,2025-06-24 10:18:00,2025-06-24 10:18:00,,81900.0,82400,83000,83400.0,2025-06-24 00:00:00,0.25,Tuesday,"[68.05, 8.15]","[196.95, 395.3]","[162.0, 1.95]","[47.6, 1.75]",0,,,0,,,Exit,SL hit,SL hit,Exit,-243.3
2025-04-01,13.46,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,77165.11,76400.0,76900,77500,77900.0,2025-04-01 00:00:00,0.25,Tuesday,25.35,78.7,71.35,21.9,0,157.4,142.7,0,15.740000000000002,14.27,,,,,102.8
2025-04-01,,0,Long,2025-04-01 10:24:00,2025-04-01 10:24:00,2025-04-01 09:40:00,2025-04-01 09:40:00,,76400.0,76900,77500,77900.0,2025-04-01 00:00:00,0.25,Tuesday,"[54.6, 399.4]","[217.1, 887.15]","[166.0, 1.1]","[48.3, 0.95]",0,,,0,,,Exit,SL hit,SL hit,Exit,-280.20000000000005
2025-04-08,19.66,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,74374.28,72900.0,73900,74900,75600.0,2025-04-08 00:00:00,0.25,Tuesday,34.3,101.65,92.35,32.7,0,203.3,184.7,0,20.33,18.47,,,,,127.0
2025-04-08,,0,Long,2025-04-08 09:56:00,2025-04-08 09:56:00,2025-04-08 12:33:00,2025-04-08 12:33:00,,72900.0,73900,74900,75600.0,2025-04-08 00:00:00,0.25,Tuesday,"[53.0, 1.2]","[205.85, 3.85]","[211.0, 2.0]","[28.05, 0.7]",0,,,0,,,Exit,SL hit,SL hit,Exit,-335.8
2025-04-15,17.48,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,76731.89,75700.0,76300,77100,77500.0,2025-04-15 00:00:00,0.25,Tuesday,26.9,79.05,81.15,27.4,0,158.1,162.3,0,15.81,16.23,,,,,105.9
2025-04-15,,0,Long,2025-04-15 12:09:00,2025-04-15 12:09:00,2025-04-15 11:48:00,2025-04-15 11:48:00,,75700.0,76300,77100,77500.0,2025-04-15 00:00:00,0.25,Tuesday,"[8.45, 8.45]","[14.25, 14.25]","[15.0, 15.0]","[6.5, 6.5]",0,,,0,,,Exit,Target hit,Target hit,Exit,-14.3
2025-04-22,15.14,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,79454.04,78500.0,79100,79900,80500.0,2025-04-22 00:00:00,0.25,Tuesday,22.0,69.1,38.85,12.95,0,138.2,77.7,0,13.82,7.77,,,,,72.99999999999999
2025-04-22,,0,Long,2025-04-22 11:10:00,2025-04-22 11:10:00,2025-04-22 09:37:00,2025-04-22 09:37:00,,78500.0,79100,79900,80500.0,2025-04-22 00:00:00,0.25,Tuesday,"[8.5, 8.5]","[13.65, 13.65]","[82.6, 1.3]","[23.05, 0.8]",0,,,0,,,Exit,Target hit,SL hit,Exit,-64.7
2025-04-29,16.94,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80518.64,79500.0,80100,80900,81300.0,2025-04-29 00:00:00,0.25,Tuesday,15.7,47.1,40.65,13.1,0,94.2,81.3,0,9.42,8.13,,,,,58.95
2025-04-29,,0,Long,2025-04-29 09:40:00,2025-04-29 09:40:00,2025-04-29 11:00:00,2025-04-29 11:00:00,,79500.0,80100,80900,81300.0,2025-04-29 00:00:00,0.25,Tuesday,"[28.65, 1.1]","[104.9, 2.2]","[8.0, 8.0]","[5.3, 5.3]",0,,,0,,,Exit,SL hit,Target hit,Exit,-78.95000000000002
2025-02-04,14.31,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,77705.13,76700.0,77400,78000,78500.0,2025-02-04 00:00:00,0.25,Tuesday,51.95,171.65,180.05,65.05,0,343.3,360.1,0,34.330000000000005,36.010000000000005,,,,,234.70000000000005
2025-02-04,,0,Long,2025-02-04 10:35:00,2025-02-04 10:35:00,2025-02-04 11:50:00,2025-02-04 11:50:00,,76700.0,77400,78000,78500.0,2025-02-04 00:00:00,0.25,Tuesday,"[138.6, 1.4]","[393.4, 2.5]","[395.2, 634.65]","[166.4, 152.55]",0,,,0,,,Exit,SL hit,SL hit,Exit,-483.5999999999999
2025-02-11,14.82,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,77128.56,76200.0,76700,77500,78100.0,2025-02-11 00:00:00,0.25,Tuesday,38.45,112.85,147.4,46.35,0,225.7,294.8,0,22.57,29.480000000000004,,,,,175.45
2025-02-11,,0,Long,2025-02-11 12:03:00,2025-02-11 12:03:00,2025-02-11 10:44:00,2025-02-11 10:44:00,,76200.0,76700,77500,78100.0,2025-02-11 00:00:00,0.25,Tuesday,"[4.8, 4.8]","[20.1, 20.1]","[27.15, 27.15]","[8.25, 8.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-34.2
2025-02-18,16.2,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,75871.23,74900.0,75500,76300,76900.0,2025-02-18 00:00:00,0.25,Tuesday,56.2,167.95,167.35,58.9,0,335.9,334.7,0,33.59,33.47,,,,,220.2
2025-02-18,,0,Long,2025-02-18 13:25:00,2025-02-18 13:25:00,2025-02-18 11:28:00,2025-02-18 11:28:00,,74900.0,75500,76300,76900.0,2025-02-18 00:00:00,0.25,Tuesday,"[6.7, 6.7]","[33.5, 33.5]","[31.55, 31.55]","[9.95, 9.95]",0,,,0,,,Exit,Target hit,Target hit,Exit,-48.4
2025-02-25,14.17,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,74530.86,73700.0,74200,74800,75200.0,2025-02-25 00:00:00,0.25,Tuesday,16.95,50.0,63.65,22.05,0,100.0,127.3,0,10.0,12.73,,,,,74.65
2025-02-25,,0,Long,2025-02-25 12:12:00,2025-02-25 12:12:00,2025-02-25 09:39:00,2025-02-25 09:39:00,,73700.0,74200,74800,75200.0,2025-02-25 00:00:00,0.25,Tuesday,"[4.6, 4.6]","[9.7, 9.7]","[144.3, 2.25]","[42.8, 0.6]",0,,,0,,,Exit,Target hit,SL hit,Exit,-106.6
2025-03-04,13.9,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,72744.48,71900.0,72400,73000,73500.0,2025-03-04 00:00:00,0.25,Tuesday,24.8,78.55,79.35,23.55,0,157.1,158.7,0,15.71,15.87,,,,,109.54999999999998
2025-03-04,,0,Long,2025-03-04 10:28:00,2025-03-04 10:28:00,2025-03-04 13:05:00,2025-03-04 13:05:00,,71900.0,72400,73000,73500.0,2025-03-04 00:00:00,0.25,Tuesday,"[5.7, 5.7]","[15.0, 15.0]","[14.95, 14.95]","[3.9, 3.9]",0,,,0,,,Exit,Target hit,Target hit,Exit,-20.35
2025-03-11,14.27,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,73795.8,73000.0,73500,74100,74500.0,2025-03-11 00:00:00,0.25,Tuesday,23.5,71.15,61.5,18.55,0,142.3,123.0,0,14.230000000000002,12.3,,,,,90.6
