Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-01,12.67,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83776.97,83000.0,83500,84100,84500.0,2025-07-01 00:00:00,0.25,Tuesday,27.05,87.6,82.4,26.45,0,262.79999999999995,247.2,0,26.28,24.72,,,,,349.5
2025-07-01,,0,Long,2025-07-01 12:20:00,2025-07-01 12:20:00,2025-07-01 10:11:00,2025-07-01 10:11:00,,83000.0,83500,84100,84500.0,2025-07-01 00:00:00,0.25,Tuesday,"[6.65, 6.65]","[25.85, 25.85]","[24.45, 24.45]","[6.5, 6.5]",0,,,0,,,Exit,Target hit,Target hit,Exit,-111.44999999999996
2025-07-08,12.47,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83494.14,82800.0,83200,83800,84100.0,2025-07-08 00:00:00,0.25,Tuesday,20.3,63.35,49.05,16.4,0,190.05,147.14999999999998,0,19.005,14.714999999999998,,,,,227.1
2025-07-08,,0,Long,2025-07-08 11:31:00,2025-07-08 11:31:00,2025-07-08 10:49:00,2025-07-08 10:49:00,,82800.0,83200,83800,84100.0,2025-07-08 00:00:00,0.25,Tuesday,"[5.4, 5.4]","[17.4, 17.4]","[13.5, 13.5]","[5.4, 5.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-60.29999999999998
2025-07-15,11.8,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82440.73,81800.0,82100,82700,83000.0,2025-07-15 00:00:00,0.25,Tuesday,10.0,27.85,48.9,17.6,0,83.55000000000001,146.7,0,8.355,14.669999999999998,,,,,147.45
2025-07-15,,0,Long,2025-07-15 11:24:00,2025-07-15 11:24:00,2025-07-15 11:07:00,2025-07-15 11:07:00,,81800.0,82100,82700,83000.0,2025-07-15 00:00:00,0.25,Tuesday,"[3.4, 3.4]","[7.85, 7.85]","[156.3, 5.25]","[58.85, 2.8]",0,,,0,,,Exit,Target hit,SL hit,Exit,-115.7
2025-07-22,11.06,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82357.95,81800.0,82100,82700,83000.0,2025-07-22 00:00:00,0.25,Tuesday,19.55,54.0,31.55,11.55,0,162.0,94.65,0,16.2,9.465,,,,,163.34999999999997
2025-07-22,,0,Long,2025-07-22 12:30:00,2025-07-22 12:30:00,2025-07-22 11:10:00,2025-07-22 11:10:00,,81800.0,82100,82700,83000.0,2025-07-22 00:00:00,0.25,Tuesday,"[5.5, 5.5]","[15.85, 15.85]","[9.15, 9.15]","[4.6, 4.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-44.7
2025-07-29,12.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80949.3,80200.0,80600,81200,81600.0,2025-07-29 00:00:00,0.25,Tuesday,15.4,47.8,85.65,28.2,0,143.39999999999998,256.95000000000005,0,14.339999999999998,25.695,,,,,269.55
2025-07-29,,0,Long,2025-07-29 12:29:00,2025-07-29 12:29:00,2025-07-29 10:27:00,2025-07-29 10:27:00,,80200.0,80600,81200,81600.0,2025-07-29 00:00:00,0.25,Tuesday,"[5.25, 5.25]","[14.25, 14.25]","[25.3, 25.3]","[11.25, 11.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-69.15
2025-08-05,11.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80818.01,80200.0,80500,81100,81500.0,2025-08-05 00:00:00,0.25,Tuesday,18.7,51.25,77.2,23.25,0,153.75,231.6,0,15.375,23.16,,,,,259.5
2025-08-05,,0,Long,2025-08-05 14:31:00,2025-08-05 14:31:00,2025-08-05 11:07:00,2025-08-05 11:07:00,,80200.0,80500,81100,81500.0,2025-08-05 00:00:00,0.25,Tuesday,"[2.5, 2.5]","[14.75, 14.75]","[20.6, 20.6]","[6.65, 6.65]",0,,,0,,,Exit,Target hit,Target hit,Exit,-78.60000000000001
2025-08-12,12.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80707.66,80000.0,80400,81000,81300.0,2025-08-12 00:00:00,0.25,Tuesday,19.55,61.1,72.7,25.6,0,183.3,218.1,0,18.33,21.81,,,,,265.95000000000005
2025-08-12,,0,Long,2025-08-12 13:59:00,2025-08-12 13:59:00,2025-08-12 11:30:00,2025-08-12 11:30:00,,80000.0,80400,81000,81300.0,2025-08-12 00:00:00,0.25,Tuesday,"[3.9, 3.9]","[18.15, 18.15]","[21.55, 21.55]","[8.8, 8.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-81.0
2025-08-19,12.09,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81466.58,80900.0,81200,81800,82100.0,2025-08-19 00:00:00,0.25,Tuesday,20.3,60.15,46.5,15.65,0,180.45,139.5,0,18.045,13.95,,,,,212.1
2025-08-19,,0,Long,2025-08-19 11:31:00,2025-08-19 11:31:00,2025-08-19 13:52:00,2025-08-19 13:52:00,,80900.0,81200,81800,82100.0,2025-08-19 00:00:00,0.25,Tuesday,"[7.05, 7.05]","[17.45, 17.45]","[13.15, 13.15]","[3.7, 3.7]",0,,,0,,,Exit,Target hit,Target hit,Exit,-59.55000000000001
