Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-01,12.67,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83776.97,83200.0,83500,84100,84400.0,2025-07-01 00:00:00,0.25,Tuesday,42.85,87.6,82.4,36.0,0,219.0,206.0,0,8.76,8.24,,,,,182.3
2025-07-01,,0,Long,2025-07-01 14:01:00,2025-07-01 14:01:00,2025-07-01 11:45:00,2025-07-01 11:45:00,,83200.0,83500,84100,84400.0,2025-07-01 00:00:00,0.25,Tuesday,"[3.45, 3.45]","[7.8, 7.8]","[8.2, 8.2]","[4.4, 4.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-16.299999999999997
2025-07-08,12.47,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83494.14,83000.0,83200,83800,84000.0,2025-07-08 00:00:00,0.25,Tuesday,35.45,63.35,49.05,23.2,0,158.375,122.625,0,6.335000000000001,4.905,,,,,107.5
2025-07-08,,0,Long,2025-07-08 13:44:00,2025-07-08 13:44:00,2025-07-08 13:34:00,2025-07-08 13:34:00,,83000.0,83200,83800,84000.0,2025-07-08 00:00:00,0.25,Tuesday,"[3.05, 3.05]","[5.35, 5.35]","[4.9, 4.9]","[2.65, 2.65]",0,,,0,,,Exit,Target hit,Target hit,Exit,-9.1
2025-07-15,11.8,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82440.73,81900.0,82100,82700,82900.0,2025-07-15 00:00:00,0.25,Tuesday,13.7,27.85,48.9,24.3,0,69.625,122.25,0,2.785,4.890000000000001,,,,,77.5
2025-07-15,,0,Long,2025-07-15 14:19:00,2025-07-15 14:19:00,2025-07-15 11:06:00,2025-07-15 11:06:00,,81900.0,82100,82700,82900.0,2025-07-15 00:00:00,0.25,Tuesday,"[1.95, 1.95]","[2.75, 2.75]","[127.15, 5.25]","[59.85, 3.25]",0,,,0,,,Exit,Target hit,SL hit,Exit,-70.9
2025-07-22,11.06,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82357.95,81900.0,82100,82700,82900.0,2025-07-22 00:00:00,0.25,Tuesday,26.8,54.0,31.55,15.75,0,135.0,78.875,0,5.4,3.155,,,,,86.0
2025-07-22,,0,Long,2025-07-22 14:52:00,2025-07-22 14:52:00,2025-07-22 14:15:00,2025-07-22 14:15:00,,81900.0,82100,82700,82900.0,2025-07-22 00:00:00,0.25,Tuesday,"[2.0, 2.0]","[4.95, 4.95]","[2.95, 2.95]","[2.15, 2.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-7.5
2025-07-29,12.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80949.3,80400.0,80600,81200,81400.0,2025-07-29 00:00:00,0.25,Tuesday,27.1,47.8,85.65,47.85,0,119.5,214.125,0,4.78,8.565000000000001,,,,,116.99999999999996
2025-07-29,,0,Long,2025-07-29 13:40:00,2025-07-29 13:40:00,2025-07-29 15:00:00,2025-07-29 15:00:00,,80400.0,80600,81200,81400.0,2025-07-29 00:00:00,0.25,Tuesday,"[3.45, 3.45]","[4.7, 4.7]","[41.6, 41.6]","[2.8, 2.8]",0,,,0,,,Exit,Target hit,Universal exit,Exit,-80.10000000000001
