Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-01,12.67,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83776.97,83200.0,83500,84100,84400.0,2025-07-01 00:00:00,0.25,Tuesday,42.85,87.6,82.4,36.0,0,219.0,206.0,0,17.52,16.48,,,,,364.6
2025-07-01,,0,Long,2025-07-01 12:36:00,2025-07-01 12:36:00,2025-07-01 10:52:00,2025-07-01 10:52:00,,83200.0,83500,84100,84400.0,2025-07-01 00:00:00,0.25,Tuesday,"[6.7, 6.7]","[16.8, 16.8]","[16.0, 16.0]","[6.55, 6.55]",0,,,0,,,Exit,Target hit,Target hit,Exit,-78.20000000000002
2025-07-08,12.47,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83494.14,83000.0,83200,83800,84000.0,2025-07-08 00:00:00,0.25,Tuesday,35.45,63.35,49.05,23.2,0,158.375,122.625,0,12.670000000000002,9.81,,,,,215.0
2025-07-08,,0,Long,2025-07-08 12:30:00,2025-07-08 12:30:00,2025-07-08 13:23:00,2025-07-08 13:23:00,,83000.0,83200,83800,84000.0,2025-07-08 00:00:00,0.25,Tuesday,"[6.45, 6.45]","[12.1, 12.1]","[8.0, 8.0]","[4.25, 4.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-37.59999999999999
2025-07-15,11.8,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82440.73,81900.0,82100,82700,82900.0,2025-07-15 00:00:00,0.25,Tuesday,13.7,27.85,48.9,24.3,0,69.625,122.25,0,5.57,9.78,,,,,155.0
2025-07-15,,0,Long,2025-07-15 13:01:00,2025-07-15 13:01:00,2025-07-15 11:06:00,2025-07-15 11:06:00,,81900.0,82100,82700,82900.0,2025-07-15 00:00:00,0.25,Tuesday,"[3.6, 3.6]","[5.55, 5.55]","[127.15, 5.25]","[59.85, 3.25]",0,,,0,,,Exit,Target hit,SL hit,Exit,-211.7
2025-07-22,11.06,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82357.95,81900.0,82100,82700,82900.0,2025-07-22 00:00:00,0.25,Tuesday,26.8,54.0,31.55,15.75,0,135.0,78.875,0,10.8,6.3100000000000005,,,,,172.0
2025-07-22,,0,Long,2025-07-22 13:03:00,2025-07-22 13:03:00,2025-07-22 13:06:00,2025-07-22 13:06:00,,81900.0,82100,82700,82900.0,2025-07-22 00:00:00,0.25,Tuesday,"[5.55, 5.55]","[10.8, 10.8]","[5.95, 5.95]","[3.5, 3.5]",0,,,0,,,Exit,Target hit,Target hit,Exit,-30.800000000000004
2025-07-29,12.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80949.3,80400.0,80600,81200,81400.0,2025-07-29 00:00:00,0.25,Tuesday,27.1,47.8,85.65,47.85,0,119.5,214.125,0,9.56,17.130000000000003,,,,,233.99999999999997
2025-07-29,,0,Long,2025-07-29 13:07:00,2025-07-29 13:07:00,2025-07-29 11:49:00,2025-07-29 11:49:00,,80400.0,80600,81200,81400.0,2025-07-29 00:00:00,0.25,Tuesday,"[6.35, 6.35]","[9.25, 9.25]","[16.85, 16.85]","[10.4, 10.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-37.400000000000006
2025-08-05,11.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80818.01,80300.0,80500,81100,81300.0,2025-08-05 00:00:00,0.25,Tuesday,25.95,51.25,77.2,42.4,0,128.125,193.0,0,10.25,15.44,,,,,240.4
2025-08-05,,0,Long,2025-08-05 14:39:00,2025-08-05 14:39:00,2025-08-05 11:54:00,2025-08-05 11:54:00,,80300.0,80500,81100,81300.0,2025-08-05 00:00:00,0.25,Tuesday,"[2.7, 2.7]","[9.7, 9.7]","[14.8, 14.8]","[8.3, 8.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-53.99999999999999
2025-08-12,12.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80707.66,80200.0,80400,81000,81200.0,2025-08-12 00:00:00,0.25,Tuesday,33.75,61.1,72.7,35.85,0,152.75,181.75,0,12.22,14.54,,,,,256.80000000000007
2025-08-12,,0,Long,2025-08-12 14:52:00,2025-08-12 14:52:00,2025-08-12 10:02:00,2025-08-12 10:02:00,,80200.0,80400,81000,81200.0,2025-08-12 00:00:00,0.25,Tuesday,"[40.15, 22.45]","[154.0, 130.3]","[195.0, 3.65]","[107.25, 3.05]",0,,,0,,,Exit,SL hit,SL hit,Exit,-713.25
2025-08-19,12.09,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81466.58,81000.0,81200,81800,82000.0,2025-08-19 00:00:00,0.25,Tuesday,28.6,60.15,46.5,23.9,0,150.375,116.25,0,12.03,9.3,,,,,216.6
