Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-01,12.67,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83776.97,83200.0,83500,84100,84400.0,2025-07-01 00:00:00,0.25,Tuesday,42.85,87.6,82.4,36.0,0,219.0,206.0,0,26.28,24.72,,,,,273.45
2025-07-01,,0,Long,2025-07-01 12:20:00,2025-07-01 12:20:00,2025-07-01 10:11:00,2025-07-01 10:11:00,,83200.0,83500,84100,84400.0,2025-07-01 00:00:00,0.25,Tuesday,"[10.1, 10.1]","[25.85, 25.85]","[24.45, 24.45]","[8.9, 8.9]",0,,,0,,,Exit,Target hit,Target hit,Exit,-93.89999999999998
2025-07-08,12.47,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83494.14,83000.0,83200,83800,84000.0,2025-07-08 00:00:00,0.25,Tuesday,35.45,63.35,49.05,23.2,0,158.375,122.625,0,19.005,14.714999999999998,,,,,161.25
2025-07-08,,0,Long,2025-07-08 11:31:00,2025-07-08 11:31:00,2025-07-08 10:49:00,2025-07-08 10:49:00,,83000.0,83200,83800,84000.0,2025-07-08 00:00:00,0.25,Tuesday,"[9.15, 9.15]","[17.4, 17.4]","[13.5, 13.5]","[7.1, 7.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-43.94999999999999
2025-07-15,11.8,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82440.73,81900.0,82100,82700,82900.0,2025-07-15 00:00:00,0.25,Tuesday,13.7,27.85,48.9,24.3,0,69.625,122.25,0,8.355,14.669999999999998,,,,,116.25
2025-07-15,,0,Long,2025-07-15 11:24:00,2025-07-15 11:24:00,2025-07-15 11:06:00,2025-07-15 11:06:00,,81900.0,82100,82700,82900.0,2025-07-15 00:00:00,0.25,Tuesday,"[4.55, 4.55]","[7.85, 7.85]","[127.15, 5.25]","[59.85, 3.25]",0,,,0,,,Exit,Target hit,SL hit,Exit,-81.2
2025-07-22,11.06,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82357.95,81900.0,82100,82700,82900.0,2025-07-22 00:00:00,0.25,Tuesday,26.8,54.0,31.55,15.75,0,135.0,78.875,0,16.2,9.465,,,,,128.99999999999997
2025-07-22,,0,Long,2025-07-22 12:30:00,2025-07-22 12:30:00,2025-07-22 11:10:00,2025-07-22 11:10:00,,81900.0,82100,82700,82900.0,2025-07-22 00:00:00,0.25,Tuesday,"[7.5, 7.5]","[15.85, 15.85]","[9.15, 9.15]","[5.55, 5.55]",0,,,0,,,Exit,Target hit,Target hit,Exit,-35.85
2025-07-29,12.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80949.3,80400.0,80600,81200,81400.0,2025-07-29 00:00:00,0.25,Tuesday,27.1,47.8,85.65,47.85,0,119.5,214.125,0,14.339999999999998,25.695,,,,,175.5
2025-07-29,,0,Long,2025-07-29 12:29:00,2025-07-29 12:29:00,2025-07-29 10:27:00,2025-07-29 10:27:00,,80400.0,80600,81200,81400.0,2025-07-29 00:00:00,0.25,Tuesday,"[7.85, 7.85]","[14.25, 14.25]","[25.3, 25.3]","[15.7, 15.7]",0,,,0,,,Exit,Target hit,Target hit,Exit,-48.000000000000014
2025-08-05,11.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80818.01,80300.0,80500,81100,81300.0,2025-08-05 00:00:00,0.25,Tuesday,25.95,51.25,77.2,42.4,0,128.125,193.0,0,15.375,23.16,,,,,180.30000000000004
2025-08-05,,0,Long,2025-08-05 14:31:00,2025-08-05 14:31:00,2025-08-05 11:07:00,2025-08-05 11:07:00,,80300.0,80500,81100,81300.0,2025-08-05 00:00:00,0.25,Tuesday,"[3.75, 3.75]","[14.75, 14.75]","[20.6, 20.6]","[11.2, 11.2]",0,,,0,,,Exit,Target hit,Target hit,Exit,-61.20000000000002
2025-08-12,12.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80707.66,80200.0,80400,81000,81200.0,2025-08-12 00:00:00,0.25,Tuesday,33.75,61.1,72.7,35.85,0,152.75,181.75,0,18.33,21.81,,,,,192.6
2025-08-12,,0,Long,2025-08-12 13:59:00,2025-08-12 13:59:00,2025-08-12 10:02:00,2025-08-12 10:02:00,,80200.0,80400,81000,81200.0,2025-08-12 00:00:00,0.25,Tuesday,"[7.5, 7.5]","[18.15, 18.15]","[195.0, 3.65]","[107.25, 3.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-120.9
2025-08-19,12.09,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81466.58,81000.0,81200,81800,82000.0,2025-08-19 00:00:00,0.25,Tuesday,28.6,60.15,46.5,23.9,0,150.375,116.25,0,18.045,13.95,,,,,162.45
2025-08-19,,0,Long,2025-08-19 11:31:00,2025-08-19 11:31:00,2025-08-19 13:52:00,2025-08-19 13:52:00,,81000.0,81200,81800,82000.0,2025-08-19 00:00:00,0.25,Tuesday,"[9.35, 9.35]","[17.45, 17.45]","[13.15, 13.15]","[5.15, 5.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-48.30000000000001
2025-08-26,12.25,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81091.86,80600.0,80800,81400,81600.0,2025-08-26 00:00:00,0.25,Tuesday,29.55,59.65,61.35,33.0,0,149.125,153.375,0,17.895,18.405,,,,,175.35
2025-08-26,,0,Long,2025-08-26 11:22:00,2025-08-26 11:22:00,2025-08-26 11:43:00,2025-08-26 11:43:00,,80600.0,80800,81400,81600.0,2025-08-26 00:00:00,0.25,Tuesday,"[8.95, 8.95]","[17.8, 17.8]","[17.95, 17.95]","[10.0, 10.0]",0,,,0,,,Exit,Target hit,Target hit,Exit,-50.4
2025-05-06,18.61,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80688.93,79800.0,80200,81200,81500.0,2025-05-06 00:00:00,0.25,Tuesday,14.75,29.65,18.85,9.55,0,74.125,47.125,0,8.895,5.655,,,,,72.6
2025-05-06,,0,Long,2025-05-06 12:10:00,2025-05-06 12:10:00,2025-05-06 10:57:00,2025-05-06 10:57:00,,79800.0,80200,81200,81500.0,2025-05-06 00:00:00,0.25,Tuesday,"[6.35, 6.35]","[8.85, 8.85]","[5.5, 5.5]","[3.6, 3.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-13.2
2025-05-13,18.45,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81809.9,80900.0,81300,82300,82700.0,2025-05-13 00:00:00,0.25,Tuesday,80.45,160.95,145.55,73.35,0,402.375,363.875,0,48.285,43.665,,,,,458.1
2025-05-13,,0,Long,2025-05-13 15:00:00,2025-05-13 15:00:00,2025-05-13 12:27:00,2025-05-13 12:27:00,,80900.0,81300,82300,82700.0,2025-05-13 00:00:00,0.25,Tuesday,"[3.85, 3.85]","[124.3, 124.3]","[40.85, 40.85]","[16.9, 16.9]",0,,,0,,,Exit,Universal exit,Target hit,Exit,-433.2000000000001
2025-05-20,17.28,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82037.49,81200.0,81600,82400,82700.0,2025-05-20 00:00:00,0.25,Tuesday,22.9,49.25,59.2,30.85,0,123.125,148.0,0,14.775,17.76,,,,,164.10000000000002
2025-05-20,,0,Long,2025-05-20 09:54:00,2025-05-20 09:54:00,2025-05-20 11:57:00,2025-05-20 11:57:00,,81200.0,81600,82400,82700.0,2025-05-20 00:00:00,0.25,Tuesday,"[61.15, 34.85]","[138.5, 412.6]","[17.0, 17.0]","[8.55, 8.55]",0,,,0,,,Exit,SL hit,Target hit,Exit,-858.2
2025-05-27,18.75,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81426.94,80500.0,80900,81900,82400.0,2025-05-27 00:00:00,0.25,Tuesday,95.4,205.55,223.7,117.8,0,513.875,559.25,0,61.665,67.11,,,,,648.15
2025-05-27,,0,Long,2025-05-27 11:00:00,2025-05-27 11:00:00,2025-05-27 11:26:00,2025-05-27 11:26:00,,80500.0,80900,81900,82400.0,2025-05-27 00:00:00,0.25,Tuesday,"[18.85, 18.85]","[59.7, 59.7]","[591.6, 5.25]","[323.8, 2.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-396.75
2025-06-03,17.28,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81101.8,80400.0,80700,81500,82100.0,2025-06-03 00:00:00,0.25,Tuesday,184.65,350.0,335.3,163.4,0,875.0,838.25,0,105.0,100.59,,,,,1011.75
2025-06-03,,0,Long,2025-06-03 13:36:00,2025-06-03 13:36:00,2025-06-03 12:53:00,2025-06-03 12:53:00,,80400.0,80700,81500,82100.0,2025-06-03 00:00:00,0.25,Tuesday,"[22.8, 22.8]","[97.8, 97.8]","[90.8, 90.8]","[24.3, 24.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-424.5
2025-06-10,14.58,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82347.14,81600.0,81900,82700,83000.0,2025-06-10 00:00:00,0.25,Tuesday,46.7,95.65,94.2,44.75,0,239.125,235.5,0,28.695,28.26,,,,,295.20000000000005
2025-06-10,,0,Long,2025-06-10 10:13:00,2025-06-10 10:13:00,2025-06-10 11:22:00,2025-06-10 11:22:00,,81600.0,81900,82700,83000.0,2025-06-10 00:00:00,0.25,Tuesday,"[14.55, 14.55]","[28.0, 28.0]","[26.55, 26.55]","[10.7, 10.7]",0,,,0,,,Exit,Target hit,Target hit,Exit,-87.9
2025-06-17,14.84,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81619.5,80800.0,81200,82000,82300.0,2025-06-17 00:00:00,0.25,Tuesday,37.8,80.7,68.2,34.95,0,201.75,170.5,0,24.21,20.46,,,,,228.45000000000005
2025-06-17,,0,Long,2025-06-17 10:32:00,2025-06-17 10:32:00,2025-06-17 10:29:00,2025-06-17 10:29:00,,80800.0,81200,82000,82300.0,2025-06-17 00:00:00,0.25,Tuesday,"[10.25, 10.25]","[24.0, 24.0]","[19.3, 19.3]","[9.65, 9.65]",0,,,0,,,Exit,Target hit,Target hit,Exit,-70.2
2025-06-24,13.54,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82676.16,82100.0,82400,83000,83200.0,2025-06-24 00:00:00,0.25,Tuesday,42.8,83.2,74.35,41.05,0,208.0,185.875,0,24.96,22.305,,,,,221.1
2025-06-24,,0,Long,2025-06-24 09:49:00,2025-06-24 09:49:00,2025-06-24 11:07:00,2025-06-24 11:07:00,,82100.0,82400,83000,83200.0,2025-06-24 00:00:00,0.25,Tuesday,"[144.25, 100.4]","[261.9, 395.3]","[194.15, 1.95]","[109.75, 1.9]",0,,,0,,,Exit,SL hit,SL hit,Exit,-791.9499999999999
2025-04-01,13.46,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,77165.11,76600.0,76900,77500,77700.0,2025-04-01 00:00:00,0.25,Tuesday,39.05,78.7,71.35,38.25,0,196.75,178.375,0,23.61,21.405,,,,,218.25
2025-04-01,,0,Long,2025-04-01 10:24:00,2025-04-01 10:24:00,2025-04-01 09:41:00,2025-04-01 09:41:00,,76600.0,76900,77500,77700.0,2025-04-01 00:00:00,0.25,Tuesday,"[96.6, 600.35]","[217.1, 887.15]","[198.35, 1.1]","[110.5, 1.0]",0,,,0,,,Exit,SL hit,SL hit,Exit,-782.1499999999999
2025-04-08,19.66,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,74374.28,73300.0,73900,74900,75400.0,2025-04-08 00:00:00,0.25,Tuesday,50.95,101.65,92.35,44.25,0,254.125,230.875,0,30.495,27.705,,,,,296.4
2025-04-08,,0,Long,2025-04-08 09:58:00,2025-04-08 09:58:00,2025-04-08 10:15:00,2025-04-08 10:15:00,,73300.0,73900,74900,75400.0,2025-04-08 00:00:00,0.25,Tuesday,"[149.2, 1.5]","[338.05, 3.85]","[26.8, 26.8]","[10.8, 10.8]",0,,,0,,,Exit,SL hit,Target hit,Exit,-241.55000000000004
2025-04-15,17.48,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,76731.89,75900.0,76300,77100,77300.0,2025-04-15 00:00:00,0.25,Tuesday,37.95,79.05,81.15,46.1,0,197.625,202.875,0,23.715,24.345,,,,,228.45
2025-04-15,,0,Long,2025-04-15 10:49:00,2025-04-15 10:49:00,2025-04-15 10:09:00,2025-04-15 10:09:00,,75900.0,76300,77100,77300.0,2025-04-15 00:00:00,0.25,Tuesday,"[14.65, 14.65]","[20.6, 20.6]","[24.25, 24.25]","[14.7, 14.7]",0,,,0,,,Exit,Target hit,Target hit,Exit,-46.500000000000014
2025-04-22,15.14,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,79454.04,78800.0,79100,79900,80300.0,2025-04-22 00:00:00,0.25,Tuesday,37.5,69.1,38.85,18.35,0,172.75,97.125,0,20.73,11.655,,,,,156.3
2025-04-22,,0,Long,2025-04-22 10:08:00,2025-04-22 10:08:00,2025-04-22 12:37:00,2025-04-22 12:37:00,,78800.0,79100,79900,80300.0,2025-04-22 00:00:00,0.25,Tuesday,"[15.6, 15.6]","[19.9, 19.9]","[11.15, 11.15]","[6.6, 6.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-26.55000000000001
2025-04-29,16.94,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80518.64,79800.0,80100,80900,81100.0,2025-04-29 00:00:00,0.25,Tuesday,25.45,47.1,40.65,23.15,0,117.75,101.625,0,14.13,12.195,,,,,117.45000000000002
2025-04-29,,0,Long,2025-04-29 09:41:00,2025-04-29 09:41:00,2025-04-29 10:20:00,2025-04-29 10:20:00,,79800.0,80100,80900,81100.0,2025-04-29 00:00:00,0.25,Tuesday,"[55.25, 1.2]","[120.55, 2.2]","[11.95, 11.95]","[8.25, 8.25]",0,,,0,,,Exit,SL hit,Target hit,Exit,-78.39999999999998
2025-02-04,14.31,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,77705.13,77000.0,77400,78000,78400.0,2025-02-04 00:00:00,0.25,Tuesday,86.5,171.65,180.05,79.5,0,429.125,450.125,0,51.495,54.015,,,,,557.1000000000001
2025-02-04,,0,Long,2025-02-04 10:39:00,2025-02-04 10:39:00,2025-02-04 13:35:00,2025-02-04 13:35:00,,77000.0,77400,78000,78400.0,2025-02-04 00:00:00,0.25,Tuesday,"[294.0, 1.7]","[439.85, 2.5]","[549.45, 634.65]","[287.1, 243.85]",0,,,0,,,Exit,SL hit,SL hit,Exit,-1191.4
2025-02-11,14.82,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,77128.56,76400.0,76700,77500,77900.0,2025-02-11 00:00:00,0.25,Tuesday,60.3,112.85,147.4,69.0,0,282.125,368.5,0,33.855,44.22,,,,,392.85
2025-02-11,,0,Long,2025-02-11 11:06:00,2025-02-11 11:06:00,2025-02-11 10:17:00,2025-02-11 10:17:00,,76400.0,76700,77500,77900.0,2025-02-11 00:00:00,0.25,Tuesday,"[12.0, 12.0]","[30.05, 30.05]","[41.35, 41.35]","[17.1, 17.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-126.9
2025-02-18,16.2,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,75871.23,75100.0,75500,76300,76700.0,2025-02-18 00:00:00,0.25,Tuesday,84.1,167.95,167.35,86.85,0,419.875,418.375,0,50.385,50.205,,,,,493.05
2025-02-18,,0,Long,2025-02-18 12:48:00,2025-02-18 12:48:00,2025-02-18 11:02:00,2025-02-18 11:02:00,,75100.0,75500,76300,76700.0,2025-02-18 00:00:00,0.25,Tuesday,"[17.1, 17.1]","[46.2, 46.2]","[46.6, 46.6]","[20.75, 20.75]",0,,,0,,,Exit,Target hit,Target hit,Exit,-164.84999999999997
