Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-01,12.67,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83776.97,82500.0,83500,84100,85100.0,2025-07-01 00:00:00,0.25,Tuesday,8.0,87.6,82.4,4.55,0,219.0,206.0,0,26.28,24.72,,,,,157.45
2025-07-01,,0,Long,2025-07-01 12:20:00,2025-07-01 12:20:00,2025-07-01 10:11:00,2025-07-01 10:11:00,,82500.0,83500,84100,85100.0,2025-07-01 00:00:00,0.25,Tuesday,"[3.2, 3.2]","[25.85, 25.85]","[24.45, 24.45]","[2.1, 2.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-45.0
2025-07-08,12.47,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83494.14,82200.0,83200,83800,84800.0,2025-07-08 00:00:00,0.25,Tuesday,4.4,63.35,49.05,2.5,0,158.375,122.625,0,19.005,14.714999999999998,,,,,105.5
2025-07-08,,0,Long,2025-07-08 11:31:00,2025-07-08 11:31:00,2025-07-08 10:49:00,2025-07-08 10:49:00,,82200.0,83200,83800,84800.0,2025-07-08 00:00:00,0.25,Tuesday,"[2.05, 2.05]","[17.4, 17.4]","[13.5, 13.5]","[1.7, 1.7]",0,,,0,,,Exit,Target hit,Target hit,Exit,-27.15
2025-07-15,11.8,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82440.73,81100.0,82100,82700,83700.0,2025-07-15 00:00:00,0.25,Tuesday,2.2,27.85,48.9,3.5,0,69.625,122.25,0,8.355,14.669999999999998,,,,,71.05
2025-07-15,,0,Long,2025-07-15 11:24:00,2025-07-15 11:24:00,2025-07-15 11:06:00,2025-07-15 11:06:00,,81100.0,82100,82700,83700.0,2025-07-15 00:00:00,0.25,Tuesday,"[1.6, 1.6]","[7.85, 7.85]","[127.15, 5.25]","[4.25, 1.95]",0,,,0,,,Exit,Target hit,SL hit,Exit,-129.15
2025-07-22,11.06,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82357.95,81100.0,82100,82700,83700.0,2025-07-22 00:00:00,0.25,Tuesday,3.95,54.0,31.55,2.25,0,135.0,78.875,0,16.2,9.465,,,,,79.35
2025-07-22,,0,Long,2025-07-22 12:30:00,2025-07-22 12:30:00,2025-07-22 11:10:00,2025-07-22 11:10:00,,81100.0,82100,82700,83700.0,2025-07-22 00:00:00,0.25,Tuesday,"[2.3, 2.3]","[15.85, 15.85]","[9.15, 9.15]","[2.35, 2.35]",0,,,0,,,Exit,Target hit,Target hit,Exit,-20.35
2025-07-29,12.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80949.3,79600.0,80600,81200,82200.0,2025-07-29 00:00:00,0.25,Tuesday,4.25,47.8,85.65,9.0,0,119.5,214.125,0,14.339999999999998,25.695,,,,,120.2
2025-07-29,,0,Long,2025-07-29 12:29:00,2025-07-29 12:29:00,2025-07-29 10:27:00,2025-07-29 10:27:00,,79600.0,80600,81200,82200.0,2025-07-29 00:00:00,0.25,Tuesday,"[3.8, 3.8]","[14.25, 14.25]","[25.3, 25.3]","[6.15, 6.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-29.6
2025-08-05,11.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80818.01,79500.0,80500,81100,82100.0,2025-08-05 00:00:00,0.25,Tuesday,3.35,51.25,77.2,5.0,0,128.125,193.0,0,15.375,23.16,,,,,120.1
2025-08-05,,0,Long,2025-08-05 14:31:00,2025-08-05 14:31:00,2025-08-05 11:07:00,2025-08-05 11:07:00,,79500.0,80500,81100,82100.0,2025-08-05 00:00:00,0.25,Tuesday,"[1.35, 1.35]","[14.75, 14.75]","[20.6, 20.6]","[3.1, 3.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-30.9
2025-08-12,12.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80707.66,79400.0,80400,81000,82000.0,2025-08-12 00:00:00,0.25,Tuesday,5.65,61.1,72.7,3.45,0,152.75,181.75,0,18.33,21.81,,,,,124.70000000000002
