Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-01,12.51,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83682.22,82400.0,83400,84000,85000.0,2025-07-01 00:00:00,0.25,Tuesday,1.05,3.05,2.95,1.5,0,6.1,5.9,0,0.915,0.885,,,,,6.9
2025-07-01,,0,Long,2025-07-01 15:00:00,2025-07-01 15:00:00,2025-07-01 15:00:00,2025-07-01 15:00:00,,82400.0,83400,84000,85000.0,2025-07-01 00:00:00,0.25,Tuesday,"[0.75, 0.75]","[1.2, 1.2]","[1.25, 1.25]","[0.65, 0.65]",0,,,0,,,Exit,Universal exit,Universal exit,Exit,-2.1000000000000005
2025-07-08,12.08,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83498.58,82200.0,83200,83800,84800.0,2025-07-08 00:00:00,0.25,Tuesday,0.75,2.3,1.6,0.6,0,4.6,3.2,0,0.69,0.48,,,,,5.1
2025-07-08,,0,Long,2025-07-08 15:00:00,2025-07-08 15:00:00,2025-07-08 15:00:00,2025-07-08 15:00:00,,82200.0,83200,83800,84800.0,2025-07-08 00:00:00,0.25,Tuesday,"[0.4, 0.4]","[0.9, 0.9]","[2.35, 2.35]","[0.45, 0.45]",0,,,0,,,Exit,Universal exit,Universal exit,Exit,-4.8
2025-07-15,11.55,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82543.31,81200.0,82200,82800,83800.0,2025-07-15 00:00:00,0.25,Tuesday,1.65,4.25,5.35,1.6,0,8.5,10.7,0,1.275,1.6049999999999998,,,,,12.7
2025-07-15,,0,Long,2025-07-15 14:38:00,2025-07-15 14:38:00,2025-07-15 15:00:00,2025-07-15 15:00:00,,81200.0,82200,82800,83800.0,2025-07-15 00:00:00,0.25,Tuesday,"[1.8, 1.55]","[8.75, 3.2]","[3.9, 3.9]","[1.95, 1.95]",0,,,0,,,Exit,SL hit,Universal exit,Exit,-12.5
2025-07-22,10.84,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82214.42,80900.0,81900,82500,83500.0,2025-07-22 00:00:00,0.25,Tuesday,1.4,4.3,5.25,1.85,0,8.6,10.5,0,1.2899999999999998,1.575,,,,,12.6
2025-07-22,,0,Long,2025-07-22 14:55:00,2025-07-22 14:55:00,2025-07-22 14:57:00,2025-07-22 14:57:00,,80900.0,81900,82500,83500.0,2025-07-22 00:00:00,0.25,Tuesday,"[0.7, 0.7]","[1.15, 1.15]","[1.4, 1.4]","[0.8, 0.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-2.1
2025-07-29,11.68,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81306.92,80000.0,81000,81600,82600.0,2025-07-29 00:00:00,0.25,Tuesday,2.1,5.65,6.65,1.55,0,11.3,13.3,0,1.695,1.995,,,,,17.3
2025-07-29,,0,Long,2025-07-29 14:58:00,2025-07-29 14:58:00,2025-07-29 14:47:00,2025-07-29 14:47:00,,80000.0,81000,81600,82600.0,2025-07-29 00:00:00,0.25,Tuesday,"[0.8, 0.8]","[1.5, 1.5]","[1.95, 1.95]","[1.1, 1.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-3.1
