Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-01,12.67,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83776.97,83000.0,83500,84100,84600.0,2025-07-01 00:00:00,0.25,Tuesday,27.05,87.6,82.4,19.2,0,219.0,206.0,0,26.28,24.72,,,,,495.0
2025-07-01,,0,Long,2025-07-01 12:20:00,2025-07-01 12:20:00,2025-07-01 10:11:00,2025-07-01 10:11:00,,83000.0,83500,84100,84600.0,2025-07-01 00:00:00,0.25,Tuesday,"[6.65, 6.65]","[25.85, 25.85]","[24.45, 24.45]","[5.0, 5.0]",0,,,0,,,Exit,Target hit,Target hit,Exit,-154.60000000000002
2025-07-08,12.47,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83494.14,82700.0,83200,83800,84300.0,2025-07-08 00:00:00,0.25,Tuesday,15.55,63.35,49.05,8.5,0,158.375,122.625,0,19.005,14.714999999999998,,,,,353.40000000000003
2025-07-08,,0,Long,2025-07-08 11:31:00,2025-07-08 11:31:00,2025-07-08 10:49:00,2025-07-08 10:49:00,,82700.0,83200,83800,84300.0,2025-07-08 00:00:00,0.25,Tuesday,"[4.4, 4.4]","[17.4, 17.4]","[13.5, 13.5]","[3.4, 3.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-92.4
2025-07-15,11.8,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82440.73,81600.0,82100,82700,83200.0,2025-07-15 00:00:00,0.25,Tuesday,5.45,27.85,48.9,9.9,0,69.625,122.25,0,8.355,14.669999999999998,,,,,245.6
2025-07-15,,0,Long,2025-07-15 11:24:00,2025-07-15 11:24:00,2025-07-15 11:06:00,2025-07-15 11:06:00,,81600.0,82100,82700,83200.0,2025-07-15 00:00:00,0.25,Tuesday,"[2.5, 2.5]","[7.85, 7.85]","[127.15, 5.25]","[19.65, 2.4]",0,,,0,,,Exit,Target hit,SL hit,Exit,-346.7500000000001
2025-07-22,11.06,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82357.95,81600.0,82100,82700,83200.0,2025-07-22 00:00:00,0.25,Tuesday,11.3,54.0,31.55,6.05,0,135.0,78.875,0,16.2,9.465,,,,,272.79999999999995
2025-07-22,,0,Long,2025-07-22 12:30:00,2025-07-22 12:30:00,2025-07-22 11:10:00,2025-07-22 11:10:00,,81600.0,82100,82700,83200.0,2025-07-22 00:00:00,0.25,Tuesday,"[3.85, 3.85]","[15.85, 15.85]","[9.15, 9.15]","[3.4, 3.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-71.0
2025-07-29,12.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80949.3,80100.0,80600,81200,81700.0,2025-07-29 00:00:00,0.25,Tuesday,11.85,47.8,85.65,22.8,0,119.5,214.125,0,14.339999999999998,25.695,,,,,395.19999999999993
2025-07-29,,0,Long,2025-07-29 12:29:00,2025-07-29 12:29:00,2025-07-29 10:27:00,2025-07-29 10:27:00,,80100.0,80600,81200,81700.0,2025-07-29 00:00:00,0.25,Tuesday,"[4.8, 4.8]","[14.25, 14.25]","[25.3, 25.3]","[9.6, 9.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-100.6
