Date,DaysToExpiry,ExpiryDate,PnL
2024-07-05,0.25,2024-07-05 00:00:00,1377.4149999999995
2024-07-12,0.25,2024-07-12 00:00:00,-4234.955
2024-07-19,0.25,2024-07-19 00:00:00,-2758.17
2024-07-26,0.25,2024-07-26 00:00:00,-1243.56
2024-08-02,0.25,2024-08-02 00:00:00,2252.1850000000013
2024-08-09,0.25,2024-08-09 00:00:00,1547.4750000000001
2024-08-16,0.25,2024-08-16 00:00:00,-1087.8100000000009
2024-08-23,0.25,2024-08-23 00:00:00,1478.5149999999999
2024-08-30,0.25,2024-08-30 00:00:00,1351.0700000000002
2024-09-06,0.25,2024-09-06 00:00:00,-658.8000000000006
2024-09-13,0.25,2024-09-13 00:00:00,1697.9
2024-09-20,0.25,2024-09-20 00:00:00,-1370.3250000000003
2024-09-27,0.25,2024-09-27 00:00:00,1425.4950000000001
2024-10-04,0.25,2024-10-04 00:00:00,-1430.44
2024-10-11,0.25,2024-10-11 00:00:00,1345.56
2024-10-18,0.25,2024-10-18 00:00:00,-1500.3200000000002
2024-10-25,0.25,2024-10-25 00:00:00,-942.4000000000001
2024-10-31,0.25,2024-10-31 00:00:00,1204.18
2024-11-08,0.25,2024-11-08 00:00:00,2416.5099999999998
2024-11-14,0.25,2024-11-14 00:00:00,2131.3450000000003
2024-11-22,0.25,2024-11-22 00:00:00,-1208.0000000000018
2024-11-29,0.25,2024-11-29 00:00:00,4148.065
2024-12-06,0.25,2024-12-06 00:00:00,3679.9100000000008
2024-12-13,0.25,2024-12-13 00:00:00,-1770.6799999999998
2024-12-20,0.25,2024-12-20 00:00:00,-2376.29
2024-12-27,0.25,2024-12-27 00:00:00,2332.29
2025-01-07,0.25,2025-01-07 00:00:00,-1376.6549999999997
2025-01-14,0.25,2025-01-14 00:00:00,1236.8250000000003
2025-01-21,0.25,2025-01-21 00:00:00,-1654.0599999999995
2025-01-28,0.25,2025-01-28 00:00:00,-3663.13
2025-02-04,0.25,2025-02-04 00:00:00,-7061.390000000003
2025-02-11,0.25,2025-02-11 00:00:00,2409.9849999999997
2025-02-18,0.25,2025-02-18 00:00:00,2980.3399999999992
2025-02-25,0.25,2025-02-25 00:00:00,1117.125
2025-03-04,0.25,2025-03-04 00:00:00,1538.9349999999995
2025-03-11,0.25,2025-03-11 00:00:00,1234.5500000000002
2025-03-18,0.25,2025-03-18 00:00:00,-1043.3850000000002
2025-03-25,0.25,2025-03-25 00:00:00,2574.6949999999997
2025-04-01,0.25,2025-04-01 00:00:00,-4005.96
2025-04-08,0.25,2025-04-08 00:00:00,-2924.4400000000005
2025-04-15,0.25,2025-04-15 00:00:00,1649.11
2025-04-22,0.25,2025-04-22 00:00:00,1160.04
2025-04-29,0.25,2025-04-29 00:00:00,-810.2950000000001
2025-05-06,0.25,2025-05-06 00:00:00,501.52
2025-05-13,0.25,2025-05-13 00:00:00,955.9899999999998
2025-05-20,0.25,2025-05-20 00:00:00,-714.3399999999999
2025-05-27,0.25,2025-05-27 00:00:00,-3160.305000000002
2025-06-03,0.25,2025-06-03 00:00:00,5938.7300000000005
2025-06-10,0.25,2025-06-10 00:00:00,1743.0100000000007
2025-06-17,0.25,2025-06-17 00:00:00,1394.115
2025-06-24,0.25,2025-06-24 00:00:00,-4119.919999999998
2025-07-01,0.25,2025-07-01 00:00:00,1543.92
2025-07-08,0.25,2025-07-08 00:00:00,1076.41
2025-07-15,0.25,2025-07-15 00:00:00,-856.845
2025-07-22,0.25,2025-07-22 00:00:00,758.575
2025-07-29,0.25,2025-07-29 00:00:00,1298.4050000000002
2025-08-05,0.25,2025-08-05 00:00:00,1168.1099999999997
2025-08-12,0.25,2025-08-12 00:00:00,-923.2349999999999
2025-08-19,0.25,2025-08-19 00:00:00,981.96
2025-08-26,0.25,2025-08-26 00:00:00,1145.64
