Date,DaysToExpiry,ExpiryDate,PnL
2024-07-05,0.25,2024-07-05 00:00:00,3639.5899999999997
2024-07-12,0.25,2024-07-12 00:00:00,-1949.3499999999995
2024-07-19,0.25,2024-07-19 00:00:00,-3797.3199999999997
2024-07-26,0.25,2024-07-26 00:00:00,-7408.850000000004
2024-08-02,0.25,2024-08-02 00:00:00,4902.310000000002
2024-08-09,0.25,2024-08-09 00:00:00,4056.4700000000003
2024-08-16,0.25,2024-08-16 00:00:00,-402.0600000000013
2024-08-23,0.25,2024-08-23 00:00:00,3886.23
2024-08-30,0.25,2024-08-30 00:00:00,3417.2200000000003
2024-09-06,0.25,2024-09-06 00:00:00,-7195.8
2024-09-13,0.25,2024-09-13 00:00:00,4417.92
2024-09-20,0.25,2024-09-20 00:00:00,-6348.37
2024-09-27,0.25,2024-09-27 00:00:00,2943.9100000000003
2024-10-04,0.25,2024-10-04 00:00:00,-3182.0599999999995
2024-10-11,0.25,2024-10-11 00:00:00,3620.3200000000006
2024-10-18,0.25,2024-10-18 00:00:00,-10331.220000000001
2024-10-25,0.25,2024-10-25 00:00:00,-6873.1900000000005
2024-10-31,0.25,2024-10-31 00:00:00,3042.6400000000003
2024-11-08,0.25,2024-11-08 00:00:00,6230.86
2024-11-14,0.25,2024-11-14 00:00:00,5589.830000000001
2024-11-22,0.25,2024-11-22 00:00:00,-8289.15
2024-11-29,0.25,2024-11-29 00:00:00,10855.41
2024-12-06,0.25,2024-12-06 00:00:00,9012.180000000002
2024-12-13,0.25,2024-12-13 00:00:00,-16225.95
2024-12-20,0.25,2024-12-20 00:00:00,-19252.14
2024-12-27,0.25,2024-12-27 00:00:00,6240.18
2025-01-07,0.25,2025-01-07 00:00:00,4807.55
2025-01-14,0.25,2025-01-14 00:00:00,2958.4500000000003
2025-01-21,0.25,2025-01-21 00:00:00,-10597.29
2025-01-28,0.25,2025-01-28 00:00:00,-316.8600000000006
2025-02-04,0.25,2025-02-04 00:00:00,-7366.889999999996
2025-02-11,0.25,2025-02-11 00:00:00,-6973.799999999999
2025-02-18,0.25,2025-02-18 00:00:00,7631.2199999999975
2025-02-25,0.25,2025-02-25 00:00:00,2652.3900000000003
2025-03-04,0.25,2025-03-04 00:00:00,3889.85
2025-03-11,0.25,2025-03-11 00:00:00,2814.46
2025-03-18,0.25,2025-03-18 00:00:00,-5480.370000000001
2025-03-25,0.25,2025-03-25 00:00:00,6405.83
2025-04-01,0.25,2025-04-01 00:00:00,-13039.699999999999
2025-04-08,0.25,2025-04-08 00:00:00,-4859.08
2025-04-15,0.25,2025-04-15 00:00:00,3843.62
2025-04-22,0.25,2025-04-22 00:00:00,2715.9999999999995
2025-04-29,0.25,2025-04-29 00:00:00,-395.46000000000004
2025-05-06,0.25,2025-05-06 00:00:00,1203.02
2025-05-13,0.25,2025-05-13 00:00:00,2835.12
2025-05-20,0.25,2025-05-20 00:00:00,-8477.469999999998
2025-05-27,0.25,2025-05-27 00:00:00,551.4300000000021
2025-06-03,0.25,2025-06-03 00:00:00,16717.38
2025-06-10,0.25,2025-06-10 00:00:00,4574.800000000001
2025-06-17,0.25,2025-06-17 00:00:00,3658.85
2025-06-24,0.25,2025-06-24 00:00:00,-7240.95
2025-07-01,0.25,2025-07-01 00:00:00,4190.76
2025-07-08,0.25,2025-07-08 00:00:00,2714.38
2025-07-15,0.25,2025-07-15 00:00:00,-148.19000000000005
2025-07-22,0.25,2025-07-22 00:00:00,1957.5100000000002
2025-07-29,0.25,2025-07-29 00:00:00,1845.37
2025-08-05,0.25,2025-08-05 00:00:00,2978.5799999999995
2025-08-12,0.25,2025-08-12 00:00:00,-1739.4100000000012
2025-08-19,0.25,2025-08-19 00:00:00,2519.42
2025-08-26,0.25,2025-08-26 00:00:00,2986.16
