Date,DaysToExpiry,ExpiryDate,PnL
2024-07-05,0.25,2024-07-05 00:00:00,5374.439999999998
2024-07-12,0.25,2024-07-12 00:00:00,-6130.519999999999
2024-07-19,0.25,2024-07-19 00:00:00,-10324.21
2024-07-26,0.25,2024-07-26 00:00:00,-13330.079999999993
2024-08-02,0.25,2024-08-02 00:00:00,6520.980000000004
2024-08-09,0.25,2024-08-09 00:00:00,6252.5199999999995
2024-08-16,0.25,2024-08-16 00:00:00,367.4299999999985
2024-08-23,0.25,2024-08-23 00:00:00,5689.040000000001
2024-08-30,0.25,2024-08-30 00:00:00,5415.2
2024-09-06,0.25,2024-09-06 00:00:00,-7707.470000000003
2024-09-13,0.25,2024-09-13 00:00:00,6903.4800000000005
2024-09-20,0.25,2024-09-20 00:00:00,-8426.300000000003
2024-09-27,0.25,2024-09-27 00:00:00,3662.1400000000012
2024-10-04,0.25,2024-10-04 00:00:00,-4607.090000000001
2024-10-11,0.25,2024-10-11 00:00:00,5388.120000000001
2024-10-18,0.25,2024-10-18 00:00:00,-14428.620000000003
2024-10-25,0.25,2024-10-25 00:00:00,-13527.309999999998
2024-10-31,0.25,2024-10-31 00:00:00,4255.680000000001
2024-11-08,0.25,2024-11-08 00:00:00,8761.079999999998
2024-11-14,0.25,2024-11-14 00:00:00,8305.360000000002
2024-11-22,0.25,2024-11-22 00:00:00,-9533.850000000037
2024-11-29,0.25,2024-11-29 00:00:00,14762.260000000002
2024-12-06,0.25,2024-12-06 00:00:00,13222.82
2024-12-13,0.25,2024-12-13 00:00:00,-21571.400000000016
2024-12-20,0.25,2024-12-20 00:00:00,-30178.000000000004
2024-12-27,0.25,2024-12-27 00:00:00,9689.519999999999
2025-01-07,0.25,2025-01-07 00:00:00,4968.1500000000015
2025-01-14,0.25,2025-01-14 00:00:00,4544.9400000000005
2025-01-21,0.25,2025-01-21 00:00:00,-17131.25000000001
2025-01-28,0.25,2025-01-28 00:00:00,5731.459999999996
2025-02-04,0.25,2025-02-04 00:00:00,-17290.87999999999
2025-02-11,0.25,2025-02-11 00:00:00,-10843.999999999998
2025-02-18,0.25,2025-02-18 00:00:00,11131.899999999996
2025-02-25,0.25,2025-02-25 00:00:00,4175.42
2025-03-04,0.25,2025-03-04 00:00:00,5691.939999999999
2025-03-11,0.25,2025-03-11 00:00:00,3628.780000000001
2025-03-18,0.25,2025-03-18 00:00:00,-6231.6600000000035
2025-03-25,0.25,2025-03-25 00:00:00,9674.26
2025-04-01,0.25,2025-04-01 00:00:00,-15899.909999999989
2025-04-08,0.25,2025-04-08 00:00:00,-274.15000000000055
2025-04-15,0.25,2025-04-15 00:00:00,5521.1399999999985
2025-04-22,0.25,2025-04-22 00:00:00,3877.4399999999987
2025-04-29,0.25,2025-04-29 00:00:00,1576.0400000000004
2025-05-06,0.25,2025-05-06 00:00:00,1765.68
2025-05-13,0.25,2025-05-13 00:00:00,1833.6799999999985
2025-05-20,0.25,2025-05-20 00:00:00,-20264.68
2025-05-27,0.25,2025-05-27 00:00:00,10621.42
2025-06-03,0.25,2025-06-03 00:00:00,23500.939999999995
2025-06-10,0.25,2025-06-10 00:00:00,7102.360000000002
2025-06-17,0.25,2025-06-17 00:00:00,5456.5
2025-06-24,0.25,2025-06-24 00:00:00,-16184.859999999999
2025-07-01,0.25,2025-07-01 00:00:00,6501.02
2025-07-08,0.25,2025-07-08 00:00:00,3814.86
2025-07-15,0.25,2025-07-15 00:00:00,1443.1999999999998
2025-07-22,0.25,2025-07-22 00:00:00,3023.8
2025-07-29,0.25,2025-07-29 00:00:00,1324.5600000000004
2025-08-05,0.25,2025-08-05 00:00:00,3997.12
2025-08-12,0.25,2025-08-12 00:00:00,-5630.069999999998
2025-08-19,0.25,2025-08-19 00:00:00,3802.26
2025-08-26,0.25,2025-08-26 00:00:00,4269.78
