Date,DaysToExpiry,ExpiryDate,PnL
2024-07-05,0.25,2024-07-05 00:00:00,65.34
2024-07-12,0.25,2024-07-12 00:00:00,38.19999999999999
2024-07-19,0.25,2024-07-19 00:00:00,9.86499999999998
2024-07-26,0.25,2024-07-26 00:00:00,-85.92500000000001
2024-08-02,0.25,2024-08-02 00:00:00,22.045000000000016
2024-08-09,0.25,2024-08-09 00:00:00,28.34499999999999
2024-08-16,0.25,2024-08-16 00:00:00,95.97500000000005
2024-08-23,0.25,2024-08-23 00:00:00,7.284999999999982
2024-08-30,0.25,2024-08-30 00:00:00,116.87
2024-09-06,0.25,2024-09-06 00:00:00,25.5
2024-09-13,0.25,2024-09-13 00:00:00,92.76499999999996
2024-09-20,0.25,2024-09-20 00:00:00,-1344.6799999999998
2024-09-27,0.25,2024-09-27 00:00:00,73.60500000000005
2024-10-04,0.25,2024-10-04 00:00:00,80.76500000000001
2024-10-11,0.25,2024-10-11 00:00:00,20.36999999999999
2024-10-18,0.25,2024-10-18 00:00:00,35.41500000000002
2024-10-25,0.25,2024-10-25 00:00:00,-42.385000000000005
2024-10-31,0.25,2024-10-31 00:00:00,4.284999999999997
2024-11-08,0.25,2024-11-08 00:00:00,18.725000000000005
2024-11-14,0.25,2024-11-14 00:00:00,8.415000000000006
2024-11-22,0.25,2024-11-22 00:00:00,730.1299999999995
2024-11-29,0.25,2024-11-29 00:00:00,59.36999999999999
2024-12-06,0.25,2024-12-06 00:00:00,91.53
2024-12-13,0.25,2024-12-13 00:00:00,390.38
2024-12-20,0.25,2024-12-20 00:00:00,-143.6049999999999
2024-12-27,0.25,2024-12-27 00:00:00,2.250000000000014
2025-01-07,0.25,2025-01-07 00:00:00,49.25499999999998
2025-01-14,0.25,2025-01-14 00:00:00,50.49000000000001
2025-01-21,0.25,2025-01-21 00:00:00,-363.71500000000015
2025-01-28,0.25,2025-01-28 00:00:00,-789.7450000000001
2025-02-04,0.25,2025-02-04 00:00:00,248.99499999999966
2025-02-11,0.25,2025-02-11 00:00:00,-683.2199999999998
2025-02-18,0.25,2025-02-18 00:00:00,186.44500000000005
2025-02-25,0.25,2025-02-25 00:00:00,38.504999999999995
2025-03-04,0.25,2025-03-04 00:00:00,26.400000000000013
2025-03-11,0.25,2025-03-11 00:00:00,24.500000000000004
2025-03-18,0.25,2025-03-18 00:00:00,61.300000000000004
2025-03-25,0.25,2025-03-25 00:00:00,7.844999999999985
2025-04-01,0.25,2025-04-01 00:00:00,186.445
2025-04-08,0.25,2025-04-08 00:00:00,-944.4399999999998
2025-04-15,0.25,2025-04-15 00:00:00,34.540000000000006
2025-04-22,0.25,2025-04-22 00:00:00,-10.505000000000003
2025-04-29,0.25,2025-04-29 00:00:00,7.420000000000016
2025-05-06,0.25,2025-05-06 00:00:00,8.340000000000003
2025-05-13,0.25,2025-05-13 00:00:00,153.23500000000004
2025-05-20,0.25,2025-05-20 00:00:00,35.45
2025-05-27,0.25,2025-05-27 00:00:00,97.43499999999986
2025-06-03,0.25,2025-06-03 00:00:00,60.78999999999999
2025-06-10,0.25,2025-06-10 00:00:00,15.244999999999997
2025-06-17,0.25,2025-06-17 00:00:00,49.41999999999997
2025-06-24,0.25,2025-06-24 00:00:00,69.15499999999999
2025-07-01,0.25,2025-07-01 00:00:00,23.534999999999997
2025-07-08,0.25,2025-07-08 00:00:00,-15.615000000000002
2025-07-15,0.25,2025-07-15 00:00:00,20.915000000000006
2025-07-22,0.25,2025-07-22 00:00:00,43.25500000000001
2025-07-29,0.25,2025-07-29 00:00:00,82.24000000000001
2025-08-05,0.25,2025-08-05 00:00:00,58.11999999999998
2025-08-12,0.25,2025-08-12 00:00:00,108.49500000000003
2025-08-19,0.25,2025-08-19 00:00:00,54.349999999999994
2025-08-26,0.25,2025-08-26 00:00:00,19.215000000000032
