Date,DaysToExpiry,ExpiryDate,PnL
2024-07-05,0.25,2024-07-05 00:00:00,5208.349999999999
2024-07-12,0.25,2024-07-12 00:00:00,-7104.889999999998
2024-07-19,0.25,2024-07-19 00:00:00,-2899.79
2024-07-26,0.25,2024-07-26 00:00:00,-15032.419999999998
2024-08-02,0.25,2024-08-02 00:00:00,6823.1500000000015
2024-08-09,0.25,2024-08-09 00:00:00,5738.69
2024-08-16,0.25,2024-08-16 00:00:00,-296.0000000000009
2024-08-23,0.25,2024-08-23 00:00:00,5401.05
2024-08-30,0.25,2024-08-30 00:00:00,5061.42
2024-09-06,0.25,2024-09-06 00:00:00,-9841.9
2024-09-13,0.25,2024-09-13 00:00:00,6077.89
2024-09-20,0.25,2024-09-20 00:00:00,-7038.340000000002
2024-09-27,0.25,2024-09-27 00:00:00,3872.3999999999996
2024-10-04,0.25,2024-10-04 00:00:00,-2960.8499999999995
2024-10-11,0.25,2024-10-11 00:00:00,4703.550000000001
2024-10-18,0.25,2024-10-18 00:00:00,-11265.45
2024-10-25,0.25,2024-10-25 00:00:00,-8813.039999999997
2024-10-31,0.25,2024-10-31 00:00:00,4090.7099999999996
2024-11-08,0.25,2024-11-08 00:00:00,8703.779999999999
2024-11-14,0.25,2024-11-14 00:00:00,7432.76
2024-11-22,0.25,2024-11-22 00:00:00,-15621.129999999997
2024-11-29,0.25,2024-11-29 00:00:00,12953.84
2024-12-06,0.25,2024-12-06 00:00:00,9012.180000000002
2024-12-13,0.25,2024-12-13 00:00:00,-23396.990000000005
2024-12-20,0.25,2024-12-20 00:00:00,-16805.46
2024-12-27,0.25,2024-12-27 00:00:00,7838.819999999998
2025-01-07,0.25,2025-01-07 00:00:00,1819.1299999999992
2025-01-14,0.25,2025-01-14 00:00:00,3703.7099999999996
2025-01-21,0.25,2025-01-21 00:00:00,-15887.24
2025-01-28,0.25,2025-01-28 00:00:00,2345.8499999999985
2025-02-04,0.25,2025-02-04 00:00:00,-17855.829999999998
2025-02-11,0.25,2025-02-11 00:00:00,-5455.299999999999
2025-02-18,0.25,2025-02-18 00:00:00,10317.73
2025-02-25,0.25,2025-02-25 00:00:00,3628.6699999999996
2025-03-04,0.25,2025-03-04 00:00:00,5132.4
2025-03-11,0.25,2025-03-11 00:00:00,3924.0699999999997
2025-03-18,0.25,2025-03-18 00:00:00,-4042.76
2025-03-25,0.25,2025-03-25 00:00:00,8294.859999999999
2025-04-01,0.25,2025-04-01 00:00:00,-20443.46
2025-04-08,0.25,2025-04-08 00:00:00,-4705.45
2025-04-15,0.25,2025-04-15 00:00:00,5058.25
2025-04-22,0.25,2025-04-22 00:00:00,3308.329999999999
2025-04-29,0.25,2025-04-29 00:00:00,681.7600000000002
2025-05-06,0.25,2025-05-06 00:00:00,1423.82
2025-05-13,0.25,2025-05-13 00:00:00,4564.949999999999
2025-05-20,0.25,2025-05-20 00:00:00,-7170.11
2025-05-27,0.25,2025-05-27 00:00:00,3934.4299999999985
2025-06-03,0.25,2025-06-03 00:00:00,20598.1
2025-06-10,0.25,2025-06-10 00:00:00,6290.370000000001
2025-06-17,0.25,2025-06-17 00:00:00,4694.59
2025-06-24,0.25,2025-06-24 00:00:00,-10934.75
2025-07-01,0.25,2025-07-01 00:00:00,5743.81
2025-07-08,0.25,2025-07-08 00:00:00,3837.7999999999997
2025-07-15,0.25,2025-07-15 00:00:00,182.07000000000016
2025-07-22,0.25,2025-07-22 00:00:00,2902.07
2025-07-29,0.25,2025-07-29 00:00:00,3010.88
2025-08-05,0.25,2025-08-05 00:00:00,4261.32
2025-08-12,0.25,2025-08-12 00:00:00,-4581.969999999999
2025-08-19,0.25,2025-08-19 00:00:00,3645.0699999999997
2025-08-26,0.25,2025-08-26 00:00:00,4191.74
