Date,DaysToExpiry,ExpiryDate,PnL
2024-07-05,0.25,2024-07-05 00:00:00,4129.669999999999
2024-07-12,0.25,2024-07-12 00:00:00,-5045.5
2024-07-19,0.25,2024-07-19 00:00:00,-2615.9800000000005
2024-07-26,0.25,2024-07-26 00:00:00,-15674.779999999999
2024-08-02,0.25,2024-08-02 00:00:00,6148.530000000001
2024-08-09,0.25,2024-08-09 00:00:00,4482.25
2024-08-16,0.25,2024-08-16 00:00:00,1667.499999999999
2024-08-23,0.25,2024-08-23 00:00:00,4271.93
2024-08-30,0.25,2024-08-30 00:00:00,4065.6200000000003
2024-09-06,0.25,2024-09-06 00:00:00,-10453.960000000001
2024-09-13,0.25,2024-09-13 00:00:00,4791.15
2024-09-20,0.25,2024-09-20 00:00:00,-7894.820000000003
2024-09-27,0.25,2024-09-27 00:00:00,3581.52
2024-10-04,0.25,2024-10-04 00:00:00,2289.13
2024-10-11,0.25,2024-10-11 00:00:00,3624.870000000001
2024-10-18,0.25,2024-10-18 00:00:00,-10844.279999999999
2024-10-25,0.25,2024-10-25 00:00:00,-8554.48
2024-10-31,0.25,2024-10-31 00:00:00,3321.0899999999997
2024-11-08,0.25,2024-11-08 00:00:00,6934.26
2024-11-14,0.25,2024-11-14 00:00:00,2464.5699999999997
2024-11-22,0.25,2024-11-22 00:00:00,-20450.95
2024-11-29,0.25,2024-11-29 00:00:00,10119.84
2024-12-06,0.25,2024-12-06 00:00:00,7359.8200000000015
2024-12-13,0.25,2024-12-13 00:00:00,3167.0199999999995
2024-12-20,0.25,2024-12-20 00:00:00,-12462.460000000001
2024-12-27,0.25,2024-12-27 00:00:00,6008.699999999997
2025-01-07,0.25,2025-01-07 00:00:00,1425.2299999999987
2025-01-14,0.25,2025-01-14 00:00:00,3055.29
2025-01-21,0.25,2025-01-21 00:00:00,-16792.14
2025-01-28,0.25,2025-01-28 00:00:00,2632.6899999999987
2025-02-04,0.25,2025-02-04 00:00:00,-14204.679999999997
2025-02-11,0.25,2025-02-11 00:00:00,6612.18
2025-02-18,0.25,2025-02-18 00:00:00,8198.749999999998
2025-02-25,0.25,2025-02-25 00:00:00,811.8399999999992
2025-03-04,0.25,2025-03-04 00:00:00,4160.84
2025-03-11,0.25,2025-03-11 00:00:00,1261.7699999999995
2025-03-18,0.25,2025-03-18 00:00:00,-3592.2999999999975
2025-03-25,0.25,2025-03-25 00:00:00,2247.99
2025-04-01,0.25,2025-04-01 00:00:00,-19848.57
2025-04-08,0.25,2025-04-08 00:00:00,1436.3599999999997
2025-04-15,0.25,2025-04-15 00:00:00,4274.49
2025-04-22,0.25,2025-04-22 00:00:00,1618.5999999999992
2025-04-29,0.25,2025-04-29 00:00:00,726.2000000000003
2025-05-06,0.25,2025-05-06 00:00:00,1193.54
2025-05-13,0.25,2025-05-13 00:00:00,-4498.789999999997
2025-05-20,0.25,2025-05-20 00:00:00,-7019.619999999998
2025-05-27,0.25,2025-05-27 00:00:00,3527.3999999999996
2025-06-03,0.25,2025-06-03 00:00:00,15420.839999999998
2025-06-10,0.25,2025-06-10 00:00:00,4878.39
2025-06-17,0.25,2025-06-17 00:00:00,3662.37
2025-06-24,0.25,2025-06-24 00:00:00,-9102.610000000002
2025-07-01,0.25,2025-07-01 00:00:00,4400.51
2025-07-08,0.25,2025-07-08 00:00:00,3054.04
2025-07-15,0.25,2025-07-15 00:00:00,-439.0799999999999
2025-07-22,0.25,2025-07-22 00:00:00,2287.9900000000002
2025-07-29,0.25,2025-07-29 00:00:00,1938.2600000000002
2025-08-05,0.25,2025-08-05 00:00:00,1894.889999999999
2025-08-12,0.25,2025-08-12 00:00:00,-3077.069999999999
2025-08-19,0.25,2025-08-19 00:00:00,1478.6799999999998
2025-08-26,0.25,2025-08-26 00:00:00,3309.0
