Date,DaysToExpiry,ExpiryDate,PnL
2024-07-05,0.25,2024-07-05 00:00:00,6194.504999999997
2024-07-12,0.25,2024-07-12 00:00:00,-3753.4799999999977
2024-07-19,0.25,2024-07-19 00:00:00,-4526.939999999997
2024-07-26,0.25,2024-07-26 00:00:00,-30030.205
2024-08-02,0.25,2024-08-02 00:00:00,9222.795000000002
2024-08-09,0.25,2024-08-09 00:00:00,6723.375
2024-08-16,0.25,2024-08-16 00:00:00,2479.535
2024-08-23,0.25,2024-08-23 00:00:00,6407.895
2024-08-30,0.25,2024-08-30 00:00:00,6098.430000000002
2024-09-06,0.25,2024-09-06 00:00:00,-20825.375
2024-09-13,0.25,2024-09-13 00:00:00,7186.725
2024-09-20,0.25,2024-09-20 00:00:00,-15029.284999999998
2024-09-27,0.25,2024-09-27 00:00:00,5372.280000000001
2024-10-04,0.25,2024-10-04 00:00:00,2904.455
2024-10-11,0.25,2024-10-11 00:00:00,5437.305
2024-10-18,0.25,2024-10-18 00:00:00,-23257.134999999995
2024-10-25,0.25,2024-10-25 00:00:00,-17695.375
2024-10-31,0.25,2024-10-31 00:00:00,4981.635000000002
2024-11-08,0.25,2024-11-08 00:00:00,10401.39
2024-11-14,0.25,2024-11-14 00:00:00,8722.11
2024-11-22,0.25,2024-11-22 00:00:00,-32563.61000000001
2024-11-29,0.25,2024-11-29 00:00:00,15179.76
2024-12-06,0.25,2024-12-06 00:00:00,11039.730000000005
2024-12-13,0.25,2024-12-13 00:00:00,5256.539999999999
2024-12-20,0.25,2024-12-20 00:00:00,6267.954999999998
2024-12-27,0.25,2024-12-27 00:00:00,9013.050000000001
2025-01-07,0.25,2025-01-07 00:00:00,6501.044999999998
2025-01-14,0.25,2025-01-14 00:00:00,4582.935000000001
2025-01-21,0.25,2025-01-21 00:00:00,-32772.30000000001
2025-01-28,0.25,2025-01-28 00:00:00,4206.08
2025-02-04,0.25,2025-02-04 00:00:00,-20194.504999999997
2025-02-11,0.25,2025-02-11 00:00:00,9918.27
2025-02-18,0.25,2025-02-18 00:00:00,12298.124999999996
2025-02-25,0.25,2025-02-25 00:00:00,4570.455
2025-03-04,0.25,2025-03-04 00:00:00,6241.259999999997
2025-03-11,0.25,2025-03-11 00:00:00,5049.915000000002
2025-03-18,0.25,2025-03-18 00:00:00,-6635.384999999998
2025-03-25,0.25,2025-03-25 00:00:00,9918.3
2025-04-01,0.25,2025-04-01 00:00:00,-37769.025
2025-04-08,0.25,2025-04-08 00:00:00,1722.2600000000002
2025-04-15,0.25,2025-04-15 00:00:00,6411.734999999999
2025-04-22,0.25,2025-04-22 00:00:00,4177.725
2025-04-29,0.25,2025-04-29 00:00:00,665.605
2025-05-06,0.25,2025-05-06 00:00:00,1790.3100000000002
2025-05-13,0.25,2025-05-13 00:00:00,5202.134999999998
2025-05-20,0.25,2025-05-20 00:00:00,-15412.780000000002
2025-05-27,0.25,2025-05-27 00:00:00,5424.419999999998
2025-06-03,0.25,2025-06-03 00:00:00,23131.260000000002
2025-06-10,0.25,2025-06-10 00:00:00,7317.585000000002
2025-06-17,0.25,2025-06-17 00:00:00,5493.555
2025-06-24,0.25,2025-06-24 00:00:00,-13583.215
2025-07-01,0.25,2025-07-01 00:00:00,6600.764999999999
2025-07-08,0.25,2025-07-08 00:00:00,4581.06
2025-07-15,0.25,2025-07-15 00:00:00,634.6850000000004
2025-07-22,0.25,2025-07-22 00:00:00,3431.9849999999997
2025-07-29,0.25,2025-07-29 00:00:00,5310.179999999999
2025-08-05,0.25,2025-08-05 00:00:00,5225.43
2025-08-12,0.25,2025-08-12 00:00:00,5221.29
2025-08-19,0.25,2025-08-19 00:00:00,4379.924999999999
2025-08-26,0.25,2025-08-26 00:00:00,4963.5
