Date,DaysToExpiry,ExpiryDate,PnL
2024-07-05,0.25,2024-07-05 00:00:00,6151.274999999999
2024-07-12,0.25,2024-07-12 00:00:00,-6372.879999999997
2024-07-19,0.25,2024-07-19 00:00:00,-6608.265
2024-07-26,0.25,2024-07-26 00:00:00,-16389.860000000004
2024-08-02,0.25,2024-08-02 00:00:00,7353.465000000002
2024-08-09,0.25,2024-08-09 00:00:00,6460.500000000002
2024-08-16,0.25,2024-08-16 00:00:00,1072.5199999999968
2024-08-23,0.25,2024-08-23 00:00:00,6548.099999999999
2024-08-30,0.25,2024-08-30 00:00:00,6226.440000000001
2024-09-06,0.25,2024-09-06 00:00:00,-15756.14
2024-09-13,0.25,2024-09-13 00:00:00,6978.885
2024-09-20,0.25,2024-09-20 00:00:00,-9885.615
2024-09-27,0.25,2024-09-27 00:00:00,4123.74
2024-10-04,0.25,2024-10-04 00:00:00,-3484.7650000000003
2024-10-11,0.25,2024-10-11 00:00:00,5126.325000000001
2024-10-18,0.25,2024-10-18 00:00:00,-17153.23
2024-10-25,0.25,2024-10-25 00:00:00,-15367.004999999997
2024-10-31,0.25,2024-10-31 00:00:00,4563.960000000002
2024-11-08,0.25,2024-11-08 00:00:00,9346.29
2024-11-14,0.25,2024-11-14 00:00:00,7999.994999999999
2024-11-22,0.25,2024-11-22 00:00:00,-13082.355000000009
2024-11-29,0.25,2024-11-29 00:00:00,12083.384999999998
2024-12-06,0.25,2024-12-06 00:00:00,8706.600000000004
2024-12-13,0.25,2024-12-13 00:00:00,-20055.66
2024-12-20,0.25,2024-12-20 00:00:00,-23215.765000000003
2024-12-27,0.25,2024-12-27 00:00:00,7782.735000000001
2025-01-07,0.25,2025-01-07 00:00:00,3051.179999999998
2025-01-14,0.25,2025-01-14 00:00:00,4211.040000000002
2025-01-21,0.25,2025-01-21 00:00:00,-14136.430000000002
2025-01-28,0.25,2025-01-28 00:00:00,3552.124999999999
2025-02-04,0.25,2025-02-04 00:00:00,-17541.339999999997
2025-02-11,0.25,2025-02-11 00:00:00,-11818.015
2025-02-18,0.25,2025-02-18 00:00:00,10024.559999999998
2025-02-25,0.25,2025-02-25 00:00:00,4211.280000000001
2025-03-04,0.25,2025-03-04 00:00:00,5834.774999999999
2025-03-11,0.25,2025-03-11 00:00:00,4457.37
2025-03-18,0.25,2025-03-18 00:00:00,-7020.100000000002
2025-03-25,0.25,2025-03-25 00:00:00,9069.045
2025-04-01,0.25,2025-04-01 00:00:00,-19684.375
2025-04-08,0.25,2025-04-08 00:00:00,-1933.885000000002
2025-04-15,0.25,2025-04-15 00:00:00,5878.95
2025-04-22,0.25,2025-04-22 00:00:00,3689.4750000000004
2025-04-29,0.25,2025-04-29 00:00:00,1687.0399999999997
2025-05-06,0.25,2025-05-06 00:00:00,1625.565
2025-05-13,0.25,2025-05-13 00:00:00,2588.3999999999996
2025-05-20,0.25,2025-05-20 00:00:00,-14029.814999999999
2025-05-27,0.25,2025-05-27 00:00:00,7628.415000000002
2025-06-03,0.25,2025-06-03 00:00:00,18555.63
2025-06-10,0.25,2025-06-10 00:00:00,7273.77
2025-06-17,0.25,2025-06-17 00:00:00,5201.94
2025-06-24,0.25,2025-06-24 00:00:00,-15614.62
2025-07-01,0.25,2025-07-01 00:00:00,6706.845
2025-07-08,0.25,2025-07-08 00:00:00,4787.384999999999
2025-07-15,0.25,2025-07-15 00:00:00,1246.3400000000001
2025-07-22,0.25,2025-07-22 00:00:00,3711.69
2025-07-29,0.25,2025-07-29 00:00:00,3287.2200000000007
2025-08-05,0.25,2025-08-05 00:00:00,5360.16
2025-08-12,0.25,2025-08-12 00:00:00,-5119.810000000002
2025-08-19,0.25,2025-08-19 00:00:00,4721.804999999999
2025-08-26,0.25,2025-08-26 00:00:00,5326.8
