Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-07,12.66,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83367.05,82200.0,82700,84100,84600.0,2025-07-08 00:00:00,1.0,Monday,24.25,69.25,51.6,15.9,0,173.125,129.0,0,6.925000000000001,5.16,,,,,322.79999999999995
2025-07-07,,0,Long,2025-07-08 10:20:00,2025-07-08 10:20:00,2025-07-08 11:10:00,2025-07-08 11:10:00,,82200.0,82700,84100,84600.0,2025-07-08 00:00:00,1.0,Monday,"[2.75, 2.75]","[6.9, 6.9]","[5.0, 5.0]","[2.25, 2.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-27.6
2025-07-14,12.15,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82209.0,81100.0,81600,82800,83400.0,2025-07-15 00:00:00,1.0,Monday,19.95,56.9,72.5,22.45,0,142.25,181.25,0,5.69,7.25,,,,,348.0
2025-07-14,,0,Long,2025-07-15 09:30:00,2025-07-15 09:30:00,2025-07-15 14:08:00,2025-07-15 14:08:00,,81100.0,81600,82800,83400.0,2025-07-15 00:00:00,1.0,Monday,"[2.2, 2.2]","[5.45, 5.45]","[6.35, 6.35]","[1.75, 1.75]",0,,,0,,,Exit,Target hit,Target hit,Exit,-31.4
2025-07-21,11.6,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81570.21,80500.0,81000,82200,82800.0,2025-07-22 00:00:00,1.0,Monday,21.9,67.3,61.25,18.4,0,168.25,153.125,0,6.73,6.125,,,,,353.00000000000006
2025-07-21,,0,Long,2025-07-22 09:15:00,2025-07-22 09:15:00,2025-07-21 09:55:00,2025-07-21 09:55:00,,80500.0,81000,82200,82800.0,2025-07-22 00:00:00,1.0,Monday,"[2.95, 2.95]","[4.95, 4.95]","[195.25, 25.35]","[58.05, 1.3]",0,,,0,,,Exit,Target hit,SL hit,Exit,-443.6500000000001
2025-07-28,11.69,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81243.5,80100.0,80600,81800,82400.0,2025-07-29 00:00:00,1.0,Monday,15.4,46.65,75.15,24.15,0,116.625,187.875,0,4.665,7.515000000000001,,,,,329.00000000000006
2025-07-28,,0,Long,2025-07-28 13:36:00,2025-07-28 13:36:00,2025-07-29 11:41:00,2025-07-29 11:41:00,,80100.0,80600,81800,82400.0,2025-07-29 00:00:00,1.0,Monday,"[37.25, 1.05]","[119.75, 1.3]","[7.05, 7.05]","[4.95, 4.95]",0,,,0,,,Exit,SL hit,Target hit,Exit,-256.15
2025-08-04,12.28,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80860.84,79800.0,80300,81500,82000.0,2025-08-05 00:00:00,1.0,Monday,30.0,89.3,89.5,29.35,0,223.25,223.75,0,8.93,8.950000000000001,,,,,477.80000000000007
2025-08-04,,0,Long,2025-08-05 12:13:00,2025-08-05 12:13:00,2025-08-05 10:42:00,2025-08-05 10:42:00,,79800.0,80300,81500,82000.0,2025-08-05 00:00:00,1.0,Monday,"[2.85, 2.85]","[8.8, 8.8]","[8.65, 8.65]","[3.75, 3.75]",0,,,0,,,Exit,Target hit,Target hit,Exit,-43.39999999999999
2025-08-11,12.5,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,79978.97,78900.0,79400,80600,81100.0,2025-08-12 00:00:00,1.0,Monday,26.5,74.95,83.4,28.55,0,187.375,208.5,0,7.495000000000001,8.340000000000002,,,,,413.2000000000001
2025-08-11,,0,Long,2025-08-12 09:16:00,2025-08-12 09:16:00,2025-08-12 09:25:00,2025-08-12 09:25:00,,78900.0,79400,80600,81100.0,2025-08-12 00:00:00,1.0,Monday,"[3.25, 3.25]","[6.35, 6.35]","[212.9, 5.5]","[40.35, 3.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-532.45
2025-08-18,12.6,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81612.94,80500.0,81000,82200,82700.0,2025-08-19 00:00:00,1.0,Monday,30.2,85.75,112.25,35.15,0,214.375,280.625,0,8.575000000000001,11.225,,,,,530.6
2025-08-18,,0,Long,2025-08-19 11:33:00,2025-08-19 11:33:00,2025-08-19 09:29:00,2025-08-19 09:29:00,,80500.0,81000,82200,82700.0,2025-08-19 00:00:00,1.0,Monday,"[3.65, 3.65]","[8.15, 8.15]","[10.85, 10.85]","[3.15, 3.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-48.8
2025-08-25,12.02,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81579.93,80600.0,81000,82200,82600.0,2025-08-26 00:00:00,1.0,Monday,13.25,39.15,51.7,18.05,0,97.875,129.25,0,3.915,5.170000000000001,,,,,238.2
2025-08-25,,0,Long,2025-08-26 09:22:00,2025-08-26 09:22:00,2025-08-26 11:32:00,2025-08-26 11:32:00,,80600.0,81000,82200,82600.0,2025-08-26 00:00:00,1.0,Monday,"[23.9, 3.45]","[104.95, 72.0]","[5.1, 5.1]","[3.7, 3.7]",0,,,0,,,Exit,SL hit,Target hit,Exit,-317.3
2025-05-05,18.59,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80792.28,78900.0,79900,81700,82300.0,2025-05-06 00:00:00,1.0,Monday,38.35,111.6,62.1,20.15,0,279.0,155.25,0,11.16,6.210000000000001,,,,,460.8
2025-05-05,,0,Long,2025-05-06 09:44:00,2025-05-06 09:44:00,2025-05-06 09:41:00,2025-05-06 09:41:00,,78900.0,79900,81700,82300.0,2025-05-06 00:00:00,1.0,Monday,"[4.95, 4.95]","[10.85, 10.85]","[5.9, 5.9]","[3.05, 3.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-35.0
2025-05-12,17.49,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81361.53,79600.0,80500,82300,82900.0,2025-05-13 00:00:00,1.0,Monday,31.85,96.5,51.25,15.7,0,241.25,128.125,0,9.65,5.125,,,,,400.8
2025-05-12,,0,Long,2025-05-13 12:19:00,2025-05-13 12:19:00,2025-05-12 09:55:00,2025-05-12 09:55:00,,79600.0,80500,82300,82900.0,2025-05-13 00:00:00,1.0,Monday,"[2.15, 2.15]","[8.75, 8.75]","[132.15, 1.85]","[41.15, 1.25]",0,,,0,,,Exit,Target hit,SL hit,Exit,-300.0000000000001
2025-05-19,17.14,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82252.13,80500.0,81400,83200,83900.0,2025-05-20 00:00:00,1.0,Monday,44.05,135.15,110.05,38.25,0,337.875,275.125,0,13.515,11.005,,,,,651.5999999999999
2025-05-19,,0,Long,2025-05-20 15:00:00,2025-05-20 15:00:00,2025-05-20 09:35:00,2025-05-20 09:35:00,,80500.0,81400,83200,83900.0,2025-05-20 00:00:00,1.0,Monday,"[2.2, 2.2]","[214.25, 214.25]","[10.15, 10.15]","[4.1, 4.1]",0,,,0,,,Exit,Universal exit,Target hit,Exit,-872.4
2025-05-26,17.87,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82334.63,80500.0,81400,83200,83900.0,2025-05-27 00:00:00,1.0,Monday,47.35,149.75,192.55,63.4,0,374.375,481.375,0,14.975,19.255000000000003,,,,,926.2
2025-05-26,,0,Long,2025-05-27 09:22:00,2025-05-27 09:22:00,2025-05-27 10:01:00,2025-05-27 10:01:00,,80500.0,81400,83200,83900.0,2025-05-27 00:00:00,1.0,Monday,"[140.0, 1.0]","[618.55, 22.65]","[17.9, 17.9]","[4.5, 4.5]",0,,,0,,,Exit,SL hit,Target hit,Exit,-1510.9
2025-06-02,16.96,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80759.9,79300.0,79900,81700,82500.0,2025-06-03 00:00:00,1.0,Monday,49.15,140.7,153.05,51.55,0,351.75,382.625,0,14.07,15.305,,,,,772.2
