Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-07,12.53,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83429.35,82200.0,82700,84100,84500.0,2025-07-08 00:00:00,1.0,Monday,13.95,44.45,51.2,18.7,0,111.125,128.0,0,4.445,5.120000000000001,,,,,126.0
2025-07-07,,0,Long,2025-07-08 11:31:00,2025-07-08 11:31:00,2025-07-08 11:10:00,2025-07-08 11:10:00,,82200.0,82700,84100,84500.0,2025-07-08 00:00:00,1.0,Monday,"[2.05, 2.05]","[4.4, 4.4]","[5.0, 5.0]","[2.55, 2.55]",0,,,0,,,Exit,Target hit,Target hit,Exit,-9.6
2025-07-14,12.01,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82152.93,81100.0,81600,82800,83400.0,2025-07-15 00:00:00,1.0,Monday,15.2,49.05,53.95,16.95,0,122.625,134.875,0,4.905,5.3950000000000005,,,,,141.7
2025-07-14,,0,Long,2025-07-15 10:33:00,2025-07-15 10:33:00,2025-07-15 14:29:00,2025-07-15 14:29:00,,81100.0,81600,82800,83400.0,2025-07-15 00:00:00,1.0,Monday,"[2.2, 2.2]","[4.75, 4.75]","[4.9, 4.9]","[2.05, 2.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-10.8
2025-07-21,11.29,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82009.1,80900.0,81400,82600,83000.0,2025-07-22 00:00:00,1.0,Monday,13.35,39.25,44.1,15.7,0,98.125,110.25,0,3.925,4.41,,,,,108.6
2025-07-21,,0,Long,2025-07-22 09:15:00,2025-07-22 09:15:00,2025-07-22 14:14:00,2025-07-22 14:14:00,,80900.0,81400,82600,83000.0,2025-07-22 00:00:00,1.0,Monday,"[3.95, 3.95]","[2.65, 2.65]","[4.35, 4.35]","[2.25, 2.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-1.5999999999999996
2025-07-28,12.15,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80874.96,79800.0,80300,81500,82100.0,2025-07-29 00:00:00,1.0,Monday,14.15,43.35,59.5,20.55,0,108.375,148.75,0,4.335,5.95,,,,,136.29999999999998
2025-07-28,,0,Long,2025-07-29 13:21:00,2025-07-29 13:21:00,2025-07-29 14:37:00,2025-07-29 14:37:00,,79800.0,80300,81500,82100.0,2025-07-29 00:00:00,1.0,Monday,"[3.5, 3.5]","[4.25, 4.25]","[4.95, 4.95]","[1.9, 1.9]",0,,,0,,,Exit,Target hit,Target hit,Exit,-7.599999999999998
2025-08-04,12.03,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81034.4,79900.0,80400,81600,82000.0,2025-08-05 00:00:00,1.0,Monday,20.75,58.8,67.6,21.95,0,147.0,169.0,0,5.88,6.76,,,,,167.39999999999998
2025-08-04,,0,Long,2025-08-05 14:32:00,2025-08-05 14:32:00,2025-08-05 10:42:00,2025-08-05 10:42:00,,79900.0,80400,81600,82000.0,2025-08-05 00:00:00,1.0,Monday,"[1.9, 1.9]","[5.75, 5.75]","[6.75, 6.75]","[3.75, 3.75]",0,,,0,,,Exit,Target hit,Target hit,Exit,-13.7
2025-08-11,12.25,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80397.78,79300.0,79800,81000,81400.0,2025-08-12 00:00:00,1.0,Monday,17.4,49.65,44.9,12.7,0,124.125,112.25,0,4.965,4.49,,,,,128.9
2025-08-11,,0,Long,2025-08-12 12:25:00,2025-08-12 12:25:00,2025-08-12 09:55:00,2025-08-12 09:55:00,,79300.0,79800,81000,81400.0,2025-08-12 00:00:00,1.0,Monday,"[2.2, 2.2]","[4.95, 4.95]","[115.3, 3.65]","[27.6, 2.85]",0,,,0,,,Exit,Target hit,SL hit,Exit,-94.0
2025-08-18,12.41,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81459.95,80400.0,80900,82100,82500.0,2025-08-19 00:00:00,1.0,Monday,18.75,55.65,56.5,18.75,0,139.125,141.25,0,5.565,5.65,,,,,149.3
2025-08-18,,0,Long,2025-08-19 12:39:00,2025-08-19 12:39:00,2025-08-19 13:35:00,2025-08-19 13:35:00,,80400.0,80900,82100,82500.0,2025-08-19 00:00:00,1.0,Monday,"[3.65, 3.65]","[5.45, 5.45]","[5.5, 5.5]","[2.6, 2.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-9.4
2025-08-25,11.96,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81676.98,80600.0,81100,82300,82700.0,2025-08-26 00:00:00,1.0,Monday,10.5,31.0,24.75,7.0,0,77.5,61.875,0,3.1,2.475,,,,,76.5
2025-08-25,,0,Long,2025-08-26 09:20:00,2025-08-26 09:20:00,2025-08-26 14:27:00,2025-08-26 14:27:00,,80600.0,81100,82300,82700.0,2025-08-26 00:00:00,1.0,Monday,"[12.15, 3.45]","[80.0, 164.1]","[2.35, 2.35]","[2.1, 2.1]",0,,,0,,,Exit,SL hit,Target hit,Exit,-229.0
2025-05-05,18.11,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80807.16,78700.0,79900,81700,82200.0,2025-05-06 00:00:00,1.0,Monday,19.05,55.85,24.7,8.2,0,139.625,61.75,0,5.585000000000001,2.47,,,,,106.6
2025-05-05,,0,Long,2025-05-06 12:43:00,2025-05-06 12:43:00,2025-05-06 11:42:00,2025-05-06 11:42:00,,78700.0,79900,81700,82200.0,2025-05-06 00:00:00,1.0,Monday,"[3.4, 3.4]","[5.4, 5.4]","[2.3, 2.3]","[2.1, 2.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-4.4
2025-05-12,18.59,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82321.59,80400.0,81300,83300,84000.0,2025-05-13 00:00:00,1.0,Monday,58.0,177.8,159.65,55.95,0,444.5,399.125,0,17.78,15.965000000000002,,,,,447.0000000000001
