Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-07,12.66,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83367.05,82400.0,82700,84100,84400.0,2025-07-08 00:00:00,1.0,Monday,36.3,69.25,51.6,26.4,0,173.125,129.0,0,20.775,15.48,,,,,58.15
2025-07-07,,0,Long,2025-07-08 09:22:00,2025-07-08 09:22:00,2025-07-08 09:35:00,2025-07-08 09:35:00,,82400.0,82700,84100,84400.0,2025-07-08 00:00:00,1.0,Monday,"[8.15, 8.15]","[18.4, 18.4]","[13.7, 13.7]","[5.65, 5.65]",0,,,0,,,Exit,Target hit,Target hit,Exit,-18.299999999999997
2025-07-14,12.15,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82209.0,81300.0,81600,82800,83200.0,2025-07-15 00:00:00,1.0,Monday,29.9,56.9,72.5,33.05,0,142.25,181.25,0,17.07,21.75,,,,,66.45000000000002
2025-07-14,,0,Long,2025-07-15 09:15:00,2025-07-15 09:15:00,2025-07-15 09:44:00,2025-07-15 09:44:00,,81300.0,81600,82800,83200.0,2025-07-15 00:00:00,1.0,Monday,"[9.85, 9.85]","[15.85, 15.85]","[21.15, 21.15]","[7.05, 7.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-20.1
2025-07-21,11.6,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81570.21,80700.0,81000,82200,82500.0,2025-07-22 00:00:00,1.0,Monday,34.4,67.3,61.25,32.55,0,168.25,153.125,0,20.19,18.375,,,,,61.60000000000002
2025-07-21,,0,Long,2025-07-21 10:12:00,2025-07-21 10:12:00,2025-07-21 09:55:00,2025-07-21 09:55:00,,80700.0,81000,82200,82500.0,2025-07-22 00:00:00,1.0,Monday,"[11.25, 11.25]","[19.6, 19.6]","[195.25, 25.35]","[103.4, 2.0]",0,,,0,,,Exit,Target hit,SL hit,Exit,-100.2
2025-07-28,11.69,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81243.5,80300.0,80600,81800,82200.0,2025-07-29 00:00:00,1.0,Monday,23.5,46.65,75.15,34.7,0,116.625,187.875,0,13.995,22.545,,,,,63.60000000000001
2025-07-28,,0,Long,2025-07-28 13:36:00,2025-07-28 13:36:00,2025-07-29 09:16:00,2025-07-29 09:16:00,,80300.0,80600,81800,82200.0,2025-07-29 00:00:00,1.0,Monday,"[58.3, 1.1]","[119.75, 1.3]","[13.3, 13.3]","[6.8, 6.8]",0,,,0,,,Exit,SL hit,Target hit,Exit,-67.95000000000002
2025-08-04,12.28,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80860.84,80000.0,80300,81500,81800.0,2025-08-05 00:00:00,1.0,Monday,47.45,89.3,89.5,46.0,0,223.25,223.75,0,26.79,26.85,,,,,85.35000000000001
2025-08-04,,0,Long,2025-08-05 09:16:00,2025-08-05 09:16:00,2025-08-05 09:22:00,2025-08-05 09:22:00,,80000.0,80300,81500,81800.0,2025-08-05 00:00:00,1.0,Monday,"[9.8, 9.8]","[23.05, 23.05]","[26.35, 26.35]","[10.4, 10.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-29.200000000000003
2025-08-11,12.5,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,79978.97,79100.0,79400,80600,80900.0,2025-08-12 00:00:00,1.0,Monday,40.0,74.95,83.4,44.35,0,187.375,208.5,0,22.485,25.02,,,,,74.00000000000003
2025-08-11,,0,Long,2025-08-11 13:50:00,2025-08-11 13:50:00,2025-08-12 09:25:00,2025-08-12 09:25:00,,79100.0,79400,80600,80900.0,2025-08-12 00:00:00,1.0,Monday,"[12.55, 12.55]","[22.25, 22.25]","[212.9, 5.5]","[82.65, 3.55]",0,,,0,,,Exit,Target hit,SL hit,Exit,-139.95
2025-08-18,12.6,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81612.94,80700.0,81000,82200,82500.0,2025-08-19 00:00:00,1.0,Monday,46.4,85.75,112.25,56.65,0,214.375,280.625,0,25.725,33.675,,,,,94.95
2025-08-18,,0,Long,2025-08-19 09:51:00,2025-08-19 09:51:00,2025-08-18 14:46:00,2025-08-18 14:46:00,,80700.0,81000,82200,82500.0,2025-08-19 00:00:00,1.0,Monday,"[9.85, 9.85]","[25.7, 25.7]","[33.65, 33.65]","[14.8, 14.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-34.7
2025-08-25,12.02,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81579.93,80700.0,81000,82200,82500.0,2025-08-26 00:00:00,1.0,Monday,17.05,39.15,51.7,23.2,0,97.875,129.25,0,11.745,15.51,,,,,50.6
2025-08-25,,0,Long,2025-08-26 09:22:00,2025-08-26 09:22:00,2025-08-26 09:15:00,2025-08-26 09:15:00,,80700.0,81000,82200,82500.0,2025-08-26 00:00:00,1.0,Monday,"[35.25, 4.6]","[104.95, 72.0]","[14.9, 14.9]","[5.0, 5.0]",0,,,0,,,Exit,SL hit,Target hit,Exit,-79.60000000000001
2025-05-05,18.59,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80792.28,79300.0,79900,81700,82100.0,2025-05-06 00:00:00,1.0,Monday,56.05,111.6,62.1,28.85,0,279.0,155.25,0,33.48,18.63,,,,,88.79999999999998
2025-05-05,,0,Long,2025-05-06 09:15:00,2025-05-06 09:15:00,2025-05-06 09:16:00,2025-05-06 09:16:00,,79300.0,79900,81700,82100.0,2025-05-06 00:00:00,1.0,Monday,"[19.0, 19.0]","[28.7, 28.7]","[13.0, 13.0]","[5.6, 5.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-17.1
2025-05-12,17.49,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81361.53,80000.0,80500,82300,82600.0,2025-05-13 00:00:00,1.0,Monday,50.35,96.5,51.25,27.75,0,241.25,128.125,0,28.95,15.375,,,,,69.65
2025-05-12,,0,Long,2025-05-13 09:16:00,2025-05-13 09:16:00,2025-05-12 09:55:00,2025-05-12 09:55:00,,80000.0,80500,82300,82600.0,2025-05-13 00:00:00,1.0,Monday,"[8.0, 8.0]","[13.85, 13.85]","[132.15, 1.85]","[75.65, 1.4]",0,,,0,,,Exit,Target hit,SL hit,Exit,-62.35
2025-05-19,17.14,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82252.13,80800.0,81400,83200,83700.0,2025-05-20 00:00:00,1.0,Monday,63.3,135.15,110.05,51.65,0,337.875,275.125,0,40.545,33.015,,,,,130.25
2025-05-19,,0,Long,2025-05-20 09:16:00,2025-05-20 09:16:00,2025-05-20 09:16:00,2025-05-20 09:16:00,,80800.0,81400,83200,83700.0,2025-05-20 00:00:00,1.0,Monday,"[12.3, 12.3]","[31.85, 31.85]","[27.15, 27.15]","[9.75, 9.75]",0,,,0,,,Exit,Target hit,Target hit,Exit,-36.95
2025-05-26,17.87,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82334.63,80800.0,81400,83200,83700.0,2025-05-27 00:00:00,1.0,Monday,70.95,149.75,192.55,88.85,0,374.375,481.375,0,44.925,57.765,,,,,182.5
2025-05-26,,0,Long,2025-05-27 09:22:00,2025-05-27 09:22:00,2025-05-27 09:16:00,2025-05-27 09:16:00,,80800.0,81400,83200,83700.0,2025-05-27 00:00:00,1.0,Monday,"[259.95, 1.4]","[618.55, 22.65]","[57.0, 57.0]","[17.5, 17.5]",0,,,0,,,Exit,SL hit,Target hit,Exit,-398.1
2025-06-02,16.96,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80759.9,79500.0,79900,81700,82200.0,2025-06-03 00:00:00,1.0,Monday,69.9,140.7,153.05,78.9,0,351.75,382.625,0,42.21,45.915,,,,,144.95
2025-06-02,,0,Long,2025-06-03 09:16:00,2025-06-03 09:16:00,2025-06-02 12:34:00,2025-06-02 12:34:00,,79500.0,79900,81700,82200.0,2025-06-03 00:00:00,1.0,Monday,"[9.85, 9.85]","[24.65, 24.65]","[410.55, 2.05]","[226.45, 1.65]",0,,,0,,,Exit,Target hit,SL hit,Exit,-198.9
2025-06-09,15.01,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82479.23,81300.0,81700,83300,83700.0,2025-06-10 00:00:00,1.0,Monday,62.9,127.1,86.6,40.1,0,317.75,216.5,0,38.13,25.98,,,,,110.7
2025-06-09,,0,Long,2025-06-10 09:15:00,2025-06-10 09:15:00,2025-06-10 09:21:00,2025-06-10 09:21:00,,81300.0,81700,83300,83700.0,2025-06-10 00:00:00,1.0,Monday,"[16.8, 16.8]","[33.6, 33.6]","[22.75, 22.75]","[8.05, 8.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-31.5
2025-06-16,14.81,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81314.79,80000.0,80500,82100,82500.0,2025-06-17 00:00:00,1.0,Monday,51.1,101.3,65.95,30.2,0,253.25,164.875,0,30.39,19.785,,,,,85.95
2025-06-16,,0,Long,2025-06-17 09:16:00,2025-06-17 09:16:00,2025-06-16 11:07:00,2025-06-16 11:07:00,,80000.0,80500,82100,82500.0,2025-06-17 00:00:00,1.0,Monday,"[10.2, 10.2]","[24.5, 24.5]","[179.4, 0.95]","[83.8, 0.75]",0,,,0,,,Exit,Target hit,SL hit,Exit,-109.9
2025-06-23,14.27,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81728.29,80500.0,81000,82400,82700.0,2025-06-24 00:00:00,1.0,Monday,53.35,101.2,82.9,44.3,0,253.0,207.25,0,30.36,24.87,,,,,86.45000000000002
2025-06-23,,0,Long,2025-06-24 09:15:00,2025-06-24 09:15:00,2025-06-23 14:03:00,2025-06-23 14:03:00,,80500.0,81000,82400,82700.0,2025-06-24 00:00:00,1.0,Monday,"[8.95, 8.95]","[22.9, 22.9]","[214.8, 3.25]","[116.5, 2.4]",0,,,0,,,Exit,Target hit,SL hit,Exit,-112.25
2025-06-30,12.83,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,84008.63,82900.0,83300,84700,85000.0,2025-07-01 00:00:00,1.0,Monday,47.1,92.3,86.9,45.5,0,230.75,217.25,0,27.69,26.07,,,,,86.6
2025-06-30,,0,Long,2025-07-01 10:16:00,2025-07-01 10:16:00,2025-06-30 13:50:00,2025-06-30 13:50:00,,82900.0,83300,84700,85000.0,2025-07-01 00:00:00,1.0,Monday,"[9.75, 9.75]","[25.7, 25.7]","[24.5, 24.5]","[12.5, 12.5]",0,,,0,,,Exit,Target hit,Target hit,Exit,-27.950000000000003
2025-04-07,20.76,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,72692.71,70100.0,71800,73600,74100.0,2025-04-08 00:00:00,1.0,Monday,214.3,431.25,307.6,152.6,0,1078.125,769.0,0,129.375,92.28,,,,,371.9500000000001
2025-04-07,,0,Long,2025-04-08 09:16:00,2025-04-08 09:16:00,2025-04-08 09:15:00,2025-04-08 09:15:00,,70100.0,71800,73600,74100.0,2025-04-08 00:00:00,1.0,Monday,"[7.7, 7.7]","[22.7, 22.7]","[800.0, 783.9]","[453.75, 288.25]",0,,,0,,,Exit,Target hit,SL hit,Exit,-361.25000000000006
2025-04-11,19.93,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,74967.68,73300.0,74100,75900,76500.0,2025-04-15 00:00:00,1.0,Friday,139.75,271.9,244.2,120.9,0,679.75,610.5,0,81.57,73.25999999999999,,,,,255.44999999999996
2025-04-11,,0,Long,2025-04-15 09:16:00,2025-04-15 09:16:00,2025-04-15 09:15:00,2025-04-15 09:15:00,,73300.0,74100,75900,76500.0,2025-04-15 00:00:00,1.0,Friday,"[5.7, 5.7]","[11.05, 11.05]","[700.0, 800.75]","[525.05, 204.9]",0,,,0,,,Exit,Target hit,SL hit,Exit,-180.29999999999995
2025-04-21,15.87,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,78984.8,77700.0,78200,79800,80200.0,2025-04-22 00:00:00,1.0,Monday,77.65,150.95,107.1,53.1,0,377.375,267.75,0,45.285,32.129999999999995,,,,,127.29999999999995
2025-04-21,,0,Long,2025-04-21 11:15:00,2025-04-21 11:15:00,2025-04-22 11:34:00,2025-04-22 11:34:00,,77700.0,78200,79800,80200.0,2025-04-22 00:00:00,1.0,Monday,"[26.75, 26.75]","[44.35, 44.35]","[30.6, 30.6]","[11.65, 11.65]",0,,,0,,,Exit,Target hit,Target hit,Exit,-36.55
