Date,DaysToExpiry,ExpiryDate,PnL
2024-07-04,1.0,2024-07-05 00:00:00,3070.7499999999995
2024-07-11,1.0,2024-07-12 00:00:00,-340.27999999999884
2024-07-18,1.0,2024-07-19 00:00:00,1353.5099999999993
2024-07-25,1.0,2024-07-26 00:00:00,-5024.240000000006
2024-08-01,1.0,2024-08-02 00:00:00,-5016.51
2024-08-08,1.0,2024-08-09 00:00:00,5211.82
2024-08-14,1.0,2024-08-16 00:00:00,-7299.379999999997
2024-08-22,1.0,2024-08-23 00:00:00,2496.57
2024-08-29,1.0,2024-08-30 00:00:00,635.5900000000004
2024-09-05,1.0,2024-09-06 00:00:00,-5643.300000000002
2024-09-12,1.0,2024-09-13 00:00:00,-6241.6900000000005
2024-09-19,1.0,2024-09-20 00:00:00,-1126.119999999999
2024-09-26,1.0,2024-09-27 00:00:00,1717.5699999999997
2024-10-03,1.0,2024-10-04 00:00:00,-11396.36
2024-10-10,1.0,2024-10-11 00:00:00,5015.7
2024-10-17,1.0,2024-10-18 00:00:00,-94.90000000000055
2024-10-24,1.0,2024-10-25 00:00:00,-884.2799999999993
2024-10-30,1.0,2024-10-31 00:00:00,3123.66
2024-11-07,1.0,2024-11-08 00:00:00,942.5399999999995
2024-11-13,1.0,2024-11-14 00:00:00,-2449.6600000000017
2024-11-21,1.0,2024-11-22 00:00:00,-7075.059999999997
2024-11-28,1.0,2024-11-29 00:00:00,2032.2300000000005
2024-12-05,1.0,2024-12-06 00:00:00,4179.83
2024-12-12,1.0,2024-12-13 00:00:00,1174.7099999999996
2024-12-19,1.0,2024-12-20 00:00:00,-6098.4299999999985
2024-12-26,1.0,2024-12-27 00:00:00,854.3899999999994
2025-01-06,1.0,2025-01-07 00:00:00,-6030.629999999999
2025-01-13,1.0,2025-01-14 00:00:00,3163.1
2025-01-20,1.0,2025-01-21 00:00:00,-3275.91
2025-01-27,1.0,2025-01-28 00:00:00,3717.4699999999993
2025-02-03,1.0,2025-02-04 00:00:00,-7857.91
2025-02-10,1.0,2025-02-11 00:00:00,-5126.889999999998
2025-02-17,1.0,2025-02-18 00:00:00,4592.82
2025-02-24,1.0,2025-02-25 00:00:00,3487.5300000000007
2025-03-03,1.0,2025-03-04 00:00:00,1310.3899999999994
2025-03-10,1.0,2025-03-11 00:00:00,2445.7599999999998
2025-03-17,1.0,2025-03-18 00:00:00,-5783.890000000001
2025-03-24,1.0,2025-03-25 00:00:00,-122.82999999999993
2025-03-28,1.0,2025-04-01 00:00:00,-6385.029999999995
2025-04-07,1.0,2025-04-08 00:00:00,-2856.7700000000023
2025-04-11,1.0,2025-04-15 00:00:00,-5667.390000000001
2025-04-21,1.0,2025-04-22 00:00:00,4582.219999999998
2025-04-28,1.0,2025-04-29 00:00:00,1207.2399999999993
2025-05-05,1.0,2025-05-06 00:00:00,3205.459999999999
2025-05-12,1.0,2025-05-13 00:00:00,1361.5800000000004
2025-05-19,1.0,2025-05-20 00:00:00,-3592.4700000000003
2025-05-26,1.0,2025-05-27 00:00:00,-938.2299999999977
2025-06-02,1.0,2025-06-03 00:00:00,1664.8499999999995
2025-06-09,1.0,2025-06-10 00:00:00,3905.3799999999997
2025-06-16,1.0,2025-06-17 00:00:00,1267.9699999999998
2025-06-23,1.0,2025-06-24 00:00:00,1234.340000000001
2025-06-30,1.0,2025-07-01 00:00:00,3045.18
2025-07-07,1.0,2025-07-08 00:00:00,2052.25
2025-07-14,1.0,2025-07-15 00:00:00,2321.9900000000007
2025-07-21,1.0,2025-07-22 00:00:00,-20.319999999999254
2025-07-28,1.0,2025-07-29 00:00:00,1175.3300000000006
2025-08-04,1.0,2025-08-05 00:00:00,3005.53
2025-08-11,1.0,2025-08-12 00:00:00,127.78000000000065
2025-08-18,1.0,2025-08-19 00:00:00,3324.9900000000002
2025-08-25,1.0,2025-08-26 00:00:00,-854.039999999999
