Date,DaysToExpiry,ExpiryDate,PnL
2024-07-04,1.0,2024-07-05 00:00:00,-241.81999999999925
2024-07-11,1.0,2024-07-12 00:00:00,-1086.1700000000003
2024-07-18,1.0,2024-07-19 00:00:00,2809.000000000001
2024-07-25,1.0,2024-07-26 00:00:00,-5477.380000000003
2024-08-01,1.0,2024-08-02 00:00:00,-2401.18
2024-08-08,1.0,2024-08-09 00:00:00,273.88000000000056
2024-08-14,1.0,2024-08-16 00:00:00,-5196.99
2024-08-22,1.0,2024-08-23 00:00:00,1066.8400000000001
2024-08-29,1.0,2024-08-30 00:00:00,914.8600000000006
2024-09-05,1.0,2024-09-06 00:00:00,-6330.67
2024-09-12,1.0,2024-09-13 00:00:00,1177.4100000000003
2024-09-19,1.0,2024-09-20 00:00:00,-3958.1000000000004
2024-09-26,1.0,2024-09-27 00:00:00,1825.2099999999996
2024-10-03,1.0,2024-10-04 00:00:00,3898.17
2024-10-10,1.0,2024-10-11 00:00:00,3018.76
2024-10-17,1.0,2024-10-18 00:00:00,973.8799999999997
2024-10-24,1.0,2024-10-25 00:00:00,443.6400000000001
2024-10-30,1.0,2024-10-31 00:00:00,1780.3
2024-11-07,1.0,2024-11-08 00:00:00,1307.3499999999997
2024-11-13,1.0,2024-11-14 00:00:00,847.73
2024-11-21,1.0,2024-11-22 00:00:00,-8532.59
2024-11-28,1.0,2024-11-29 00:00:00,3728.74
2024-12-05,1.0,2024-12-06 00:00:00,2235.1000000000004
2024-12-12,1.0,2024-12-13 00:00:00,1137.4000000000003
2024-12-19,1.0,2024-12-20 00:00:00,-4921.45
2024-12-26,1.0,2024-12-27 00:00:00,3211.0899999999997
2025-01-06,1.0,2025-01-07 00:00:00,4988.75
2025-01-13,1.0,2025-01-14 00:00:00,1853.9199999999996
2025-01-20,1.0,2025-01-21 00:00:00,-6623.779999999999
2025-01-27,1.0,2025-01-28 00:00:00,342.83000000000015
2025-02-03,1.0,2025-02-04 00:00:00,-6922.5700000000015
2025-02-10,1.0,2025-02-11 00:00:00,2727.7099999999996
2025-02-17,1.0,2025-02-18 00:00:00,3556.47
2025-02-24,1.0,2025-02-25 00:00:00,1765.3700000000001
2025-03-03,1.0,2025-03-04 00:00:00,936.1199999999997
2025-03-10,1.0,2025-03-11 00:00:00,435.85000000000014
2025-03-17,1.0,2025-03-18 00:00:00,-3305.8399999999997
2025-03-24,1.0,2025-03-25 00:00:00,674.6699999999996
2025-03-28,1.0,2025-04-01 00:00:00,-8480.850000000002
2025-04-07,1.0,2025-04-08 00:00:00,-4407.32
2025-04-11,1.0,2025-04-15 00:00:00,-11917.49
2025-04-21,1.0,2025-04-22 00:00:00,2607.81
2025-04-28,1.0,2025-04-29 00:00:00,2167.2100000000005
2025-05-05,1.0,2025-05-06 00:00:00,1283.6
2025-05-12,1.0,2025-05-13 00:00:00,-1044.4399999999978
2025-05-19,1.0,2025-05-20 00:00:00,2347.0099999999998
2025-05-26,1.0,2025-05-27 00:00:00,-140.02000000000226
2025-06-02,1.0,2025-06-03 00:00:00,5377.159999999998
2025-06-09,1.0,2025-06-10 00:00:00,1740.5000000000002
2025-06-16,1.0,2025-06-17 00:00:00,2032.62
2025-06-23,1.0,2025-06-24 00:00:00,237.11000000000104
2025-06-30,1.0,2025-07-01 00:00:00,2000.8999999999987
2025-07-07,1.0,2025-07-08 00:00:00,1498.2900000000004
2025-07-14,1.0,2025-07-15 00:00:00,246.62999999999988
2025-07-21,1.0,2025-07-22 00:00:00,604.1199999999999
2025-07-28,1.0,2025-07-29 00:00:00,1748.6
2025-08-04,1.0,2025-08-05 00:00:00,2003.52
2025-08-11,1.0,2025-08-12 00:00:00,542.1099999999997
2025-08-18,1.0,2025-08-19 00:00:00,1817.6000000000001
2025-08-25,1.0,2025-08-26 00:00:00,-3072.22
