Date,DaysToExpiry,ExpiryDate,PnL
2024-07-04,1.0,2024-07-05 00:00:00,7232.5599999999995
2024-07-11,1.0,2024-07-12 00:00:00,-3800.4399999999996
2024-07-18,1.0,2024-07-19 00:00:00,-1543.4299999999985
2024-07-25,1.0,2024-07-26 00:00:00,-16022.100000000006
2024-08-01,1.0,2024-08-02 00:00:00,-7909.0
2024-08-08,1.0,2024-08-09 00:00:00,10235.16
2024-08-14,1.0,2024-08-16 00:00:00,-13541.970000000008
2024-08-22,1.0,2024-08-23 00:00:00,5316.5
2024-08-29,1.0,2024-08-30 00:00:00,-868.7099999999973
2024-09-05,1.0,2024-09-06 00:00:00,-14846.69
2024-09-12,1.0,2024-09-13 00:00:00,-8492.780000000002
2024-09-19,1.0,2024-09-20 00:00:00,-9513.669999999996
2024-09-26,1.0,2024-09-27 00:00:00,7948.200000000001
2024-10-03,1.0,2024-10-04 00:00:00,-13665.860000000006
2024-10-10,1.0,2024-10-11 00:00:00,9408.36
2024-10-17,1.0,2024-10-18 00:00:00,-3764.709999999999
2024-10-24,1.0,2024-10-25 00:00:00,3197.920000000002
2024-10-30,1.0,2024-10-31 00:00:00,5556.58
2024-11-07,1.0,2024-11-08 00:00:00,-2772.609999999997
2024-11-13,1.0,2024-11-14 00:00:00,-7110.490000000005
2024-11-21,1.0,2024-11-22 00:00:00,-15460.920000000002
2024-11-28,1.0,2024-11-29 00:00:00,-1551.9500000000044
2024-12-05,1.0,2024-12-06 00:00:00,-1743.7500000000073
2024-12-12,1.0,2024-12-13 00:00:00,-1561.590000000002
2024-12-19,1.0,2024-12-20 00:00:00,8634.420000000002
2024-12-26,1.0,2024-12-27 00:00:00,6878.92
2025-01-06,1.0,2025-01-07 00:00:00,-13666.770000000002
2025-01-13,1.0,2025-01-14 00:00:00,6736.8
2025-01-20,1.0,2025-01-21 00:00:00,8719.260000000002
2025-01-27,1.0,2025-01-28 00:00:00,6967.620000000003
2025-02-03,1.0,2025-02-04 00:00:00,-12443.060000000001
2025-02-10,1.0,2025-02-11 00:00:00,-14934.829999999998
2025-02-17,1.0,2025-02-18 00:00:00,9509.099999999997
2025-02-24,1.0,2025-02-25 00:00:00,7139.040000000001
2025-03-03,1.0,2025-03-04 00:00:00,8655.58
2025-03-10,1.0,2025-03-11 00:00:00,5362.9
2025-03-17,1.0,2025-03-18 00:00:00,-12140.980000000003
2025-03-24,1.0,2025-03-25 00:00:00,-3328.0599999999995
2025-03-28,1.0,2025-04-01 00:00:00,-14507.589999999998
2025-04-07,1.0,2025-04-08 00:00:00,-15563.459999999988
2025-04-11,1.0,2025-04-15 00:00:00,-16985.27000000001
2025-04-21,1.0,2025-04-22 00:00:00,9256.859999999993
2025-04-28,1.0,2025-04-29 00:00:00,-5341.140000000001
2025-05-05,1.0,2025-05-06 00:00:00,5200.78
2025-05-12,1.0,2025-05-13 00:00:00,-675.1200000000017
2025-05-19,1.0,2025-05-20 00:00:00,7616.419999999999
2025-05-26,1.0,2025-05-27 00:00:00,-7447.099999999991
2025-06-02,1.0,2025-06-03 00:00:00,-1011.5300000000061
2025-06-09,1.0,2025-06-10 00:00:00,7562.2199999999975
2025-06-16,1.0,2025-06-17 00:00:00,-1209.9699999999993
2025-06-23,1.0,2025-06-24 00:00:00,-11320.009999999991
2025-06-30,1.0,2025-07-01 00:00:00,6664.779999999999
2025-07-07,1.0,2025-07-08 00:00:00,5115.719999999999
2025-07-14,1.0,2025-07-15 00:00:00,5178.500000000001
2025-07-21,1.0,2025-07-22 00:00:00,-2055.739999999997
2025-07-28,1.0,2025-07-29 00:00:00,5167.740000000001
2025-08-04,1.0,2025-08-05 00:00:00,7501.300000000001
2025-08-11,1.0,2025-08-12 00:00:00,-4524.579999999998
2025-08-18,1.0,2025-08-19 00:00:00,8240.94
2025-08-25,1.0,2025-08-26 00:00:00,-3483.069999999999
