Date,DaysToExpiry,ExpiryDate,PnL
2024-07-04,1.0,2024-07-05 00:00:00,-259.00999999999976
2024-07-11,1.0,2024-07-12 00:00:00,-2905.6099999999997
2024-07-18,1.0,2024-07-19 00:00:00,3513.44
2024-07-25,1.0,2024-07-26 00:00:00,-9271.330000000002
2024-08-01,1.0,2024-08-02 00:00:00,-2413.6000000000004
2024-08-08,1.0,2024-08-09 00:00:00,3762.1200000000003
2024-08-14,1.0,2024-08-16 00:00:00,-7873.0
2024-08-22,1.0,2024-08-23 00:00:00,1728.04
2024-08-29,1.0,2024-08-30 00:00:00,174.46000000000004
2024-09-05,1.0,2024-09-06 00:00:00,-7789.0199999999995
2024-09-12,1.0,2024-09-13 00:00:00,668.73
2024-09-19,1.0,2024-09-20 00:00:00,-5464.55
2024-09-26,1.0,2024-09-27 00:00:00,4021.29
2024-10-03,1.0,2024-10-04 00:00:00,3854.1800000000003
2024-10-10,1.0,2024-10-11 00:00:00,3806.5699999999997
2024-10-17,1.0,2024-10-18 00:00:00,985.1399999999996
2024-10-24,1.0,2024-10-25 00:00:00,67.37000000000035
2024-10-30,1.0,2024-10-31 00:00:00,2070.0
2024-11-07,1.0,2024-11-08 00:00:00,1154.94
2024-11-13,1.0,2024-11-14 00:00:00,2727.44
2024-11-21,1.0,2024-11-22 00:00:00,-10688.13
2024-11-28,1.0,2024-11-29 00:00:00,3728.74
2024-12-05,1.0,2024-12-06 00:00:00,5640.29
2024-12-12,1.0,2024-12-13 00:00:00,987.3200000000002
2024-12-19,1.0,2024-12-20 00:00:00,-5448.81
2024-12-26,1.0,2024-12-27 00:00:00,3742.25
2025-01-06,1.0,2025-01-07 00:00:00,4988.75
2025-01-13,1.0,2025-01-14 00:00:00,2105.93
2025-01-20,1.0,2025-01-21 00:00:00,-8305.050000000001
2025-01-27,1.0,2025-01-28 00:00:00,141.94999999999982
2025-02-03,1.0,2025-02-04 00:00:00,-9250.390000000003
2025-02-10,1.0,2025-02-11 00:00:00,3418.1899999999996
2025-02-17,1.0,2025-02-18 00:00:00,4163.49
2025-02-24,1.0,2025-02-25 00:00:00,2205.98
2025-03-03,1.0,2025-03-04 00:00:00,3029.25
2025-03-10,1.0,2025-03-11 00:00:00,1557.44
2025-03-17,1.0,2025-03-18 00:00:00,-7093.74
2025-03-24,1.0,2025-03-25 00:00:00,137.91999999999962
2025-03-28,1.0,2025-04-01 00:00:00,-10503.180000000002
2025-04-07,1.0,2025-04-08 00:00:00,-8829.89
2025-04-11,1.0,2025-04-15 00:00:00,-8706.410000000002
2025-04-21,1.0,2025-04-22 00:00:00,2760.5299999999993
2025-04-28,1.0,2025-04-29 00:00:00,2062.0099999999998
2025-05-05,1.0,2025-05-06 00:00:00,1257.9999999999998
2025-05-12,1.0,2025-05-13 00:00:00,1082.6200000000017
2025-05-19,1.0,2025-05-20 00:00:00,2523.669999999999
2025-05-26,1.0,2025-05-27 00:00:00,286.3299999999981
2025-06-02,1.0,2025-06-03 00:00:00,6514.4
2025-06-09,1.0,2025-06-10 00:00:00,2234.5699999999997
2025-06-16,1.0,2025-06-17 00:00:00,2336.3399999999997
2025-06-23,1.0,2025-06-24 00:00:00,-168.60999999999922
2025-06-30,1.0,2025-07-01 00:00:00,2638.0099999999993
2025-07-07,1.0,2025-07-08 00:00:00,2129.4300000000003
2025-07-14,1.0,2025-07-15 00:00:00,2113.24
2025-07-21,1.0,2025-07-22 00:00:00,2050.44
2025-07-28,1.0,2025-07-29 00:00:00,2193.7
2025-08-04,1.0,2025-08-05 00:00:00,2863.4799999999987
2025-08-11,1.0,2025-08-12 00:00:00,460.02
2025-08-18,1.0,2025-08-19 00:00:00,2522.3999999999996
2025-08-25,1.0,2025-08-26 00:00:00,-3148.3099999999995
