Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-04,12.31,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83322.12,81900.0,82400,84200,84700.0,2025-07-08 00:00:00,2.0,Friday,32.65,77.75,86.1,34.75,0,155.5,172.2,0,7.775,8.61,,,,,96.45
2025-07-04,,0,Long,2025-07-08 09:25:00,2025-07-08 09:25:00,2025-07-08 09:59:00,2025-07-08 09:59:00,,81900.0,82400,84200,84700.0,2025-07-08 00:00:00,2.0,Friday,"[2.75, 2.75]","[7.65, 7.65]","[7.9, 7.9]","[2.65, 2.65]",0,,,0,,,Exit,Target hit,Target hit,Exit,-10.15
2025-07-11,11.69,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82994.87,81600.0,82100,83900,84400.0,2025-07-15 00:00:00,2.0,Friday,23.2,55.05,63.2,24.4,0,110.1,126.4,0,5.505,6.32,,,,,70.65
2025-07-11,,0,Long,2025-07-11 10:58:00,2025-07-11 10:58:00,2025-07-14 15:20:00,2025-07-14 15:20:00,,81600.0,82100,83900,84400.0,2025-07-15 00:00:00,2.0,Friday,"[45.7, 1.7]","[111.5, 2.3]","[6.25, 6.25]","[3.05, 3.05]",0,,,0,,,Exit,SL hit,Target hit,Exit,-69.0
2025-07-18,11.19,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82074.1,80800.0,81300,82900,83400.0,2025-07-22 00:00:00,2.0,Friday,26.3,64.3,84.6,31.55,0,128.6,169.2,0,6.43,8.459999999999999,,,,,91.04999999999998
2025-07-18,,0,Long,2025-07-18 10:17:00,2025-07-18 10:17:00,2025-07-22 10:28:00,2025-07-22 10:28:00,,80800.0,81300,82900,83400.0,2025-07-22 00:00:00,2.0,Friday,"[63.6, 0.9]","[140.7, 1.2]","[7.85, 7.85]","[2.8, 2.8]",0,,,0,,,Exit,SL hit,Target hit,Exit,-82.14999999999998
2025-07-25,11.02,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81992.43,80700.0,81200,82800,83300.0,2025-07-29 00:00:00,2.0,Friday,33.9,74.75,89.75,37.4,0,149.5,179.5,0,7.475,8.975,,,,,93.2
2025-07-25,,0,Long,2025-07-25 10:17:00,2025-07-25 10:17:00,2025-07-28 13:45:00,2025-07-28 13:45:00,,80700.0,81200,82800,83300.0,2025-07-29 00:00:00,2.0,Friday,"[70.85, 1.35]","[153.45, 12.75]","[8.95, 8.95]","[5.75, 5.75]",0,,,0,,,Exit,SL hit,Target hit,Exit,-85.79999999999998
2025-08-01,11.79,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80915.46,79600.0,80100,81700,82200.0,2025-08-05 00:00:00,2.0,Friday,53.2,115.2,117.75,48.55,0,230.4,235.5,0,11.52,11.775,,,,,131.2
2025-08-01,,0,Long,2025-08-05 09:35:00,2025-08-05 09:35:00,2025-08-05 09:32:00,2025-08-05 09:32:00,,79600.0,80100,81700,82200.0,2025-08-05 00:00:00,2.0,Friday,"[3.4, 3.4]","[10.95, 10.95]","[11.55, 11.55]","[4.1, 4.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-15.0
2025-08-08,12.01,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80325.39,78900.0,79400,81200,81700.0,2025-08-12 00:00:00,2.0,Friday,32.2,68.7,78.0,28.3,0,137.4,156.0,0,6.870000000000001,7.800000000000001,,,,,86.19999999999999
2025-08-08,,0,Long,2025-08-08 15:14:00,2025-08-08 15:14:00,2025-08-12 11:55:00,2025-08-12 11:55:00,,78900.0,79400,81200,81700.0,2025-08-12 00:00:00,2.0,Friday,"[57.15, 1.35]","[138.0, 1.7]","[7.4, 7.4]","[3.15, 3.15]",0,,,0,,,Exit,SL hit,Target hit,Exit,-85.10000000000001
2025-08-14,12.37,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80619.55,79200.0,79700,81500,82000.0,2025-08-19 00:00:00,2.0,Thursday,44.8,90.2,99.15,40.75,0,180.4,198.3,0,9.02,9.915,,,,,103.80000000000004
2025-08-14,,0,Long,2025-08-18 09:28:00,2025-08-18 09:28:00,2025-08-18 09:16:00,2025-08-18 09:16:00,,79200.0,79700,81500,82000.0,2025-08-19 00:00:00,2.0,Thursday,"[5.5, 5.5]","[8.5, 8.5]","[389.85, 128.95]","[172.75, 1.6]",0,,,0,,,Exit,Target hit,SL hit,Exit,-220.1
2025-08-22,11.53,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81697.19,80400.0,80900,82500,83000.0,2025-08-26 00:00:00,2.0,Friday,26.05,67.85,69.25,22.9,0,135.7,138.5,0,6.785,6.925000000000001,,,,,88.14999999999999
2025-08-22,,0,Long,2025-08-26 15:00:00,2025-08-26 15:00:00,2025-08-26 09:15:00,2025-08-26 09:15:00,,80400.0,80900,82500,83000.0,2025-08-26 00:00:00,2.0,Friday,"[2.7, 2.7]","[25.25, 25.25]","[5.0, 5.0]","[2.8, 2.8]",0,,,0,,,Exit,Universal exit,Target hit,Exit,-24.75
2025-05-02,17.61,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80877.89,79100.0,79600,82200,82700.0,2025-05-06 00:00:00,2.0,Friday,104.1,153.6,82.9,34.4,0,307.2,165.8,0,15.36,8.290000000000001,,,,,98.0
2025-05-02,,0,Long,2025-05-02 12:29:00,2025-05-02 12:29:00,2025-05-05 14:21:00,2025-05-05 14:21:00,,79100.0,79600,82200,82700.0,2025-05-06 00:00:00,2.0,Friday,"[221.95, 1.1]","[324.5, 1.45]","[8.15, 8.15]","[4.3, 4.3]",0,,,0,,,Exit,SL hit,Target hit,Exit,-106.39999999999998
2025-05-09,22.27,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,79778.43,77700.0,78200,81400,81900.0,2025-05-13 00:00:00,2.0,Friday,277.0,339.5,86.2,44.65,0,679.0,172.4,0,33.95,8.620000000000001,,,,,104.05
2025-05-09,,0,Long,2025-05-12 09:16:00,2025-05-12 09:16:00,2025-05-12 09:16:00,2025-05-12 09:16:00,,77700.0,78200,81400,81900.0,2025-05-13 00:00:00,2.0,Friday,"[8.8, 8.8]","[10.65, 10.65]","[185.25, 20.05]","[80.7, 2.95]",0,,,0,,,Exit,Target hit,SL hit,Exit,-106.4
2025-05-16,16.48,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82370.2,80700.0,81200,83600,84100.0,2025-05-20 00:00:00,2.0,Friday,96.95,152.45,125.6,64.75,0,304.9,251.2,0,15.245,12.56,,,,,116.34999999999997
2025-05-16,,0,Long,2025-05-20 09:37:00,2025-05-20 09:37:00,2025-05-20 09:15:00,2025-05-20 09:15:00,,80700.0,81200,83600,84100.0,2025-05-20 00:00:00,2.0,Friday,"[6.6, 6.6]","[14.6, 14.6]","[11.8, 11.8]","[6.8, 6.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-13.0
2025-05-23,17.05,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81218.27,79500.0,80000,82400,82900.0,2025-05-27 00:00:00,2.0,Friday,61.6,112.0,128.4,68.3,0,224.0,256.8,0,11.2,12.840000000000002,,,,,110.5
2025-05-23,,0,Long,2025-05-27 09:15:00,2025-05-27 09:15:00,2025-05-23 10:48:00,2025-05-23 10:48:00,,79500.0,80000,82400,82900.0,2025-05-27 00:00:00,2.0,Friday,"[2.6, 2.6]","[7.1, 7.1]","[277.1, 2.05]","[147.65, 1.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-133.95000000000005
2025-05-30,16.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81643.83,79900.0,80400,82800,83300.0,2025-06-03 00:00:00,2.0,Friday,68.0,128.4,177.15,96.9,0,256.8,354.3,0,12.840000000000002,17.715,,,,,140.65
2025-05-30,,0,Long,2025-06-02 09:16:00,2025-06-02 09:16:00,2025-06-03 11:00:00,2025-06-03 11:00:00,,79900.0,80400,82800,83300.0,2025-06-03 00:00:00,2.0,Friday,"[171.3, 1.45]","[344.6, 3.2]","[17.45, 17.45]","[4.3, 4.3]",0,,,0,,,Exit,SL hit,Target hit,Exit,-186.45
