Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-04,12.31,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83322.12,81900.0,82400,84200,84700.0,2025-07-08 00:00:00,2.0,Friday,32.65,77.75,86.1,34.75,0,233.25,258.29999999999995,0,23.325,25.83,,,,,192.9
2025-07-04,,0,Long,2025-07-07 13:50:00,2025-07-07 13:50:00,2025-07-08 09:15:00,2025-07-08 09:15:00,,81900.0,82400,84200,84700.0,2025-07-08 00:00:00,2.0,Friday,"[7.65, 7.65]","[22.85, 22.85]","[19.8, 19.8]","[7.5, 7.5]",0,,,0,,,Exit,Target hit,Target hit,Exit,-55.000000000000014
2025-07-11,11.69,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82994.87,81600.0,82100,83900,84400.0,2025-07-15 00:00:00,2.0,Friday,23.2,55.05,63.2,24.4,0,165.14999999999998,189.6,0,16.514999999999997,18.96,,,,,141.3
2025-07-11,,0,Long,2025-07-14 09:25:00,2025-07-14 09:25:00,2025-07-14 09:16:00,2025-07-14 09:16:00,,81600.0,82100,83900,84400.0,2025-07-15 00:00:00,2.0,Friday,"[62.4, 1.7]","[186.15, 2.3]","[12.8, 12.8]","[5.75, 5.75]",0,,,0,,,Exit,SL hit,Target hit,Exit,-138.45000000000002
2025-07-18,11.19,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82074.1,80800.0,81300,82900,83400.0,2025-07-22 00:00:00,2.0,Friday,26.3,64.3,84.6,31.55,0,192.9,253.8,0,19.29,25.38,,,,,182.1
2025-07-18,,0,Long,2025-07-21 15:19:00,2025-07-21 15:19:00,2025-07-21 09:17:00,2025-07-21 09:17:00,,80800.0,81300,82900,83400.0,2025-07-22 00:00:00,2.0,Friday,"[6.45, 6.45]","[17.1, 17.1]","[21.6, 21.6]","[8.45, 8.45]",0,,,0,,,Exit,Target hit,Target hit,Exit,-47.60000000000001
2025-07-25,11.02,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81992.43,80700.0,81200,82800,83300.0,2025-07-29 00:00:00,2.0,Friday,33.9,74.75,89.75,37.4,0,224.25,269.25,0,22.425,26.925,,,,,186.4
2025-07-25,,0,Long,2025-07-28 09:16:00,2025-07-28 09:16:00,2025-07-28 09:15:00,2025-07-28 09:15:00,,80700.0,81200,82800,83300.0,2025-07-29 00:00:00,2.0,Friday,"[77.55, 1.35]","[233.0, 12.75]","[20.95, 20.95]","[8.1, 8.1]",0,,,0,,,Exit,SL hit,Target hit,Exit,-192.55
2025-08-01,11.79,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80915.46,79600.0,80100,81700,82200.0,2025-08-05 00:00:00,2.0,Friday,53.2,115.2,117.75,48.55,0,345.6,353.25,0,34.56,35.325,,,,,262.4
2025-08-01,,0,Long,2025-08-04 13:48:00,2025-08-04 13:48:00,2025-08-04 09:45:00,2025-08-04 09:45:00,,79600.0,80100,81700,82200.0,2025-08-05 00:00:00,2.0,Friday,"[12.6, 12.6]","[34.3, 34.3]","[35.05, 35.05]","[10.9, 10.9]",0,,,0,,,Exit,Target hit,Target hit,Exit,-91.7
2025-08-08,12.01,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80325.39,78900.0,79400,81200,81700.0,2025-08-12 00:00:00,2.0,Friday,32.2,68.7,78.0,28.3,0,206.1,234.0,0,20.61,23.4,,,,,172.39999999999998
2025-08-08,,0,Long,2025-08-11 14:02:00,2025-08-11 14:02:00,2025-08-11 09:30:00,2025-08-11 09:30:00,,78900.0,79400,81200,81700.0,2025-08-12 00:00:00,2.0,Friday,"[8.45, 8.45]","[20.45, 20.45]","[23.15, 23.15]","[9.05, 9.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-52.19999999999999
2025-08-14,12.37,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80619.55,79200.0,79700,81500,82000.0,2025-08-19 00:00:00,2.0,Thursday,44.8,90.2,99.15,40.75,0,270.6,297.45000000000005,0,27.06,29.745,,,,,207.60000000000005
2025-08-14,,0,Long,2025-08-18 09:16:00,2025-08-18 09:16:00,2025-08-18 09:16:00,2025-08-18 09:16:00,,79200.0,79700,81500,82000.0,2025-08-19 00:00:00,2.0,Thursday,"[7.0, 7.0]","[13.6, 13.6]","[389.85, 128.95]","[172.75, 1.6]",0,,,0,,,Exit,Target hit,SL hit,Exit,-357.65
2025-08-22,11.53,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81697.19,80400.0,80900,82500,83000.0,2025-08-26 00:00:00,2.0,Friday,26.05,67.85,69.25,22.9,0,203.55,207.75,0,20.355,20.775,,,,,176.29999999999998
2025-08-22,,0,Long,2025-08-25 11:46:00,2025-08-25 11:46:00,2025-08-25 09:21:00,2025-08-25 09:21:00,,80400.0,80900,82500,83000.0,2025-08-26 00:00:00,2.0,Friday,"[6.1, 6.1]","[20.3, 20.3]","[20.0, 20.0]","[6.95, 6.95]",0,,,0,,,Exit,Target hit,Target hit,Exit,-54.49999999999999
2025-05-02,17.61,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80877.89,79100.0,79600,82200,82700.0,2025-05-06 00:00:00,2.0,Friday,104.1,153.6,82.9,34.4,0,460.8,248.7,0,46.08,24.87,,,,,196.0
2025-05-02,,0,Long,2025-05-05 13:02:00,2025-05-05 13:02:00,2025-05-05 09:22:00,2025-05-05 09:22:00,,79100.0,79600,82200,82700.0,2025-05-06 00:00:00,2.0,Friday,"[27.75, 27.75]","[44.1, 44.1]","[24.35, 24.35]","[9.7, 9.7]",0,,,0,,,Exit,Target hit,Target hit,Exit,-62.0
2025-05-09,22.27,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,79778.43,77700.0,78200,81400,81900.0,2025-05-13 00:00:00,2.0,Friday,277.0,339.5,86.2,44.65,0,1018.5,258.6,0,101.85,25.86,,,,,208.1
2025-05-09,,0,Long,2025-05-12 09:16:00,2025-05-12 09:16:00,2025-05-12 09:21:00,2025-05-12 09:21:00,,77700.0,78200,81400,81900.0,2025-05-13 00:00:00,2.0,Friday,"[8.8, 8.8]","[10.65, 10.65]","[284.8, 20.05]","[130.35, 2.95]",0,,,0,,,Exit,Target hit,SL hit,Exit,-175.25000000000006
2025-05-16,16.48,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82370.2,80700.0,81200,83600,84100.0,2025-05-20 00:00:00,2.0,Friday,96.95,152.45,125.6,64.75,0,457.35,376.8,0,45.73499999999999,37.68,,,,,232.69999999999996
2025-05-16,,0,Long,2025-05-20 09:15:00,2025-05-20 09:15:00,2025-05-19 12:08:00,2025-05-19 12:08:00,,80700.0,81200,83600,84100.0,2025-05-20 00:00:00,2.0,Friday,"[18.05, 18.05]","[37.95, 37.95]","[37.2, 37.2]","[16.05, 16.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-82.10000000000001
2025-05-23,17.05,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81218.27,79500.0,80000,82400,82900.0,2025-05-27 00:00:00,2.0,Friday,61.6,112.0,128.4,68.3,0,336.0,385.2000000000001,0,33.6,38.52,,,,,221.0
2025-05-23,,0,Long,2025-05-26 09:21:00,2025-05-26 09:21:00,2025-05-26 09:16:00,2025-05-26 09:16:00,,79500.0,80000,82400,82900.0,2025-05-27 00:00:00,2.0,Friday,"[17.9, 17.9]","[32.2, 32.2]","[431.95, 2.05]","[231.65, 1.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-229.85
2025-05-30,16.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81643.83,79900.0,80400,82800,83300.0,2025-06-03 00:00:00,2.0,Friday,68.0,128.4,177.15,96.9,0,385.2000000000001,531.45,0,38.52,53.145,,,,,281.3
2025-05-30,,0,Long,2025-06-03 13:28:00,2025-06-03 13:28:00,2025-06-02 09:16:00,2025-06-02 09:16:00,,79900.0,80400,82800,83300.0,2025-06-03 00:00:00,2.0,Friday,"[6.9, 6.9]","[37.25, 37.25]","[47.65, 47.65]","[19.9, 19.9]",0,,,0,,,Exit,Target hit,Target hit,Exit,-116.20000000000002
2025-06-06,14.95,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81325.82,79700.0,80200,82400,82900.0,2025-06-10 00:00:00,2.0,Friday,57.65,116.65,127.6,63.75,0,349.95000000000005,382.8,0,34.995,38.28,,,,,245.7
2025-06-06,,0,Long,2025-06-06 13:28:00,2025-06-06 13:28:00,2025-06-06 11:08:00,2025-06-06 11:08:00,,79700.0,80200,82400,82900.0,2025-06-10 00:00:00,2.0,Friday,"[17.65, 17.65]","[34.75, 34.75]","[383.25, 18.55]","[207.25, 1.25]",0,,,0,,,Exit,Target hit,SL hit,Exit,-227.5
2025-06-13,15.1,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80867.6,79300.0,79800,82000,82500.0,2025-06-17 00:00:00,2.0,Friday,108.65,183.35,130.35,64.45,0,550.05,391.05,0,55.005,39.105,,,,,281.19999999999993
2025-06-13,,0,Long,2025-06-16 09:16:00,2025-06-16 09:16:00,2025-06-17 09:49:00,2025-06-17 09:49:00,,79300.0,79800,82000,82500.0,2025-06-17 00:00:00,2.0,Friday,"[24.45, 24.45]","[46.75, 46.75]","[37.7, 37.7]","[12.45, 12.45]",0,,,0,,,Exit,Target hit,Target hit,Exit,-95.1
2025-06-20,13.66,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81528.64,80000.0,80500,82500,83000.0,2025-06-24 00:00:00,2.0,Friday,53.85,95.0,84.95,33.15,0,285.0,254.85,0,28.5,25.485,,,,,185.9
2025-06-20,,0,Long,2025-06-23 13:29:00,2025-06-23 13:29:00,2025-06-20 10:28:00,2025-06-20 10:28:00,,80000.0,80500,82500,83000.0,2025-06-24 00:00:00,2.0,Friday,"[15.55, 15.55]","[28.15, 28.15]","[263.1, 2.75]","[112.5, 1.95]",0,,,0,,,Exit,Target hit,SL hit,Exit,-176.60000000000002
2025-06-27,12.73,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83705.79,82300.0,82800,84600,85100.0,2025-07-01 00:00:00,2.0,Friday,83.5,147.75,127.05,52.5,0,443.25,381.15,0,44.325,38.115,,,,,277.6
2025-06-27,,0,Long,2025-06-30 09:16:00,2025-06-30 09:16:00,2025-06-30 13:09:00,2025-06-30 13:09:00,,82300.0,82800,84600,85100.0,2025-07-01 00:00:00,2.0,Friday,"[19.15, 19.15]","[37.8, 37.8]","[36.0, 36.0]","[11.45, 11.45]",0,,,0,,,Exit,Target hit,Target hit,Exit,-86.4
2025-04-04,13.89,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,75835.56,74400.0,74900,76700,77200.0,2025-04-08 00:00:00,2.0,Friday,90.35,163.2,93.65,37.9,0,489.6,280.95000000000005,0,48.96,28.095,,,,,257.20000000000005
2025-04-04,,0,Long,2025-04-07 09:15:00,2025-04-07 09:15:00,2025-04-04 13:36:00,2025-04-04 13:36:00,,74400.0,74900,76700,77200.0,2025-04-08 00:00:00,2.0,Friday,"[2000.0, 62.05]","[1500.0, 522.35]","[27.2, 27.2]","[11.4, 11.4]",0,,,0,,,Exit,SL hit,Target hit,Exit,8.100000000000364
2025-04-09,21.12,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,73822.29,71900.0,72400,75200,75700.0,2025-04-15 00:00:00,2.0,Wednesday,313.65,402.0,267.6,169.9,0,1206.0,802.8000000000001,0,120.6,80.28,,,,,372.10000000000014
2025-04-09,,0,Long,2025-04-11 09:16:00,2025-04-11 09:16:00,2025-04-15 09:15:00,2025-04-15 09:15:00,,71900.0,72400,75200,75700.0,2025-04-15 00:00:00,2.0,Wednesday,"[50.35, 50.35]","[70.0, 70.0]","[990.25, 1501.6]","[550.0, 1000.95]",0,,,0,,,Exit,Target hit,SL hit,Exit,-980.1999999999998
2025-04-17,15.83,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,76707.26,75100.0,75600,77800,78300.0,2025-04-22 00:00:00,2.0,Thursday,103.55,171.15,130.0,66.65,0,513.45,390.0,0,51.345,39.0,,,,,261.9
2025-04-17,,0,Long,2025-04-21 09:15:00,2025-04-21 09:15:00,2025-04-17 11:32:00,2025-04-17 11:32:00,,75100.0,75600,77800,78300.0,2025-04-22 00:00:00,2.0,Thursday,"[17.5, 17.5]","[33.2, 33.2]","[402.7, 1781.2]","[237.45, 1298.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-679.8000000000002
2025-04-25,16.14,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80049.21,78400.0,78900,81100,81600.0,2025-04-29 00:00:00,2.0,Friday,109.0,174.8,126.5,59.85,0,524.4000000000001,379.5,0,52.440000000000005,37.95,,,,,264.90000000000003
2025-04-25,,0,Long,2025-04-25 10:04:00,2025-04-25 10:04:00,2025-04-25 10:56:00,2025-04-25 10:56:00,,78400.0,78900,81100,81600.0,2025-04-29 00:00:00,2.0,Friday,"[375.15, 0.7]","[560.8, 0.75]","[37.6, 37.6]","[20.45, 20.45]",0,,,0,,,Exit,SL hit,Target hit,Exit,-220.00000000000009
2025-02-07,14.44,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,78028.18,76500.0,77000,79000,79500.0,2025-02-11 00:00:00,2.0,Friday,111.6,197.85,222.75,118.15,0,593.55,668.25,0,59.355,66.825,,,,,381.7000000000001
2025-02-07,,0,Long,2025-02-11 13:11:00,2025-02-11 13:11:00,2025-02-07 14:43:00,2025-02-07 14:43:00,,76500.0,77000,79000,79500.0,2025-02-11 00:00:00,2.0,Friday,"[211.7, 229.9]","[604.45, 717.7]","[65.6, 65.6]","[28.05, 28.05]",0,,,0,,,Exit,SL hit,Target hit,Exit,-955.65
2025-02-14,14.91,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,76159.57,74700.0,75200,77200,77700.0,2025-02-18 00:00:00,2.0,Friday,70.85,140.35,155.2,70.15,0,421.05,465.6,0,42.105,46.56,,,,,309.0999999999999
2025-02-14,,0,Long,2025-02-18 10:01:00,2025-02-18 10:01:00,2025-02-17 09:15:00,2025-02-17 09:15:00,,74700.0,75200,77200,77700.0,2025-02-18 00:00:00,2.0,Friday,"[15.2, 15.2]","[38.8, 38.8]","[40.0, 40.0]","[10.0, 10.0]",0,,,0,,,Exit,Target hit,Target hit,Exit,-107.2
2025-02-21,14.59,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,75684.68,74200.0,74700,76700,77200.0,2025-02-25 00:00:00,2.0,Friday,39.9,93.6,104.05,41.1,0,280.79999999999995,312.15,0,28.08,31.215,,,,,233.29999999999995
2025-02-21,,0,Long,2025-02-24 09:38:00,2025-02-24 09:38:00,2025-02-24 09:15:00,2025-02-24 09:15:00,,74200.0,74700,76700,77200.0,2025-02-25 00:00:00,2.0,Friday,"[121.45, 1.35]","[290.4, 13.0]","[20.35, 20.35]","[7.95, 7.95]",0,,,0,,,Exit,SL hit,Target hit,Exit,-205.4
2025-02-28,13.53,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,73890.02,72500.0,73000,74800,75300.0,2025-03-04 00:00:00,2.0,Friday,38.1,83.8,114.5,42.5,0,251.4,343.5,0,25.14,34.35,,,,,235.40000000000003
2025-02-28,,0,Long,2025-02-28 12:57:00,2025-02-28 12:57:00,2025-02-28 12:57:00,2025-02-28 12:57:00,,72500.0,73000,74800,75300.0,2025-03-04 00:00:00,2.0,Friday,"[128.7, 0.9]","[256.5, 17.6]","[33.85, 33.85]","[13.75, 13.75]",0,,,0,,,Exit,SL hit,Target hit,Exit,-184.7
2025-03-07,13.83,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,74160.49,72800.0,73300,75100,75600.0,2025-03-11 00:00:00,2.0,Friday,62.75,129.65,87.0,31.7,0,388.9500000000001,261.0,0,38.895,26.1,,,,,244.4
2025-03-07,,0,Long,2025-03-10 09:25:00,2025-03-10 09:25:00,2025-03-10 13:26:00,2025-03-10 13:26:00,,72800.0,73300,75100,75600.0,2025-03-11 00:00:00,2.0,Friday,"[14.35, 14.35]","[38.45, 38.45]","[25.65, 25.65]","[7.0, 7.0]",0,,,0,,,Exit,Target hit,Target hit,Exit,-85.49999999999999
2025-03-13,13.59,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,74129.88,72700.0,73200,75000,75500.0,2025-03-18 00:00:00,2.0,Thursday,42.45,94.3,74.95,27.3,0,282.9,224.85,0,28.29,22.485,,,,,199.0
2025-03-13,,0,Long,2025-03-17 09:22:00,2025-03-17 09:22:00,2025-03-17 10:35:00,2025-03-17 10:35:00,,72700.0,73200,75000,75500.0,2025-03-18 00:00:00,2.0,Thursday,"[10.25, 10.25]","[27.0, 27.0]","[21.85, 21.85]","[5.3, 5.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-66.6
2025-03-21,12.54,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,76344.17,75000.0,75500,77100,77600.0,2025-03-25 00:00:00,2.0,Friday,35.1,79.65,95.75,32.75,0,238.95,287.25,0,23.895,28.725,,,,,215.1
2025-03-21,,0,Long,2025-03-24 09:16:00,2025-03-24 09:16:00,2025-03-21 10:53:00,2025-03-21 10:53:00,,75000.0,75500,77100,77600.0,2025-03-25 00:00:00,2.0,Friday,"[7.95, 7.95]","[13.1, 13.1]","[309.9, 975.0]","[127.3, 465.75]",0,,,0,,,Exit,Target hit,SL hit,Exit,-702.1500000000002
2025-03-27,13.58,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,77529.25,76100.0,76600,78400,78900.0,2025-04-01 00:00:00,2.0,Thursday,94.0,151.05,194.35,107.7,0,453.15,583.05,0,45.315000000000005,58.30499999999999,,,,,287.4
2025-03-27,,0,Long,2025-03-28 12:13:00,2025-03-28 12:13:00,2025-03-28 09:37:00,2025-03-28 09:37:00,,76100.0,76600,78400,78900.0,2025-04-01 00:00:00,2.0,Thursday,"[21.55, 21.55]","[44.95, 44.95]","[58.1, 58.1]","[21.3, 21.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-120.40000000000002
2025-01-03,13.8,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,79705.57,78200.0,78700,80700,81200.0,2025-01-03 00:00:00,2.0,Friday,20.65,57.1,59.2,21.7,0,171.3,177.60000000000002,0,17.13,17.76,,,,,147.90000000000003
2025-01-03,,0,Long,2025-01-03 11:02:00,2025-01-03 11:02:00,2025-01-03 10:13:00,2025-01-03 10:13:00,,78200.0,78700,80700,81200.0,2025-01-03 00:00:00,2.0,Friday,"[6.85, 6.85]","[15.8, 15.8]","[16.25, 16.25]","[7.15, 7.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-36.1
2025-01-10,14.86,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,77659.06,76200.0,76700,78700,79200.0,2025-01-14 00:00:00,2.0,Friday,79.65,150.5,120.5,54.2,0,451.5,361.5,0,45.15,36.15,,,,,274.29999999999995
