Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-04,12.35,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83193.38,81800.0,82300,84100,84600.0,2025-07-08 00:00:00,2.0,Friday,27.2,64.15,64.75,25.25,0,160.375,161.875,0,12.830000000000002,12.95,,,,,76.45
2025-07-04,,0,Long,2025-07-08 09:16:00,2025-07-08 09:16:00,2025-07-08 09:59:00,2025-07-08 09:59:00,,81800.0,82300,84100,84600.0,2025-07-08 00:00:00,2.0,Friday,"[3.45, 3.45]","[11.8, 11.8]","[11.65, 11.65]","[3.15, 3.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-16.85
2025-07-11,11.88,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82508.69,81100.0,81600,83400,83900.0,2025-07-15 00:00:00,2.0,Friday,22.6,48.4,68.65,28.2,0,121.0,171.625,0,9.68,13.730000000000002,,,,,66.25000000000001
2025-07-11,,0,Long,2025-07-15 09:20:00,2025-07-15 09:20:00,2025-07-15 09:15:00,2025-07-15 09:15:00,,81100.0,81600,83400,83900.0,2025-07-15 00:00:00,2.0,Friday,"[2.8, 2.8]","[8.7, 8.7]","[11.8, 11.8]","[4.8, 4.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-12.9
2025-07-18,11.39,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81806.2,80500.0,81000,82600,83100.0,2025-07-22 00:00:00,2.0,Friday,27.65,64.05,97.0,38.7,0,160.125,242.5,0,12.81,19.4,,,,,94.70000000000002
2025-07-18,,0,Long,2025-07-21 14:58:00,2025-07-21 14:58:00,2025-07-22 10:38:00,2025-07-22 10:38:00,,80500.0,81000,82600,83100.0,2025-07-22 00:00:00,2.0,Friday,"[5.2, 5.2]","[12.65, 12.65]","[19.0, 19.0]","[4.35, 4.35]",0,,,0,,,Exit,Target hit,Target hit,Exit,-22.1
2025-07-25,11.32,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81476.41,80200.0,80700,82300,82800.0,2025-07-29 00:00:00,2.0,Friday,24.5,57.2,71.35,32.05,0,143.0,178.375,0,11.44,14.27,,,,,72.00000000000001
2025-07-25,,0,Long,2025-07-28 13:34:00,2025-07-28 13:34:00,2025-07-28 15:09:00,2025-07-28 15:09:00,,80200.0,80700,82300,82800.0,2025-07-29 00:00:00,2.0,Friday,"[42.35, 1.2]","[143.2, 1.35]","[14.0, 14.0]","[8.4, 8.4]",0,,,0,,,Exit,SL hit,Target hit,Exit,-106.45
2025-08-01,11.86,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80796.93,79500.0,80000,81600,82100.0,2025-08-05 00:00:00,2.0,Friday,45.0,100.6,97.9,39.7,0,251.5,244.75,0,20.12,19.58,,,,,113.8
2025-08-01,,0,Long,2025-08-04 15:17:00,2025-08-04 15:17:00,2025-08-05 09:22:00,2025-08-05 09:22:00,,79500.0,80000,81600,82100.0,2025-08-05 00:00:00,2.0,Friday,"[7.35, 7.35]","[19.85, 19.85]","[19.25, 19.25]","[5.45, 5.45]",0,,,0,,,Exit,Target hit,Target hit,Exit,-26.3
2025-08-08,11.95,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,79988.55,78700.0,79200,80800,81300.0,2025-08-12 00:00:00,2.0,Friday,30.3,69.3,90.2,36.65,0,173.25,225.5,0,13.86,18.040000000000003,,,,,92.55
2025-08-08,,0,Long,2025-08-11 14:31:00,2025-08-11 14:31:00,2025-08-12 09:56:00,2025-08-12 09:56:00,,78700.0,79200,80800,81300.0,2025-08-12 00:00:00,2.0,Friday,"[5.85, 5.85]","[12.15, 12.15]","[228.6, 4.25]","[42.4, 2.9]",0,,,0,,,Exit,Target hit,SL hit,Exit,-192.5
2025-08-14,12.41,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80589.14,79200.0,79700,81500,82000.0,2025-08-19 00:00:00,2.0,Thursday,34.65,72.7,72.1,27.0,0,181.75,180.25,0,14.54,14.42,,,,,83.15
2025-08-14,,0,Long,2025-08-18 09:16:00,2025-08-18 09:16:00,2025-08-18 09:16:00,2025-08-18 09:16:00,,79200.0,79700,81500,82000.0,2025-08-19 00:00:00,2.0,Thursday,"[7.0, 7.0]","[13.6, 13.6]","[389.85, 128.95]","[172.75, 1.6]",0,,,0,,,Exit,Target hit,SL hit,Exit,-223.70000000000005
2025-08-22,11.62,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81424.31,80100.0,80600,82200,82700.0,2025-08-26 00:00:00,2.0,Friday,19.75,52.85,62.35,20.55,0,132.125,155.875,0,10.57,12.47,,,,,74.9
2025-08-22,,0,Long,2025-08-25 09:44:00,2025-08-25 09:44:00,2025-08-26 09:16:00,2025-08-26 09:16:00,,80100.0,80600,82200,82700.0,2025-08-26 00:00:00,2.0,Friday,"[4.85, 4.85]","[10.35, 10.35]","[9.15, 9.15]","[3.3, 3.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-11.35
2025-05-02,18.49,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80378.69,78600.0,79100,81700,82200.0,2025-05-06 00:00:00,2.0,Friday,129.55,183.0,67.8,31.8,0,457.5,169.5,0,36.6,13.56,,,,,89.44999999999999
2025-05-02,,0,Long,2025-05-05 09:54:00,2025-05-05 09:54:00,2025-05-06 09:16:00,2025-05-06 09:16:00,,78600.0,79100,81700,82200.0,2025-05-06 00:00:00,2.0,Friday,"[23.55, 23.55]","[35.3, 35.3]","[13.0, 13.0]","[4.6, 4.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-20.15
