Date,DaysToExpiry,ExpiryDate,PnL
2024-07-03,2.0,2024-07-05 00:00:00,1693.29
2024-07-10,2.0,2024-07-12 00:00:00,1121.705
2024-07-16,2.0,2024-07-19 00:00:00,1443.1800000000003
2024-07-24,2.0,2024-07-26 00:00:00,1819.9350000000002
2024-07-31,2.0,2024-08-02 00:00:00,1533.1099999999997
2024-08-07,2.0,2024-08-09 00:00:00,2112.15
2024-08-13,2.0,2024-08-16 00:00:00,1866.61
2024-08-21,2.0,2024-08-23 00:00:00,978.9049999999997
2024-08-28,2.0,2024-08-30 00:00:00,856.96
2024-09-04,2.0,2024-09-06 00:00:00,759.3949999999999
2024-09-11,2.0,2024-09-13 00:00:00,-920.2350000000001
2024-09-18,2.0,2024-09-20 00:00:00,-2686.9450000000006
2024-09-25,2.0,2024-09-27 00:00:00,-703.734999999999
2024-10-01,2.0,2024-10-04 00:00:00,-2747.6650000000004
2024-10-09,2.0,2024-10-11 00:00:00,2450.295
2024-10-16,2.0,2024-10-18 00:00:00,-697.8600000000001
2024-10-23,2.0,2024-10-25 00:00:00,1694.4099999999999
2024-10-29,2.0,2024-10-31 00:00:00,1149.2649999999999
2024-11-06,2.0,2024-11-08 00:00:00,-1511.2600000000002
2024-11-12,2.0,2024-11-14 00:00:00,-284.05999999999995
2024-11-19,2.0,2024-11-22 00:00:00,-1162.9550000000013
2024-11-27,2.0,2024-11-29 00:00:00,-1138.0450000000005
2024-12-04,2.0,2024-12-06 00:00:00,-814.1049999999996
2024-12-11,2.0,2024-12-13 00:00:00,-1100.1899999999996
2024-12-18,2.0,2024-12-20 00:00:00,-1445.915
2024-12-24,2.0,2024-12-27 00:00:00,1921.2300000000002
2025-01-03,2.0,2025-01-03 00:00:00,21.709999999999997
2025-01-10,2.0,2025-01-14 00:00:00,-2419.6300000000006
2025-01-17,2.0,2025-01-21 00:00:00,1786.4599999999996
2025-01-24,2.0,2025-01-28 00:00:00,-390.5050000000001
2025-01-31,2.0,2025-02-04 00:00:00,6570.9400000000005
2025-02-07,2.0,2025-02-11 00:00:00,1896.5300000000002
2025-02-14,2.0,2025-02-18 00:00:00,2125.79
2025-02-21,2.0,2025-02-25 00:00:00,-319.75999999999976
2025-02-28,2.0,2025-03-04 00:00:00,1871.615
2025-03-07,2.0,2025-03-11 00:00:00,1351.0449999999996
2025-03-13,2.0,2025-03-18 00:00:00,-1057.0849999999998
2025-03-21,2.0,2025-03-25 00:00:00,-1156.0849999999998
2025-03-27,2.0,2025-04-01 00:00:00,-2643.21
2025-04-04,2.0,2025-04-08 00:00:00,-12172.6
2025-04-09,2.0,2025-04-15 00:00:00,-2432.0999999999995
2025-04-17,2.0,2025-04-22 00:00:00,3181.5199999999995
2025-04-25,2.0,2025-04-29 00:00:00,2375.865
2025-05-02,2.0,2025-05-06 00:00:00,2348.5
2025-05-09,2.0,2025-05-13 00:00:00,-2256.590000000001
2025-05-16,2.0,2025-05-20 00:00:00,1925.9250000000006
2025-05-23,2.0,2025-05-27 00:00:00,2482.4799999999996
2025-05-30,2.0,2025-06-03 00:00:00,-1178.4499999999998
2025-06-06,2.0,2025-06-10 00:00:00,1799.6899999999998
2025-06-13,2.0,2025-06-17 00:00:00,1936.7450000000003
2025-06-20,2.0,2025-06-24 00:00:00,1844.5050000000003
2025-06-27,2.0,2025-07-01 00:00:00,1472.52
2025-07-04,2.0,2025-07-08 00:00:00,1147.3400000000001
2025-07-11,2.0,2025-07-15 00:00:00,1137.0900000000001
2025-07-18,2.0,2025-07-22 00:00:00,1490.515
2025-07-25,2.0,2025-07-29 00:00:00,-942.7149999999999
2025-08-01,2.0,2025-08-05 00:00:00,1818.7250000000001
2025-08-08,2.0,2025-08-12 00:00:00,-2220.47
2025-08-14,2.0,2025-08-19 00:00:00,-3203.0000000000014
2025-08-22,2.0,2025-08-26 00:00:00,1103.94
