Date,DaysToExpiry,ExpiryDate,PnL
2024-07-03,2.0,2024-07-05 00:00:00,5032.529999999998
2024-07-10,2.0,2024-07-12 00:00:00,1716.26
2024-07-16,2.0,2024-07-19 00:00:00,4968.719999999999
2024-07-24,2.0,2024-07-26 00:00:00,3721.8650000000007
2024-07-31,2.0,2024-08-02 00:00:00,5764.7699999999995
2024-08-07,2.0,2024-08-09 00:00:00,6744.509999999998
2024-08-13,2.0,2024-08-16 00:00:00,6014.28
2024-08-21,2.0,2024-08-23 00:00:00,3461.010000000001
2024-08-28,2.0,2024-08-30 00:00:00,1292.11
2024-09-04,2.0,2024-09-06 00:00:00,3328.8
2024-09-11,2.0,2024-09-13 00:00:00,-1988.0150000000003
2024-09-18,2.0,2024-09-20 00:00:00,-7297.495000000002
2024-09-25,2.0,2024-09-27 00:00:00,3102.7250000000013
2024-10-01,2.0,2024-10-04 00:00:00,-30605.635
2024-10-09,2.0,2024-10-11 00:00:00,8906.414999999997
2024-10-16,2.0,2024-10-18 00:00:00,2344.135
2024-10-23,2.0,2024-10-25 00:00:00,6434.594999999999
2024-10-29,2.0,2024-10-31 00:00:00,5164.230000000003
2024-11-06,2.0,2024-11-08 00:00:00,7649.145000000001
2024-11-12,2.0,2024-11-14 00:00:00,-18923.704999999994
2024-11-19,2.0,2024-11-22 00:00:00,2758.8450000000003
2024-11-27,2.0,2024-11-29 00:00:00,2138.9599999999973
2024-12-04,2.0,2024-12-06 00:00:00,6654.839999999998
2024-12-11,2.0,2024-12-13 00:00:00,2761.1949999999993
2024-12-18,2.0,2024-12-20 00:00:00,-21615.559999999998
2024-12-24,2.0,2024-12-27 00:00:00,6297.57
2025-01-03,2.0,2025-01-03 00:00:00,3451.95
2025-01-10,2.0,2025-01-14 00:00:00,-3277.1049999999987
2025-01-17,2.0,2025-01-21 00:00:00,4603.6050000000005
2025-01-24,2.0,2025-01-28 00:00:00,2776.749999999999
2025-01-31,2.0,2025-02-04 00:00:00,24004.35
2025-02-07,2.0,2025-02-11 00:00:00,-20058.64500000001
2025-02-14,2.0,2025-02-18 00:00:00,7236.044999999998
2025-02-21,2.0,2025-02-25 00:00:00,2642.4549999999995
2025-02-28,2.0,2025-03-04 00:00:00,2981.0499999999997
2025-03-07,2.0,2025-03-11 00:00:00,6129.885
2025-03-13,2.0,2025-03-18 00:00:00,-6137.225
2025-03-21,2.0,2025-03-25 00:00:00,-9687.050000000003
2025-03-27,2.0,2025-04-01 00:00:00,-21202.455
2025-04-04,2.0,2025-04-08 00:00:00,-8944.110000000008
2025-04-09,2.0,2025-04-15 00:00:00,-20747.385
2025-04-17,2.0,2025-04-22 00:00:00,-13721.675000000008
2025-04-25,2.0,2025-04-29 00:00:00,4508.820000000002
2025-05-02,2.0,2025-05-06 00:00:00,6155.084999999999
2025-05-09,2.0,2025-05-13 00:00:00,9154.46
2025-05-16,2.0,2025-05-20 00:00:00,7257.554999999998
2025-05-23,2.0,2025-05-27 00:00:00,3684.2650000000003
2025-05-30,2.0,2025-06-03 00:00:00,4630.220000000002
2025-06-06,2.0,2025-06-10 00:00:00,3208.0050000000006
2025-06-13,2.0,2025-06-17 00:00:00,8609.939999999999
2025-06-20,2.0,2025-06-24 00:00:00,3011.1
2025-06-27,2.0,2025-07-01 00:00:00,7180.634999999999
2025-07-04,2.0,2025-07-08 00:00:00,4352.625
2025-07-11,2.0,2025-07-15 00:00:00,1967.7700000000002
2025-07-18,2.0,2025-07-22 00:00:00,2796.875
2025-07-25,2.0,2025-07-29 00:00:00,1315.4499999999998
2025-08-01,2.0,2025-08-05 00:00:00,6303.03
2025-08-08,2.0,2025-08-12 00:00:00,3841.5
2025-08-14,2.0,2025-08-19 00:00:00,-3385.3949999999977
2025-08-22,2.0,2025-08-26 00:00:00,2694.3449999999993
