Date,DaysToExpiry,ExpiryDate,PnL
2024-07-03,2.0,2024-07-05 00:00:00,2452.38
2024-07-10,2.0,2024-07-12 00:00:00,-303.395
2024-07-16,2.0,2024-07-19 00:00:00,3774.3149999999996
2024-07-24,2.0,2024-07-26 00:00:00,-389.145
2024-07-31,2.0,2024-08-02 00:00:00,2778.44
2024-08-07,2.0,2024-08-09 00:00:00,3047.354999999999
2024-08-13,2.0,2024-08-16 00:00:00,-332.37999999999965
2024-08-21,2.0,2024-08-23 00:00:00,1153.6700000000003
2024-08-28,2.0,2024-08-30 00:00:00,-13.209999999999809
2024-09-04,2.0,2024-09-06 00:00:00,1732.61
2024-09-11,2.0,2024-09-13 00:00:00,259.9100000000001
2024-09-18,2.0,2024-09-20 00:00:00,-3611.3
2024-09-25,2.0,2024-09-27 00:00:00,-461.7300000000005
2024-10-01,2.0,2024-10-04 00:00:00,-7264.9349999999995
2024-10-09,2.0,2024-10-11 00:00:00,4161.41
2024-10-16,2.0,2024-10-18 00:00:00,-21.770000000000437
2024-10-23,2.0,2024-10-25 00:00:00,3108.15
2024-10-29,2.0,2024-10-31 00:00:00,-624.9050000000002
2024-11-06,2.0,2024-11-08 00:00:00,3461.08
2024-11-12,2.0,2024-11-14 00:00:00,-960.54
2024-11-19,2.0,2024-11-22 00:00:00,-639.7999999999997
2024-11-27,2.0,2024-11-29 00:00:00,-3216.5150000000012
2024-12-04,2.0,2024-12-06 00:00:00,-192.59500000000025
2024-12-11,2.0,2024-12-13 00:00:00,-868.3200000000002
2024-12-18,2.0,2024-12-20 00:00:00,-3887.7350000000006
2024-12-24,2.0,2024-12-27 00:00:00,2891.095
2025-01-03,2.0,2025-01-03 00:00:00,1851.1799999999998
2025-01-10,2.0,2025-01-14 00:00:00,-980.2650000000003
2025-01-17,2.0,2025-01-21 00:00:00,46.33000000000084
2025-01-24,2.0,2025-01-28 00:00:00,-633.9850000000015
2025-01-31,2.0,2025-02-04 00:00:00,8355.174999999997
2025-02-07,2.0,2025-02-11 00:00:00,-2549.569999999999
2025-02-14,2.0,2025-02-18 00:00:00,-100.33500000000095
2025-02-21,2.0,2025-02-25 00:00:00,197.60500000000002
2025-02-28,2.0,2025-03-04 00:00:00,88.2800000000002
2025-03-07,2.0,2025-03-11 00:00:00,3188.56
2025-03-13,2.0,2025-03-18 00:00:00,-685.4200000000001
2025-03-21,2.0,2025-03-25 00:00:00,-638.7350000000006
2025-03-27,2.0,2025-04-01 00:00:00,-1420.5599999999995
2025-04-04,2.0,2025-04-08 00:00:00,-6412.024999999999
2025-04-09,2.0,2025-04-15 00:00:00,-1246.0099999999993
2025-04-17,2.0,2025-04-22 00:00:00,170.5550000000003
2025-04-25,2.0,2025-04-29 00:00:00,-476.77999999999975
2025-05-02,2.0,2025-05-06 00:00:00,-566.6749999999997
2025-05-09,2.0,2025-05-13 00:00:00,329.125
2025-05-16,2.0,2025-05-20 00:00:00,3195.3050000000003
2025-05-23,2.0,2025-05-27 00:00:00,-848.630000000001
2025-05-30,2.0,2025-06-03 00:00:00,-1269.33
2025-06-06,2.0,2025-06-10 00:00:00,-825.6799999999998
2025-06-13,2.0,2025-06-17 00:00:00,3960.0649999999996
2025-06-20,2.0,2025-06-24 00:00:00,-464.1300000000001
2025-06-27,2.0,2025-07-01 00:00:00,3657.0199999999995
2025-07-04,2.0,2025-07-08 00:00:00,2397.05
2025-07-11,2.0,2025-07-15 00:00:00,-32.690000000000055
2025-07-18,2.0,2025-07-22 00:00:00,77.98499999999922
2025-07-25,2.0,2025-07-29 00:00:00,43.86500000000024
2025-08-01,2.0,2025-08-05 00:00:00,3346.71
2025-08-08,2.0,2025-08-12 00:00:00,-35.23499999999967
2025-08-14,2.0,2025-08-19 00:00:00,-3819.995
2025-08-22,2.0,2025-08-26 00:00:00,1763.045
