Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-03,12.43,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83436.63,81800.0,82300,84500,84900.0,2025-07-08 00:00:00,3.0,Thursday,37.75,79.85,91.0,47.4,0,159.7,182.0,0,23.955,27.3,,,,,85.69999999999999
2025-07-03,,0,Long,2025-07-07 09:38:00,2025-07-07 09:38:00,2025-07-04 11:42:00,2025-07-04 11:42:00,,81800.0,82300,84500,84900.0,2025-07-08 00:00:00,3.0,Thursday,"[8.95, 8.95]","[23.7, 23.7]","[27.2, 27.2]","[12.85, 12.85]",0,,,0,,,Exit,Target hit,Target hit,Exit,-29.1
2025-07-10,11.67,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83348.96,81700.0,82200,84400,84800.0,2025-07-15 00:00:00,3.0,Thursday,27.0,53.85,71.75,33.8,0,107.7,143.5,0,16.155,21.525,,,,,64.8
2025-07-10,,0,Long,2025-07-11 10:46:00,2025-07-11 10:46:00,2025-07-11 09:22:00,2025-07-11 09:22:00,,81700.0,82200,84400,84800.0,2025-07-15 00:00:00,3.0,Thursday,"[44.6, 1.65]","[112.65, 3.2]","[21.5, 21.5]","[11.3, 11.3]",0,,,0,,,Exit,SL hit,Target hit,Exit,-78.25
2025-07-17,11.36,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82336.74,80800.0,81300,83300,83700.0,2025-07-22 00:00:00,3.0,Thursday,27.4,56.95,72.4,35.55,0,113.9,144.8,0,17.085,21.72,,,,,66.40000000000003
2025-07-17,,0,Long,2025-07-18 10:16:00,2025-07-18 10:16:00,2025-07-21 09:16:00,2025-07-21 09:16:00,,80800.0,81300,83300,83700.0,2025-07-22 00:00:00,3.0,Thursday,"[52.55, 0.9]","[120.15, 1.2]","[11.5, 11.5]","[5.5, 5.5]",0,,,0,,,Exit,SL hit,Target hit,Exit,-73.60000000000001
2025-07-24,10.82,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82234.12,80700.0,81200,83200,83600.0,2025-07-29 00:00:00,3.0,Thursday,26.8,51.8,58.55,28.45,0,103.6,117.1,0,15.54,17.564999999999998,,,,,55.1
2025-07-24,,0,Long,2025-07-25 09:19:00,2025-07-25 09:19:00,2025-07-25 13:37:00,2025-07-25 13:37:00,,80700.0,81200,83200,83600.0,2025-07-29 00:00:00,3.0,Thursday,"[44.75, 1.35]","[104.9, 12.75]","[17.35, 17.35]","[10.45, 10.45]",0,,,0,,,Exit,SL hit,Target hit,Exit,-67.05
2025-07-31,11.52,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81500.87,79800.0,80500,82500,82900.0,2025-08-05 00:00:00,3.0,Thursday,55.25,112.2,79.35,41.1,0,224.4,158.7,0,33.66,23.805,,,,,95.20000000000002
2025-07-31,,0,Long,2025-08-01 15:06:00,2025-08-01 15:06:00,2025-08-01 13:38:00,2025-08-01 13:38:00,,79800.0,80500,82500,82900.0,2025-08-05 00:00:00,3.0,Thursday,"[76.25, 2.25]","[235.2, 8.5]","[23.25, 23.25]","[11.6, 11.6]",0,,,0,,,Exit,SL hit,Target hit,Exit,-170.6
2025-08-07,11.93,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80183.07,78700.0,79200,81200,81600.0,2025-08-12 00:00:00,3.0,Thursday,41.6,78.85,75.7,35.75,0,157.7,151.4,0,23.655,22.71,,,,,77.20000000000002
2025-08-07,,0,Long,2025-08-11 11:24:00,2025-08-11 11:24:00,2025-08-07 15:18:00,2025-08-07 15:18:00,,78700.0,79200,81200,81600.0,2025-08-12 00:00:00,3.0,Thursday,"[8.45, 8.45]","[22.7, 22.7]","[152.4, 3.05]","[72.8, 2.75]",0,,,0,,,Exit,Target hit,SL hit,Exit,-93.85
2025-08-13,12.18,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80584.23,78900.0,79500,81700,82100.0,2025-08-19 00:00:00,3.0,Wednesday,33.5,71.2,81.65,41.1,0,142.4,163.3,0,21.36,24.495,,,,,78.25000000000003
2025-08-13,,0,Long,2025-08-18 09:16:00,2025-08-18 09:16:00,2025-08-18 09:16:00,2025-08-18 09:16:00,,78900.0,79500,81700,82100.0,2025-08-19 00:00:00,3.0,Wednesday,"[5.4, 5.4]","[10.05, 10.05]","[285.15, 9.65]","[142.75, 1.4]",0,,,0,,,Exit,Target hit,SL hit,Exit,-147.04999999999998
2025-08-21,11.48,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82138.75,80600.0,81100,83100,83400.0,2025-08-26 00:00:00,3.0,Thursday,24.25,51.4,51.55,26.75,0,102.8,103.1,0,15.419999999999998,15.464999999999998,,,,,51.94999999999999
2025-08-21,,0,Long,2025-08-22 09:31:00,2025-08-22 09:31:00,2025-08-22 10:03:00,2025-08-22 10:03:00,,80600.0,81100,83100,83400.0,2025-08-26 00:00:00,3.0,Thursday,"[40.3, 3.45]","[109.0, 164.1]","[15.2, 15.2]","[9.15, 9.15]",0,,,0,,,Exit,SL hit,Target hit,Exit,-74.75
2025-05-08,19.81,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80667.46,77700.0,79000,82400,82900.0,2025-05-13 00:00:00,3.0,Thursday,120.0,234.95,53.05,25.65,0,469.9,106.1,0,70.485,15.915,,,,,142.35
2025-05-08,,0,Long,2025-05-08 15:29:00,2025-05-08 15:29:00,2025-05-09 10:45:00,2025-05-09 10:45:00,,77700.0,79000,82400,82900.0,2025-05-13 00:00:00,3.0,Thursday,"[274.0, 0.4]","[475.2, 0.4]","[15.35, 15.35]","[8.75, 8.75]",0,,,0,,,Exit,SL hit,Target hit,Exit,-207.8
2025-05-15,17.33,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82682.58,80000.0,81100,84300,84800.0,2025-05-20 00:00:00,3.0,Thursday,100.6,197.0,81.85,42.9,0,394.0,163.7,0,59.1,24.555,,,,,135.35000000000002
2025-05-15,,0,Long,2025-05-19 10:55:00,2025-05-19 10:55:00,2025-05-19 09:16:00,2025-05-19 09:16:00,,80000.0,81100,84300,84800.0,2025-05-20 00:00:00,3.0,Thursday,"[14.7, 14.7]","[58.8, 58.8]","[18.05, 18.05]","[8.4, 8.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-53.74999999999999
2025-05-22,17.55,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80566.96,78400.0,79100,82100,82800.0,2025-05-27 00:00:00,3.0,Thursday,53.15,110.2,119.85,57.0,0,220.4,239.7,0,33.06,35.955,,,,,119.9
2025-05-22,,0,Long,2025-05-23 09:49:00,2025-05-23 09:49:00,2025-05-23 09:39:00,2025-05-23 09:39:00,,78400.0,79100,82100,82800.0,2025-05-27 00:00:00,3.0,Thursday,"[16.5, 16.5]","[32.65, 32.65]","[248.65, 3.55]","[106.95, 1.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-157.85000000000002
2025-05-29,16.67,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81318.87,79200.0,79800,82800,83400.0,2025-06-03 00:00:00,3.0,Thursday,44.85,93.95,141.15,72.4,0,187.9,282.3,0,28.185,42.345,,,,,117.85000000000002
2025-05-29,,0,Long,2025-06-03 09:16:00,2025-06-03 09:16:00,2025-06-02 09:19:00,2025-06-02 09:19:00,,79200.0,79800,82800,83400.0,2025-06-03 00:00:00,3.0,Thursday,"[5.4, 5.4]","[19.4, 19.4]","[40.15, 40.15]","[14.8, 14.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-39.35
2025-06-05,15.28,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81386.91,79600.0,80100,82700,83200.0,2025-06-10 00:00:00,3.0,Thursday,59.9,113.55,132.75,68.15,0,227.1,265.5,0,34.065,39.825,,,,,118.25
2025-06-05,,0,Long,2025-06-06 13:18:00,2025-06-06 13:18:00,2025-06-06 11:08:00,2025-06-06 11:08:00,,79600.0,80100,82700,83200.0,2025-06-10 00:00:00,3.0,Thursday,"[17.65, 17.65]","[34.0, 34.0]","[266.7, 1.7]","[136.45, 1.0]",0,,,0,,,Exit,Target hit,SL hit,Exit,-146.6
2025-06-12,14.2,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81626.01,79700.0,80300,82900,83400.0,2025-06-17 00:00:00,3.0,Thursday,43.45,86.0,111.8,55.5,0,172.0,223.6,0,25.8,33.54,,,,,98.85
2025-06-12,,0,Long,2025-06-13 09:16:00,2025-06-13 09:16:00,2025-06-13 09:33:00,2025-06-13 09:33:00,,79700.0,80300,82900,83400.0,2025-06-17 00:00:00,3.0,Thursday,"[256.55, 0.4]","[446.35, 0.6]","[31.65, 31.65]","[16.55, 16.55]",0,,,0,,,Exit,SL hit,Target hit,Exit,-204.9
2025-06-19,14.16,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81459.37,79500.0,80300,82700,83100.0,2025-06-24 00:00:00,3.0,Thursday,68.35,135.0,95.15,46.65,0,270.0,190.3,0,40.5,28.545,,,,,115.15
2025-06-19,,0,Long,2025-06-20 10:53:00,2025-06-20 10:53:00,2025-06-20 10:28:00,2025-06-20 10:28:00,,79500.0,80300,82700,83100.0,2025-06-24 00:00:00,3.0,Thursday,"[19.5, 19.5]","[39.5, 39.5]","[190.95, 2.4]","[93.1, 1.95]",0,,,0,,,Exit,Target hit,SL hit,Exit,-117.85
2025-06-26,12.94,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83635.45,81600.0,82400,84800,85200.0,2025-07-01 00:00:00,3.0,Thursday,74.95,152.15,94.9,49.65,0,304.3,189.8,0,45.645,28.47,,,,,122.45000000000002
2025-06-26,,0,Long,2025-06-27 12:38:00,2025-06-27 12:38:00,2025-06-30 13:00:00,2025-06-30 13:00:00,,81600.0,82400,84800,85200.0,2025-07-01 00:00:00,3.0,Thursday,"[19.55, 19.55]","[44.9, 44.9]","[27.75, 27.75]","[11.05, 11.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-42.05
