Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-03,12.44,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83355.3,81300.0,82300,84500,85500.0,2025-07-08 00:00:00,3.0,Thursday,30.9,107.5,89.8,18.4,0,268.75,224.5,0,32.25,26.94,,,,,444.0
2025-07-03,,0,Long,2025-07-07 09:22:00,2025-07-07 09:22:00,2025-07-04 11:46:00,2025-07-04 11:46:00,,81300.0,82300,84500,85500.0,2025-07-08 00:00:00,3.0,Thursday,"[5.2, 5.2]","[30.55, 30.55]","[25.3, 25.3]","[5.55, 5.55]",0,,,0,,,Exit,Target hit,Target hit,Exit,-135.3
2025-07-10,11.86,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83482.16,81400.0,82400,84600,85600.0,2025-07-15 00:00:00,3.0,Thursday,18.5,73.6,68.8,14.45,0,184.0,172.0,0,22.08,20.64,,,,,328.3499999999999
2025-07-10,,0,Long,2025-07-11 10:58:00,2025-07-11 10:58:00,2025-07-11 09:16:00,2025-07-11 09:16:00,,81400.0,82400,84600,85600.0,2025-07-15 00:00:00,3.0,Thursday,"[32.25, 1.65]","[190.55, 12.6]","[15.85, 15.85]","[4.35, 4.35]",0,,,0,,,Exit,SL hit,Target hit,Exit,-214.7
2025-07-17,11.2,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82626.07,80600.0,81600,83600,84600.0,2025-07-22 00:00:00,3.0,Thursday,17.0,66.0,66.7,12.45,0,165.0,166.75,0,19.8,20.01,,,,,309.75
2025-07-17,,0,Long,2025-07-18 10:07:00,2025-07-18 10:07:00,2025-07-18 09:44:00,2025-07-18 09:44:00,,80600.0,81600,83600,84600.0,2025-07-22 00:00:00,3.0,Thursday,"[29.8, 0.85]","[171.85, 1.5]","[19.5, 19.5]","[4.7, 4.7]",0,,,0,,,Exit,SL hit,Target hit,Exit,-187.75
2025-07-24,10.55,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82551.87,80700.0,81700,83500,84500.0,2025-07-29 00:00:00,3.0,Thursday,19.0,67.7,53.7,10.0,0,169.25,134.25,0,20.31,16.11,,,,,277.20000000000005
2025-07-24,,0,Long,2025-07-24 12:05:00,2025-07-24 12:05:00,2025-07-25 09:16:00,2025-07-25 09:16:00,,80700.0,81700,83500,84500.0,2025-07-29 00:00:00,3.0,Thursday,"[44.0, 1.35]","[178.8, 469.0]","[14.75, 14.75]","[3.95, 3.95]",0,,,0,,,Exit,SL hit,Target hit,Exit,-1102.5
2025-07-31,11.99,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80981.32,78900.0,79900,82100,83100.0,2025-08-05 00:00:00,3.0,Thursday,45.65,121.55,88.5,24.8,0,303.875,221.25,0,36.465,26.55,,,,,418.8
2025-07-31,,0,Long,2025-08-04 09:31:00,2025-08-04 09:31:00,2025-07-31 12:58:00,2025-07-31 12:58:00,,78900.0,79900,82100,83100.0,2025-08-05 00:00:00,3.0,Thursday,"[5.85, 5.85]","[36.1, 36.1]","[228.6, 1.2]","[49.9, 0.8]",0,,,0,,,Exit,Target hit,SL hit,Exit,-270.25
2025-08-07,11.77,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80378.86,78400.0,79400,81400,82400.0,2025-08-12 00:00:00,3.0,Thursday,26.95,88.9,88.8,18.75,0,222.25,222.0,0,26.67,26.64,,,,,396.0
2025-08-07,,0,Long,2025-08-11 13:34:00,2025-08-11 13:34:00,2025-08-08 15:10:00,2025-08-08 15:10:00,,78400.0,79400,81400,82400.0,2025-08-12 00:00:00,3.0,Thursday,"[4.6, 4.6]","[26.25, 26.25]","[26.55, 26.55]","[6.0, 6.0]",0,,,0,,,Exit,Target hit,Target hit,Exit,-126.6
2025-08-13,12.29,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80377.86,78300.0,79300,81500,82500.0,2025-08-19 00:00:00,3.0,Wednesday,25.8,85.4,106.3,23.9,0,213.5,265.75,0,25.62,31.89,,,,,426.0
2025-08-13,,0,Long,2025-08-18 09:15:00,2025-08-18 09:15:00,2025-08-18 09:16:00,2025-08-18 09:16:00,,78300.0,79300,81500,82500.0,2025-08-19 00:00:00,3.0,Wednesday,"[6.0, 6.0]","[19.75, 19.75]","[389.85, 128.95]","[62.15, 1.0]",0,,,0,,,Exit,Target hit,SL hit,Exit,-624.85
2025-08-21,11.77,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81958.84,80000.0,81000,83000,84000.0,2025-08-26 00:00:00,3.0,Thursday,21.15,85.0,63.0,12.35,0,212.5,157.5,0,25.5,18.9,,,,,343.5
2025-08-21,,0,Long,2025-08-25 12:05:00,2025-08-25 12:05:00,2025-08-22 10:03:00,2025-08-22 10:03:00,,80000.0,81000,83000,84000.0,2025-08-26 00:00:00,3.0,Thursday,"[3.9, 3.9]","[25.25, 25.25]","[18.6, 18.6]","[4.95, 4.95]",0,,,0,,,Exit,Target hit,Target hit,Exit,-105.0
2025-05-08,18.47,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80727.96,78100.0,79100,82300,83300.0,2025-05-13 00:00:00,3.0,Thursday,103.0,178.85,75.15,22.0,0,447.125,187.875,0,53.655,22.545,,,,,387.0
2025-05-08,,0,Long,2025-05-08 14:55:00,2025-05-08 14:55:00,2025-05-09 09:59:00,2025-05-09 09:59:00,,78100.0,79100,82300,83300.0,2025-05-13 00:00:00,3.0,Thursday,"[299.4, 0.4]","[462.55, 0.55]","[21.6, 21.6]","[7.7, 7.7]",0,,,0,,,Exit,SL hit,Target hit,Exit,-205.15000000000003
