Date,DaysToExpiry,ExpiryDate,PnL
2024-07-02,3.0,2024-07-05 00:00:00,2559.45
2024-07-09,3.0,2024-07-12 00:00:00,-541.4099999999994
2024-07-15,3.0,2024-07-19 00:00:00,2778.835
2024-07-23,3.0,2024-07-26 00:00:00,-246.23999999999978
2024-07-30,3.0,2024-08-02 00:00:00,2515.4150000000004
2024-08-06,3.0,2024-08-09 00:00:00,-68.71000000000186
2024-08-12,3.0,2024-08-16 00:00:00,840.7049999999995
2024-08-20,3.0,2024-08-23 00:00:00,-1382.895
2024-08-27,3.0,2024-08-30 00:00:00,1336.8400000000004
2024-09-03,3.0,2024-09-06 00:00:00,-262.6799999999996
2024-09-10,3.0,2024-09-13 00:00:00,-1825.2600000000002
2024-09-17,3.0,2024-09-20 00:00:00,-2684.2750000000015
2024-09-24,3.0,2024-09-27 00:00:00,-47.27500000000009
2024-09-30,3.0,2024-10-04 00:00:00,-389.98
2024-10-08,3.0,2024-10-11 00:00:00,5689.724999999999
2024-10-15,3.0,2024-10-18 00:00:00,-367.3199999999988
2024-10-22,3.0,2024-10-25 00:00:00,-676.420000000001
2024-10-28,3.0,2024-10-31 00:00:00,-4371.895
2024-11-05,3.0,2024-11-08 00:00:00,-118.9350000000004
2024-11-11,3.0,2024-11-14 00:00:00,-3298.465
2024-11-18,3.0,2024-11-22 00:00:00,-448.96500000000015
2024-11-26,3.0,2024-11-29 00:00:00,-2250.4599999999996
2024-12-03,3.0,2024-12-06 00:00:00,26.275000000000546
2024-12-10,3.0,2024-12-13 00:00:00,-984.2400000000002
2024-12-17,3.0,2024-12-20 00:00:00,500.40499999999975
2024-12-23,3.0,2024-12-27 00:00:00,4289.57
2025-01-02,3.0,2025-01-03 00:00:00,211.89000000000033
2025-01-09,3.0,2025-01-14 00:00:00,-387.0450000000001
2025-01-16,3.0,2025-01-21 00:00:00,-934.5400000000009
2025-01-23,3.0,2025-01-28 00:00:00,2670.15
2025-01-30,3.0,2025-02-04 00:00:00,10245.45
2025-02-06,3.0,2025-02-11 00:00:00,-3640.750000000001
2025-02-13,3.0,2025-02-18 00:00:00,3671.575
2025-02-20,3.0,2025-02-25 00:00:00,3091.73
2025-02-27,3.0,2025-03-04 00:00:00,-624.6050000000002
2025-03-06,3.0,2025-03-11 00:00:00,-530.8449999999998
2025-03-12,3.0,2025-03-18 00:00:00,1062.795
2025-03-20,3.0,2025-03-25 00:00:00,-478.08500000000004
2025-03-26,3.0,2025-04-01 00:00:00,193.57000000000016
2025-04-03,3.0,2025-04-08 00:00:00,-6331.124999999999
2025-04-16,3.0,2025-04-22 00:00:00,-66.96499999999969
2025-04-24,3.0,2025-04-29 00:00:00,-1476.0750000000012
2025-05-08,3.0,2025-05-13 00:00:00,-4074.39
2025-05-15,3.0,2025-05-20 00:00:00,-761.6799999999994
2025-05-22,3.0,2025-05-27 00:00:00,-1257.1899999999991
2025-05-29,3.0,2025-06-03 00:00:00,3720.6399999999994
2025-06-05,3.0,2025-06-10 00:00:00,-573.3349999999996
2025-06-12,3.0,2025-06-17 00:00:00,-228.69000000000096
2025-06-19,3.0,2025-06-24 00:00:00,-192.82500000000027
2025-06-26,3.0,2025-07-01 00:00:00,312.0400000000004
2025-07-03,3.0,2025-07-08 00:00:00,2349.85
2025-07-10,3.0,2025-07-15 00:00:00,-458.17000000000075
2025-07-17,3.0,2025-07-22 00:00:00,-463.4150000000002
2025-07-24,3.0,2025-07-29 00:00:00,-345.0899999999999
2025-07-31,3.0,2025-08-05 00:00:00,-177.86499999999978
2025-08-07,3.0,2025-08-12 00:00:00,-394.1300000000001
2025-08-13,3.0,2025-08-19 00:00:00,-3132.3650000000007
2025-08-21,3.0,2025-08-26 00:00:00,-1328.44
